ParlaMint-GB_2015-01-12-commons.u1	1. What steps he is taking to increase the number of cadet units in schools.
ParlaMint-GB_2015-01-12-commons.u2	We are on track to achieve our target of 100 new combined cadet forces in state schools by September 2015. That will ensure that, whatever their background or school, children will have a great opportunity to enjoy all the benefits of being in the cadets.
ParlaMint-GB_2015-01-12-commons.u3	I am proud to have 1104 Pendle squadron air cadets in Nelson and Army cadet force units in Briarfield and Barnoldswick in my constituency, but we are yet to have any cadet units in schools. Will my hon. Friend update the House on the funding model for all combined cadet forces?
ParlaMint-GB_2015-01-12-commons.u4	We decided that we would look at the current funding so that we could make sure that we were in a position to expand. We consulted people and I am grateful that they responded in the way that they did. We listened to what was said and as a result we will not change the funding model. We are confident about the expansion plan, which I hope will go into my hon. Friend’s constituency. I look forward to discussing that, and how we can assist further, with him. It is a good idea.
ParlaMint-GB_2015-01-12-commons.u5	18. Will the Minister proactively promote youth cadets, particularly in our state schools, for which it is not such a natural course to follow? Will she also talk to her Cabinet Office colleagues responsible for the National Citizen Service as a way of getting more recruits into the uniformed youth services and of recruiting more youth leaders to help run them?
ParlaMint-GB_2015-01-12-commons.u6	I absolutely endorse everything my hon. Friend has said. So far, there are 64 new cadet units of which 47 are up and running. I agree with my hon. Friend that this is a wonderful opportunity. It is particularly important that we expand the cadet experience into state schools, because it should not just be the domain of the private sector.
ParlaMint-GB_2015-01-12-commons.u7	Tower Hamlets is the lead borough for police cadets. We also have fire cadets, a sea cadet unit is being set up on the Isle of Dogs, and I am president of the 31 Tower Hamlets air cadet training corps at Mile End. How much support will be given to cadet units that are not associated with schools, but that are based in the community?
ParlaMint-GB_2015-01-12-commons.u8	We know that there are more community cadets. They are all equally important and we are determined to do everything we can not just to support them, but, as we have heard from Members on both sides of the House, to encourage more young people to take advantage of the benefits, opportunities and the fantastic experience that the cadets offer.
ParlaMint-GB_2015-01-12-commons.u9	I strongly support the Government’s initiative for 100 new CCFs in schools across the land. It is a great idea, but the Minister mumbled over the question of the funding formula—[Interruption.] I apologise: she most certainly did not mumble. To put it a different way, I am a little unclear as to what she meant about the funding formula. Will she guarantee that she will not do what she originally planned, namely fund the CCFs by charging existing cadets up to £500 a year for membership?
ParlaMint-GB_2015-01-12-commons.u10	That was a gracious withdrawal. I have periodically accused the Minister of things, fairly or unfairly, but I have never, ever accused her of mumbling and I cannot imagine ever doing so.
ParlaMint-GB_2015-01-12-commons.u11	Some people wish I would mumble a bit more, Mr Speaker. Let me make the situation very clear, in case my hon. Friend the Member for North Wiltshire (Mr Gray) did not hear me, which I find astonishing. There will be no changes. We are determined to support all our cadet units, wherever they are, but we are particularly keen to see growth into the state sector. Everybody should welcome that, especially Government Members because we are the first lot to actually achieve it.
ParlaMint-GB_2015-01-12-commons.u12	The House will know from the previous Question Time that I was in the combined cadet force when I was at Hampton school many years ago, but I understand that I will never be gallant. May I draw the Minister’s attention to the concerns of the recently retired children’s commissioner that people as young as 17 could serve in combat duties on the front line?
ParlaMint-GB_2015-01-12-commons.u13	As a comprehensive schoolchild I never had the benefits of the CCF, which is why I am such a keen supporter of the scheme. I did not have the benefit of going to the independent school that perhaps the hon. Gentleman went to.
ParlaMint-GB_2015-01-12-commons.u14	It was a grammar school.
ParlaMint-GB_2015-01-12-commons.u15	It was a grammar school. I will move swiftly on to answer his question. [Interruption.] The Hartland was a very good school—I think the hon. Member for North Durham (Mr Jones) and I both went to it. [Interruption.] Oh no, he went to another one. Anyway, the important point is that I do not share the view of the hon. Member for Huddersfield (Mr Sheerman). This is not about children being put on the front line. I am confident that our duty of care and the way in which we train everybody who joins our armed forces are absolutely right. We take our responsibilities very seriously. Nobody under the age of 18 goes on to the front line—we need to make that very clear.
ParlaMint-GB_2015-01-12-commons.u16	I thank the Minister and the Secretary of State for listening during the consultation. The proposal was very nearly a disaster for the existing CCFs and they rescued it. I thank them very much indeed. Although I understand the desire to have CCFs in state schools, I ask the Minister not to lose focus on the Army cadet force as the policy continues.
ParlaMint-GB_2015-01-12-commons.u17	I absolutely will not lose focus. It is worth saying that we listened to all the representations that were made. We also know and understand that we have a duty to live within our means as a nation and to keep within the Defence budget. That is why we always look at such matters with great care. We looked at the matter, we listened and, in this instance, we did not act. The policy will therefore continue and I am confident that it will do so with success.
ParlaMint-GB_2015-01-12-commons.u18	2. How many UK military personnel are currently serving in Afghanistan.
ParlaMint-GB_2015-01-12-commons.u19	Let me start by passing on our congratulations to the hon. Gentleman on his well-deserved knighthood. Our commitment to the current NATO Resolute Support mission in Afghanistan, the UK element of which is known as Operation Toral, amounts to about 470 UK military personnel. They work in support of the democratically elected Afghan Government, who have just announced their new Cabinet.
ParlaMint-GB_2015-01-12-commons.u20	I thank the Minister for his kind remarks. The benefits that our service personnel, as well as our diplomats and development workers, have brought to Afghanistan at such cost over the past 13 years could be swept away in part or all of that country, as has happened in Iraq, if the new Resolute Support mission to support the Afghan national security forces does not provide the support that is necessary. Can he reassure the House that Resolute Support will be maintained for as long as is necessary to guarantee the gains that have been made over the past decade?
ParlaMint-GB_2015-01-12-commons.u21	Along with our NATO allies in Resolute Support, we are committed to the long-term security of Afghanistan. On the UK contribution, we continue to lead mentoring at the Afghan national army officer academy and to provide mentors in the Afghan security institutions. We are also taking the lead on the Kabul security force, which is a key enabler for managing and assuring the protection of UK and NATO personnel in Kabul. The hon. Gentleman mentioned sacrifice. We lost 453 personnel who died in the line of duty in Afghanistan. They made a great sacrifice to give the people of Afghanistan a future and we will never forget them.
ParlaMint-GB_2015-01-12-commons.u22	Will the Minister outline for the House what role he sees for the Army Reserve in contributing to Operation Resolute Support?
ParlaMint-GB_2015-01-12-commons.u23	As a former reservist, I am delighted to do so. Army reservists have served in Iraq and Afghanistan, and they will continue to serve in Operation Toral. I believe that some elements of 3PWRR—a regiment close to the heart of the Under-Secretary of State for Defence, my hon. Friend the Member for Canterbury (Mr Brazier)—will deploy to Afghanistan shortly as part of the security force. Reservists will be an important and integral part of our commitment under Operation Toral.
ParlaMint-GB_2015-01-12-commons.u24	3. What assessment he has made of recent trends in recruitment to the Army Reserve; and if he will make a statement.
ParlaMint-GB_2015-01-12-commons.u25	The trained strength of the Army Reserve at 1 October 2014 was 19,310 and we expect it to exceed our end of year target of 19,900. Enlistments in the first two quarters of the year were 62% above the equivalent period in the previous year and we expect the latest quarter to show a further increase, owing to the removal of delays in the recruitment process, the restoration to units of the key role of mentoring recruits and the new marketing campaign.
ParlaMint-GB_2015-01-12-commons.u26	Ministers raised the age limit for Army reservists from 43 to 52 after recruiting, as I understand it, only 20 new reservists—somewhat short of the 30,000 they were aiming for to cover the cutting of 20,000 personnel from the Regular Army. Recently in east Yorkshire, there has been filming for the new “Dad’s Army”, so I wondered whether Ministers thought it might be appropriate for the cast to keep their uniforms on.
ParlaMint-GB_2015-01-12-commons.u27	In the latest six months, 2,130 recruits were enlisted into the Army Reserve. I ask the hon. Lady to think very carefully before making jokes about the Army Reserve. Whatever policy differences there are, 30 members of the reserve forces—24 of them from the Territorial Army—have died on operations in Afghanistan and Iraq.
ParlaMint-GB_2015-01-12-commons.u28	21. Could the Minister also give us a short update on his progress on the cyber-reserves?
ParlaMint-GB_2015-01-12-commons.u29	Recruiting for the cyber-reserves is on course in all three services, but I am afraid that I am not allowed to give any details of the planned structure, for obvious security reasons.
ParlaMint-GB_2015-01-12-commons.u30	Reservists in the Royal Army Nursing Corps are putting themselves in significant danger as they are called up to serve in Sierra Leone to help combat Ebola. Why is the Ministry of Defence refusing to pay those brave people their operational allowance?
ParlaMint-GB_2015-01-12-commons.u31	I share the hon. Gentleman’s admiration of those people, and I was privileged to see them off just before Christmas. I note that the senior nursing officer in the rotation—effectively the commander in the red zone on the current operation—is herself a reservist To answer the hon. Gentleman’s question directly, those people are entitled to a number of other allowances, and we are looking at the moment at the issue that he mentions. My right hon. Friend the Minister for the Armed Forces will write to him when it has been determined.
ParlaMint-GB_2015-01-12-commons.u32	The latest MOD figures show that the trained strength of the Army Reserve has actually fallen over the past 18 months. Can the Minister inform the House of the extra cost that has been incurred, over and above the original estimates, to encourage recruitment? The MOD’s continued silence on that suggests either embarrassment or ignorance.
ParlaMint-GB_2015-01-12-commons.u33	On my hon. and gallant Friend’s first question, by looking back 18 months he is looking back past the bottom of the trough. The past six to nine months have been much more encouraging, and the next quarter is expected to be even better My hon. and gallant Friend has asked his second question again and again, and we have explained that, although we acknowledge that there are some extra costs, there is no way that we can separate them from the whole picture. Some of them are one-off costs, and some of them are connected with regular recruiting as well—we have to remind people, post-Afghanistan and so on, that we are recruiting.
ParlaMint-GB_2015-01-12-commons.u34	The original plan to reform the reserve force stated that a force of 30,000 would be required by 2018. That was pushed back to April 2019, and last week in The Times, well informed sources in the MOD suggested that the date may well be pushed back even further. Can the Minister confirm exactly when the 30,000 strength will actually be met?
ParlaMint-GB_2015-01-12-commons.u35	We are still firmly committed to April 2019 as the target date. As I have mentioned, recruiting has increased substantially. If we look at the latest quarter as opposed to the latest six months, we see that it has roughly doubled. Over the past six months it is up 62%, but over the second half of that period it has gone up even faster, and we expect a further continuation of that positive trend. We are firmly committed to April 2019.
ParlaMint-GB_2015-01-12-commons.u36	4. If he will publish research held by the Government on the global atmospheric consequences of nuclear war.
ParlaMint-GB_2015-01-12-commons.u37	Classified studies conducted by the Ministry of Defence focus on the effects of UK nuclear weapons and the potential impact, including on critical national infrastructure, of a nuclear attack on the United Kingdom.
ParlaMint-GB_2015-01-12-commons.u38	Under the 30-year rule, Cabinet papers for 1984 have now been published. They show that the Government at that time refused to undertake any study of the atmospheric effects of a nuclear weapon explosion or nuclear testing. As I understand it, no other study has been undertaken since then. At the conference on the humanitarian effects of nuclear weapons in Vienna, there were some disturbing—no, frightening—reports of what would happen to the world’s climate if any nuclear explosion took place anywhere. Does the Minister not think it is incumbent on the Government to tell the British people exactly what the consequences of a nuclear explosion are, not just for them but for the whole planet?
ParlaMint-GB_2015-01-12-commons.u39	I think the hon. Gentleman is referring to some declassified Home Office documents, which as Minister of State at the Ministry of Defence I confess I have not read. I believe that nuclear deterrence contributes materially to our national security. If the hon. Gentleman wants to read a really good study on nuclear deterrence, I recommend “On Nuclear Deterrence: The Correspondence of Sir Michael Quinlan”, published by the Royal United Services Institute in 2011. It is a ripping good read about how to keep a country safe and free.
ParlaMint-GB_2015-01-12-commons.u40	Does the Minister understand that at a time when we are rightly outraged and mourning the deaths of 17 people at the hands of terrorists, it is a terrible paradox that every hour of every day this nation deploys a nuclear weapons system that will kill directly millions of people, and due to its climate effects could kill up to 2 billion? Does he think it is time to engage with a new Austrian initiative that could ultimately lead to a ban on all nuclear weapons and is, I stress, a multilateral initiative?
ParlaMint-GB_2015-01-12-commons.u41	I respect the position from which the right hon. Lady approaches this issue, but as I have said, I believe that maintaining continuous at-sea deterrence is the best way to deter nuclear exchanges, rather than lead to them. In fairness, she has been absolutely consistent and long standing in her views about nuclear weapons, which is more than we can say this week for her party leader.
ParlaMint-GB_2015-01-12-commons.u42	I am sure my right hon. Friend agrees that we would all like nuclear weapons not to exist, but sadly they do. Given that, is it not rather strange to hear cries for disarmament on the very day we read that former President Gorbachev has said that the likelihood of a nuclear conflict around Ukraine is much greater than it has been since the end of the cold war?
ParlaMint-GB_2015-01-12-commons.u43	The Conservative party remains firmly committed to continuous at-sea deterrence to provide the ultimate guarantee of our nation’s security, and as a former Armed Forces Minister, I know my right hon. Friend shares that view. Conservative Members also share that view; what is the view of the leader of the Labour party?
ParlaMint-GB_2015-01-12-commons.u44	A recent report suggested that the long-term climatic effects of nuclear war could include low light levels, sub-freezing temperatures and heavy air pollution that could place the global ecosystem in serious jeopardy. If nuclear weapons had existed since Roman times, statistically all that may have come to pass by now. Does not that show the danger to the planet of the madness that is nuclear weapons?
ParlaMint-GB_2015-01-12-commons.u45	A nuclear war would be a tremendous danger to the planet. That is why it is better to deter it.
ParlaMint-GB_2015-01-12-commons.u46	5. What plans he has to consider delivery of UK defence capability through conventional rather than nuclear weapons as part of the 2015 strategic defence and security review.
ParlaMint-GB_2015-01-12-commons.u47	The next strategic defence and security review is a matter for after the general election. My Department is preparing for the review, but our focus remains the delivery of the 2010 review.
ParlaMint-GB_2015-01-12-commons.u48	In a period of changing security threat, and as the national security strategy noted in 2010, is it not sensible to consider how ending the Trident replacement programme would release resources that could be spent more effectively on other security measures, as well as on a range of other public spending priorities, not least our national health service?
ParlaMint-GB_2015-01-12-commons.u49	Successive Governments, Labour and Conservative, have been committed to our continuous at-sea deterrent for more than 45 years, and I hope that the Labour party in Scotland will not waiver from that. It would be extremely dangerous to move to any kind of part-time or lesser deterrent, and the Conservative party will not gamble with Britain’s national security.
ParlaMint-GB_2015-01-12-commons.u50	My right hon. Friend has just made that commitment to continuous at-sea deterrence and, as I understand, it is the position of both main parties that the successor submarines for Trident should go ahead. Will he therefore guarantee to me that there will be no question of any delay in signing the main-gate contracts if we end up with another hung Parliament and the Liberal Democrats or Scottish nationalists seek to exact that as a price for their participation and support?
ParlaMint-GB_2015-01-12-commons.u51	I confirm to my hon. Friend and to the House that the main-gate decision is scheduled for 2016. I will not speculate on the possibility of a hung Parliament, except to note that I know the Liberal Democrats would favour some kind of part-time deterrent, although it is pretty obvious to me that our enemies are not part time.
