ParlaMint-GB_2015-01-15-commons.u1	1. What estimate he has made of the contribution of tourism to the economy.
ParlaMint-GB_2015-01-15-commons.u2	The Office for National Statistics estimates that the direct contribution of the tourism sector to the economy in 2013 was £56 billion. Taking account of indirect benefits, Deloitte estimates that in the same year the sector was worth £127 billion gross value added to the UK economy, supporting 3.1 million jobs.
ParlaMint-GB_2015-01-15-commons.u3	I welcome that response. As my right hon. Friend will know, Crawley contains Gatwick airport, which is a major gateway to the UK. What more can the tourism industry do to ensure that people coming to the UK travel on to other destinations and take advantage of the many benefits and tourist attractions in Crawley and West Sussex?
ParlaMint-GB_2015-01-15-commons.u4	My hon. Friend raises an important point. He will be aware that Gatwick is already a major local economic driver, generating some 23,000 jobs at the airport alone, and he is right to ask what more it could do to attract visitors to Crawley and Sussex. He will be aware of Visit Sussex, and I encourage the town to work more closely with that and with Tourism South East, to see what more it can do to show its local attractions.
ParlaMint-GB_2015-01-15-commons.u5	The Secretary of State will be aware that across Kent tourism accounts for the direct employment of nearly 65,000 people. Tourism VAT rates across the EU are much lower than in the UK, and if VAT on accommodation was reduced to 5% that would boost jobs and bring a further £1 million into Kent. What conversations has he had with the Treasury about the benefits of a future cut to VAT, as that would bring jobs and growth into Kent and the UK as a whole?
ParlaMint-GB_2015-01-15-commons.u6	My hon. Friend has raised that issue before and I know she feels passionately about it. She will know that tax is an issue for the Treasury, and we have ongoing discussions with the Treasury on a number of issues. I am sure she will join me in welcoming the fact that in 2013, because of the support the Government have provided to the sector, we saw record levels of tourism, and it looks as if 2014 will be another record year.
ParlaMint-GB_2015-01-15-commons.u7	Tourism is particularly important in rural areas. What can we do to encourage VisitBritain to highlight the excellent hotels, holiday accommodation and visitor attractions in rural Wales, and indeed the entire west of England, to make it a tourist destination for people coming from abroad?
ParlaMint-GB_2015-01-15-commons.u8	My hon. Friend is right to say that tourism is vital for local economies, and I have a big ambition to get more people out of the cities and visiting our fantastic countryside. He will be pleased to know that one week from today we will launch the Countryside is Great campaign in New York, with the fantastic Katherine Jenkins performing. That will help make clearer to international tourists exactly what our fantastic countryside has to offer, including in Wales.
ParlaMint-GB_2015-01-15-commons.u9	2. What steps he is taking to encourage the development of creative industries to help regenerate outer-city estates.
ParlaMint-GB_2015-01-15-commons.u10	Economic estimates for the creative industries published this week have shown that the sector plays a leading role in our long-term economic plan. The figures estimated that in 2013 there were 84,000 jobs in the creative industries in the east midlands, and the Government continue to work closely with the sector so that it can produce further jobs and growth across Britain.
ParlaMint-GB_2015-01-15-commons.u11	Welcome as those figures are, does the Secretary of State agree that there is sometimes an imbalance with the creative industries necessarily being located in the inner cities, city centres and business districts for tourism, heritage and media, and that very few go to the outer-city estates and working-class areas of the sort I represent? I chair the Rebalancing Nottingham North charity. Will he find some time in his busy diary to meet me and discuss how we can balance the expansion of creative industries so that everyone can benefit?
ParlaMint-GB_2015-01-15-commons.u12	The hon. Gentleman is right to highlight that important point, and I commend his excellent work in taking forward the Rebalancing the Outer Estates Foundation. He will know that the Arts Council supports many regions around the country and helps with that rebalancing effort, but there is always more we can do, and I or the Minister for Culture and the Digital Economy would be happy to meet him to take that issue forward.
ParlaMint-GB_2015-01-15-commons.u13	The BBC has an excellent building in Glasgow, as does STV, and a lot of money has been put in by these large companies. One thing that has been missed is localism within the creative industries, and although a certain amount of action is supposed to take place outside the M25 corridor, we are not seeing that north of the border.
ParlaMint-GB_2015-01-15-commons.u14	I referred earlier to a report published this week, which shows strong growth in the creative industries throughout the UK in every region, including Scotland. I encourage the hon. Gentleman to take a look at it. If he has any fresh ideas that he thinks we should look at, I would be happy to speak to him.
ParlaMint-GB_2015-01-15-commons.u15	3. What discussions he has had with the Chancellor of the Exchequer on the effect on musicians and other creative professionals of EU proposals to change the way VAT is charged on digital services.
ParlaMint-GB_2015-01-15-commons.u16	The changes relate to the announcement in the 2013 Budget and came into effect on 1 January 2015. Her Majesty’s Revenue and Customs established an external working group to consider their effect on small and medium-sized businesses. The Treasury and HMRC are actively engaging with it.
ParlaMint-GB_2015-01-15-commons.u17	I thank the Minister for that response and for agreeing to reinstate the question after his officials tried to transfer it to the Treasury. That was very kind of him. As he will know, musicians are very concerned that they will end up having to fill out quarterly VAT returns for very small sources of income. If they sell their music through iTunes or Bandcamp, they will perhaps do the administration for them, but it is a real issue if musicians have to handle it themselves. I urge the Minister to take part in those discussions with the Treasury and ensure that the voices of musicians and other people in the creative sector are heard.
ParlaMint-GB_2015-01-15-commons.u18	I would never dodge a question from the hon. Lady, particularly as she represents the constituency of Bristol East, where I stood famously in the 1997 election and turned a 5,000 Labour majority into a 17,000 Labour majority. The changes will protect and increase revenue. The hon. Lady is a great champion for the music industry. I take on board her point and I will certainly engage with HMRC.
ParlaMint-GB_2015-01-15-commons.u19	4. If he will discuss with Ofcom steps to ensure that television programmes which contain promotion of hatred against Ahmadi Muslims cannot be received in the UK.
ParlaMint-GB_2015-01-15-commons.u20	Ofcom has strict rules, set out in the broadcasting code, forbidding the broadcast of harmful extremist material and hate speech. This includes the promotion of hatred against the Ahmadi Muslim community, which is well represented in the hon. Lady’s constituency.
ParlaMint-GB_2015-01-15-commons.u21	On 22 December, Geo TV broadcast a programme that incited hatred against the Ahmadi Muslim community. Five days later, an Ahmadi Muslim was murdered in Gujranwala, Pakistan. We know that Ofcom has an enormous job to do, given the large number of satellite TV channels, in many languages and dialects, that come into the UK. What help can the Government give Ofcom to monitor hatred that might lead to the radicalisation of some of our young people in the UK?
ParlaMint-GB_2015-01-15-commons.u22	Ofcom does important work in this area. It is worth recording that it fined Takbeer TV £25,000 for abusing Ahmadis. Ofcom has also required it to broadcast a summary of that decision. Ofcom is investigating complaints that have been raised recently. It will assess them as quickly as possible and come to a conclusion.
ParlaMint-GB_2015-01-15-commons.u23	After the horrific murders in France last week, it has never been more important unequivocally to assert our commitment to the right of free speech and a free press, and the right to be provocative and even offensive, including the right to lampoon religion. After last week, however, the reality is that a shadow hangs over broadcasters, bloggers, journalists and satirists. They and their staff should not have to look over their shoulder, fearing violence. Will the Minister tell the House what the Secretary of State has done to reassure them not only of the Government’s in-principle support, but that every step is being taken to give them the security they need to exercise their rights in our democratic society? Has the Secretary of State spoken directly with the media about their concerns? What discussions has the Secretary of State had with the Prime Minister and the Home Secretary?
ParlaMint-GB_2015-01-15-commons.u24	The Secretary of State made very clear his views in an article in The Times on Saturday. I commend that article, and his very clear commitment to free speech and freedom of expression, to hon. Members. The security of the media and all citizens is a vital issue, one that the Prime Minister and the Home Secretary take extremely seriously. As Ministers in the Department for Culture, Media and Sport, we will play our part in working with them to ensure the appropriate levels of security for anyone who champions freedom of expression.
ParlaMint-GB_2015-01-15-commons.u25	5. What assessment he has made of the potential benefits of the introduction of a local television service in north-east Wales.
ParlaMint-GB_2015-01-15-commons.u26	Local TV will increase the range and availability of local news, information and other local programming. Ofcom awarded the local TV licence for Mold, which covers parts of north-east Wales, in January 2014. The successful bidder for the licence, Bay TV, has two years from the licence award to begin broadcasting.
ParlaMint-GB_2015-01-15-commons.u27	The licence granted does not cover Wrexham, which is the largest town in north-east Wales. MPs from all parties in north Wales support the extension of the current licence to cover the largest population centre, which all parties believe would be in the best interest of improving the very limited broadcasting that exists in north Wales—we have no BBC local radio, for example. Will the Minister please meet north Wales MPs in order to take this forward?
ParlaMint-GB_2015-01-15-commons.u28	I know that the hon. Gentleman and, indeed, other MPs met Ofcom at the end of last year. There are some technical difficulties involved in broadcasting to Wrexham. Unfortunately, because of those technical difficulties to do with spectrum, local TV cannot broadcast in all areas. I know that Ofcom will write to the hon. Gentleman. I would, of course, be delighted to have a meeting with him and any other interested MPs to discuss the issue further.
ParlaMint-GB_2015-01-15-commons.u29	6. If he will discuss with the organisers of the Rugby World Cup the use of non-playing facilities at the Ricoh arena for events connected to that tournament.
ParlaMint-GB_2015-01-15-commons.u30	The selection of host city venues and team training camps is a matter for England 2015, the tournament organisers.
ParlaMint-GB_2015-01-15-commons.u31	Is the Minister aware of the wonderful facilities at the Ricoh arena in Coventry, particularly for sport? There are also restaurants and tourist facilities there. I would like to say that Ministers have been very helpful to Coventry in respect of the Charterhouse project for tourists.
ParlaMint-GB_2015-01-15-commons.u32	I do know of the wonderful facilities in Coventry, and I am confident that there will be opportunities for Coventry to benefit from England hosting the rugby world cup. That could include participation in the domestic trophy tour in the Festival of Rugby. I recommend that local authority venues in cities, including the Ricoh arena in Coventry, continue to discuss opportunities with England Rugby 2015.
ParlaMint-GB_2015-01-15-commons.u33	7. What progress has been made by the Government’s Expert Working Group on Football Supporter Ownership and Engagement Group.
ParlaMint-GB_2015-01-15-commons.u34	The group had its first meeting on 25 November and shortly after issued a call for evidence. I expect to publish its initial findings in the coming months and a full report later this year.
ParlaMint-GB_2015-01-15-commons.u35	I am pleased that although it has taken since 2011, when one of the Minister’s predecessors promised it would happen, the working group is now finally up and running. She will be aware of the concern of many football fans—I declare an interest as a Fulham fan—that their club grounds are potentially worth more for purposes other than football and there is uncertainty about clubs maintaining their links with their communities. Fortunately for Fulham, despite misguided property speculators and ill-advised owners in the past, we have managed to survive at Craven Cottage, which is an iconic football ground and part of the English football fabric. Is the Minister aware of the concerns of fans, and does she think it is a good idea to have statutory consultation, ensuring that any change of use of football grounds is done with the fans in mind to protect grounds from asset stripping?
ParlaMint-GB_2015-01-15-commons.u36	There were a few issues in that question. The hon. Gentleman makes an important point. This expert group is being set up so that fans can air their views. It will give them profile and a good platform. I am sure that issues such as this will be raised and reported to me in due course. I would be happy to meet the hon. Gentleman to discuss his point in more detail.
ParlaMint-GB_2015-01-15-commons.u37	This year marks the 10th anniversary of the controversial Glazer family takeover at Manchester United—against the wishes of the vast majority of United fans. This saddled the club with vast debts to pay for the takeover. Does the Minister agree that football clubs and their supporters should be better protected from these predatory takeovers that can threaten the long-term viability of many of our football clubs?
