ParlaMint-GB_2015-01-16-commons.u1	I beg to move, That the clause be read a Second time.
ParlaMint-GB_2015-01-16-commons.u2	With this it will be convenient to discuss amendment 4, page 1, line 15, clause 1, at end add— ‘(4) Subsections (1) and (2) do not reduce the obligations of the authority not to discriminate against— (a) those with religious beliefs different from those supported or espoused in the prayers or other observances referred to in this section; or (b) those without religious beliefs, and to treat them equally in line with the Public Sector Equality Duty under the Equality Act 2010, section 149.’
ParlaMint-GB_2015-01-16-commons.u3	I warmly welcome the Bill, which seeks to provide a legislative basis for continuing the tradition, wherever it may be desired, of prayers before meetings in local government. The purpose of new clause 1, without at all inhibiting the freedom of councils and local authorities to employ or not employ prayer at their meetings, is to ask those bodies to keep in mind the religious heritage of our country and the religious foundations of the state, which are of a Judaeo-Christian nature. That is what my new clause proposes—having regard to the Judeao-Christian nature of our country Helston town council in Cornwall came in for a bit of flak in 2010, when resident Pat Woodhouse attacked the council for having “Christian-only prayers”. The local newspaper reported her to have said: “Let’s face it, we are supposed to be politically correct now.” What authority has determined that “we” are “supposed” to be politically correct? Why should citizens of any philosophical or religious world view unthinkingly surrender to the totalitarian and ever-shifting ideology of political correctness? In the Helston case, Ms Woodhouse is reported to have said: “If anyone really took offence they could criticise the council. It isn’t right. With respect to the reverend who opens the meeting with a prayer, is it politically correct to only have Christian prayers at the beginning of the meeting?” Note that she uses the word “if” anyone took offence—we are dealing with a pure hypothetical Doubtless, opponents of Christian prayer can cite actual cases where offence has been taken by someone, but I suspect it is pretty rare. We are supposed to be mature adults. I believe that anyone who is grievously offended by the Christian nature of prayers in councils needs to have some regard to the roots of our country. I am sure that both sides of the argument agree that we should not be a nation of triumphant Christian supremacists, but nor should we be a nation of molly-coddlers seeking to wrap the entire population in a protective layer of liberal gauze. We should abide by the principles of tolerance and respect: tolerance for belief or non-belief, twinned with respect not just for this country’s present, but its history We in Britain are known for our adherence to tradition. I would argue that this Parliament is the most beholden to tradition of any legislature in the world. Chesterton famously described tradition as “the democracy of the dead.” For when we make our decisions today, why should we not take into account the Britons of centuries past? Of course, the reality today is that the Christianity associated with the state—prayers before meetings, Remembrance day services, the role of the Church of England—is a thin whitewash over the official reigning ideology of liberalism. That is true, but these acts, be they prayer or worship, tie us intimately with our ancestors. I believe that that is what conservatism is all about. They connect us, I dare say, with the communion of Saints, four of whose number—George, Andrew, David and Patrick—serve as the traditional patrons and protectors of these nations. One can see their images in mosaic form looking down upon us in the Central Lobby of this Palace. Even in law we have the four quarter days of the year: Lady day, the feast of the Annunciation; Midsummer, the feast of St John the Baptist; Michaelmas, the feast of the Archangel Michael; and Christmas, the great feast of the Incarnation of Our Lord, which is celebrated so widely among those of profound religious belief or of none. The reason the tax year starts on 6 April is that it is the Gregorian equivalent of Lady day in the old Julian calendar that we in Britain held out in using for so long It is important to recall that other laws reinforce the Judaeo-Christian foundations of our society, and they should be celebrated in prayers before our meetings. Nobody is suggesting that should be compulsory; it is simply the decision of the council. Schools are still required to provide “daily collective worship wholly or mainly of a broadly Christian character” That is in our legislation. The Guardian finds that “incredible”, and it is worth noting that while we Conservatives can take credit for this requirement in passing the Education Reform Act 1988, The Guardian says that this was last reaffirmed in 1998 under new Labour—so presumably it is not that controversial It should be recalled that the etymology of the word “worship” comes from “worth ship”, the act of attributing or recognising worth, honour, esteem or distinction. With their conversion to Christianity, the Anglo-Saxon kings could no longer exert an arbitrary power over the kingdoms and peoples, but were subject to and restrained by, they realised, a higher power. This worship or esteeming of God laid the foundations for His creation—man—with numerous consequent ideas flowing forth about the dignity of the individual and our freedom of conscience. After all, what value is there to worship if it is not done as an act of free will Even more recent aspects of British society have Christian roots. Lord Alton, a former Member of this House, now in the other place, has written eloquently about the Christian foundations of the welfare state, noting that “the thoughts, words and actions of the Christian community were central to bringing” the welfare state “to fruition” Is it any wonder that what we can fairly describe as traditionally Christian countries are the ones that are today so tolerant of those of other faiths or indeed of none? The traditionally Christian societies are the most successful economically because they are tolerant of all other beliefs. It is that tolerance that has laid our economic success When we look at the past 50 years and observe officially atheist states such as the Soviet Union and the People’s Republic of China or officially Islamic republics such as Iran and Pakistan, we find their level of tolerance disappointing at best. Would someone rather be an atheist in Tehran where the mullahs rule the roost or in Beirut where the political and legal culture took root during the decades in which Lebanon had a Christian majority? I suspect that the overwhelming majority of British atheists are mature and respectful people, tolerant and perhaps even appreciative of the Christian foundations of the state and society. Rare is the man or woman given to sudden fits of apoplectic rage at the appearance of a nativity scene in public around Christmastide It has been rare in our time that an event has promoted as much comment and discussion on the nature of freedom and its responsibilities as the recent tragedy in Paris. France, of course, has a unique status in British society, serving simultaneously as our favourite traditional enemy as well as our closest friend, whose culture we most enjoy, love and revel in more than that of any other country. Britons will be the first gently to mock the French and some of their silly ways—and we have some silly ways— but our reaction to the recent atrocities committed in Paris has shown that we are the first to rush to their defence and express our solidarity with the French people. Chesterton was very prescient when he restated that to have a right to do something is different from being right in doing so. We believe in the freedom of speech, and while we hope that this freedom is used responsibly, we know that any attempts by the state to act as a determinant or guarantor of what is and what is not said is not a responsible exercise of freedom and is inherently threatening to our liberty. That is why I was a prominent supporter of the Reform Section 5 campaign about the right to offend other people. In this society, we have a right to offend others. If, dare I say it, prayers before council meetings offend some people—I doubt if anyone will be very offended—I believe that it is an inherent right nevertheless and it should be exercised It may astonish the House for a moment, but I confess that there are some aspects of political correctness that I find welcome. Political correctness to a certain extent incorporates a good old-fashioned sense of politeness. I am not a Muslim, so satirical depictions of Mohammed are ostensibly none of my business, but I do not understand the mentality that seeks intentionally to degrade and insult someone else’s most deeply held beliefs. To me, it seems plainly rude and ungentlemanly, and while these terms are viewed by some in our society as old-fashioned, it is just such forms of tradition and social dignity that say we should not deliberately intend to insult someone’s religion. That is up to the individual, not the state. It is such ideas, too, that affirm that we should not go slaughtering people because they insult us and our religion. In the end, being outrageous is all too often employed by the unoriginal and uninspired as a handy substitute for talent This is an opportunity to think more generally about the role of religion in our society and the world. What a shame, but also how natural, that religion is so often in the headlines because of warfare and conflict—we are all familiar with the so-called Islamic state. However, there are no headlines about the small kindnesses, the little acts of love and dignity, that people all around the world undertake, inspired either wholly or in part by their faith. I see no harm in councils’ proclaiming that faith before their meetings.
ParlaMint-GB_2015-01-16-commons.u4	My hon. Friend is making a powerful point in support of his new clause, but will he confirm that, because of the way in which it is drafted, nothing in it would restrict prayers to those from the Judaeo-Christian tradition? It only requires that that tradition be kept “in mind”. Could not prayers from other religions take place as well?
ParlaMint-GB_2015-01-16-commons.u5	I drafted my new clause carefully. It is meant to constitute a serious contribution to the debate. I am not arguing that there should, or must, be prayers before a council meeting. Of course, no one needs to go to them anyway. It is simply a decision that is made at the time of the council meeting. Nor am I arguing that the prayers must be of a Judaeo-Christian nature. I am, however, making the serious point, in this House of Commons, that this is our past. This is our foundation. This is what has made us free We cannot just say that we must have a “time for reflection” before council meetings, and that anything goes, because if we do that we lose contact with our history. I think that in losing contact with our history of tolerance—which is the foundation, or essence, of the British state—we actually encourage religious extremism. It is often people in whose families there is absolutely no religion who are led astray into following bizarre sects and the like.
ParlaMint-GB_2015-01-16-commons.u6	It is not just our past, though, is it? It is also our present. In Parliament, we start every day with prayers, and those prayers are Christian prayers; they are not from any other religion. However, people do not have to participate in them if they do not wish to. My hon. Friend is much more religious than I am, but I am not aware of anyone who objects to starting the day with prayers. It is actually a rather good way in which to start the day. Wouldn’t it be nice if local authorities started their proceedings in the same way as Parliament?
ParlaMint-GB_2015-01-16-commons.u7	That sums it up: wouldn’t it be nice? No one is using the language of compulsion. Wouldn’t it be nice? What is wrong with a moment for reflection?
ParlaMint-GB_2015-01-16-commons.u8	In Parliament, when we start our day with Prayers, we obviously start our day with prayers of the Church of England, which is the established faith in our country. If my hon. Friend wished to enshrine the traditions of this country in the Bill, did he not consider enshrining the Judaeo-Christian tradition of the Church of England rather than any other Judaeo-Christian tradition?
ParlaMint-GB_2015-01-16-commons.u9	I think I would have been criticised if I had done that, although I should have been happy to do it. Speaking for myself—if it is at all relevant—I am very ecumenical. I serve on the Lincoln cathedral council, and I have absolutely no objection to taking part in Church of England services and Church of England prayers; nor, I am sure, does anyone else who is sitting here. However, I think that if I had tried to lay down a particular denomination, I would have been severely criticised. As far as I am aware, the Church of England is a Christian denomination. A broad encompassing new clause which talks about Christianity does not prevent Church of England prayers from taking place. So I am afraid that I cannot accept that argument, but if my hon. Friend—who tabled the Bill—wants to advance it, it is for him to do so Secular liberalism often purports to have the answer to religion. Everyone and everything is free, and people can do whatever they want. Yet there is a curious aversion to those who choose to do religious things, especially if they are done in public. Why do some people have an aversion to others having prayers before Parliament and before council meetings? I am not sure that I understand that aversion, although I am sure it is sincerely felt In reality, the liberal secularist perspective is as much an all-encompassing and behaviour-determining world view as Christianity, Judaism, Islam or any religion. In purporting, whether explicitly or implicitly, to be “above” religion, liberal secularism is making truth claims just as strongly as religions do. Somehow this can be viewed as reassuring, as we are just dealing with one religion or world view as we have dealt with others. The new clause seeks to reaffirm our connection to the past through the actions of the present. There is a grave danger of we in Britain becoming severed from our roots, and lacking an understanding of our history. Such a deracinated population would be much easier to manipulate, whether by a Hitler, a Stalin, or some other modern-day tyrant whose dominion we fear. Asking not even that we affirm the Judaeo-Christian tradition of our country, but merely that councils keep it in mind, is one small way of keeping us in touch with our roots. That is why I propose my new clause May I end by reading out that marvellous prayer which we used to say in this House, and which is worth quoting from? We used to say that we “humbly beseech thee to send down thy Heavenly Wisdom from above, to direct and guide us in all our consultations; and grant that, we having thy fear always before our eyes, and laying aside all private interests, prejudices, and partial affections, the result of all our counsels may be to the glory of thy blessed Name, the maintenance of true Religion and Justice, the safety, honour, and happiness of the Queen, the publick wealth, peace and tranquillity of the Realm, and the uniting and knitting together of the hearts of all persons and estates within the same” What glorious language from our established Church, from the King James Bible, from the Prayers before Parliament. I commend my new clause to the House.
ParlaMint-GB_2015-01-16-commons.u10	I do not want to take up too much time because there is a lot of business to be got through this morning and I do not want to hold it up. I agree with much of what my hon. Friend the Member for Gainsborough (Sir Edward Leigh) says. He speaks, of course, as a prominent Roman Catholic, so I thought his answer to the last intervention on him was glorious. I have a probing amendment—amendment 4—which I almost certainly will not press to a Division I am a politician so my natural course is to wish to please people—if someone does not have that trait, they are unlikely to be elected—and so it is rather odd that I shall spend much of this morning disappointing people. First, I shall disappoint people by saying I am not in the least religious. My father was once the Second Church Estates Commissioner, and I was christened and confirmed, but since then I have lost those beliefs and the faith that I once had, and I am perfectly comfortable with that. This is the first time, however, that I have ever acknowledged that in public. It may be true that the pressure on a Conservative politician in particular to keep quiet about not being religious is very similar to the pressure that there has been about keeping quiet about being gay. For the avoidance of doubt, I am not gay either, but I just want to say that it is telling that it has taken me 28 years in this House—and, frankly, the knowledge that I will not be standing at the next election—to make this point I remember that when Peter Walker was a Minister answering questions in the House, he was asked something like whether his motivation for supporting a particularly right-wing policy had been sycophancy or cowardice, and his answer was, “Almost certainly both.” I would like to give the same answer for my having kept quiet about not being religious. So I shall disappoint some of my constituents, some members of my family—many of whom are strongly religious—and some hon. Members and hon. Friends by saying that I believe that the National Secular Society has a point: not everyone is religious In order to reserve a seat in the House on a crowded business day, such as Budget day, we have to put in a prayer card and come into the Chamber for Prayers. I do not have a major problem with that because I was brought up in a Christian household in a country that has an established Church of England, but really, why should I have to do that if I am not religious? It does seem to be a relic of the past. My hon. Friend said that this was our past and, although he was brought up short by an intervention from my hon. Friend the Member for Shipley (Philip Davies), I think he was right. More importantly, the requirement to pray in order to reserve a seat seems out of touch with the country that we politicians are meant to represent.
ParlaMint-GB_2015-01-16-commons.u11	Will my right hon. Friend give way?
