ParlaMint-GB_2015-01-27-commons.u1	1. What recent estimate HM Revenue and Customs has made of the amount of uncollected tax in the UK.
ParlaMint-GB_2015-01-27-commons.u2	Her Majesty’s Revenue and Customs published its latest tax gap estimates on 16 October 2014. In 2012-13, the tax gap was estimated at £34 billion, 6.8% of total tax due.
ParlaMint-GB_2015-01-27-commons.u3	The Government’s own figures suggest that the tax gap has increased by £3 billion. Independent experts say that the tax gap could be up to £120 billion. In North Ayrshire, the local tax office has been closed by this Government, and since 2010, 10,000 people in the Treasury have lost their jobs, despite the fact that every tax inspector brings in far more—in taxes—than they cost. Do the Government believe that they should rethink their strategy?
ParlaMint-GB_2015-01-27-commons.u4	The reality is that the tax gap for 2012-13 was lower than in any year under the previous Labour Government. As for the yield—the money that is brought in by HMRC as a consequence of its activity—that has gone up by £9 billion since 2010-11, and is forecast to be £26 billion this year. That is a very good record.
ParlaMint-GB_2015-01-27-commons.u5	Will the Minister confirm that the compliance tax yield for this year has been revised up to £26 billion, which is an increase of £9 billion since this Government came to office?
ParlaMint-GB_2015-01-27-commons.u6	My hon. Friend is absolutely right to make that point, and there has been an increase—[Interruption.] It is a point that bears repeating. Members really should take in the fact that, under this Government, we have seen a significant increase in HMRC’s yield. HMRC is more effective than ever in dealing with tax evasion and tax avoidance.
ParlaMint-GB_2015-01-27-commons.u7	Two thirds of people getting tax credits are in work, so why does the Chancellor want to cut tax credits again? That will penalise hard-working families.
ParlaMint-GB_2015-01-27-commons.u8	I suspect that, a couple of weeks ago, the hon. Gentleman walked through the Lobby in support of the charter for fiscal responsibility, which requires us to find £30 billion of savings, either in tax increases or in spending cuts. If he is not prepared to take action in that area, he has to tell his constituents where he is prepared to take action.
ParlaMint-GB_2015-01-27-commons.u9	I congratulate Her Majesty’s Treasury on its successful efforts to reduce the tax gap. Where are the main hiding places that people are using to try to avoid tax?
ParlaMint-GB_2015-01-27-commons.u10	My hon. Friend raises an important question to which I could give a lengthy reply. But what I will say is that, as a Government, we have taken action, for example, to improve the automatic exchange of information between various jurisdictions, so that there is nowhere for people to hide their money. The net is closing in on those who have evaded their taxes, and we are increasingly effective at dealing with tax avoidance as well.
ParlaMint-GB_2015-01-27-commons.u11	With economic growth now showing signs of slowing and wages stagnating, is the Minister not worried that the amount of income tax and national insurance that he said he would collect is failing to live up to expectations? Will he tell the House by how many billions of pounds income tax and national insurance receipts have fallen short because of low wages, compared with the original Office for Budget Responsibility forecasts back in 2010?
ParlaMint-GB_2015-01-27-commons.u12	We are aware that, since 2010, the economy has had to face challenges, which in 2010 were not anticipated by the OBR to occur in the way that they did. We have had to deal with the eurozone crisis, the high commodity prices at the time and the aftershocks of the financial crisis. The consequences have been significant, but if we want wages to rise we need to improve productivity. That is about improving our education system, and having more apprentices and a competitive tax system, and that is what this Government are delivering.
ParlaMint-GB_2015-01-27-commons.u13	The answer is that income tax and national insurance receipts are down by a staggering £95 billion over this Parliament. Is it any wonder that the Minister and the Chancellor have failed so woefully to eradicate the deficit, and when will he realise that it is the low-wage economy that is the recipe for more borrowing, more welfare spending and more debt?
ParlaMint-GB_2015-01-27-commons.u14	We discovered this morning that in 2014 the UK was the fastest growing major western economy. Employment is at a record level and unemployment has fallen dramatically, contrary to the Opposition’s predictions—but, yes, we have got further to go to reduce the deficit, which is why we need a Government who are prepared to make difficult decisions. All that we have heard from the hon. Gentleman is that he is going to put up fees on gun licences, which is not going to solve the deficit.
ParlaMint-GB_2015-01-27-commons.u15	Am I right in thinking that under the charter for fiscal responsibility, to which everyone recently signed up, we have made it clear that part of the savings that we are going to make involves bearing down on tax avoidance? Indeed, we have set out clearly exactly where we are going to save every penny of the £30 billion that needs to be saved. How is it possible for anyone to sign up to a charter for fiscal responsibility without making it clear where they are going to make those savings?
ParlaMint-GB_2015-01-27-commons.u16	My right hon. Friend is absolutely right; the Opposition have given no indication of the balance between tax and spending and how they are going to find that £30 billion. At a time when Labour Back Benchers are saying that Syriza shows the way while those on the Labour Front Bench apparently support a £30 billion fiscal tightening, all we get from the Opposition is chaos.
ParlaMint-GB_2015-01-27-commons.u17	2. What recent representations he has made to the EU on the cap on bank bonuses.
ParlaMint-GB_2015-01-27-commons.u18	The Government keep their opposition to the EU-wide cap on bonuses, but we withdrew our legal challenge in November 2014 after it became clear that it was not likely to succeed. We believe that the cap is flawed, and will just serve to put up fixed salaries, but instead of pursuing the legal challenge we are looking at other ways of building a system of pay in the banking system that only rewards excellence and clearly promotes responsibility.
ParlaMint-GB_2015-01-27-commons.u19	Can the Minister tell the House how much the Chancellor spent on legal fees alone in that failed legal challenge? Was that not a huge waste of money when the priority should have been to help those people most in need?
ParlaMint-GB_2015-01-27-commons.u20	No. The amount spent was £43,000. The Government believe fundamentally that we need to have the toughest regime in the world of any global financial centre on pay, and that is what we have. We have ensured that bankers will be remunerated in future on performance and that pay can be clawed back. We have put in place a system that is far better and far more accountable than anything that the previous Government attempted.
ParlaMint-GB_2015-01-27-commons.u21	In the light of all the hard work by the Government to ensure that bonuses are held back by banks to secure better behaviour by staff and greater stability for banks, is not the bonus cap a crude measure that will increase bank instability and bad behaviour by bankers?
