ParlaMint-GB_2015-01-29-commons.u1	1. What steps she has taken to improve the cleanliness of Britain's rivers and waterways.
ParlaMint-GB_2015-01-29-commons.u2	11. What steps she has taken to improve the cleanliness of Britain's rivers and waterways.
ParlaMint-GB_2015-01-29-commons.u3	We have made good progress and cleaned up more than 10,000 miles of our rivers. Pollution from sewage has gone down significantly. During this Parliament, phosphate pollution will fall by a fifth and ammonia by a sixth. This shows that a healthy environment goes hand in hand with a healthy economy.
ParlaMint-GB_2015-01-29-commons.u4	The River Cherwell and the Oxford canal will soon appear proudly on Cherwell district council’s new coat of arms as being two of the most valued and precious amenities in the district. Am I right in thinking that the total of rivers whose water quality has improved under this Government now exceeds the length of the Amazon and the Nile combined? What more can be done to ensure that our rivers and canals continue to become cleaner?
ParlaMint-GB_2015-01-29-commons.u5	My right hon. Friend mentions two fine rivers, and I have been on the River Cherwell, a very fine river. He is absolutely right. We have cleaned more than 10,000 miles of river and we will shortly put in place our new countryside stewardship scheme, which will enable farmers to get grants to improve water quality even further.
ParlaMint-GB_2015-01-29-commons.u6	The Thames is not only England’s longest river, but east of here and down to my constituency it is also the most populated. What steps are the Government taking to clean up the river, while balancing the needs of the users and flora and fauna?
ParlaMint-GB_2015-01-29-commons.u7	My hon. Friend is absolutely right about the River Thames. It is vital not only for London but for our whole country, and it is unacceptable that at present raw sewage is regularly pumped into the Thames. That is why we are taking action, through projects such as the Thames tideway tunnel, to reduce that vastly.
ParlaMint-GB_2015-01-29-commons.u8	2. What discussions she has had with the Secretary of State for Business, Innovation and Skills on promoting pork exports.
ParlaMint-GB_2015-01-29-commons.u9	I discussed this issue early this week with my right hon. Friend the Business Secretary. Since 2010, we have opened 600 new overseas markets and UK pork exports reached £309 million in 2013, up 26% from 2010. I am committed to boosting this even further and we made major progress on my recent visit to China.
ParlaMint-GB_2015-01-29-commons.u10	As my right hon. Friend rightly says, and as regular watchers of “Have I Got News for You” know, she has recently been to China. Lincolnshire has first-class pig farmers. Will she update the House on her discussions in China to open up that market to my pig farmers?
ParlaMint-GB_2015-01-29-commons.u11	It was fantastic to have representatives from major pork companies, such as Tulip, which has a plant in my hon. and learned Friend’s constituency, and from Cranswick, which sells great Norfolk pork, on my visit to China. We made progress on inward inspections—getting items such as trotters approved, which will open up more produce in this country—and we were also able to announce the appointment of our first ever food and agriculture counsellor, based in Beijing, Karen Morgan, which will help to drive further business. This is vitally important, because China will be the biggest importer of food by 2018.
ParlaMint-GB_2015-01-29-commons.u12	According to the Soil Association, which is based in Bristol, in the past four years Dutch farmers have reduced antibiotic use by 58%, which means that British pig farmers now use more than three times more antibiotics than their Dutch counterparts. Would it not make our exports more attractive to overseas markets if we were to follow the Dutch example and set a similar 50% target for reducing UK farm antibiotic use?
ParlaMint-GB_2015-01-29-commons.u13	I know that British farmers are working on that. This country has very competitive pork producers, who are expanding markets overseas, and it is vital for the health of our agriculture industry.
ParlaMint-GB_2015-01-29-commons.u14	I applaud the efforts of the Secretary of State to boost the sale of pigs trotters from Karro at the Malton bacon factory. Will she use her recent visit to China to expand dairy exports to help boost dairy production in this country?
