ParlaMint-GB_2015-02-05-lords.u1	To ask Her Majesty’s Government what recent assessment they have made of the Russian armed forces.
ParlaMint-GB_2015-02-05-lords.u2	My Lords, Russia has been modernising its armed forces since 2008. These are being used in a highly assertive manner in conjunction with wider political, economic, misinformation and intelligence activity to project Russian influence, especially towards, but not limited to, former Soviet states. This has been demonstrated by strategic aircraft sorties both in Europe and the Far East, the increasing number of large no-notice snap exercises close to NATO allies and Russia’s aggressive actions in Ukraine.
ParlaMint-GB_2015-02-05-lords.u3	My Lords, is it not the case that Russian rearmament has been so rapid and the response to it in the West has been so slow that there is now a real possibility of a new cold war, which Mr Putin just might believe he can win? In those circumstances, is it not essential that Her Majesty’s Government ring-fence the defence budget at at least 2% of GDP?
ParlaMint-GB_2015-02-05-lords.u4	My Lords, NATO’s credibility depends on unity and implementing quickly and efficiently decisions taken at the Wales summit—in particular, the readiness action plan that will include a new high-readiness force to enhance NATO responsiveness and effectiveness—and publicly acknowledging the commitment by allies to aim to meet NATO’s target of 2% of GDP spent on defence. We are working with allies to ensure that momentum is maintained ahead of the summit in Poland next year.
ParlaMint-GB_2015-02-05-lords.u5	My Lords, the Minister will be aware that Mr Putin has increased spending on his nuclear triad by 42%, even though the country is an economic basket case. It has built a new class of ballistic missile submarines; it has introduced a new type of submarine-launched ballistic missile; and it has a new class of attack submarines, which, worryingly, have now got a long-range Cruise missile with a nuclear tip, which probably breaks the INF. Does the Minister agree that what Mr Putin calls his strategy of de-escalation, because he sees a conventional imbalance, is actually a strategy of escalation? Does he also agree with Labour that it is imperative now that we maintain our continuous at-sea nuclear deterrent, the minimum force possible, and replace the ageing Vanguard-class submarines one for one?
ParlaMint-GB_2015-02-05-lords.u6	My Lords, I agree with the noble Lord. The 2015 Russian defence budget is stated to be the equivalent of $50 billion, which is around 4.5% of Russian GDP. As to the Russian military doctrine, which the noble Lord mentioned, the last one was published in December 2014 and more emphasis is placed on the perceived danger from NATO, asymmetric warfare, advanced weaponry and the use of information and subversion.
ParlaMint-GB_2015-02-05-lords.u7	My Lords, does my noble friend agree that the real tragedy is that in the 23 years since the collapse of the Soviet Union, Russia has almost wholly failed to restructure its economy? It now has the economy of a third world country, it is suffering from the effects of the fall in the price of oil, and it has at its head a regressive and reactionary leader who is quite unworthy of being in command of the armed forces and who has contracted out of the world’s search for peace, stability and prosperity.
ParlaMint-GB_2015-02-05-lords.u8	I agree with everything that my noble friend has said.
ParlaMint-GB_2015-02-05-lords.u9	My Lords, what was the Russian ambassador’s response to the Foreign Office when it called him in to complain about the transit of a Russian bomber aircraft along the Channel?
ParlaMint-GB_2015-02-05-lords.u10	My Lords, the Russian ambassador committed to giving a full explanation in writing of that long-range bomber activity.
ParlaMint-GB_2015-02-05-lords.u11	My Lords, is not the problem for Russia and the former Soviet Union that there is now growing instability? As the Minister said, this is clearly a matter for NATO and the UK, but it is also for the European Union to have some sort of strategy towards Mr Putin’s policy, which is in acute danger of causing either another cold war or something worse.
