ParlaMint-GB_2015-02-11-commons.u1	1. What recent representations he has received on religious organisations and charitable status.
ParlaMint-GB_2015-02-11-commons.u2	I have not received any representations recently from religious organisations on charitable status. More than 25,000 registered charities involve the promotion of religion. They play a hugely important role in our communities and support those in need. I pay tribute to their excellent work. They are often first in and last out of some of our toughest communities.
ParlaMint-GB_2015-02-11-commons.u3	The Minister may recall the campaign that some of us waged on behalf of the Plymouth Brethren to retain its charitable status. It must have been for love, because they refused to vote on principle. We eventually won that campaign, but there is a worry on the part of many religious groups that increasingly so-called British values will trump faith values. Can the Minister assure faith groups that in the context of toleration for others they will be allowed to have space to teach their own faith?
ParlaMint-GB_2015-02-11-commons.u4	My hon. Friend will know that the Charity Commission is independent of the Government and the Cabinet Office. It already respects the diversity of religious views, registering hundreds of new religious charities from a range of faiths every year, but it is fair to say that the Charity Commission did need to improve, as the National Audit Office said. It is now well on its way to doing that, but he can be assured that the Charity Commission has learned its lessons from the case he raises.
ParlaMint-GB_2015-02-11-commons.u5	This is not about the Plymouth Brethren, but about a tiny sect of the Plymouth Brethren known as the Hales Exclusive Brethren. It is practising cruelty, I believe, in many ways against its own people. This is a dangerous sect. Rightly, the Charity Commission withdrew its status. The sect then had a campaign, which spent £2 million, to convince the Charity Commission that it had changed, and it changed its deeds. It is quite clear that this is what it calls “spoiling the Egyptians”, a process to deceive the Charity Commission. It is not abiding by its new status.
ParlaMint-GB_2015-02-11-commons.u6	I thank the hon. Gentleman for that question, but the Charity Commission looked at this matter in detail and that religious group retained its status. Public benefit has always been a defining element of charitable status. That is what is unique about charities and what distinguishes them from private enterprises. We have no plans to change that.
ParlaMint-GB_2015-02-11-commons.u7	Does my hon. Friend accept that British values have been forged in large measure by this nation’s Christian heritage? It is very important that our Christian heritage should be put at the forefront of our concerns. Will he make sure that the Charity Commission understands that there is widespread concern that Christian values are being treated on a par with other faiths, and that Christian values must be pre-eminent? There is a particular threat in our schools, where Ofsted is not taking the right view.
ParlaMint-GB_2015-02-11-commons.u8	I completely understand what my hon. Friend says, but I have been assured that the Charity Commission has learned the lessons of the Brethren case. The commission is currently undergoing a major change programme to address the recommendations of the National Audit Office and become a more focused, robust and proactive regulator.
ParlaMint-GB_2015-02-11-commons.u9	The case exhibited a deal of interest among the media, but the Brethren people went out of their way to ensure they provide a public good, in particular in schooling in my part of Northern Ireland and across the United Kingdom. Will the Minister maintain the stance that that public good far outweighs any perceived evil on the other side?
ParlaMint-GB_2015-02-11-commons.u10	As I said, the key issue for the Brethren was to prove public benefit in what they were doing. That is the defining element of charity status, and the Charity Commission accepted that.
ParlaMint-GB_2015-02-11-commons.u11	2. What progress he has made on implementing his Department's transparency agenda.
ParlaMint-GB_2015-02-11-commons.u12	In January this year, the UK was ranked top of a list of 86 countries on the World Wide Web Foundation’s open data barometer for the second year running. In addition, last year the 2014 Global Open Data Index again ranked the UK No. 1 out of 97 countries. There are now 19,000 data sets published on data.gov.uk and our national information infrastructure sets the framework for how we manage hugely valuable open data.
ParlaMint-GB_2015-02-11-commons.u13	I have a local issue to which I would like the Minister to respond. In Hull, 1,000 people applied for the first 14 jobs that Siemens recently advertised. Until 2013, MPs got constituency-based figures on the number of jobseekers going after each job vacancy. I would like to know why this was stopped under his Government. I have never had a clear explanation, and I do not think it is aiding transparency in this country.
ParlaMint-GB_2015-02-11-commons.u14	That sounds like an issue for the Office for National Statistics, which, as the hon. Lady knows, is independent of Ministers, but I will ensure that this issue is looked at and that she gets a proper answer.
ParlaMint-GB_2015-02-11-commons.u15	Another aspect of the transparency agenda is showing how taxpayers’ money is being spent. Does the Minister agree that that is the best way to safeguard against the massive waste and wild spending we have seen in the past and to avoid ballooning deficits and flat-lining public sector productivity in the future?
ParlaMint-GB_2015-02-11-commons.u16	I am proud that the UK is now ranked as having the most transparent Government in the world. It undoubtedly has an effect in driving efficiency and savings. The ability to benchmark and compare spending in different parts of Government is a hugely powerful driver of efficiency and savings, and we intend to continue down that path.
ParlaMint-GB_2015-02-11-commons.u17	Can we perhaps have a bit more transparency with respect to ministerial interests? This week, we saw Ministers hobnobbing at the black and white ball, although I noticed that the Paymaster General was sadly excluded from the Cabinet auction, and we saw new analysis showing that in the past 12 months Tory Ministers have made 168 ministerial visits to marginal Tory-held constituencies. In the interests of transparency, will the Minister now provide a full list of all ministerial visits and the reasons the locations were chosen, and will he publish the ministerial list of interests?
ParlaMint-GB_2015-02-11-commons.u18	It sounds like the hon. Gentleman is getting a little concerned about the result of the upcoming election. The Government are disclosing more about what Ministers do than any Government have ever done before, and enormously more than the Government whom he supported before 2010.
ParlaMint-GB_2015-02-11-commons.u19	3. What his policy is on promoting the formation of public sector mutuals.
ParlaMint-GB_2015-02-11-commons.u20	The Government are committed to supporting the growth of public service mutuals, which deliver benefits to front-line staff, commissioners and service users. There are now more than 100 live mutuals delivering well over £1.5 billion of public services, and more than 35,000 staff have themselves taken the decision to join a mutual.
ParlaMint-GB_2015-02-11-commons.u21	I thank the Minister for his answer, but with the flagship mutual, Hinchingbrooke hospital, in special measures, will the Minister say whose idea it was to write to all the foundation and NHS trusts asking them to be pathfinder mutuals, and how many people have replied?
ParlaMint-GB_2015-02-11-commons.u22	Mr Speaker, the “failure of Circle at Hinchingbrooke hospital…where the company very nearly managed to remove an operating loss inherited from the public sector, was due to the failure of the NHS to deliver its side of the bargain”— not my words, but the words of Tom Levitt, the former Labour MP for High Peak. Yes, a lot of NHS trusts have applied for the Department of Health and Cabinet Office mutual pathfinder programme, and all of that is progressing very satisfactorily. There are huge benefits for patients in this movement. We should all be concerned with that, not with an outworn, outdated ideology.
ParlaMint-GB_2015-02-11-commons.u23	May I say how sad I was to hear that my right hon. Friend would be standing down at the next election? Singlehandedly, he has done more than anyone to reform the home civil service. What companies has he been in contact with to advise him on how public service mutuals might work better?
ParlaMint-GB_2015-02-11-commons.u24	I am grateful for my hon. Friend’s kind remarks. This will be the second time I have left the House of Commons—the first time was not entirely consensual—and I shall be sorry to leave, although I think I have one more outing this time before the House dissolves Many businesses in the private sector operate as mutuals—John Lewis prominent among them—and they have been generous in their support for this programme because they think that employee ownership and control also benefit service users, which should be our overriding concern.
ParlaMint-GB_2015-02-11-commons.u25	4. What assessment he has made of the effectiveness of the Government Digital Service.
ParlaMint-GB_2015-02-11-commons.u26	The Washington Post hailed the UK as “setting the gold standard of digital government”, and the Obama Administration have created a digital service modelled on our own. The Australian Government announced the same in January this year. The New Zealand Government have taken the source code from gov.uk and used it for their own online presence. Last October, we celebrated the 1 billionth visit to gov.uk.
ParlaMint-GB_2015-02-11-commons.u27	The Government Digital Service has been one of the unsung success stories of the Government, and it has been introduced smoothly and successfully. There have been none of the mess-ups that occurred on previous IT projects, which has meant that it has not had the public attention it deserves. What further services does the Minister foresee digitising to save taxpayers’ money and improve services for the public?
ParlaMint-GB_2015-02-11-commons.u28	We have already saved a great deal of money and improved services for citizens, and we are beginning to roll out much better technology in government, so that civil servants are helped by the technology they have rather than hindered by it. There is much more to do. We inherited some extremely expensive, cumbersome and unwieldy IT contracts, and for one of them the Department had to pay £30,000 to change one word on a website. That is not acceptable; it is no way to treat taxpayers’ money; and it is going to change.
ParlaMint-GB_2015-02-11-commons.u29	The Government Digital Service is a very talented group within the Cabinet Office and is internationally recognised, so it is unfortunate that the Minister has prevented the group from working with local government. On Monday, the Minister for Culture and the Digital Economy said that he agreed with me and Labour’s independent digital government review that this expertise should not be barred from working with local authorities. Will the Minister now concede that GDS should be allowed and encouraged to work more closely with councils, so that we have digital services that work for everyone—locally and nationally?
ParlaMint-GB_2015-02-11-commons.u30	The hon. Lady is completely right to flag up the huge scope for improvement in online services in local government. GDS’s focus has had to be on central Government, but in the document on efficiency and reform that we published at the time of the autumn statement, we flagged up that we expect this to be available across the wider public sector. The focus for the time being has to be on finishing the job in central Government, but helping to build an equivalent to support local government is a very high priority for us.
ParlaMint-GB_2015-02-11-commons.u31	5. What change there has been in the proportion of Government procurement made through small businesses and the voluntary sector since May 2010.
ParlaMint-GB_2015-02-11-commons.u32	The central Government’s direct spend with small businesses increased from 6.5% in 2009-10 to 10.5% in 2012-13, and small and medium-sized enterprises have benefited from a further 9.4% of indirect spend through the supply chain in that same year. I shall be publishing figures for 2013-14 shortly. We have moved a long way towards our ambition and aspiration that a quarter of Government procurement should be with SMEs.
ParlaMint-GB_2015-02-11-commons.u33	What steps have the Government taken to make public procurement simpler, especially for small and micro-businesses on the Isle of Wight?
ParlaMint-GB_2015-02-11-commons.u34	I am delighted that my hon. Friend has raised this point about supporting businesses in the Isle of Wight; he has been a huge and doughty champion of businesses in his constituency. We have made public procurement more transparent and accessible. We have published tenders and contracts through the contracts finder website—and we shall be launching a much-improved version of that very soon. We have simplified how procurement takes place to take away some of the bureaucracy that looked like it was designed to stop small businesses competing for, and winning, business. There is much more we can and will do.
ParlaMint-GB_2015-02-11-commons.u35	12. Reading through the UK Statistics Authority booklet, I am struck by the number of times that the Government have been rebuked for giving false information in their statements. The Prime Minister is twice rebuked for giving the wrong facts about the debt, saying that it is falling when it has in fact been rising. Could the Cabinet Office get together with the UK Statistics Authority and agree to deal with facts, rather than fiction, in Government statements for the next three months?
ParlaMint-GB_2015-02-11-commons.u36	Order. The question is about Government procurement, small businesses and the voluntary sector.
ParlaMint-GB_2015-02-11-commons.u37	I am sure that the hon. Gentleman made a very interesting point, but I am finding it hard to relate it to the question under consideration.
ParlaMint-GB_2015-02-11-commons.u38	6. What system is used for identifying potential candidates for public appointments.
