ParlaMint-GB_2015-02-12-commons.u1	Object Bill to be considered on Thursday 26 February.
ParlaMint-GB_2015-02-12-commons.u2	1. What assistance his Department provides to small farm companies in supply chains.
ParlaMint-GB_2015-02-12-commons.u3	The House legislated to strengthen protection for small farmers and small businesses supplying supermarkets by establishing the Groceries Code Adjudicator. I recently secured Government agreement to enable the GCA to impose fines of up to 1% of turnover on supermarkets found guilty of mistreating suppliers. I was also pleased that the GCA last week launched a formal investigation into alleged breaches by Tesco of the groceries code, and I urge those with evidence to come forward.
ParlaMint-GB_2015-02-12-commons.u4	I think the Secretary of State and I are at one on this, but he will know of the plight of the many small dairy farmers driven out of business by the abuse of market position by supermarkets and big buyers, and of its impact not just on the face of our countryside, but through the importation of milk that is probably produced to much lower farm welfare standards than our own. Will he therefore consider strengthening the powers of the GCA so that if market position is abused, farmers and others are not penalised by the strength of supermarkets?
ParlaMint-GB_2015-02-12-commons.u5	I am aware of the Select Committee report that suggested something very similar. Its main recommendation was that we introduce the power of fines, which we have now done, but there will be a review of the GCA within a year of the legislation, and no doubt in the next Parliament those powers can be taken.
ParlaMint-GB_2015-02-12-commons.u6	I am grateful to my right hon. Friend for referring to the Select Committee report. Unfortunately, one year might be too late for the many dairy farmers going out of business. Will he undertake an immediate and urgent review into extending the remit of the GCA to indirect supply chains, such as those in the dairy industry, as well as direct supply chains with supermarkets?
ParlaMint-GB_2015-02-12-commons.u7	The hon. Lady rightly touches on the key outstanding issue, and I certainly believe it would be appropriate to consider the indirect supply chains. I am happy to talk to my colleague the Secretary of State for Environment, Food and Rural Affairs about that particular issue, but I think she will find that there is a legislative obstacle.
ParlaMint-GB_2015-02-12-commons.u8	Will my right hon. Friend look at the successful local sourcing policies promoted by the East of England Co-operative Society, with the support of Forward East, which are enabling small food and drink manufacturers to get their products into local stores? He and others might wish to know that on Tuesday 24 February, in the Inter-Parliamentary Union room at lunchtime, they will be able to witness that for themselves.
ParlaMint-GB_2015-02-12-commons.u9	It is always the case that genuinely voluntary efforts to promote local sourcing produce substantial benefits and that legislation is necessarily a blunt instrument. The method my hon. Friend describes is better where it can be applied.
ParlaMint-GB_2015-02-12-commons.u10	2. What discussions he has had with ministerial colleagues in the Department for Education and Department for Culture, Media and Sport and with the devolved Administrations on ensuring that their policies meet the skills needs of the technology and video games sectors.
ParlaMint-GB_2015-02-12-commons.u11	As a joint Minister at the Department for Business, Innovation and Skills and the Department for Culture, Media and Sport, I often have conversations with myself about this important issue, and on the odd occasion they get dull, I involve the Minister for Skills and Equalities and the Department for Education. I am pleased to tell the hon. Gentleman that we have introduced a new school computing curriculum, are establishing a new national college for digital skills and are co-funding with employers innovative degree apprenticeships.
ParlaMint-GB_2015-02-12-commons.u12	I try not to speak to myself about this subject, but the Minister will be aware that I have raised on numerous occasions the importance of computer and video games to the Dundee, Scotland and UK economy. I am sure he agrees that there is a skills shortage—not enough graduates are going into the computer games industry. What is he doing with other Departments to address this situation?
ParlaMint-GB_2015-02-12-commons.u13	The hon. Gentleman is a doughty champion for the video games industry, which is hugely successful in his constituency and throughout the country, and the video games tax relief will also help the industry grow. However, he is quite right to point to the need to focus on skills. The games industry was instrumental in persuading the Government to have computer coding taught in schools, and, because we have a sense of urgency about this, we have introduced new degree apprenticeships so that people at university can work closely with employers on the latest technology.
ParlaMint-GB_2015-02-12-commons.u14	3. What steps he is taking to increase the number of engineers.
ParlaMint-GB_2015-02-12-commons.u15	We are investing in engineering skills at every level in higher education through apprenticeships and in further education, but perhaps the most important initiative is the university technical college initiative. We have opened 30 university technical colleges and a further 27 are in the pre-opening phase.
