ParlaMint-GB_2015-03-05-commons.u1	1. What recent progress has been made by the Airports Commission.
ParlaMint-GB_2015-03-05-commons.u2	The Airports Commission recently completed a consultation on 3 February on its assessment of proposals for additional runway capacity. The commission is continuing to undertake further analyses on the shortlist of runway options before publishing its final report in the summer of 2015.
ParlaMint-GB_2015-03-05-commons.u3	May I congratulate the Government on their policy on no third runway at Heathrow? Does the Secretary of State agree that the aviation industry would be best served by a solution that encourages competition; can be delivered sooner, cheaper and easier; takes into account the impact on local residents; and does not require billions of pounds of taxpayers’ money?
ParlaMint-GB_2015-03-05-commons.u4	My hon. Friend has been very consistent in her opposition to any third or fourth runway at Heathrow, and I know she supports the expansion of other airports. I look forward to receiving the commission’s recommendations and report this summer and to my hon. Friend’s comments on it.
ParlaMint-GB_2015-03-05-commons.u5	Have we not just wasted another five years? The coalition has delayed building new runway capacity for the south-east because the Liberal Democrats are in denial about aviation being a very important economic instrument. I think the Conservative party now gets it. Why have we had to wait another five years?
ParlaMint-GB_2015-03-05-commons.u6	I will not take any lessons from a party that wasted 13 years in not doing anything about extra capacity. It is a bit rich of the hon. Gentleman to accuse the Government of not taking action. The truth is that all the options that are being discussed by the commission are very different from the proposals considered by the previous Government.
ParlaMint-GB_2015-03-05-commons.u7	Has the Secretary of State asked the Airports Commission to examine the cumulative impact of any runway extension at Heathrow and how it would affect the local area if it coincided with other projects, such as the construction of HS2, the Amersham waste transfer station and the development of Newland park? What assessment has been made of the impact on the local area?
ParlaMint-GB_2015-03-05-commons.u8	The commission is doing a comprehensive piece of work looking at all the options relating to aviation capacity in the south-east and the associated infrastructure projects that any project it suggests will affect, so I am sure it will have considered the points made by my right hon. Friend.
ParlaMint-GB_2015-03-05-commons.u9	Notwithstanding whichever decision the Davies commission comes to, does my right hon. Friend agree that connectivity to Heathrow is now being sorted pretty efficiently through Old Oak Common and that there is no further need for the Heathrow spur should HS2 go ahead?
ParlaMint-GB_2015-03-05-commons.u10	This may be the last time I am able to address my right hon. Friend in this Chamber. It has been a great pleasure to work with him over many years. He has made a huge contribution, not only to the House of Commons and the Conservative party, but in standing up for his constituents in Uxbridge I agree with my right hon. Friend that these matters need to be addressed very carefully. Of course, at the moment the whole question of HS2 is being studied by a Committee. I am not going to trespass on the valuable and important work it is doing, but my right hon. Friend makes some valid points. The importance that Old Oak Common will have to the infrastructure of this country is vast indeed, and I hope to be able to say a bit more about that shortly.
ParlaMint-GB_2015-03-05-commons.u11	2. What recent discussions he has had with train operating companies on increasing the use of rural railway stations; and if he will make a statement.
ParlaMint-GB_2015-03-05-commons.u12	Officials regularly meet train operating companies where usage is a key discussion point. We are working hard with the industry to increase rural station usage. We recognise the important social role of stations in building communities, and have therefore introduced a new policy requirement to develop social and community development plans in new franchises.
ParlaMint-GB_2015-03-05-commons.u13	I thank the Secretary of State for that response. Does he agree that one way we can get cars off the road and reduce congestion on our motorways and, indeed, on smaller roads is to develop rural train stations? We have one at Ashchurch for Tewkesbury, which is a very good station, but it is underused at the moment. Can we try to make such stations better used by train operating companies?
ParlaMint-GB_2015-03-05-commons.u14	The answer to my hon. Friend’s question is yes. Ashchurch for Tewkesbury station has the potential for more use. I would welcome that, as I am sure my hon. Friend would too. For new franchises we ask operators to look at such questions in great detail. I acknowledge his comments, and no doubt Gloucestershire county council will make such points in due course.
ParlaMint-GB_2015-03-05-commons.u15	As a result of the landslip on the Chiltern line, kiosks and shops at rural railway stations have suffered a drop of at least 50% in their revenue. Will the Secretary of State urge Network Rail to look at mitigation, such as reducing rents, during the period of disruption?
ParlaMint-GB_2015-03-05-commons.u16	My right hon. Friend makes a very good point. I hope that there will be an announcement soon about the full reopening of the line. If that has not already been announced, I think it will be announced shortly. I will discuss her very good point directly with the chief executive of Network Rail. People with businesses who are renting from Network Rail have been directly affected by that landslip.
ParlaMint-GB_2015-03-05-commons.u17	One issue with encouraging the use of Ambergate station in my constituency is the strange fare system. Even though a fare to the next station is relatively cheap, the cost of a fare to Birmingham from both stations can be very different. Is there any way that the Secretary of State can fix the fare system to get rid of its anomalies?
ParlaMint-GB_2015-03-05-commons.u18	I know Ambergate station very well, as the line goes up to Matlock and down to Derby. There are indeed anomalies in ticket purchasing on that line, and I am only too well aware of such frustrations. My hon. Friend makes a valid point, which I certainly want to look at. There are huge opportunities in ticketing, including with the development of smart technology.
ParlaMint-GB_2015-03-05-commons.u19	3. What plans he has to review vehicular access rights to bus lanes.
ParlaMint-GB_2015-03-05-commons.u20	Decisions on the use of bus lanes, including any exemptions or exceptions, are for local authorities.
ParlaMint-GB_2015-03-05-commons.u21	I am sure that the Minister will be aware that a number of local authorities still do not allow ambulances to drive in bus lanes unless they are responding to an emergency. Does he agree that if an empty taxi returning to a taxi rank can drive in a bus lane, an ambulance returning to a hospital should be able to do so?
ParlaMint-GB_2015-03-05-commons.u22	My hon. Friend is absolutely right. Although an ambulance can use a bus lane when responding to an emergency, it is otherwise up to a local authority to use its discretion on that matter. Indeed, local authorities such as Labour-controlled Manchester and Sheffield do not allow ambulances in bus lanes. I have written to every local authority in the country to make that point and ask them to bear it in mind when they make their local decisions.
ParlaMint-GB_2015-03-05-commons.u23	The Minister has talked in detail about privatising buses and bus lanes, but the process needs more than warm words from the Government; it means bus lanes with strong local management and control of funding. Why will the Government not sign up to our franchising proposals to allow communities and councils to plan a network that includes the bus lanes they need? Why, instead of real localism, have this Government presided over a failed record, with bus fares up 25% and 2,000 routes cut, and a broken bus market, which lets users down, but which Labour will fix in government?
ParlaMint-GB_2015-03-05-commons.u24	The Government have a very good record on buses. Bus companies, including the one in my constituency, have very full order books, because they are investing as never before in new buses on routes such the one north of Whitby in my constituency. We have a very good record to protect.
ParlaMint-GB_2015-03-05-commons.u25	4. When he expects to publish the invitation to tender for the Greater Anglia rail franchise.
ParlaMint-GB_2015-03-05-commons.u26	The procurement competition has been live since the issue of the procurement documentation on 19 February, and applications are due on 15 April. An invitation to tender will be issued in August, with tender returns due in December 2015. Any delays in the process will result in a delay to the provision of any new rolling stock or services on the line.
ParlaMint-GB_2015-03-05-commons.u27	Is my right hon. Friend aware that a great many of my constituents expect that the successful bidder will be required, or at least incentivised, to bring in new rolling stock on the Great Eastern and West Anglia lines to replace the type 317 and 321 trains, which by now are old, uncomfortable, unreliable and inefficient?
ParlaMint-GB_2015-03-05-commons.u28	We expect to ask bidders to provide a rolling stock strategy that meets the needs of all passengers in East Anglia, while providing a cost-effective solution. They will be in no doubt of the desire of all passengers using that route for substantially new rolling stock, and the rolling stock that my right hon. Friend rightly describes should be taken out of service in due course.
ParlaMint-GB_2015-03-05-commons.u29	May I stress to my right hon. Friend that if there is no new rolling stock with the award of the franchise, there will be considerable disappointment among commuters and other users, and it will totally undermine all Network Rail’s improvements to the infrastructure? Current rolling stock on the commuter lines is so outdated that it has problems with acceleration and braking.
