ParlaMint-GB_2015-03-12-commons.u1	1. What steps she is taking to assist dairy farmers.
ParlaMint-GB_2015-03-12-commons.u2	The dairy industry is a vital part of food and farming and of our national life. With farmers struggling with low prices, we are doing all we can to help with cash flow. We are working with Her Majesty’s Revenue and Customs to help farmers delay their tax payments; we are urging banks to treat dairy farmers sympathetically; and we have prioritised dairy farmers for payments from the Rural Payments Agency.
ParlaMint-GB_2015-03-12-commons.u3	I am grateful for that answer. My right hon. Friend will know that Shropshire has some of the most productive and best dairy farms in the whole country, and I very much hope to invite her to visit Shropshire after the election, when she will continue to be a great Secretary of State. Will she explain what additional help she is giving to dairy farmers to ensure that more milk is used in our schools and hospitals, and exported?
ParlaMint-GB_2015-03-12-commons.u4	I completely agree with my hon. Friend about how productive dairy farmers in Shropshire are. We want to see more dairy products sold here in Britain and overseas. That is why we launched the Bonfield plan, which will open up £400 million-worth of business across the public sector. I strongly encourage schools, hospitals and caterers to use the balanced scorecard, so that they can buy from great producers in Shropshire.
ParlaMint-GB_2015-03-12-commons.u5	May I applaud the work the Secretary of State and her Department have done on exporting dairy and other products? What urgent action can she take to rebalance the relationship in the supply chain between the very small dairy producer and the often very large processor in this business?
ParlaMint-GB_2015-03-12-commons.u6	I thank my hon. Friend for her question. Since 2009, we have seen a 50% increase in dairy exports. There is still more to do, however, which is why we have appointed our first ever agriculture and food counsellor at the Beijing embassy—China will be the world’s largest importer of food and drink by 2018. There is, of course, more work to do, and we have given the Groceries Code Adjudicator further powers, including the power to impose fines of 1% of turnover.
ParlaMint-GB_2015-03-12-commons.u7	A key plank of the Government’s assistance to dairy farmers is the LEADER programme. After the Department for Environment, Food and Rural Affairs failed to answer pleas for advice on the Isle of Wight’s application, will my right hon. Friend agree to an urgent meeting, so we can discuss this matter with Ministers?
ParlaMint-GB_2015-03-12-commons.u8	I thank my hon. Friend for his question, and he is right about the vital support the LEADER programme brings. DEFRA Ministers are already looking at this issue, and I would be delighted to discuss it with him.
ParlaMint-GB_2015-03-12-commons.u9	With milk at 20p a litre, farmers across Wiltshire are suffering most dreadfully, and many of them are going out of business, but they accept that it is a question of worldwide supply. They ask me questions, however, about whether the Irish quota is larger than it need be, and about whether milk products, particularly cheese, are being re-imported from Ireland—possibly illegally across a porous border—and depressing British prices.
ParlaMint-GB_2015-03-12-commons.u10	Currently, 50% of the dairy products consumed in Britain are imported. I want to see more British products produced and sold in this country. That is why I am pushing the European Commission for compulsory country of origin labelling to make sure that British consumers can go into supermarkets and find out which products are from Britain.
ParlaMint-GB_2015-03-12-commons.u11	2. What assessment she has made of the potential effect of a discard ban on the inshore fishing fleet.
ParlaMint-GB_2015-03-12-commons.u12	We recently launched a consultation on the implementation of the discard ban, which will help us to make that assessment. The consultation is being used to identify how to phase in the ban, how to allocate increases in quotas, where to introduce exemptions and how to manage the under-10 metre quota pool. The discard ban can provide significant benefits for all sectors of the fleet.
ParlaMint-GB_2015-03-12-commons.u13	Trawlermen in Folkestone, Hythe and Dungeness have raised with me their concerns about the lack of quota for the inshore fishing fleet and the potentially devastating impact of the discard ban. Will the Minister urgently consider making more quota available for the inshore fishing fleet and granting an exemption from the discard ban?
ParlaMint-GB_2015-03-12-commons.u14	While the common fisheries policy does not allow the exemption of a whole fleet, there are other exemptions—for instance, exemptions for species that survive after being discarded, and if handling discards is disproportionately costly. On quota, we are in the process of permanently realigning some of it from producer organisations to the inshore fleet. In addition, as part of this consultation, we are considering giving the inshore fleet a greater share of the quota uplift that forms part of the CFP.
ParlaMint-GB_2015-03-12-commons.u15	Given the collapse of our bass stocks, and the fact that the latest figures show a worrying 30% increase in the number of commercial landings of bass, will the Minister please finally take meaningful action to save our bass? Will he, for instance, provide for an immediate increase in the minimum landing size, which is something that I signed off 10 years ago when I was the fisheries Minister?
ParlaMint-GB_2015-03-12-commons.u16	I know that the right hon. Gentleman has been pursuing this issue. As he will know, at the December Council we argued strongly for measures to be taken on bass. We pressed the European Commission to take emergency measures to ban pair trawling, which was done in the new year. We are currently discussing with other member states and the Commission the possibility of a bag limit for anglers, and also catch limits for the remainder of the commercial fleet. I can also tell the right hon. Gentleman that we are considering raising the minimum landing size nationally.
ParlaMint-GB_2015-03-12-commons.u17	May I urge my hon. Friend to review the application of the rules relating to the ban on the return of fish that might survive, particularly hand-lined mackerel? I have some experience of this, and I know that the vast majority survive. It is absurd for fishermen to be told that they cannot return those fish.
ParlaMint-GB_2015-03-12-commons.u18	Mackerel were included in the pelagic discard ban that was considered last year, but we are giving serious consideration to the survivability rates of white fish, particularly flatfish such as sole and plaice. I shall be happy to look into the specific issue of mackerel hand-lining in Cornwall, and to keep it under constant review. We did manage to secure an exemption for the Cornish sardine industry, which was a big success.
ParlaMint-GB_2015-03-12-commons.u19	There is still a huge amount of uncertainty about how the ban can be made workable in the context of mixed fisheries in the North sea. What are Ministers doing to ensure that so-called choke species do not end up choking off the livelihoods of not just the fishermen in the white fish fleet, but the onshore processors?
