ParlaMint-GB_2015-03-19-commons.u1	1. What steps he is taking to help households improve their energy efficiency
ParlaMint-GB_2015-03-19-commons.u2	11. What steps he is taking to help households improve their energy efficiency
ParlaMint-GB_2015-03-19-commons.u3	Making households more energy efficient is the surest and safest way to reduce energy bills. Thanks to the energy companies obligation and green deal schemes, more than 1 million homes have been made more energy efficient, helping households stay permanently warmer for less. In Luton North, more than 2,726 households have been helped by ECO alone, which is nearly the twice the national average in respect of households.
ParlaMint-GB_2015-03-19-commons.u4	The truth is that millions of low-income families are still living in poorly insulated and cold homes, and paying very high fuel bills. Cuts to the energy companies obligation have meant that nearly half a million fewer households will receive vital upgrades to make their homes warmer and cheaper to heat, and, in any case, half of that budget goes to households that are not in poverty. Have this Government’s policies not been a failure, leaving millions of families too cold in their homes, struggling to pay heating bills and in need of a Labour Government to make their lives better?
ParlaMint-GB_2015-03-19-commons.u5	I do not share the hon. Gentleman’s interpretation. Fuel poverty under this Government has gone down. The changes to the ECO specifically took £50 off the bill, but reserved the amount that was to help the vulnerable and those on low incomes. So we have continued to focus on low-income and vulnerable people, to ensure that they are the first households to be made warmer for less.
ParlaMint-GB_2015-03-19-commons.u6	With one in 10 green deal companies being struck off, what assurances can the Minister give constituents of mine, and people across the country, who might suffer as a result of lower standards and shoddy workmanship?
ParlaMint-GB_2015-03-19-commons.u7	I thank the hon. Gentleman for giving me the opportunity to address this matter. The fact is we have very tough consumer protection in this area. One in 10 have been struck off, but that is not necessarily to do with any criminal behaviour; it is to do with their not engaging properly with the certification process. It is because we have a tough certification process, which is in line with other organisations’ arrangements, that some have been struck off in order to protect the consumer better.
ParlaMint-GB_2015-03-19-commons.u8	Many household electrical appliances use up far too much electricity. What progress has been made over the past five years on persuading manufacturers of these products to make them far more energy-efficient?
ParlaMint-GB_2015-03-19-commons.u9	I share my hon. Friend’s views on this issue. Some products do use far less electricity than others, and of course saving energy is the best way to save on people’s household bills. I am happy to say that the EU product regulations have been helpful in implementing this and we will continue to be able to do that.
ParlaMint-GB_2015-03-19-commons.u10	The Minister will know that rural homes are often some of the worst in terms of energy efficiency. The renewable heat obligation should help with that. Unfortunately, I have encountered constituents who have installed a wood-burning boiler and been granted the renewable heat incentive payments, only to have them removed later on the spurious grounds that the boiler may be able to burn logs as well as pellets. Is that not illogical?
ParlaMint-GB_2015-03-19-commons.u11	The scheme has been successful and we will continue to support it. On his specific question, may I suggest that he writes to me about the particular example and I will certainly look into the matter?
ParlaMint-GB_2015-03-19-commons.u12	2. What recent assessment he has made of trends in levels of investment in low-carbon energy sources.
ParlaMint-GB_2015-03-19-commons.u13	4. What recent assessment he has made of trends in levels of investment in low-carbon energy sources.
ParlaMint-GB_2015-03-19-commons.u14	6. What recent assessment he has made of trends in levels of investment in low-carbon energy sources.
ParlaMint-GB_2015-03-19-commons.u15	13. What recent assessment he has made of trends in levels of investment in low-carbon energy sources.
ParlaMint-GB_2015-03-19-commons.u16	On 24 March, we will be publishing a detailed report on the progress this coalition is making on investment in low-carbon energy, but let me now share two findings from that report ahead of next week’s publication. First, for the second year running the UK has invested more in clean energy than any other country in Europe, Secondly, Bloomberg new energy finance data show that last year was the UK’s best ever year for new-build renewable energy finance, placing the UK in the global top five. I promise, Mr Speaker, to give each Member in turn a new statistic showing how the UK is doing so well on low-carbon energy investment.
ParlaMint-GB_2015-03-19-commons.u17	More than 50 companies called on the Secretary of State to implement a 2030 decarbonisation target. They warned that the absence of a specific carbon-intensity target was undermining investment. Does he regret not joining the 16 Members from his own party who rebelled against the Government and voted for this target?
ParlaMint-GB_2015-03-19-commons.u18	The hon. Gentleman knows that my party and I are in favour of this target, which is why we legislated in the Energy Act 2013 to put one in and it will be in our manifesto. But he is wrong if he thinks this target is some sort of panacea for low-carbon energy investment. We were told by the Labour party that if we did not do this, we would not see the supply chain growing. But here is a statistic for him: the supply chain in the UK for low-carbon energy investment is booming. We have had the massive investment from Siemens and Associated British Ports in Hull, transforming that city, and we have seen what MHI Vestas has been doing in the Isle of Wight. Under this Government, low-carbon energy investment and the whole supply chain are booming.
ParlaMint-GB_2015-03-19-commons.u19	I am sure that the Minister will be pleased to know that Northumbrian Water has an advanced anaerobic digestion plant in my constituency that is not only producing green energy from the sewage treatment process but injecting it into the gas network. However, according to the Environmental Audit Committee, investment in clean energy is running at only half the rate needed if we are to meet our binding carbon emission commitments. Will the Minister explain why he is failing to generate the investment that we need?
ParlaMint-GB_2015-03-19-commons.u20	Let me give a statistic to the hon. Lady: the annual rate of renewable energy investment in this Parliament is more than double the rate that it was in the previous Parliament. From 2010 to 2014, low-carbon investment has amounted to more than £40 billion. That is a record of which we are very proud.
