ParlaMint-GB_2015-06-17-lords.u1	To ask Her Majesty’s Government what action they are taking to address the risk of climate change.
ParlaMint-GB_2015-06-17-lords.u2	My Lords, first, I pay tribute to the noble Baroness for her work on the ground-breaking Climate Change Act. We are determined to meet our commitments under this Act and cut emissions by 80% by 2050. I am pleased to affirm that commitment today, particularly given that it is a day of action for the Speak Up For The Love Of campaign. We are also working to secure an ambitious global deal in Paris this year that sends vital signals to communities, businesses, investors and people around the world that Governments are committed to a global low-carbon economy.
ParlaMint-GB_2015-06-17-lords.u3	My Lords, I thank the Minister for his comments. On 14 February, the leaders of the three main political parties, prompted by the For The Love Of campaign, which has also organised today’s mass lobby, made three clear pledges on climate change: to win an ambitious deal in Paris, to which the Minister referred; to work together to agree carbon budgets; and to phase out unabated coal in electricity. Much has changed since then, including which parties we might now consider to be the main three, but the need to tackle climate change remains. Can the Minister confirm that the Conservative Government remain committed to these three pledges, and can he provide details of what his department is doing to implement the other two that he has not mentioned?
ParlaMint-GB_2015-06-17-lords.u4	I thank the noble Baroness for that. As she will know, unabated coal is likely to represent just 1% of emissions by 2025. The Prime Minister and the Secretary of State, Amber Rudd, are very committed to the whole agenda, and we are certainly fully committed to those three goals.
ParlaMint-GB_2015-06-17-lords.u5	My Lords, what the noble Baroness, Lady Worthington, says is extremely important, and indeed her work is very important; nevertheless, does my noble friend accept that the present policies of working towards decarbonisation in Europe and in this country are not working very well? Some of our energy prices are almost the highest in the world—certainly in Europe. Furthermore, coal-burning in this country is at a very high level and is increasing in many European countries, which is the very opposite of what is supposed to be happening. Can my noble friend assure us that the policy will be adjusted to make more progress on this front? We seem to be going backwards rather than forwards, particularly in respect of coal.
ParlaMint-GB_2015-06-17-lords.u6	My noble friend makes a serious point in relation to Europe in general. With regard to the United Kingdom, we are on target for decarbonising and are decarbonising at the expected rate. It is true to say that obviously we need to keep a watch on external factors, but it remains the case that unabated coal is scheduled to represent 1% of electricity generation by 2025. That is the goal and we are very much on target for that.
ParlaMint-GB_2015-06-17-lords.u7	My Lords, it is the case that the Conservative manifesto said that the Government would simply continue adhering to the Climate Change Act. However, does the Minister agree that that should now be the starting point, not the destination, and that we will need to go further—to meet a binding target to decarbonise Britain by 2050? Would he also agree that a practical step to assist in that would be to greatly expand the remit and breadth of the Green Investment Bank, a really pioneering development of the previous Administration based in Edinburgh?
ParlaMint-GB_2015-06-17-lords.u8	The noble Lord is right in that we do need ambition in this regard. We are encouraging more ambitious targets through Europe. Of course we are working with Europe on a reduction of at least 40% by 2030 based on a 1990 baseline—that remains the case. But, yes, we do need to take account of the fact that there is a massive challenge to keep inside the 2 degrees increase in temperatures over the period that we are looking at.
ParlaMint-GB_2015-06-17-lords.u9	What steps are the Government taking to sustain and enhance our competence in nuclear engineering, as indeed they have been encouraged to do in several recent reports?
ParlaMint-GB_2015-06-17-lords.u10	The noble Viscount will be aware that we are very much on target for bringing on Hinkley Point C by 2023. After that, there are other nuclear generators that should be brought on, such as Sizewell. The noble Viscount is right that it remains very much an important part of the mix. We are working with EDF, taking account of what is happening in France and Finland, for example, to make sure that we deliver something that is entirely safe and contributes to a vital part of our energy supply.
ParlaMint-GB_2015-06-17-lords.u11	My Lords—
