ID	Title	From	To	House	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GB_2015-06-22-commons.u1	Minutes of the House of Commons, Daily Session 2015-06-22	2015-06-22	2015-06-22	Lower house	56					Reference	Regular	MP	CON	Conservative	Opposition	Knight, Julian Carlton	M	-
ParlaMint-GB_2015-06-22-commons.u2	Minutes of the House of Commons, Daily Session 2015-06-22	2015-06-22	2015-06-22	Lower house	56					Reference	Regular	MP	CON	Conservative	Opposition	Tomlinson, Justin Paul	M	-
ParlaMint-GB_2015-06-22-commons.u3	Minutes of the House of Commons, Daily Session 2015-06-22	2015-06-22	2015-06-22	Lower house	56					Reference	Regular	MP	CON	Conservative	Opposition	Knight, Julian Carlton	M	-
ParlaMint-GB_2015-06-22-commons.u4	Minutes of the House of Commons, Daily Session 2015-06-22	2015-06-22	2015-06-22	Lower house	56					Reference	Regular	MP	CON	Conservative	Opposition	Tomlinson, Justin Paul	M	-
ParlaMint-GB_2015-06-22-commons.u5	Minutes of the House of Commons, Daily Session 2015-06-22	2015-06-22	2015-06-22	Lower house	56					Reference	Regular	MP	LAB	Labour	Opposition	Gwynne, Andrew John	M	-
ParlaMint-GB_2015-06-22-commons.u6	Minutes of the House of Commons, Daily Session 2015-06-22	2015-06-22	2015-06-22	Lower house	56					Reference	Regular	MP	CON	Conservative	Opposition	Tomlinson, Justin Paul	M	-
ParlaMint-GB_2015-06-22-commons.u7	Minutes of the House of Commons, Daily Session 2015-06-22	2015-06-22	2015-06-22	Lower house	56					Reference	Regular	MP	CON	Conservative	Opposition	Mills, Nigel John	M	-
ParlaMint-GB_2015-06-22-commons.u8	Minutes of the House of Commons, Daily Session 2015-06-22	2015-06-22	2015-06-22	Lower house	56					Reference	Regular	MP	CON	Conservative	Opposition	Tomlinson, Justin Paul	M	-
ParlaMint-GB_2015-06-22-commons.u9	Minutes of the House of Commons, Daily Session 2015-06-22	2015-06-22	2015-06-22	Lower house	56					Reference	Regular	MP	SNP	Scottish National Party	Opposition	Blackford, Ian	M	-
ParlaMint-GB_2015-06-22-commons.u10	Minutes of the House of Commons, Daily Session 2015-06-22	2015-06-22	2015-06-22	Lower house	56					Reference	Regular	MP	CON	Conservative	Opposition	Tomlinson, Justin Paul	M	-
ParlaMint-GB_2015-06-22-commons.u11	Minutes of the House of Commons, Daily Session 2015-06-22	2015-06-22	2015-06-22	Lower house	56					Reference	Chairperson	MP	CON	Conservative	Opposition	Bercow, John Simon	M	-
