ParlaMint-GB_2015-06-30-commons.u1	1. What steps he is taking to support small and medium-sized businesses to become more competitive.
ParlaMint-GB_2015-06-30-commons.u2	Our business growth service provides expertise to ambitious firms who want to grow and become more competitive, and over this Parliament we will make extensive cuts to red tape which will save businesses £10 billion.
ParlaMint-GB_2015-06-30-commons.u3	I thank the Secretary of State for his answer. Headromance is a Havant-based hair salon launched in 2012 by two young entrepreneurs. It now employs 10 stylists and five apprentices. Will my right hon. Friend update the House on the measures this Government have taken to support the growth of apprenticeships?
ParlaMint-GB_2015-06-30-commons.u4	I warmly welcome my hon. Friend to his place. I am not sure I would have much need of the services of Headromance—I am sure that applies to the shadow Business Secretary too—but that does not stop me warmly congratulating its owners on their success and in particular on backing apprentices. As my hon. Friend knows, during this Parliament we want to see apprenticeship starts rise to 3 million, and we have a number of measures in place to achieve just that.
ParlaMint-GB_2015-06-30-commons.u5	I draw attention to my entry in the register of interests. Many small and medium-sized freight businesses struggle with the cost of training drivers. Have the Government any plans to look at this afresh with a view to helping people train to become lorry drivers in the UK?
ParlaMint-GB_2015-06-30-commons.u6	As the hon. Gentleman will know, it is very important for the Government to listen to all industries about their skills and training needs, including for freight drivers. Of course, the option of apprenticeships is open to that industry, but we must look at other measures too.
ParlaMint-GB_2015-06-30-commons.u7	The business rates system is one of the major barriers to competitiveness for small and medium-sized enterprises. What plans do Ministers have to reform and alleviate some of that burden?
ParlaMint-GB_2015-06-30-commons.u8	My hon. Friend will know that the Chancellor announced a full review of business rates in the last Budget. It is important to note that although that will be a proper full review looking at what sensible changes can be made, it will stay fiscally neutral, so it will not be possible to satisfy everyone.
ParlaMint-GB_2015-06-30-commons.u9	Brighton and Hove is the most entrepreneurial city in the country but still lags behind the region for productivity. What is the Secretary of State doing to increase productivity among small businesses?
ParlaMint-GB_2015-06-30-commons.u10	There are a number of actions that Government can take, and some of them were taken by the coalition Government and are now bearing fruit, such as cutting taxes and the employment allowance. During the lifetime of this Parliament, there will be a big focus on productivity, and there will be further measures, including on deregulation.
ParlaMint-GB_2015-06-30-commons.u11	The last Labour Government had an appalling record on regulation, introducing something like six new regulations a day. What does my right hon. Friend think that did for the productivity of small and medium-sized companies in the UK?
ParlaMint-GB_2015-06-30-commons.u12	I welcome my hon. Friend to the House, and he is absolutely right: the last Labour Government had an appalling record on so many things, including regulation, and the more we can keep the red tape challenge going, and our policy of one in, two out, the more we will help businesses.
ParlaMint-GB_2015-06-30-commons.u13	In Northern Ireland 99.9% of small businesses are the core of the industrial base. They create some 347,000 jobs. What can the Secretary of State do to ensure that those jobs can be retained and more jobs can be created?
ParlaMint-GB_2015-06-30-commons.u14	The hon. Gentleman is right to point out the importance of small businesses, particularly in the context of Northern Ireland. He will know that many of the policies that impact on small businesses in Northern Ireland are devolved, but there are a number where we can make an impact through the UK Government. One is foreign investment, which has been going up in Northern Ireland, and we will continue to focus on that.
ParlaMint-GB_2015-06-30-commons.u15	2. What steps he is taking to simplify regulation for self-employed people.
ParlaMint-GB_2015-06-30-commons.u16	The enterprise Bill will help to save businesses £10 billion through further deregulation. We have committed to launching a review into tackling the specific disadvantages faced by the UK’s 4.5 million self-employed.
ParlaMint-GB_2015-06-30-commons.u17	I thank my right hon. Friend for that answer. As the self-employment ambassador, the issue of the IR35 constantly crops up when self-employed people write to me. Can we meet to see how we can simplify this?
ParlaMint-GB_2015-06-30-commons.u18	I thank my hon. Friend for the work he has done and continues to do as self-employment ambassador. I would be delighted to meet him to discuss how we can make the system fairer, quicker and simpler for the self-employed. He will know that tax policy, in particular, is an issue for the Treasury, and I will bring it to the attention of my hon. Friend the Financial Secretary.
ParlaMint-GB_2015-06-30-commons.u19	The number of self-employed people is growing, but they are often disadvantaged and face additional burdens when applying for a mortgage or to set up a pension scheme for themselves. What steps is the Minister taking to ensure that these barriers are not erected and do not attack the self-employed?
ParlaMint-GB_2015-06-30-commons.u20	The hon. Lady is right to point out that issue. She may know, as I am sure she read it carefully, that the Conservative party had a very pro-business manifesto. We have rightly committed ourselves to having a review of the challenges faced by self-employed people and their businesses, and that would include looking at the issue she raises: access to mortgages.
ParlaMint-GB_2015-06-30-commons.u21	The self-employed in Kettering and across the country are the unsung heroes of the economic recovery, yet their terms and conditions, with no sick pay, no holiday pay and inadequate pension provision, are akin to those on zero-hours contracts. What will the Secretary of State do in this Parliament to ensure that the rewards for the self-employed, with their enterprise and endeavour, are properly recognised?
ParlaMint-GB_2015-06-30-commons.u22	My hon. Friend, as usual, is spot on. He should know that this review will look at precisely those issues. A number of challenges are faced by the self-employed and it is about time the Government took a careful look at them. That is exactly what we will be doing.
ParlaMint-GB_2015-06-30-commons.u23	The Government’s universal credit plans are set to burden 600,000 self-employed people with additional red tape requiring them to provide a new set of monthly accounts. Given that the Secretary of State is responsible for cutting red tape, what is he doing about that? What is he doing to put self-employed people first?
