ParlaMint-GB_2015-09-14-commons.u1	1. What support his Department is providing to areas seeking a devolution deal.
ParlaMint-GB_2015-09-14-commons.u2	May I wish Shanah Tovah to all Members, and to those in the wider community, who are celebrating the Jewish new year? May I also say how relieved I am to see that an Opposition Front Bench team willing to serve has turned up today This one-nation Government are determined to devolve power to every part of the country—town and country. In response to our invitation, 38 areas have submitted proposals for devolved powers and budgets. We will work with every area over the coming months to negotiate transformational devolution deals.
ParlaMint-GB_2015-09-14-commons.u3	I thank the Secretary of State for his answer on this most auspicious day North Devon District Council and other local authorities in Devon and Somerset have submitted an expression of interest to the Government for combined authority status—a move that I welcome. Will the Secretary of State join me in welcoming it? Does he agree that granting greater regional powers is in the spirit of greater devolution for people in the south-west?
ParlaMint-GB_2015-09-14-commons.u4	I do welcome it. I read the proposals from councils and businesses in Devon and Somerset. One of the benefits of devolved funding would be that infrastructure decisions were increasingly made locally. I know that the north Devon link road is close to my hon. Friend’s heart. In fact, I heard him talk about it on Radio Devon, and so confident is he that this investment will be made that he has invited Her Majesty the Queen to come and open it next year. That is the kind of positive thinking we need.
ParlaMint-GB_2015-09-14-commons.u5	On the devolution deal, does the Secretary of State take a view on what these new authorities should call themselves? “Combined west midlands authority” is rather a mouthful, and I would much rather have “Greater Birmingham”.
ParlaMint-GB_2015-09-14-commons.u6	I think the nuance with which the hon. Lady asked her question answers it for her. It is better for local people to make these decisions rather than for a Secretary of State to determine them. It is very good that the authorities across the west midlands are coming together and working so well.
ParlaMint-GB_2015-09-14-commons.u7	The great county of Hampshire has submitted a compelling bid for devolution. Does the Secretary of State agree that further devolution could be pivotal in unlocking further economic potential in the southern powerhouse as well as the northern powerhouse?
ParlaMint-GB_2015-09-14-commons.u8	I do agree. “Powerhouse” is an apt description, because the economy of the south and the part of Hampshire that my right hon. Friend represents is really firing on all cylinders. I remember launching the growth deal there, where the new centre for 5G technology is up and running, creating many thousands of jobs.
ParlaMint-GB_2015-09-14-commons.u9	When the Minister brags about devolution proposals for local government, why does he not do the decent thing and say to local government that the coalition Government and this one have taken up to 40% off local authorities? Pay that money back, and then you can start work.
ParlaMint-GB_2015-09-14-commons.u10	During the recess I had a very cordial and constructive meeting with the leader of the hon. Gentleman’s local authority in Derbyshire, and the one accord that we had is that the progress that the coalition Government made in transferring powers from London and Westminster to the regions has been one of the contributory factors to the revival of the regions.
ParlaMint-GB_2015-09-14-commons.u11	Does my right hon. Friend agree that the recent announcement of the historic devolution deal for Cornwall is a clear demonstration of this Government’s commitment not only to the devolution agenda but to a one nation approach to our economy?
ParlaMint-GB_2015-09-14-commons.u12	It certainly is. I pay tribute to my hon. Friend and to his colleagues in Cornwall who were absolutely instrumental in securing that deal. I was delighted to travel down there with the Prime Minister to celebrate it, and indeed to do so over a pint of Tribute with him that very evening.
ParlaMint-GB_2015-09-14-commons.u13	The right hon. Gentleman mentioned Opposition Front Benchers. Let me say this: we are ready, willing and able to take the fight to Ministers and eventually to drive them out of office The country is far too centralised, and there is clearly, because politics is not working, a political imperative on all of us to seek proper devolution. Devolution tied to spending cuts simply does not work It is great that the Government heeded, belatedly, the call to allow some more refugees into our country—we welcome that. Local government and devolved local government came up to the mark straight away, with over 60 councils immediately coming forward. What discussions has the Secretary of State had with local councils about how to deal with this incredibly important matter? Will the Government now hold the national summit that we have been calling for?
ParlaMint-GB_2015-09-14-commons.u14	I welcome the shadow Secretary of State to his post. Members will recall that he was once Parliamentary Private Secretary to Peter Mandelson, and Tony Blair once said that his project would not be complete until Labour learned to love Peter Mandelson. I wonder whether the hon. Gentleman will update us on how that is progressing I welcome the hon. Gentleman’s support for devolution. I have found it possible to work on the most cordial terms with Labour authority leaders as well as Conservatives up and down the country, and I hope we will have a constructive working relationship The hon. Gentleman will know that the Home Secretary and I chaired a Cabinet Committee meeting on Syria at which the Local Government Association was represented. This morning I spoke to the head of the LGA and, indeed, the Labour leader of Blackpool Council, who told me that local government collectively was working very well with central Government to make sure that we deliver the commitment that has been given.
ParlaMint-GB_2015-09-14-commons.u15	In terms of loving people, the Chancellor of the Exchequer has a long way to go to encourage people to love him When the Government indicated that funding would be made available to local councils to help refugees and resolve the refugee problems, it was clear that only a one-year financial deal was on offer. Will the Secretary of State guarantee that the Chancellor will provide enough money over the five years of this Parliament to help councils to deal with the crisis, because the current financial offer is simply inadequate?
ParlaMint-GB_2015-09-14-commons.u16	That is not the case. The one-year commitment is what is allowed under the official development assistance rules. The point of including our local government colleagues in the ministerial group designing the approach is to make sure that every aspect of the funding required is addressed. We will do that consensually with local government.
ParlaMint-GB_2015-09-14-commons.u17	2. What support his Department is providing to local authorities to encourage development of brownfield land.
ParlaMint-GB_2015-09-14-commons.u18	9. What support his Department is providing to local authorities to encourage development of brownfield land.
ParlaMint-GB_2015-09-14-commons.u19	11. What steps he is taking to encourage development on brownfield land.
ParlaMint-GB_2015-09-14-commons.u20	15. What support his Department is providing to local authorities to encourage development of brownfield land.
ParlaMint-GB_2015-09-14-commons.u21	We intend to create a fund to unlock homes on brownfield land for additional housing. We will continue to support the regeneration of brownfield land through a range of measures, including announcing up to £400 million to create housing zones.
ParlaMint-GB_2015-09-14-commons.u22	Does my hon. Friend agree that it is particularly important to encourage investment in brownfield land where the site in question, such as Springbank shopping centre and the former Carlton Street post office in my constituency, is a local eyesore that attracts graffiti and other antisocial behaviour?
ParlaMint-GB_2015-09-14-commons.u23	My hon. Friend makes an important point. We want brownfield land to be brought back into use and for homes to be built on it. I am sure that my hon. Friend, as a diligent constituency MP, will make the case for individual sites in his area. This Government are committed to delivering the houses needed in the right places across the country.
ParlaMint-GB_2015-09-14-commons.u24	Greenfield sites across Pendle are under threat because the new Lib Dem and Labour administration of Pendle Borough Council has abandoned plans to spend the £1.5 million allocated for brownfield regeneration under the previous Administration. What more can the Department do to support the people of Pendle and to help fulfil their wish that brownfield is always developed ahead of greenfield?
ParlaMint-GB_2015-09-14-commons.u25	The Government are setting up a brownfield fund, with £1 billion, and are introducing the brownfield register. We have an expectation that homes will be built, because the country needs them, and that they will be built in the right places, particularly on brownfield sites. My hon. Friend makes a very important point on behalf of individual sites in his constituency about the approach of his local authority. I am sure it will have heard him loud and clear on a matter that his constituents will be very keen to see resolved.
ParlaMint-GB_2015-09-14-commons.u26	I welcome the Government’s redoubled commitment to support the development of brownfield sites. Does the Minister agree that, with the help of the Government’s new measures and extra effort by local authorities, brownfield sites can be developed more quickly and easily than by leaving large areas of green belt to be developed by large-unit developers, whose business model is not resulting in many houses?
ParlaMint-GB_2015-09-14-commons.u27	My hon. Friend makes an important point, informed by her own direct experience. It is important that local authorities do not just plan to deliver the future houses we need in the right places, but ensure that the plans are deliverable. There are examples of best practice across the country, with local authorities delivering completions and the new housing needed, and I know that other authorities will look to them to see what lessons can be learned and what they can do in their own areas.
ParlaMint-GB_2015-09-14-commons.u28	In my constituency of Mid Derbyshire, a large brownfield site is being decontaminated and made ready for redevelopment, but it has been left out of Derby City Council’s core strategy because the council states that the site will not be ready for development until 2028, despite the site manager saying that it will be sooner. Does the Minister agree that we must prioritise building on such brownfield sites?
ParlaMint-GB_2015-09-14-commons.u29	With the brownfield fund and the accelerated powers we are giving local authorities for planning on suitable brownfield sites, the direction of travel and the intention of Government are clear. Local authorities need to ensure that opportunities in their areas are deliverable and that they are delivered. I am sure that my hon. Friend’s important comments regarding her constituency will have been heard today.
ParlaMint-GB_2015-09-14-commons.u30	The Minister knows that there is a national shortage of homes and a housing crisis for the people whom we represent. He will not get anywhere with the illusion that that can all be dealt with through brownfield land. Brownfield land is often very expensive and in the wrong place. This Government will not acknowledge that we must build on greenfield to provide the homes that we need, but they do not like it: they are terrified of their constituents.
ParlaMint-GB_2015-09-14-commons.u31	Listening to our constituents and recognising their concerns is an important part of the planning process. We cannot just ignore local sites of beauty or the value of our environment. It should be recognised and protected and account taken of it in the national planning policy framework. That said, we need to deliver more homes, which is why, on top the measures I have mentioned, the Government are releasing significant amounts of public sector land to deliver another 150,000 homes on brownfield land during this Parliament, meeting our obligations in a way that our constituents recognise is appropriate.
ParlaMint-GB_2015-09-14-commons.u32	We must get developers to get on and build homes, but does the Minister accept that in a local authority area with sufficient land for building housing it would be inappropriate for a planning authority or the Planning Inspectorate to approve the building of houses on sports grounds when there is a need for them and users who want to keep them open as sports grounds?
ParlaMint-GB_2015-09-14-commons.u33	The direction from Government is absolutely clear—we want to see more houses built in appropriate places. We want to facilitate and assist local authorities that want to build on brownfield sites to bring the sites back into use and to build the houses that are needed. I hear what the hon. Gentleman says and I am sure his local authority hears it, too.
ParlaMint-GB_2015-09-14-commons.u34	The Minister’s ambition to build more houses, in particular on brownfield land, might be good, but is he aware of a recent survey by the Federation of Master Builders that highlighted the fact that many in the construction industry are still struggling to secure finance and that raw materials and skills are in short supply? What is he doing to address those issues?
ParlaMint-GB_2015-09-14-commons.u35	The hon. Gentleman raises a range of important points, including the skills agenda, which is part of our devolution discussions in many areas. While I am tempted to go down that route, it is important to focus on what the Government are doing on brownfield, which is very significant. I say again that we have the brownfield fund and the brownfield register, and we are working to accelerate planning on such sites to deliver them and to release public sector land. This Government are doing a lot to deliver housing on brownfield, not on the green fields that some Opposition Members seem to think should be the priority for building.
ParlaMint-GB_2015-09-14-commons.u36	Will the Secretary of State or the Minister confirm the average cost per hectare of remediating brownfield land?
ParlaMint-GB_2015-09-14-commons.u37	The hon. Lady asks for figures I do not have immediately available, but this Government are setting up a significant fund to deliver housing and to free up and make viable brownfield sites. That will make a real difference and will encourage development on the sites that we want developed. I am happy to write to her in due course with the specific figures for which she asks.
ParlaMint-GB_2015-09-14-commons.u38	I will help the Minister out here—I have some figures to hand. The cost of remediating brownfield land can range from £50,000 per hectare to over £1.7 million per hectare for the most contaminated land. Does he believe that the fund he proposes will be adequate to deal with brownfield land? The reason such land is brownfield, derelict and unused is that it can be difficult to remediate. In the east end of Glasgow, 350 hectares of brownfield land need remediation. How far will the fund go?
ParlaMint-GB_2015-09-14-commons.u39	A range, of course, is not an average, although I recognise the hon. Lady’s concern. She, like us, wants brownfield land to be regenerated and built on and housing delivered in the right places, and the £1 billion fund being established by the Government will go a long way to doing that. It will make a real difference. It will deliver houses where they are needed—and on brownfield land that has not been used and from which there has been no benefit for far too long.
ParlaMint-GB_2015-09-14-commons.u40	4. What assessment he has made of the effectiveness of the local government grant formula in directing funding to areas of need.
ParlaMint-GB_2015-09-14-commons.u41	14. What assessment he has made of the effectiveness of the local government grant formula in directing funding to areas of need.
ParlaMint-GB_2015-09-14-commons.u42	Councils facing the highest demand for services receive substantially more funding, including through formula grant. With the introduction of business rates retention in 2013-14, there has been a deliberate shift away from keeping authorities dependent on grants and towards providing councils with the tools and incentives they need to grow their local economies.
ParlaMint-GB_2015-09-14-commons.u43	The Minister’s implication that areas of need are being fairly treated by the local government grant formula is simply not proven by the evidence. Research by the Chartered Institute of Public Finance and Accountancy found that many councils serving the most in need have been worst hit by the cuts. Indeed, in the list of councils worst hit by the cuts, Bradford council came 353rd out of a possible 383. Surely he agrees this is not fair.
ParlaMint-GB_2015-09-14-commons.u44	Bradford has an area spending power of £2,295 per dwelling, which is 10% above the national average, and Bradford council also has £136 million in its reserves. It might want to deploy part of those reserves to address some of the challenges it faces.
ParlaMint-GB_2015-09-14-commons.u45	Since 2010, funding to my constituency has been cut by a staggering 54%. Does the Minister agree that this cannot be acceptable given that during the same period some constituencies have benefited from a rise in funding? Does he realise that the funding formula is seriously flawed and in urgent need of review?
ParlaMint-GB_2015-09-14-commons.u46	I do not agree. Burnley has an area spending power of £2,112 per household, which remains above the national average. In 2013-14, 2014-15 and 2015-16, we provided Burnley council with a £1.9 million efficiency support grant—equivalent to more than 10% of its spending power—to support long-term changes to bring costs down while continuing to deliver the services that Burnley’s citizens expect. That is nearly £6 million of additional resources, so, given what some other councils have done, the hon. Lady perhaps doth protest too much.
ParlaMint-GB_2015-09-14-commons.u47	Lancashire County Council tells me its grant is so inadequate that the discretion it used to have in assisting youngsters to go to schools of their choice has now been withdrawn. If a pupil passes a school to get to the school they want to attend, they will be asked to pay £550 for school transport. This is nothing other than a back-door means of raising council tax on hard-working families in Lancashire. Will the Minister look into what is going on, which is an abuse of the discretion system, and ensure that parents can get their youngsters into the school of their choice?
ParlaMint-GB_2015-09-14-commons.u48	I know that my hon. Friend has pursued this issue on several occasions, including in a Westminster Hall debate. It is a complicated issue, and local authorities have sometimes had to take difficult decisions on the prioritisation of school transport. There is no easy answer, but he will no doubt continue doggedly to pursue it in the House, as he has today.
