ParlaMint-GB_2015-09-16-commons.u1	1. What assessment he has made of the effect of the summer Budget 2015 on people in Wales.
ParlaMint-GB_2015-09-16-commons.u2	With your permission, Mr Speaker, I congratulate the new shadow Wales team and welcome them to their places. I particularly congratulate the hon. Member for Llanelli (Nia Griffith), and wish her well in her new role The summer Budget was a one nation Budget to benefit the whole of the United Kingdom. It was a Budget to help to create a higher-wage, lower-tax, lower-welfare economy, and a Budget to reward hard work while protecting the most vulnerable in our society.
ParlaMint-GB_2015-09-16-commons.u3	I congratulate my hon. Friend the Member for Llanelli (Nia Griffith) on her very well-deserved promotion. The Budget actually cut millions from over 200,000 working families in Wales. How can the Secretary of State justify pushing even more Welsh children into poverty?
ParlaMint-GB_2015-09-16-commons.u4	I just do not accept the right hon. Lady’s charge. We discussed this issue at length in this place yesterday, and the measures passed with a comfortable majority. The truth is that the vast majority of people in Wales will benefit financially from all the measures we are putting in place through the Budget. I never thought I would see the day when Labour Members stood up to talk down the efforts we are making to increase pay for working people across Wales.
ParlaMint-GB_2015-09-16-commons.u5	What happened to the level of unemployment in Wales over the lifetime of the last Parliament, and what impact does the Secretary of State think the Budget will have on employment over the lifetime of this Parliament?
ParlaMint-GB_2015-09-16-commons.u6	My hon. Friend asks a really good question. What we have seen over the past five years, despite the scaremongering and Labour’s talking down of the Welsh economy, is unemployment continuing to fall. Today’s figures demonstrate once again that record numbers of people in Wales are going back to work—there is no reason to think that that will not continue—and we will achieve our long-term ambition of full employment.
ParlaMint-GB_2015-09-16-commons.u7	The Prime Minister repeatedly promised before the election not to cut child tax credits, so will the Secretary of State explain to the 250,000 families in Wales who are losing an average of £1,000 a year, 90% of which will not be recouped by the rise in the minimum wage, just why his Conservative Government are breaking that promise? By reducing work incentives and hitting low-income families, any pretence they ever had to represent working people has been exposed as the sham it always was.
ParlaMint-GB_2015-09-16-commons.u8	I am really surprised by the tone that the shadow Secretary of State adopts for her first question. As I said, we discussed this issue at length yesterday. We have just come through an election in which the people of this country gave a very strong mandate and endorsement to one party to carry on fixing the economy and reducing the deficit. We cannot get on top of that or achieve it without tackling our spiralling welfare costs. I thought during the election campaign that Labour Members seemed to be getting close to understanding that, but I now see that they have abandoned all hope.
ParlaMint-GB_2015-09-16-commons.u9	We have a broken promise on child tax credits. The majority of the 250,000 families affected are in work, and the Government are deliberately choosing to push them into poverty. It is not only they who will lose out. These cuts will suck £200 million out of the Welsh economy, which is money that families, out of sheer necessity, spend directly in their local high streets. What assessment has the Secretary of State made of the knock-on effects of that lost income on jobs in our communities across Wales?
ParlaMint-GB_2015-09-16-commons.u10	Ahead of the summer Budget, we of course analysed how the measures taken together would affect people up and down the country. As I have said, eight out of 10 families will be better off as a result of the measures we are taking. The hon. Lady knows as well as I do that low pay has been a curse on the Welsh economy for far too long. I repeat the point that I never thought I would see the day when Labour Members stood up to talk down the efforts that we are making to drive up wage levels for people all across our country.
ParlaMint-GB_2015-09-16-commons.u11	2. What discussions he has had with Ministers in the Welsh Government on ensuring that the new Welsh curriculum is accepted across the UK. [R]
ParlaMint-GB_2015-09-16-commons.u12	With your permission, Mr Speaker, I too congratulate Labour Front Benchers on their appointments My hon. Friend raises an important issue. Greater mobility means reputable, recognisable and comparable qualifications are more important than ever. The CBI has said that employers believe that qualifications across the UK need to be directly comparable.
ParlaMint-GB_2015-09-16-commons.u13	Is the Minister aware that if one puts the words “Wales”, “Labour”, “Education Minister” and “apology” into Google, one can read an admission from that Education Minister that Welsh Labour’s education policies have been an absolute failure? Does he agree that if we are serious about raising educational standards in Wales, we need only wait until the May Welsh Assembly elections, when instead of ditching the curriculum we can ditch the Labour Welsh Assembly Government?
ParlaMint-GB_2015-09-16-commons.u14	In the first instance, we need to recognise the success of pupils who passed their A-levels and GCSEs in the summer. However, there is a worrying gap between the trends in Wales and England. As my right hon. Friend the Secretary of State for Education has said, the results speak for themselves. With free schools, academies and other reforms in England, 1 million more children are in good or outstanding schools here—sadly, those reforms have not been made in Wales.
ParlaMint-GB_2015-09-16-commons.u15	One great success story in Wales is the growth of Welsh medium schools and the emphasis on language learning in the Welsh curriculum. We have put paid to the nonsense that people in this country have to be monolingual. How will the Minister share that success right across the nations of the UK?
ParlaMint-GB_2015-09-16-commons.u16	There has been great success in encouraging people to learn Welsh in Wales. Of course, that should not come at the cost of any other language. It is important that we champion that success: bilingual education can work and does work. We will encourage as many people as possible to learn not only Welsh, but modern foreign languages in Wales and across the UK.
ParlaMint-GB_2015-09-16-commons.u17	I know that the Minister, who has a coterminous boundary with me, will want to congratulate the pupils and teachers in schools in his constituency and mine who this year produced record summer results for A-level students and an improved performance at A* to C in GCSEs in English language, Welsh, maths and science. Rather than talk them down, will he congratulate those students and schools?
ParlaMint-GB_2015-09-16-commons.u18	The hon. Gentleman either ignored the answer I gave earlier or prepared his script before he came to Question Time. I did congratulate the students who succeeded. My point was that we need more students in Wales to succeed because there is a worrying gap between the success in England and the success in Wales.
ParlaMint-GB_2015-09-16-commons.u19	3. What assessment he has made of recent trends in the level of tourism in Wales.
ParlaMint-GB_2015-09-16-commons.u20	4. What assessment he has made of recent trends in the level of tourism in Wales.
ParlaMint-GB_2015-09-16-commons.u21	It is 12 months since the NATO summit showcased Wales to the world, and the Welsh tourism industry continues to boom. It is an essential part of the Welsh economy, attracting investment, jobs and record numbers of visitors to Wales. International visitors spent £368 million visiting Wales last year.
ParlaMint-GB_2015-09-16-commons.u22	Does my hon. Friend agree that the start of the rugby world cup gives Wales the opportunity to put itself on the front foot for business and tourism? Will he join me in wishing Wales every success in the world cup, until they play England?
ParlaMint-GB_2015-09-16-commons.u23	My hon. Friend has a point. International events play a significant role in attracting visitors, while promoting Wales and the UK to the world. The rugby world cup not only means that Wales will lift the Webb Ellis trophy; it gives us a great opportunity to sing the Welsh national anthem and the UK national anthem together.
ParlaMint-GB_2015-09-16-commons.u24	As a member of the NATO Parliamentary Assembly, I welcome the fact that last year’s NATO summit took place in Newport, Wales. Will the Minister ensure that Wales can build on that wonderful showcase for its heritage and food and drink industry?
ParlaMint-GB_2015-09-16-commons.u25	I am grateful to my hon. Friend for reminding us of the importance of the NATO summit that the last Government took to Wales. That not only allowed us to promote Wales around the globe, but was an important step towards the commitment that 2% of GDP would be spent on defence.
ParlaMint-GB_2015-09-16-commons.u26	10. Given all the Government schemes to encourage tourism in Wales, does the Minister think it is fair that people who want to visit Wales are thumped with a toll of £6.50 on the Severn bridge? What will he do to stop that tax on tourism?
ParlaMint-GB_2015-09-16-commons.u27	I am aware of the hon. Gentleman’s interest in the Severn toll, as well as that of many Members from all parties across the House. The law has been in place for decades, but the concession will end in 2017 or 2018, depending on traffic volumes. That gives us the opportunity to bring innovations to the crossing, and my right hon. Friend the Chancellor of the Exchequer has already made significant moves in this area.
ParlaMint-GB_2015-09-16-commons.u28	Welcome though the trend of increasing visitor numbers is, I know that the Minister is not one to rest on his laurels. With that in mind, what discussions has he had about reducing VAT on tourism, which would boost many local economies throughout the country?
ParlaMint-GB_2015-09-16-commons.u29	That seems to be a perennial question from Members. VAT is a matter for the Chancellor, who always keeps such matters under review, and there are currently no plans to change VAT on the tourism sector. There are great things in Wales that we can champion to encourage more tourists to Wales. The Countryside is GREAT campaign is promoted by VisitBritain and provides an excellent opportunity for that, and I look forward to the UK tourism Minister visiting Cardiff shortly to discuss the great opportunities that it offers.
ParlaMint-GB_2015-09-16-commons.u30	Confidence in the tourism sector in my constituency is riding high, as illustrated by the £5 million refurbishment of the Llandudno Bay hotel. Does my hon. Friend agree that the only threat to confidence in that sector in Wales is the anti-business rhetoric of the Labour party?
ParlaMint-GB_2015-09-16-commons.u31	My hon. Friend makes an important point, and his constituency depends significantly on income from the tourism sector. He rightly highlights the fact that every tourism business is a business, and the changes that we have made to make this a more entrepreneurial, innovative and growth-driven economy not only help every business but have particular relevance to the tourism sector.
ParlaMint-GB_2015-09-16-commons.u32	Next month Blaenavon world heritage site in my constituency will host the UNESCO world heritage youth summit. Will the Minister congratulate Blaenavon on that, and agree how important it is that we showcase our world heritage sites in Wales to the world?
ParlaMint-GB_2015-09-16-commons.u33	I am grateful to the hon. Gentleman for drawing the House’s attention to that issue. The summit is important and I congratulate Blaenavon and wish the community well. I remember UNESCO awarding world heritage status to Blaenavon. The Welsh Government did a good job promoting the area, and the UK Government have a part to play in developing that further.
ParlaMint-GB_2015-09-16-commons.u34	Further to the question from my hon. Friend the Member for Islwyn (Chris Evans), tourists arriving in Wales this weekend for the rugby world cup will face paying the highest toll in the UK on the Severn bridges—something that Welsh commuters and businesses face every day when they travel over those bridges. Will the Minister commit to make it a personal priority to press for a significant reduction in the toll once the concession ends, beyond the VAT reduction, and fight hard for that in government?
ParlaMint-GB_2015-09-16-commons.u35	The hon. Lady regularly raises that issue, and the Government appreciate its importance. We have already committed to reducing VAT when the concession ends, and my right hon. Friend the Chancellor has gone even further because small businesses with light vans will pay the same price as cars, reducing the rate from more than £13 to closer to £5. The end of the concession provides us with an opportunity to do more, and that debate and discussion is ongoing.
ParlaMint-GB_2015-09-16-commons.u36	Order. There is an understandable air of anticipation in the Chamber at this time, which is reflected in a large number of rather noisy private conversations. Let us have a bit of order for the new parliamentary leader of Plaid Cymru.
ParlaMint-GB_2015-09-16-commons.u37	5. What assessment he has made of the effect of benefit sanctions in areas of Wales which have high numbers of economically inactive people and low numbers of available jobs relative to the rest of the country.
ParlaMint-GB_2015-09-16-commons.u38	I congratulate the hon. Gentleman on his new role as leader of his party. Benefit sanctions are a necessary part of a welfare system that encourages people to take up support, while being sustainable and fair. Our welfare reforms have helped thousands of people from across Wales move from inactivity into work.
ParlaMint-GB_2015-09-16-commons.u39	I thank the Secretary of State for his kind words. Some areas of Wales have high unemployment and low economic activity, and getting a job or extra hours is not easy, or even impossible. What has he done personally, as our Secretary of State, to ensure that our people are not subject to arbitrary and unfair benefit sanctions?
ParlaMint-GB_2015-09-16-commons.u40	I repeat that we need benefit sanctions if we are to reform the welfare system in a way that will encourage hard work and responsible decisions, but they are used as a matter of last resort. I take the hon. Gentleman’s point about rurality as I am from a rural area myself, but I remind him that unemployment has fallen significantly in his constituency over the past five years, and we thoroughly expect that to continue.
ParlaMint-GB_2015-09-16-commons.u41	Following yesterday’s decision, Welsh families will lose between £1,000 and £2,500 in tax credits every year. Is the Secretary of State confident that his constituents, and mine, are aware of that change, so that they can plan cuts to food, fuel, clothing, footwear and—dare I say it?—even travelling to work?
ParlaMint-GB_2015-09-16-commons.u42	The hon. Gentleman paints a very negative picture. His constituency, like a great many in Wales, has suffered too long from the curse of low pay, so I thought he would welcome the fact that one of the things we are doing to transform the Welsh economy is introduce a national living wage, which will benefit thousands of families in his constituency and mine
ParlaMint-GB_2015-09-16-commons.u43	Would the Secretary of State allow made-up quotes to be included in leaflets from the Wales Office? If not, does he think it is acceptable that the Department for Work and Pensions did just that when it made up quotes about benefits sanctions?
ParlaMint-GB_2015-09-16-commons.u44	The information the hon. Lady refers to was used for illustrative purposes only. I think it is actually helpful to provide information based around real-life case studies so that people can understand how changes we make affect families in different circumstances.
ParlaMint-GB_2015-09-16-commons.u45	6. What discussions he has had with the Secretary of State for Transport on the completion date for electrification of the Great Western line.
ParlaMint-GB_2015-09-16-commons.u46	I have regular discussions with my right hon. Friend the Secretary of State for Transport. He and I share a total commitment to the electrification of the Great Western line all the way through to Swansea. Both he and the Prime Minister have been clear about the priority we all place on this strategic project.
ParlaMint-GB_2015-09-16-commons.u47	Earlier this week, the Secretary of State told the Welsh Affairs Committee about Sir Peter Hendy’s stakeholder consultation. Are all the stakeholders committed to the project and, more importantly, did he share the UK Government’s commitment to the project with Sir Peter?
ParlaMint-GB_2015-09-16-commons.u48	What matters above all else is our commitment, from the Prime Minister downwards, to completing the project. Opposition Members have expressed a lot of concern about the progress of the project. If they do not believe it is happening, I would encourage the hon. Lady and her colleagues to walk the length of the route, because they will see work happening right now to deliver this really important project.
ParlaMint-GB_2015-09-16-commons.u49	14. Will the Secretary of State give a cast-iron guarantee, here and now, that in his review Sir Peter Hendy, the newly appointed chief executive of Network Rail, will not look again at stopping the electrification of the line to Cardiff and having dual fuel from Cardiff to Swansea?
ParlaMint-GB_2015-09-16-commons.u50	I am not sure the hon. Gentleman quite knows about these issues. We are totally committed—I cannot be clearer than that—to electrifying the Great Western line all the way through to Swansea, as part of a programme of infrastructure investment bigger than anything this country has seen since the days of Isambard Kingdom Brunel.
