ParlaMint-GB_2015-10-13-commons.u1	1. What plans his Department has to increase capacity in general practice and primary care.
ParlaMint-GB_2015-10-13-commons.u2	6. What plans his Department has to increase capacity in general practice and primary care.
ParlaMint-GB_2015-10-13-commons.u3	It is a pleasure to be back, Mr Speaker. By 2020, we will increase the primary and community care workforce by at least 10,000, including an estimated 5,000 doctors working in general practice, as well as more practice nurses, district nurses and pharmacists.
ParlaMint-GB_2015-10-13-commons.u4	Fareham community hospital is an example of Labour’s expensive PFI gone wrong. At a cost of £28 million, it remains underused, half-built and subject to complex governance structures. What will my right hon. Friend do to enable better use of this facility to allow provision for minor injuries, a GP practice and more primary care?
ParlaMint-GB_2015-10-13-commons.u5	My hon. Friend is right, regrettably, that the PFI projects under the previous Labour Government created a lot of unsustainable debt. I know her local clinical commissioning group is meeting GP practices and working with community health partnerships to see if they can progress the idea she is campaigning for. I hope to visit her in the near future to discuss it myself.
ParlaMint-GB_2015-10-13-commons.u6	Will my right hon. Friend join me in welcoming the £2.7 million in vanguard funding given to Dudley to provide primary care services out in the community? This will not only improve the level of clinical and social services provided to people in Dudley South, but relieve pressures on Russells Hall hospital.
ParlaMint-GB_2015-10-13-commons.u7	I welcome my hon. Friend to his post. I am not sure I have had a question from him before. I know quite a bit about the Dudley vanguard programme, because I shared a taxi to Manchester station with the entire Dudley team. They told me, at close quarters, about their exciting plans. What really struck me was how they are talking to different bits of the health and social care system in a way that has never happened before. It is really exciting and I think it really will be in the vanguard of what can happen in the NHS.
ParlaMint-GB_2015-10-13-commons.u8	Many people in my constituency are struggling to see a GP from Monday to Friday. Warrington has fewer GPs than it had in 2010, despite a rise in population. The number of unfilled GP vacancies quadrupled under the previous Government. How does the Secretary of State expect to produce a seven-day service when he cannot properly staff the service from Monday to Friday?
ParlaMint-GB_2015-10-13-commons.u9	I shall tell the hon. Lady how I expect to do it. We are, in fact, making very good progress. By March next year, a third of the country will be able to access routine GP appointments at evenings and weekends. We do need more GPs. I agree with her that it takes too long to get a GP appointment, but we are doing something about it. That is why we have announced plans to recruit an estimated 5,000 more GPs. That will be a 15% increase in the number of GPs, the biggest increase in the history of the NHS.
ParlaMint-GB_2015-10-13-commons.u10	It is widely known that there is a serious lack of doctors who want to go into general practice. At the same time, the Secretary of State is guilty of an abject failure to engage with the British Medical Association in negotiations on junior doctors’ practices. On that basis, how the hell can he promise to increase general practice?
ParlaMint-GB_2015-10-13-commons.u11	Just look at our track record in the previous Parliament: we increased the number of GPs by 1,700—a 5% increase. We are, on the back of a strong economy, putting in funding that will make it possible to increase that number even more. The hon. Gentleman talks about the BMA. I simply say that the people refusing to negotiate are not the Government, but the BMA.
ParlaMint-GB_2015-10-13-commons.u12	Order. May I just gently advise the hon. Member for Croydon South (Chris Philp) that he should not stand at this point? He has Question 3. It will be very easily reached, so he should not stand before then. There is no merit in doing that at all.
ParlaMint-GB_2015-10-13-commons.u13	Unfortunately, every time I open a page of my local newspaper these days I am met with the beaming face of yet another general practitioner in his mid-50s who has decided to throw in his hand after many, many years of serving his community. These doctors are best placed to manage patients in primary care and ensure that they do not have to go to secondary care or A&E. What analysis has my right hon. Friend made of the reasons these experienced professionals are leaving the profession prematurely, and what will his reforms do to stem the tide?
ParlaMint-GB_2015-10-13-commons.u14	My hon. Friend makes a very important point. We have done extensive analysis, because of our commitment to transform the role of general practice, of the issues. They include too much bureaucracy and form-filling, which means that doctors do not spend enough time with patients, and a sense that successive Governments have not invested in general practice and primary care. That is exactly what we seek to turn around with the “Five Year Forward View”.
ParlaMint-GB_2015-10-13-commons.u15	What discussions have taken place with the devolved Administrations regarding the introduction of the new GP contract, particularly the junior doctor contract, given the exodus of junior doctors to Australia?
ParlaMint-GB_2015-10-13-commons.u16	We also have Australian paramedics working in the UK, particularly London, so that traffic goes both ways, but, as the hon. Lady will know, health is a devolved matter, and people follow their own paths. For England, we are determined to eliminate the weekend effect. Every year, there are 11,000 excess deaths as a result of inadequate cover at weekends, and we do not want that to continue.
ParlaMint-GB_2015-10-13-commons.u17	2. How much additional investment there will be in children and young people’s mental health services in 2015-16.
ParlaMint-GB_2015-10-13-commons.u18	5. How much additional investment there will be in children and young people’s mental health services in 2015-16.
ParlaMint-GB_2015-10-13-commons.u19	7. How much additional investment there will be in children and young people’s mental health services in 2015-16.
ParlaMint-GB_2015-10-13-commons.u20	We are investing an additional £173 million this year, which includes £30 million specifically for eating disorders. We are taking a targeted and phased approach to the additional investment to develop capacity and capability across health, education and children’s services, from prevention and resilience building to supporting the most vulnerable.
ParlaMint-GB_2015-10-13-commons.u21	The Government explicitly promised £250 million for children’s mental health in 2015-16, yet the Department of Health has admitted it will be spending only £143 million by next April. Is this £170 million shortfall not further evidence that while Ministers might talk a good talk on mental health, we should judge them by their actions?
ParlaMint-GB_2015-10-13-commons.u22	No. I take the hon. Lady’s point, but we are committed to spending £1.25 billion over the Parliament. We will not be able to spend the £250 million this year, but it will be included in future years. The reason is that we have to make sure it is effectively and properly spent and it is a phased programme. She will be delighted to know that in her constituency there will be an extra £536,000 for children’s mental health services.
ParlaMint-GB_2015-10-13-commons.u23	The organisation YoungMinds found that one in five mental health trusts had had to freeze or cut budgets every year in the last Parliament, and at the moment 40,000 young people are being refused mental health treatment. What guarantees can the Minister give that the money promised by the Chancellor recently will actually be made available and that trusts will not continue to cut mental health budgets?
ParlaMint-GB_2015-10-13-commons.u24	The hon. Lady makes a fair point. While we invest money nationally in services, people complain that locally clinical commissioning groups have not been funnelling the money down. Two things should help: first, for the first time the national access and working time targets, which the Government have introduced, will provide a means of monitoring what CCGs are doing; and, secondly, the new scorecard for CCGs will look explicitly to ensure that a proportion of the increase to a CCG goes into mental health services. The hon. Lady will also be pleased to know that in her own CCG area there will be an extra £521,000 for children’s mental health services.
