ParlaMint-GB_2015-10-14-commons.u1	1. What estimate she has made of the number of people killed by the IRA.
ParlaMint-GB_2015-10-14-commons.u2	The authoritative chronicle of troubles deaths, “Lost Lives”, estimates the number of people killed by the IRA between 1966 and 2006 at 1,768.
ParlaMint-GB_2015-10-14-commons.u3	May I remember Garda Anthony Golden and Kevin McGuigan, both murdered in recent weeks by the IRA, and, of course, my former hon. Friend Ian Gow, who was murdered 25 years ago this week We are now told that the IRA has ceased operations. Regardless of whether the IRA exists, does my hon. Friend agree that there is no place in a democratic society for those who undertake criminal or terrorist activities?
ParlaMint-GB_2015-10-14-commons.u4	There has never been a place in United Kingdom politics for terrorism, and nor is there a place in UK politics for people who refuse to condemn terrorism.
ParlaMint-GB_2015-10-14-commons.u5	The IRA terrorist campaign led to the deaths of 3,750 people. The IRA has stated that it has not gone away, its guns have not gone away, and over the last three months its murderous ways have not gone away, either. Will the Minister confirm the commitment by the Government of the Irish Republic to reduce IRA activity and to catch IRA members involved in murders and criminal activity in that jurisdiction in the past and today?
ParlaMint-GB_2015-10-14-commons.u6	I again place on the record my condolences and those of my right hon. Friend the Secretary of State to the family of Garda Golden, who was brutally murdered last week. I was in Dublin only a few weeks ago, and it is absolutely the Irish Government’s intention to pursue men of violence and terrorists on their side of the border and to assist the UK Government on our side of the border.
ParlaMint-GB_2015-10-14-commons.u7	What comfort can the Minister give the House that the police have sufficient resources to fully investigate these most serious of crimes?
ParlaMint-GB_2015-10-14-commons.u8	My right hon. Friend the Secretary of State has secured extra funding for the Police Service of Northern Ireland over the last few years, and the Chief Constable is confident that should evidence present itself murders will be pursued to the correct outcome, such as bringing people to justice.
ParlaMint-GB_2015-10-14-commons.u9	I think the House would like to hear from the Minister what pressure the Government are putting on the Libyan authorities to secure compensation for all those hurt and maimed and for the families of people murdered by Libyan-sponsored IRA violence. It is the morally right thing to do. Will he confirm that the Government will seek compensation as soon as there is a Libyan regime to negotiate with?
ParlaMint-GB_2015-10-14-commons.u10	The Prime Minister has indicated that he is keen to seek further compensation for victims, but of course it is hard to negotiate with a Libyan Government that are not functioning or in existence. I know that a Select Committee of the House is looking at the arrangements made between Tony Blair’s Government and the then Libyan Government.
ParlaMint-GB_2015-10-14-commons.u11	2. What steps she is taking to ensure that the Northern Ireland Executive’s financial position is sustainable.
ParlaMint-GB_2015-10-14-commons.u12	It is for the Executive to deliver a balanced Budget and sustainable finances. The Stormont House agreement provides a package of measures to help them achieve this. As my right hon. Friend the Prime Minister has said, it is not extra money that will sort out this crisis; the local parties need to resolve welfare reform disagreements, deal with budgetary pressures and deliver public sector reform.
ParlaMint-GB_2015-10-14-commons.u13	Does my hon. Friend accept that in principle it is not acceptable for any of the devolved Administrations simply to breach spending limits agreed with Her Majesty’s Government?
ParlaMint-GB_2015-10-14-commons.u14	It is not acceptable for any devolved institution, or indeed any Whitehall Department, to breach spending limits agreed with the Treasury. For that reason, I urge the Northern Ireland parties to resolve their differences, implement the Stormont House agreement and take advantage of the economic package we put together last December to ensure that Northern Ireland goes from strength to strength.
ParlaMint-GB_2015-10-14-commons.u15	Many areas of Northern Ireland have a particular problem with unemployment, partly as a result of the troubles and their aftermath. Will the Secretary of State make representations to the Chancellor that there is a strong case to be made for welfare reform to be far slower in Northern Ireland than elsewhere and that additional support for job creation should be provided?
ParlaMint-GB_2015-10-14-commons.u16	That case has been made. That is why in the Stormont House agreement we allow flexibilities within Stormont to take measures appropriate to ensure that the troubles are recognised and their impact on the people of Northern Ireland mitigated. However, that is a matter for the Stormont House Government. The powers are there; it is time they got on with it.
ParlaMint-GB_2015-10-14-commons.u17	Does the Minister agree that any Government that cannot set a budget cannot really govern properly? Are not the parties that are preventing the setting of the budget risking the collapse of the whole institutions?
ParlaMint-GB_2015-10-14-commons.u18	I agree with my hon. Friend that unless this impasse is solved, public services will start to be hit as the money runs out. Let us not forget that the people of Northern Ireland deserve that this solution be put in place. We are already seeing the impact on the health service in Northern Ireland—and no doubt on other services, too. There is very little time left before the people of Northern Ireland realise that a non-functioning Stormont will take Northern Ireland backwards, not forwards.
ParlaMint-GB_2015-10-14-commons.u19	Have the parties that rejected the Stormont House proposals from last December put forward any credible proposals to resolve the financial issues?
ParlaMint-GB_2015-10-14-commons.u20	May I refer the hon. Gentleman to his party leader, who has been in the talks over the last few weeks? He may be able to refresh his memory about what proposals have been put forward. The talks are ongoing; they are intense and we hope collectively to come to a resolution.
ParlaMint-GB_2015-10-14-commons.u21	3. What assessment she has made of the political situation in Northern Ireland since the murder of Kevin McGuigan Sr in August 2015.
ParlaMint-GB_2015-10-14-commons.u22	5. What recent assessment she has made of the political situation in Northern Ireland.
ParlaMint-GB_2015-10-14-commons.u23	9. What recent assessment she has made of the political situation in Northern Ireland.
ParlaMint-GB_2015-10-14-commons.u24	11. What recent assessment she has made of the political situation in Northern Ireland.
ParlaMint-GB_2015-10-14-commons.u25	I would first like to associate myself with the tributes paid to Garda Officer Golden. His death was a tragedy, and my condolences go to his family, friends and police colleagues It is essential that the cross-party talks deliver a way to implement the Stormont House agreement and also a means to address the continuing impact of paramilitary organisations. The Northern Ireland parties are engaging intensively, but time is short and a resolution is urgently needed.
