ParlaMint-GB_2015-10-15-commons.u1	Object To be considered on Thursday 22 October.
ParlaMint-GB_2015-10-15-commons.u2	1. What recent discussions he has had with the Secretary of State for Justice on proposals for reform of the Human Rights Act 1998.
ParlaMint-GB_2015-10-15-commons.u3	2. What steps he plans to take to ensure that proposals for reform of the Human Rights Act 1998 meet the UK’s domestic and international human rights obligations.
ParlaMint-GB_2015-10-15-commons.u4	The Justice Secretary and I meet regularly to discuss important issues of common interest, including on domestic and international human rights law. I am not, as the House knows, able to talk about any legal content of those discussions, because, by convention, whether the Law Officers have given advice or not is not disclosed outside government.
ParlaMint-GB_2015-10-15-commons.u5	The public need to be aware that withdrawing from the Human Rights Act does not mean that we will withdraw from human rights, because people will still be able to have those rights. It is just that rather than get them in British courts they will have to traipse off to Strasbourg to get them. The British public need to be made aware of the situation. The issue, of course, is about the convention. Are the Government proposing to withdraw from the European convention on human rights, a move that would remove human rights in this country, rather than just from the Human Rights Act?
ParlaMint-GB_2015-10-15-commons.u6	The hon. Gentleman is right to a certain extent, but of course he will have to wait for the proposals that the Justice Secretary will make on human rights reform. The other point for the hon. Gentleman to bear in mind is that it is not just the Court in Strasbourg that protects the human rights of British citizens. The British courts do, too, and I believe we can rely on the robustness and good sense of British judges to protect those rights.
ParlaMint-GB_2015-10-15-commons.u7	Because so many people in my constituency had written to me expressing their concerns about the Government’s plans on this issue, I organised a meeting during the recess. The dozens of people who came along had one simple question, which I hope the Attorney General will be able to answer: which of the rights currently contained within the Human Rights Act would he and the Government wish to see excluded from a British Bill of Rights?
ParlaMint-GB_2015-10-15-commons.u8	Again, as the hon. Gentleman has heard me say, he will have to wait for the precise proposals we are going to make. It is worth pointing out that the rights he is talking about are found not in the Human Rights Act, but in the European convention on human rights. The Government have made it clear, as I have on previous occasions, that we do not object to the content of the convention—we object to the way it is interpreted.
ParlaMint-GB_2015-10-15-commons.u9	One important issue in terms of the credibility of the European Court of Human Rights is the quality of the judges. We are shortly to appoint a new British judge, so can the Attorney General assure us that we will ensure that we have a judge of the very highest quality appointed? Unfortunately, the quality some of the appointments from other jurisdictions, not ours, have in the past caused concerns to the Parliamentary Assembly of the Council of Europe.
ParlaMint-GB_2015-10-15-commons.u10	My hon. Friend is entirely right that the quality of the judiciary matters hugely, in Strasbourg and elsewhere. As he has heard me say, we share confidence in the quality of the British judiciary, and I hope very much that one of those excellent judges will be prepared to serve in Strasbourg so that our point of view can be clearly represented.
ParlaMint-GB_2015-10-15-commons.u11	Does the Attorney General agree that the most convincing argument as to why this Government must press ahead with this move as quickly as possible is set out on page 60 of the Conservative party manifesto? It states: “The next Conservative Government will scrap the Human Rights Act, and introduce a British Bill of Rights.” Some 11.3 million people voted for that and they will expect it to be carried out quickly.
ParlaMint-GB_2015-10-15-commons.u12	My hon. Friend will know that I share his enthusiasm for this reform, and I stood on that manifesto, too, and believe in it. But it is important also to make sure that we get this reform right and that we have the details worked out before we announce what we wish to do. There will of course also be an opportunity for all Members of this House to comment on what is proposed, because I know that the Justice Secretary intends to consult on the matter.
ParlaMint-GB_2015-10-15-commons.u13	The proposed repeal of the Human Rights Act and the potential withdrawal from the ECHR has serious constitutional implications for Scotland. Has the Attorney General seen the proposals and will he be delivering legal advice before they are published in the public domain?
ParlaMint-GB_2015-10-15-commons.u14	As the hon. Gentleman has heard me say to the Select Committee, I would certainly expect to see the proposals before they are published. He is right, of course, that the devolution consequences of any changes that might be made are significant or potentially significant, depending on what is done. I am afraid that, until we see what is proposed, it is difficult to assess exactly what those consequences might be.
ParlaMint-GB_2015-10-15-commons.u15	When my constituents say, “Philip, we voted Conservative because we wanted to get rid of the Human Rights Act, when is it going to happen?” what should I tell them?
