ParlaMint-GB_2015-10-21-commons.u1	1. What progress is being made on completing the electoral register
ParlaMint-GB_2015-10-21-commons.u2	10. What progress is being made on completing the electoral register.
ParlaMint-GB_2015-10-21-commons.u3	Since June 2014, more than 11 million people have applied to register to vote, three quarters of whom used the ultra-convenient online system, which takes less time than boiling an egg. At the general election, there were 400,000 more entries on the register than before, and thanks to individual electoral registration, 96 out of every 100 have been confirmed as genuine. We are now focusing on the remaining four in every 100 and, by December, electoral registration officers will have attempted to contact each of them nine times over 18 months. Any who are genuine voters will be confirmed on the register, and the remaining inaccurate entries—people who have moved away, died or registered fraudulently—will be removed.
ParlaMint-GB_2015-10-21-commons.u4	Does my hon. Friend agree that it is vital to tackle electoral fraud to prevent further events such as those in Tower Hamlets, and that individual voter registration will play an integral part in that?
ParlaMint-GB_2015-10-21-commons.u5	I agree strongly with my hon. Friend. The underlying point behind individual electoral registration is that it requires genuine proof of identity, which the old system did not. The need to provide information such as date of birth and national insurance number ensures that the opportunity for fraudulent registration is greatly reduced.
ParlaMint-GB_2015-10-21-commons.u6	I am reassured to hear that 96 out of every 100 voters have been proved to be genuine since the roll-out of individual electoral registration, but will the Minister tell me what further action is being taken to target the four in every 100 who appear not to be genuine?
ParlaMint-GB_2015-10-21-commons.u7	This is an important issue. We have made up to £3 million available to local authorities to pursue the remaining four in every 100. By the end of this year, all those people will have been contacted up to nine times, either by phone, email or letter, or by someone knocking on their door, in order to confirm that they are genuine voters with a pulse, in which case they will have been confirmed on the register. We want to ensure that we do not inadvertently disfranchise them. Anyone who is left over will almost certainly be a ghost voter—a ghost in the machine; a data error—and can therefore be safely removed.
ParlaMint-GB_2015-10-21-commons.u8	13. Would the Minister acknowledge that a disproportionately high number of those falling off the electoral roll are young people such as the students attending the Ealing, Hammersmith and West London College and the University of West London in my constituency? Can he not see that this is the biggest electoral disfranchisement in our history?
ParlaMint-GB_2015-10-21-commons.u9	No, I would not acknowledge that, because if they are genuine people on the register, we will find them and confirm them as genuine. No genuine voters will be disfranchised by this move. The hon. Lady is absolutely right, however, to say that there are significant groups of under-represented people who are not on the register at all and therefore cannot be disfranchised by being removed from it. This is a fundamental issue for the health of our democracy, and we must go out and find those people. We need to have proper registration drives to get them on to the register in the first place.
ParlaMint-GB_2015-10-21-commons.u10	Will the Minister tell us whether there is a requirement for people to produce photographic ID as well as a utility bill when they register to vote?
ParlaMint-GB_2015-10-21-commons.u11	At the moment, the proof of ID when registering includes information such as a date of birth and a national insurance number. Photographic ID is not required, although I believe that the situation in Northern Ireland might be slightly stricter and that there are tighter rules there, given the history of the Province. Of course, individual electoral registration was introduced in Northern Ireland many years ago and it has been extremely successful. There was no transitional period at all there; it all happened in one day and the system moved across to IER very swiftly.
ParlaMint-GB_2015-10-21-commons.u12	The Electoral Commission’s advice is clear: do not bring forward the full transition to individual electoral registration. What is the point of Parliament setting up this body if Ministers are simply going to ignore its advice?
