ParlaMint-GB_2015-11-19-commons.u1	1. What steps she is taking to ensure that the UK meets its EU renewable energy target by 2020.
ParlaMint-GB_2015-11-19-commons.u2	5. What assessment she has made of the UK’s progress towards meeting its EU renewables target by 2020.
ParlaMint-GB_2015-11-19-commons.u3	We are making good progress towards our 15% renewable energy target for 2020, and I am confident that we will meet the next interim target of 5.4%, with provisional figures showing that 6.3% of final energy consumption for 2013 and 2014 came from renewable sources.
ParlaMint-GB_2015-11-19-commons.u4	With the UN climate change conference just days away, on top of renewables subsidies being removed we have learned that the UK will fall significantly short of its renewable energy target. While Labour led global talks, is the Secretary of State going to Paris to learn about the consequences of her cuts or to apologise to future generations?
ParlaMint-GB_2015-11-19-commons.u5	I am delighted to say that there will be plenty of opportunities during this Session to talk about Paris, and I look forward to doing so. On the specific question of the renewables target, I repeat to the hon. Lady that we are making good progress at the moment. [Interruption.] There are issues, but we are expecting to exceed our interim target. There is more to do, and I am delighted to say that I am working across Government with the Department for Transport and the Department for Environment, Food and Rural Affairs to ensure that we do it.
ParlaMint-GB_2015-11-19-commons.u6	Does the Secretary of State agree that meeting our renewables target should not just prevent catastrophic climate change but benefit UK workers through the creation of green jobs? Will she commit to ensuring that projects such as the Beatrice offshore wind project, which benefit from public funding, create the sorts of skilled supply chain jobs we need rather than subsidising private companies abroad?
ParlaMint-GB_2015-11-19-commons.u7	I certainly agree that the direction in which this Government are going in supporting renewables and meeting our low-carbon targets will continue to lead to the growth of the green economy, which is a really important addition to the growth in the economy nationally.
ParlaMint-GB_2015-11-19-commons.u8	The announcement yesterday to phase out coal with gas is equivalent, in one announcement, to doubling the amount of renewables we have in our system, and it is possibly the biggest reduction in carbon ever announced by a Secretary of State. Does she believe, though, that any of our EU partners will follow us in taking this route?
ParlaMint-GB_2015-11-19-commons.u9	I thank my hon. Friend for pointing out the announcement that I made yesterday which shows such strong leadership in reducing carbon emissions in Europe and in the world. It is interesting that he asks me whether other European countries will do this. I am not sure they will. We are not ones to lecture our European friends, but I can tell him that I have had a lot of congratulations and comments of a positive nature about it internationally.
ParlaMint-GB_2015-11-19-commons.u10	Given that the increase in global temperatures over the past two centuries has been minute, that the Intergovernmental Panel on Climate Change itself has said that most of it is perfectly natural, and that there has been no increase in global temperatures for 16 years, is it not time to simply reject these renewables targets and concentrate on our manufacturing industries and bringing down prices?
ParlaMint-GB_2015-11-19-commons.u11	I always enjoy hearing from my hon. Friend, but I must say that I do not share his views. I believe that there is a settled view that is supported by science, and it is right that we take action, but I hope that this Government can demonstrate that we can do so while growing the economy. That is the evidence that we are showing people internationally, and that is why we are providing such strong leadership.
ParlaMint-GB_2015-11-19-commons.u12	Given the leaked letter that indicated the purchase of renewables from abroad, will the right hon. Lady make sure that the Scottish islands are in the mix and that we go there for renewable energy? The wind resource is so great that I did not get off Barra on Monday.
