ParlaMint-GB_2015-12-01-commons.u1	1. What fiscal steps he is taking to support businesses.
ParlaMint-GB_2015-12-01-commons.u2	11. What fiscal steps he is taking to support businesses.
ParlaMint-GB_2015-12-01-commons.u3	This Government know there cannot be a successful economy without support for business and enterprise. That is why we are cutting corporation tax, increasing the employment allowance and setting a permanently higher investment allowance. It is also why last week we increased our support for industrial policy, including a boost for science, and announced that we had doubled small business rate relief again next year, helping 600,000 small businesses.
ParlaMint-GB_2015-12-01-commons.u4	How will my right hon. Friend help small businesses compete with the de facto subsidy that businesses with complex overseas tax structures get, which result in their paying no, or very low, tax in the UK, particularly given that Small Business Saturday is coming up this weekend?
ParlaMint-GB_2015-12-01-commons.u5	Small Business Saturday is an incredibly important initiative that everyone in this House should, and I am sure will, support on Saturday. My hon. Friend makes a good point about the international tax rules. The good news is that they have started to change. We have an agreement in the OECD, and Britain is among the countries implementing those changes first. The best example of that is the diverted profits tax, which is already raising revenue and tackling the big multinationals that do not pay their fair share of tax in the UK. At the same time we are cutting taxes for small businesses, for example by increasing the employment allowance.
ParlaMint-GB_2015-12-01-commons.u6	Thanks to the Government’s long-term economic plans, we have seen a record number of company registrations in my constituency, with 202 companies registered in Gillingham in the first quarter. One company, MEMS, which the Chancellor visited with me, has asked me to ask him to clarify the Government’s position on the annual investment allowance for businesses. Will the Chancellor do that?
ParlaMint-GB_2015-12-01-commons.u7	It is fantastic to hear the good news coming from Gillingham, and to hear about the new companies being registered and the jobs being created there thanks to the strong economy, the long-term economic plan that my hon. Friend refers to, and a strong Member of Parliament making sure that the infrastructure comes to that part of Kent. The annual investment allowance will now be set at £200,000, a permanent rate much higher than the one we inherited from the last Government. It will help companies like the fantastic MEMS business, which I visited with my hon. Friend, to continue to grow and expand.
ParlaMint-GB_2015-12-01-commons.u8	The Chancellor announced some significant tax rises for business in his spending review, and also cut quite a lot of business grants through his spending settlement for the Department for Business, Innovation and Skills, but will he give an explanation of table 3.7 of the Office for Budget Responsibility Blue Book? It downgrades productivity for the UK economy—productivity per hour is due to fall from the OBR’s previous forecast for 2016 and 2017 and 2018. What is the reason for that?
ParlaMint-GB_2015-12-01-commons.u9	The OBR has made its assessment, but what it shows is that productivity growth picks up through this Parliament. The hon. Gentleman and I have had many discussions about this, and I think we are actually in agreement that productivity is a long-term challenge for the UK and has been a challenge for many decades. We are trying to solve that by measures like the apprenticeship levy which will be one of those so-called taxes he describes. It is not a tax in that people get their money back if they have enough apprentices, so it is a levy, and it is the kind of thing we need to try to deal with the productivity challenges in the UK.
ParlaMint-GB_2015-12-01-commons.u10	As part of his look at fiscal steps to support businesses, will the Chancellor give favourable consideration to the extension of the rural fuel rebate scheme to regions that have not already been considered?
ParlaMint-GB_2015-12-01-commons.u11	I am very happy to give consideration to that. We are operating within the maximum flexibility that we believe the European Union rules allows us on this. Any postcode that possibly qualified we put forward for the scheme we introduced in the last Parliament, but I am happy to look at specific cases in Northern Ireland to see if they qualify, too.
ParlaMint-GB_2015-12-01-commons.u12	The Chancellor said the apprenticeship levy is a levy, but of course what many businesses see is a 0.5% tax on employment collected through PAYE. Does the Chancellor think that is compatible with the tax lock? While he is answering that question, will he also say what estimate he has made of the cost of the apprenticeship levy to the public sector, which I cannot find anywhere in the Red Book?
ParlaMint-GB_2015-12-01-commons.u13	The fact that the apprenticeships levy is set up in such a way that a large company employing high-quality apprentices will be able to receive back from the Government more than it puts in sets it aside from classic payroll taxes. Indeed, it has been broadly welcomed by the business community, even though it accepts the additional burden it represents. That is going to be very important. We made the calculations for the impact on the public sector in our public finance projections, and I am happy to write to my right hon. Friend with the precise numbers.
ParlaMint-GB_2015-12-01-commons.u14	Will the Chancellor confirm that in addition to the 17% cut to the funding of the Department for Business, Innovation and Skills, the autumn statement did, as other Members have said, add £11 billion to the tax bill of businesses, in the area of business growth and skills, and mainly driven by the apprenticeship levy?
ParlaMint-GB_2015-12-01-commons.u15	I would have thought and hoped that the Scottish National party supported an apprenticeships levy whereby we use the money to create 3 million apprenticeships in this part of the United Kingdom and make sure that there are arrangements to pass the money to the Scottish Government so that they can improve skills in Scotland. But of course if one looks closely at the record of the SNP Government, one sees that they have been cutting further education places in Scotland. As usual, the SNP says one thing here and does something different in Scotland.
ParlaMint-GB_2015-12-01-commons.u16	The question was of course about the £11 billion extra tax cost for business and the cut to the Department for Business, Innovation and Skills—something the Chancellor does not want to talk about. Given that there was no increase in retail sales in the last quarter, that the CBI industrial trends survey is down, that consumer confidence is down, that the deficit in the trade in goods is a colossal £134 billion and that manufacturing output is down, why does this political Chancellor think that cutting BIS by 17% and adding £11 billion to business costs over the spending review period is even remotely sensible?
ParlaMint-GB_2015-12-01-commons.u17	Because we do not equate the health of the business sector with the size of the Business Department. We have increased the money going into innovation by raising the budget for the catapult centres, and we have boosted the budget for science, one of the great UK strengths, which would be undermined if Scotland became independent. I would make a further point. The hon. Gentleman asked about economic projections, but in the independent OBR forecast growth is up, jobs are up, living standards are up and wages are up. That is all part of a successful economic plan which is delivering the goods for the whole United Kingdom.
