ParlaMint-GB_2015-12-14-commons.u1	1. What support his Department is providing to the northern powerhouse initiative.
ParlaMint-GB_2015-12-14-commons.u2	The northern powerhouse is a project that runs across a number of Government Departments. The contribution made by this Department includes: the local growth funds, 11 of which are worth nearly £3 billion; the £400 million northern powerhouse investment fund; the devolution deals being agreed right across the north of England; and, of course, the doubling of the enterprise zones in the northern powerhouse announced in the spending review by my right hon. Friend the Chancellor of the Exchequer.
ParlaMint-GB_2015-12-14-commons.u3	Earlier this year, the Government invested over £113 million in high-performance computing in my constituency at the Hartree Centre, a joint venture between the Science and Technology Facilities Council and IBM bringing high skill, high wage jobs to Weaver Vale. Does my hon. Friend agree that investment in technology and science is key to the growth of the northern powerhouse?
ParlaMint-GB_2015-12-14-commons.u4	I commend my hon. Friend’s important and significant work in this area. He is a passionate advocate for his constituency and for investment in it. This is just one more example of Government investment in the north to build the northern powerhouse and rebalance our economy. As we saw in the autumn statement, science and innovation spending is being protected. We are investing in the economic growth of the future. This is a great example of that and my hon. Friend deserves commendation for the work he has done to deliver it.
ParlaMint-GB_2015-12-14-commons.u5	Will this Government stop patronising the north? We are a powerhouse. Give us the investment in infrastructure. We are the people who still make things in this country. We make the wealth of this country. Many people in this part of the world—London and the south—live parasitically on our efforts. Stop patronising, start investing!
ParlaMint-GB_2015-12-14-commons.u6	I welcome the hon. Gentleman’s enthusiasm for the northern powerhouse project. The Government recognise the potential of the north to drive our economy. The north can make a difference if it is invested in, and, crucially, if the people of the north are given real control over their own future. That is what we are doing. That is what the devolution agenda is about and what some of the investments I spoke of are about. We are going to deliver it. It will make a real difference to his constituents and to mine.
ParlaMint-GB_2015-12-14-commons.u7	What support are the Government giving to small businesses in the northern powerhouse area to ensure that they benefit from all the procurements that will come from it?
ParlaMint-GB_2015-12-14-commons.u8	The hon. Lady raises an important point. The £400 million northern powerhouse investment fund will be targeted specifically at small and medium-sized enterprises. Growth hubs across the north are driving that investment and giving that support. We want our big industries to succeed and drive forward our economy, but our small and medium-sized enterprises are important too. We want to invest in them and give local people the controls they need to ensure they can reach their potential.
ParlaMint-GB_2015-12-14-commons.u9	The Minister will be aware that the Scottish Government procure 46% from small and medium -sized enterprises compared to the UK Government’s 26%. Will he look at the Glasgow and Clyde Valley city deal, which has a supplier development programme to encourage SMEs?
ParlaMint-GB_2015-12-14-commons.u10	City deals can be key drivers for growth. I welcome those that have already been agreed and we continue to have talks, including with some of the great cities and city regions in Scotland, on where we can go further and what more we can do. I hope we can deliver more in due course, because we can already see the difference the deals are making.
ParlaMint-GB_2015-12-14-commons.u11	On behalf of the whole House, we thank all hard-pressed and often low-paid council staff and others who even now are helping those areas of the north so badly affected by the recent flooding In contrast to the rhetoric about the northern powerhouse, the Office for National Statistics recently reported that the north is falling further behind as a result of under-investment and that it is getting worse. The average Londoner now produces £42,000 a year added value, while in the north-east the average is only £18,000. In the place of more cuts, will the Minister now include specific, substantial and urgent northern investment in his local government settlement later this week?
ParlaMint-GB_2015-12-14-commons.u12	The hon. Gentleman raises the important point that our economy has for too long been unbalanced. The whole point of the northern powerhouse project is to address that imbalance, ensuring we unlock the significant growth potential that exists across the north and the contribution the northern powerhouse can make to our economy. We can see, from a number of the announcements, that that investment is going in, but more importantly it is going in hand-in-hand with local control, giving control to the people who know best how to grow the economies of the north because they live in them and are part of them.
ParlaMint-GB_2015-12-14-commons.u13	I call Mr Stephen Phillips. Not here. Oh dear. Where is the fellow?
ParlaMint-GB_2015-12-14-commons.u14	3. What recent assessment he has made of the effect of changes to the level of funding for fire and rescue services on the effectiveness of those services.
ParlaMint-GB_2015-12-14-commons.u15	6. If he will take steps to minimise future reductions in the budgets of fire and rescue services.
ParlaMint-GB_2015-12-14-commons.u16	Fire authorities have continued to provide an excellent service while making sensible savings. The number of incidents is 42% lower than 10 years ago, while the number of fire deaths and injuries is at an all-time low.
ParlaMint-GB_2015-12-14-commons.u17	The existing grant distribution formula disproportionately penalises grant-dependent authorities such as Cleveland, regardless of socioeconomic deficits, unparalleled levels of industrial risk and/or their efficient performance. What assessment will the Minister make to identify less efficient authorities that can make savings and, more importantly, what capacity grant-dependent authorities have to make further savings?
ParlaMint-GB_2015-12-14-commons.u18	I take this opportunity to pay tribute to the magnificent work of firefighters, who, with the other emergency services, council staff, engineers, the armed forces, and indeed the whole community, have worked tirelessly to protect and help people during the flooding in the north of England Over the past five years, fire authorities have had spending reductions of less than local authorities. I have given the hon. Gentleman figures showing how well they have performed and managed those cuts, and the National Audit Office has said that the picture is one of financial health. In Cleveland, for example, the fire authority’s spending power is £48 per head of the population, compared to the national average of £37. So that is reflected in the formula.
ParlaMint-GB_2015-12-14-commons.u19	The Minister mentioned the cuts to fire services over the years and said he took great pride in their work, particularly in places such as Cumberland, so I think he should award them a decent wage increase. What guarantee can he give that local fire and rescue services will not be negatively impacted if taken over by local police and crime commissioners?
ParlaMint-GB_2015-12-14-commons.u20	As the hon. Gentleman knows, we are consulting across the country on whether to remove barriers to better local collaboration between all the blue light services. Such collaboration would be initiated locally, where it is wanted, for the purposes of providing a better service, if those changes would help.
ParlaMint-GB_2015-12-14-commons.u21	Will the Secretary of State confirm that greater collaboration between the fire service and the police service necessary to reduce costs will not end the distinction between firefighters and police officers?
ParlaMint-GB_2015-12-14-commons.u22	I can certainly confirm that. They are two distinct services with proud and distinct histories, but, as I think my hon. Friend would acknowledge, the opportunities for them to work together should be taken, whenever it could make a difference to people on the ground.
ParlaMint-GB_2015-12-14-commons.u23	I was greatly encouraged by what the Secretary of State said about amalgamating services, particularly with local authorities. Wiltshire fire service has been in discussion with the first-class, Conservative-controlled Wiltshire Unitary Council. Will he encourage the fire service, which has also been negotiating with Dorset council, to seek to find areas of co-operation with Wiltshire council?
ParlaMint-GB_2015-12-14-commons.u24	That is a matter for the local services. The consultation proposes requiring that those discussions take place, but it is up to them what they conclude.
ParlaMint-GB_2015-12-14-commons.u25	I also pay tribute to the magnificent response of fire and rescue services to the floods in Cumbria and other northern areas. Fire and rescue services are rescuing people, pumping out water from flooded high streets and homes and rescuing livestock, thus limiting damage to rural communities, yet all those fire and rescue services have suffered cuts over the last five years. We have lost nearly 7,000 firefighters—one in eight—and equipment and appliances have been cut by more than 12% in metropolitan fire and rescue services. The fire service is at a key juncture. It is not safe, effective or efficient simply to keep cutting resources. Does the Secretary of State agree that more cuts will further damage the service’s ability to meet the risk in local major incidents, such as the recent floods, and will he commit to providing adequate resources so that the service can continue to contribute to national resilience on the scale and at the speed the public expect?
ParlaMint-GB_2015-12-14-commons.u26	I would draw the hon. Lady’s attention to the National Audit Office report, which was published quite recently. It says that the picture to date is one of financial health and that “fire authorities have not changed emergency response standards as a result of budget cuts” The evidence is that all but one stand-alone fire authority increased its reserves by 67% in real terms from 2010 to 2015. That tells me that the fire services are coping well with the reductions they have been invited to make.
ParlaMint-GB_2015-12-14-commons.u27	I have lost confidence in the Staffordshire fire authority, which has decided to build a brand new fire station in Lichfield, but to reduce the number of appliances to half of what it is presently. Will my right hon. Friend work with Matthew Ellis, the police and crime in commissioner in Staffordshire, who has good, positive plans to combine the police and fire services for the betterment of the whole county?
ParlaMint-GB_2015-12-14-commons.u28	That is the purpose of the consultation that we have embarked on: to remove the barriers that have prevented that kind of collaboration. I am very interested in what my hon. Friend has to say about the proposals in Staffordshire.
ParlaMint-GB_2015-12-14-commons.u29	4. What assessment he has made of the adequacy of Government investment in affordable housing.
ParlaMint-GB_2015-12-14-commons.u30	13. What recent progress his Department has made on increasing the provision of affordable housing.
ParlaMint-GB_2015-12-14-commons.u31	18. What assessment he has made of the adequacy of Government investment in affordable housing.
ParlaMint-GB_2015-12-14-commons.u32	We have successfully delivered 270,000 affordable homes since 2010. More specifically, the 2011 to 2015 affordable homes programme delivered 193,000 affordable homes, exceeding expectations by some 23,000.
ParlaMint-GB_2015-12-14-commons.u33	It is no surprise that the Minister is so keen to crow about his numbers of affordable homes, but I can assure him that, in Sheffield, £250,000 is not considered affordable. Will he therefore introduce a statutory definition of affordability based on average income, not market rate?
ParlaMint-GB_2015-12-14-commons.u34	I think the hon. Lady is referring to the maximum price for a starter home. If she looks, she will see that the average paid by first-time buyers is dramatically lower, which, along with the 20% discount we are introducing for starter homes linked to Help to Buy, makes buying a home affordable again for more people.
ParlaMint-GB_2015-12-14-commons.u35	In Worcester, according to city council figures, 260 new affordable homes were delivered in the last financial year, a record for any year since 1997. That record was delivered by a Conservative administration the year after a Labour-Liberal Democrat coalition delivered just 76 new affordable homes. Please can the Minister advise us how he will support well led councils such as Worcester to keep delivering more affordable homes?
ParlaMint-GB_2015-12-14-commons.u36	My hon. Friend gives a good example of a good, well run local authority delivering housing for its constituents. We are determined to stand by those authorities and work with them. That is why I am delighted that the Chancellor committed a further £8 billion in the spending review to deliver 400,000 affordable homes across the country.
ParlaMint-GB_2015-12-14-commons.u37	Given that average property prices in London have exceeded half a million pounds, first-time buyers will need to earn at least £70,000 a year to buy their first home. Does the Minister consider that affordable and, if not, what effective action will he take to put home ownership within the reach of the many and not just the few at the top?
ParlaMint-GB_2015-12-14-commons.u38	I am glad that the hon. Gentleman is now joining our call to build more homes that are affordable for people. Starts are up some 57% in his constituency since 2010, which is a good start, but we want to go even further. That is why we want to deliver more shared ownership, giving people a wider opportunity to get on the housing ladder, along with the 20% discount on starter homes through Help to Buy on just a 5% deposit.
ParlaMint-GB_2015-12-14-commons.u39	Some Opposition Members believe that homes can be made more affordable, particularly in London for example, by returning to the bad old days of rent controls. Will the Minister assure me and many other Members of the House that the Government have no intention of giving powers to any future Mayor to reintroduce rent controls in London?
ParlaMint-GB_2015-12-14-commons.u40	As my hon. Friend will know, we are very keen to see more and more localism and devolution of power, but I am happy to tell him that this Government will not allow us to fall into the trap that Labour often encourages people to fall into. The reality is that rent controls simply drive supply down and end up increasing rents, so we are very much against them and they will not be allowed under this Government.
ParlaMint-GB_2015-12-14-commons.u41	The Minister has talked about extra housing investment, and I would not want him or the Chancellor, who has said the same thing, to mislead the House. After the Chancellor’s autumn statement, the annual housing investment from the Government will be £1.7 billion. Under the money inherited in 2010 from Labour, it was £3.1 billion—not an increase, but a cut; not a doubling, but almost a halving. Does the Minister agree, therefore, that this must be the reason why his Government have built 30,000 fewer affordable homes to buy via shared ownership than Labour did in our last five years?
ParlaMint-GB_2015-12-14-commons.u42	I am somewhat surprised that the right hon. Gentleman should ask a question of that type, bearing in mind that he was the Minister who oversaw the lowest level of housing starts in this country since the 1920s. What the Chancellor has now done has meant that this Government are overseeing the biggest building programme in about 30 years.
ParlaMint-GB_2015-12-14-commons.u43	The Minister is wrong on the big picture as well. Under our national affordable housing programme, the number of homes built each year was bigger than under the last Government when he was the Minister. The hard truth is that for so many people, the dream of buying their own home is totally unaffordable and out of reach. Now the hon. Gentleman plans to fiddle the figures again by changing the definition of “affordable” to include so-called “starter homes” that can be sold at up to £450,000. Will he at least agree with Labour and the Building Societies Association, whose members will lend for these homes, that the discount on these starter homes should be permanent, not a cash windfall at the end of five years, but there for the next generation of first-time buyers as well?
ParlaMint-GB_2015-12-14-commons.u44	I am afraid that the right hon. Gentleman and I have a big disagreement on this. He seems to want to stop property owners having the right to deal with their property in the way that any other property owner would, but we want to support people who aspire to own their own home. That is why we want to keep building more homes generally and keep building more homes for people at that discount rate for first-time buyers. We are proud that under the Conservative-led coalition during the last Parliament, we oversaw an increase in affordable homes—unlike the loss of 420,000 that we saw under 13 years of Labour.
ParlaMint-GB_2015-12-14-commons.u45	5. What steps his Department is taking to (a) support shared ownership and (b) help people to buy a home.
ParlaMint-GB_2015-12-14-commons.u46	The autumn statement confirmed £8 billion for over 400,000 affordable homes, including 135,000 new shared ownership homes and £2.3 billion towards delivering 200,000 starter homes. Our Help to Buy ISA scheme, launched on 1 December, means that we have a Help to Buy equity loan scheme as well, which is being extended through to 2020-21. That means that just a 40% equity is being provided by the Government for people in London, and that will be launched in 2016.
ParlaMint-GB_2015-12-14-commons.u47	I was very pleased recently to attend the opening of Prospect House in Cheadle Hulme—a brand new development of 11 apartments available for shared ownership, and I welcome further measures introduced by the Government to expand this scheme. What steps is the Minister taking to encourage local authorities to build more shared ownership housing and ensure that these developments utilise brownfield sites?
ParlaMint-GB_2015-12-14-commons.u48	I am happy to respond. We will relax or remove local authority restrictions to shared ownership to make it easier for people to find the right home for their families. Brownfield land has an important role in meeting housing need, and we are committed to ensuring that 90% of suitable brownfield sites have planning permission for housing by 2020.
ParlaMint-GB_2015-12-14-commons.u49	7. What assessment he has made of trends in the number of homes built for social rent since 2010.
ParlaMint-GB_2015-12-14-commons.u50	Since 2010, we have delivered 270,000 affordable homes, including nearly 200,000 homes for rent. The majority of rented homes, delivered through the affordable homes programme, are for affordable rent, delivering more homes for every pound of Government investment. The spending review committed some £1.7 billion to deliver 100,000 affordable rented homes.
ParlaMint-GB_2015-12-14-commons.u51	Let me draw the Minister’s attention to the question I asked, which was about social rented housing, not affordable rented housing. Will he confirm that during the last Parliament, the only social rented houses built had been funded before the 2010 general election, and that there is no funding at all for social rented housing in the comprehensive spending review for this Parliament? Does the Minister accept that the combination of the policies of Right to Buy for housing association tenants and the sell-off of high-value council properties means fewer social rented homes being available for people and longer waits on the waiting list for those people who want one?
ParlaMint-GB_2015-12-14-commons.u52	Actually, there was a 70% increase in social housing waiting lists under the last Labour Administration, and thanks to the flexibilities we have created, it has fallen. We also saw more social council housing built in the last Parliament than in the entire 13 years of Labour Government before that, and there is still over £2 billion of headroom in the housing revenue account for local authorities to go further and build more. I encourage them to do so.
ParlaMint-GB_2015-12-14-commons.u53	The building of genuinely affordable homes for social rent in this country has plummeted, and no matter how much the Minister tries to dress up the Government’s record, his Department’s figures are clear and speak for themselves. In 2010, more than 38,000 homes were built for social rent, but by 2014-15, that figure was a truly dismal 9,500. The Housing and Planning Bill makes it virtually impossible to build homes for social rent. There was also the disgraceful sneaking out last week of proposals to end secure tenancies for local authority tenants. What exactly do this Government have against people who rely on social housing to make ends meet, and when is the Minister going to address the huge shortfall in social housing units?
ParlaMint-GB_2015-12-14-commons.u54	As I said a few moments ago, in the last five years of Conservative government more council homes were built than in the entire 13 years of Labour government, during which the number of affordable homes dropped by 420,000. There is still more than £2 billion of borrowing headroom enabling local authorities to build more. We have made it clear that we will help all those who aspire to own their own homes by extending the right to buy and delivering starter homes throughout the country.
ParlaMint-GB_2015-12-14-commons.u55	9. What assessment he has made of the effect of policies in the spending review and autumn statement 2015 on his Department's expenditure on policies and services which in Scotland are devolved to the Scottish Government.
ParlaMint-GB_2015-12-14-commons.u56	As the hon. Gentleman will know, the services of this Department are devolved to Scotland, so there are Barnett consequentials of spending decisions that affect the Department. As a result of the spending review, the Scottish Government’s capital budget will increase by 14%.
ParlaMint-GB_2015-12-14-commons.u57	The Chancellor confirmed in the autumn statement the extension of the right to buy to housing associations, thereby effectively privatising them. As we all know, the existing right to buy has decimated social housing stock throughout the United Kingdom. The Scottish Government recognised that, and abolished the right to buy. Given that the new discounts and the so-called one-for-one replacements are not being financed by additional Government funding, will the Minister explain what effect the Chancellor’s proposals will have on housing in Scotland?
ParlaMint-GB_2015-12-14-commons.u58	The hon. Gentleman is right to draw attention to the policy intention to replace homes on a basis of at least one for one, which is greatly welcomed by Conservative Members. As I have said, the spending review will have a Barnett consequentials impact on the Scottish Government’s capital budget, amounting to £1.9 billion, which is in addition to the borrowing powers they already have. That will enable them to deliver on what they want to do for Scotland—just as we want to deliver on our objectives and manifesto priorities in England and Wales.
ParlaMint-GB_2015-12-14-commons.u59	10. What steps he is taking to ensure that new developments do not affect the risk of flooding to existing properties.
ParlaMint-GB_2015-12-14-commons.u60	There are strict tests in national planning policy to protect people and property from flooding, which all councils are expected to follow. They include ensuring that new development does not increase flood risk elsewhere.
ParlaMint-GB_2015-12-14-commons.u61	In my experience, the Environment Agency often does not object to a planning application even when the area on which building is proposed floods, and especially when other areas could be caused to flood by the development in question. Will the Secretary of State look into the agency’s policies and practice in this regard?
ParlaMint-GB_2015-12-14-commons.u62	I will certainly do that. I recognise my hon. Friend’s constituency experience, and, indeed, his expertise as vice-chairman of the all-party parliamentary group on flood prevention. However, the national planning policy framework states that any new application in an area of flooding risk “must demonstrate that the development will be safe for its lifetime…without increasing flood risk elsewhere, and, where possible, will reduce flood risk overall.” That test must be passed for the development to be permitted.
ParlaMint-GB_2015-12-14-commons.u63	Is it not time to recognise the fantastic work that firefighters do in dealing with floods, and to make it a statutory duty for fire and rescue services to respond to flooding?
ParlaMint-GB_2015-12-14-commons.u64	I am grateful for the opportunity that the hon. Gentleman offers me to pay tribute again to the fantastic work that is being done in the north of England, and which has, over the years, been done throughout the country at times when such emergencies occur. I will bear in mind what he has said, and it will be considered during our future discussions.
ParlaMint-GB_2015-12-14-commons.u65	Loyn bridge, in Gressingham—which is in my constituency —has been partly washed away, and the roads on either side of it have caved in because of the flooding. Will my right hon. Friend assure me that everything will be done to ensure that the repairs are completed as quickly as possible, as the bridge is the main thoroughfare across the Lune valley?
ParlaMint-GB_2015-12-14-commons.u66	I will indeed. I note the leadership that my hon. Friend has shown in, and with, his community in responding to those conditions. We are determined to ensure that things are put right with the greatest dispatch, and we are working closely with the authorities throughout the area. The funds that have been made available so far will allow an assessment of what is required for restoration to be made, which will be followed by the repairs themselves.
ParlaMint-GB_2015-12-14-commons.u67	Does the Secretary of State think it is right that the Government are helping new people buy their own home under the Help to Buy scheme, but those very same people will not be eligible for flood insurance under Flood Re, which his Government are introducing in April?
ParlaMint-GB_2015-12-14-commons.u68	The negotiation with the insurance companies has been very clear: we want to make sure that everyone in the country can benefit from the insurance that gives them peace of mind when they buy a new property.
ParlaMint-GB_2015-12-14-commons.u69	11. What plans his Department has to increase the role of local communities in planning decisions.
ParlaMint-GB_2015-12-14-commons.u70	Over 1,700 communities are preparing neighbourhood plans to shape development in their area. These will form part of the development plan and be used to determine planning applications. The Housing and Planning Bill reforms will speed up and simplify the process and allow communities better to engage in local planning.
ParlaMint-GB_2015-12-14-commons.u71	The Minister will be aware that the planning inspector has deferred a decision on Chippenham’s housing development plan and has asked Wiltshire council to come back after a few queries. During this time, what measures could be put in place to ensure we do not have a free-for-all of aggressive planning applications against the best interests of the strategy of the town?
