ParlaMint-GB_2015-12-14-lords.u1	To ask Her Majesty’s Government whether they have plans to reform Sunday trading laws.
ParlaMint-GB_2015-12-14-lords.u2	My Lords, over the summer the Government consulted on proposals to devolve the power to extend Sunday trading hours to local areas. We are carefully considering the responses to the consultation and will publish our plans in due course.
ParlaMint-GB_2015-12-14-lords.u3	Do the Government not believe in cutting red tape and devolving powers to local authorities? Does the Minister agree that we are a multicultural society and England should be as liberal as Scotland in Sunday trading laws? Will she assure the House that she is not going to put the interests of the SNP before the convenience of English and Welsh consumers and the economy of England and Wales?
ParlaMint-GB_2015-12-14-lords.u4	My Lords, the noble Baroness is right to mention the Scots, who already have deregulated Sunday trading hours, but I emphasise again that we are looking at this carefully in light of the consultation. Our proposal is to make the decision a local one.
ParlaMint-GB_2015-12-14-lords.u5	My Lords, is it wise to tamper with what has been described as the great British compromise which the current Sunday trading law represents?
ParlaMint-GB_2015-12-14-lords.u6	My Lords, I think my noble friend was saying that he likes the current compromise, which does have a balance. Equally, there have been a number of changes in recent years, not least the enormous number of sales over the internet, which continue to grow—by 15% this year. The Government are rightly looking at the issue again to see if there should be more local choice, not least to encourage sales to tourists.
ParlaMint-GB_2015-12-14-lords.u7	My Lords, the Minister will recall that the last time a Conservative Government yielded to the supermarkets, the main points of controversy were protecting the terms and conditions of employment of workers in the retail industry, and protecting those who have a conscientious objection to working on a Sunday. What provision will be made in respect of these two matters?
ParlaMint-GB_2015-12-14-lords.u8	My Lords, we have made it clear in our consultation that shop workers who want to work on Sundays will have greater choice to work more hours, but that those who do not wish to work on Sundays will continue to be protected. This important point comes through from the consultation.
ParlaMint-GB_2015-12-14-lords.u9	My Lords, the Liberal Democrats understand the Government’s considering allowing this decision to be made at a local level. However, we are concerned that this power, if given, could be seen as a boon to out-of-town traders. Will the Minister reassure us that any devolution will come with strict caveats on its use to ensure that local authorities focus on benefiting small independents and not out-of-town shopping malls?
ParlaMint-GB_2015-12-14-lords.u10	My Lords, under our proposals, this would be a matter for local authorities. I know that they have different views on how to benefit their local economies and SMEs, but actually, this measure could be good for SMEs, particularly in areas with great tourism potential, where the footfall would help small companies—not only retail shops but restaurants and leisure outlets, for example.
ParlaMint-GB_2015-12-14-lords.u11	My Lords, would a useful reform be to go back to the good old days when people were paid double time for working on Sunday; then, shops, in the main, would not want to open? If I introduced a Private Member’s Bill, would the Government support me?
