ParlaMint-GB_2015-12-15-commons.u1	1. What steps he is taking to support higher-level skills in further education.
ParlaMint-GB_2015-12-15-commons.u2	I am sure the whole House will want to join me in sending its best wishes to Major Tim Peake, who successfully blasted off towards space just 30 minutes ago. [Hon. Members: “Hear, hear.”] We are reforming technical education and establishing clear routes into higher-level skills and employment. We are spending £2.5 billion on apprenticeships—double the amount in 2010—and £1.5 billion on adult skills, growing degree and higher apprenticeships and establishing specialist colleges.
ParlaMint-GB_2015-12-15-commons.u3	I join the whole House in sending the Secretary of State’s good wishes to our fellow countryman Under the Conservatives, Lincoln’s improved educational map offers the young people of Lincoln myriad—nay, a plethora of—opportunities. Does the Secretary of State agree that prioritising funding for young adults, the low-skilled and those actively looking for work is the right thing for a Conservative Government to do?
ParlaMint-GB_2015-12-15-commons.u4	I absolutely agree with my hon. Friend, who I know cares passionately about skills for young adults. He will be pleased to know that we rightly prioritised spending on further education in the recent spending review, which will enable colleges, such as Lincoln college in his constituency, to offer more to young people.
ParlaMint-GB_2015-12-15-commons.u5	Further education colleges are vital for apprenticeships in engineering and construction, in which there is an acute shortage of skills across the country. What assessment has the Secretary of State made of the cuts in funding to FE colleges in terms of delivering this much-needed agenda?
ParlaMint-GB_2015-12-15-commons.u6	I am surprised that the hon. Gentleman is talking about cuts in FE spending. I know that is what Labour was scaremongering about just a few weeks ago, but we have actually protected the adult education budget in cash terms, we will double spending on apprenticeships by 2020 and we have extended the availability of advanced learner loans. Taken together, this will mean a 35% real increase in FE spending by 2020 compared with this year.[Official Report, 5 January 2016, Vol. 604, c. 1-2MC.]
ParlaMint-GB_2015-12-15-commons.u7	22. I welcome the removal of the cap on university places, but what assessment has my right hon. Friend made of the effect on further education colleges, such as Wiltshire college in my constituency, given that they are fishing from the same pool in terms of vocationally based diplomas and apprenticeships
ParlaMint-GB_2015-12-15-commons.u8	I welcome my hon. Friend’s question. We have seen an increase in that, especially in FE colleges that offer higher education courses, which is exactly the kind of diversity and growth we want.
ParlaMint-GB_2015-12-15-commons.u9	But as ever, it is smoke and mirrors with this Secretary of State. He knows that the Chancellor has announced an extra £360 million of savings from the adult skills budget, so will he come clean and tell us where those cuts will be made?
ParlaMint-GB_2015-12-15-commons.u10	The Department will shortly issue a skills funding letter answering some of the hon. Gentleman’s questions, but perhaps he missed the point that I just made: the adult education budget is protected in cash terms, we will double spending on apprenticeships by 2020 and the FE budget will be up by the end of the Parliament in real terms.
ParlaMint-GB_2015-12-15-commons.u11	2. What steps he is taking to ensure that the Government receives value for money from its funding of the Met Office.
ParlaMint-GB_2015-12-15-commons.u12	The Met Office plays a key role in our economy. A recent review of the public weather service assessed it as delivering up to £1.5 billion of annual value. As the shareholder for the Met Office, I and my officials regularly hold it to account and ensure it delivers value for money for the taxpayer.
ParlaMint-GB_2015-12-15-commons.u13	The BBC, no less, reported in 2012 that in 11 out of the previous 12 years predictions about increases in temperature had been wrong and that there had been a warm bias. Does the Secretary of State, as the shareholder, agree that he should be asking some tough questions at the board meeting about why we should be imposing expensive climate change policies on businesses and householders, when so often the predictions behind them are proved to be inaccurate?
ParlaMint-GB_2015-12-15-commons.u14	I always like to ask tough questions, but I note there was flooding in my hon. Friend’s constituency recently, and the Met Office played a key role in helping the emergency services and protecting lives and property. Today is an opportunity to commend the Met Office for some of the work it does.
ParlaMint-GB_2015-12-15-commons.u15	3. What steps he is taking to promote trade opportunities for UK businesses.
ParlaMint-GB_2015-12-15-commons.u16	I chair the exports implementation taskforce, which is driving cross-Whitehall support for exports. In November, my noble Friend Lord Maude launched the five-year Exporting is GREAT campaign, which promotes real-time global export opportunities to business.
ParlaMint-GB_2015-12-15-commons.u17	In November, I hosted an event in my constituency with the China-Britain Business Council to which I invited small businesses to come and find out more about trading with China. The all-party parliamentary group on China is aiming to help 50 Members to organise similar events. Can my right hon. Friend tell me how his Department plans to make good use of our new trading relationship with China to help small businesses expand into these vital global markets?
ParlaMint-GB_2015-12-15-commons.u18	Let me commend my hon. Friend on her efforts to encourage businesses in her constituency to export more to China. While exports to China have doubled in the last five years, there is a lot of potential and a lot more that we can do. The recent visit by the Chinese President helped to highlight that, and the effort that my hon. Friend is making with UK Trade & Investment, the China-Britain Business Council and others provides an example to us all.
ParlaMint-GB_2015-12-15-commons.u19	What steps has the Secretary of State taken since the steel summit to increase trade opportunities for the UK steel sector?
ParlaMint-GB_2015-12-15-commons.u20	The hon. Gentleman makes an important point. The more we can export of higher-value steel products, the more we can help. We have been discussing this with UKTI and steel producers. We are coming up with a plan, and this will certainly feature in the trade meetings we have in due course.
ParlaMint-GB_2015-12-15-commons.u21	Next month, I will be jointly hosting an event with UKTI to encourage more local Cannock Chase businesses to consider exporting. Will my right hon. Friend outline what the Government are doing to encourage new businesses to export?
ParlaMint-GB_2015-12-15-commons.u22	I can talk about a number of initiatives, including the Exporting is GREAT website and the roadshow that will visit constituencies up and down the country. There is obviously also the work that UKTI is doing. Most recently, I helped to launch the midlands engine scheme, which I know my hon. Friend will welcome. We released more money to help that region with exports, including a midlands engine roadshow.
ParlaMint-GB_2015-12-15-commons.u23	As part of the work of the export implementation group, will the Secretary of State explore with the Secretary of State for Environment, Food and Rural Affairs all options to access new markets for all our farm produce in north America and south-east Asia?
ParlaMint-GB_2015-12-15-commons.u24	Absolutely. The hon. Lady makes an important point. I know that the Secretary of State for Environment, Food and Rural Affairs has been taking this matter very seriously. One thing we have done recently is to move some of the UKTI resources into my right hon. Friend’s Department so that there is better co-ordination.
ParlaMint-GB_2015-12-15-commons.u25	I recently talked to a senior Indian businessman and asked him how we could increase trade with India. He said that the one thing we could do was to leave the EU because of the restrictions. Will the Secretary of State, either as Secretary of State or personally, endorse his comment?
ParlaMint-GB_2015-12-15-commons.u26	I spoke to a lot of Indian businessmen and women and many Indian students last week. There is certainly one area in respect of which we could certainly increase our exports to India, and that is education.
ParlaMint-GB_2015-12-15-commons.u27	It is all very well, but it is not working, is it? The UK’s latest balance of trade deficit is widening. It was up to £2.4 billion in the last quarter. Exports of goods—[Interruption.] Perhaps the Minister for Small Business, Industry and Enterprise should have a little listen to this. Exports of goods from the UK actually fell last month by £700 million. It is a pity we cannot export spin, because the Government are very good at that. The “march of the makers” was very good, and now we have the “midlands engine”. What is the Secretary of State’s excuse for the Government’s dismal record on the trade deficit?
ParlaMint-GB_2015-12-15-commons.u28	The hon. Gentleman should not do down our world-class exporters. They are doing a fantastic job. Let me give him a few examples of what they can export. They can export wine to France, chocolate to Belgium and even boomerangs to Australia, although I fear that it is sometimes the same boomerang that keeps coming back.
ParlaMint-GB_2015-12-15-commons.u29	4. What steps he is taking to improve standards in apprenticeships.
ParlaMint-GB_2015-12-15-commons.u30	We have given employers control over apprenticeship standards and require all apprenticeships to last at least 12 months and involve substantial off-the-job training. We will be setting up an independent, employer-led institute for apprenticeships to approve standards and assure quality in future.
ParlaMint-GB_2015-12-15-commons.u31	I thank the Minister for that response, and I welcome the fact that there have been nearly 1,100 apprenticeship starts in north Warwickshire and Bedworth over the last 12 months. However, I know that local businesses are concerned that the focus might be on quantity rather than quality. What assurances can the Minister give to my constituents, especially those in highly skilled engineering, that that will not be the case?
ParlaMint-GB_2015-12-15-commons.u32	There is, in fact, no innate tension between quantity and quality. We want better quality, because that will mean more employers wanting to offer apprenticeships, such as BMW in my hon. Friend’s constituency. I strongly welcome the very high-quality apprenticeships that it is creating.
ParlaMint-GB_2015-12-15-commons.u33	As the Minister will know, Ofsted has said that apprenticeships are not good enough at present, and many people in industry believe that the only way to hit the 3 million target is to water down quality further. What reassurance can the Minister provide?
ParlaMint-GB_2015-12-15-commons.u34	I welcome that question, because while it is true that Ofsted has highlighted some bad practice, that bad practice has been familiar to us all for a long time, and has inspired the reforms that we are introducing. All apprenticeship frameworks will be replaced by standards developed by employers. Training must last for more than 12 months, and at least 20% of it must be off-the-job training. We will also ensure that quality improves at all levels. I disagree slightly with the chief inspector’s implication that a level 2 apprenticeship is somehow not of high quality. Apprenticeships should be of high quality at all levels, and the existing level 2 apprenticeships increase people’s incomes by an average of 11% three to five years later.
ParlaMint-GB_2015-12-15-commons.u35	23. There were 970 new starts in my constituency last year, many of them in engineering and technology. That was an increase of 24% on the number of starts in the previous year. Will my hon. Friend join me in congratulating the new apprentices, and does he agree that those figures show that the Government are committed to high-quality apprenticeship places, such as those that are provided at Prospects college of advanced technology
ParlaMint-GB_2015-12-15-commons.u36	That was a stunning achievement in my hon. Friend’s constituency. I know that it was largely due to PROCAT, which is an excellent institution, and one of the first institutions to become a college for a long time. My visit to PROCAT was my first visit to a college in my current job, and if my hon. Friend invites me to return, I shall be happy to do so.
ParlaMint-GB_2015-12-15-commons.u37	I commend the Minister for establishing an institute for apprenticeships which will put employers at its heart, but may I suggest that he should consult trade unions and find ways of harnessing their insight and experience in this valuable area?
ParlaMint-GB_2015-12-15-commons.u38	As the hon. Gentleman knows, I greatly value the work that trade unions do in encouraging employees to take up training opportunities, which is why we continue to fund the important work of Unionlearn. I will certainly reflect on his suggestion, and will make some announcements shortly.
ParlaMint-GB_2015-12-15-commons.u39	Snap-on is a major United States manufacturer, developer and marketer of tools, and its UK headquarters are in Kettering. Given that it is seeking to increase its investment in apprenticeships throughout the country, will my hon. Friend accept an invitation to open its new £2 million facility in Kettering on 15 February?
ParlaMint-GB_2015-12-15-commons.u40	I am glad to say that Kettering is very close to my own constituency. If the Whips allow me, I will be there.
ParlaMint-GB_2015-12-15-commons.u41	5. What steps his Department is taking to support businesses which export.
ParlaMint-GB_2015-12-15-commons.u42	My Department is leading a cross-Whitehall work programme to support exports. For example, UK Trade & Investment connects UK businesses with export opportunities throughout the world. Over the next year, the UKTI export hub will travel around the country to give face-to-face assistance to first-time exporters.
ParlaMint-GB_2015-12-15-commons.u43	Feedback from businesses in my constituency suggests that there needs to be more support for small and medium-sized enterprises that export less than half a million pounds’ worth of goods. It suggests that once they are in the bracket of Government support, that support is short-lived, and is complicated by red tape. How would the Secretary of State respond to those businesses?
ParlaMint-GB_2015-12-15-commons.u44	I agree that we should always try to do more to help small and medium-sized enterprises, in particular, to export more. The hon. Gentleman may know that I recently led one of our first regional trade missions, the northern powerhouse trade mission, to the far east. It included not only the Greater Manchester chamber of commerce, but companies such as Televic Education, which is in his constituency.
ParlaMint-GB_2015-12-15-commons.u45	Fairline has a long history of exporting luxury boats across the world, but last week we heard the devastating news of 380 redundancies. While I hope that the administrator can identify a buyer, many of those employees have been laid off for significant periods with reduced pay. Will the Secretary of State do all that he can to ensure that the redundancy payments are expedited, especially given that Christmas is just around the corner?
ParlaMint-GB_2015-12-15-commons.u46	This is, of course, a very difficult time for the employees who have been affected. I will certainly look into the position, and, during discussions with any potential buyer, I will ensure that export opportunities are highlighted.
ParlaMint-GB_2015-12-15-commons.u47	Do the Government foresee any long-term difficulties with the transatlantic trade agreement with the United States if the Americans decide to export agri-food products into the UK?
ParlaMint-GB_2015-12-15-commons.u48	The hon. Gentleman will know that these discussions are still going on. By their very nature, they are complex, as two huge economic areas are involved, and so they will still take some time. Agri-products and all products of that nature need to be carefully looked at, so we have not reached a final point. It is worth remembering that once this deal is done, it can be worth up to £400 for every household in the UK each year.
ParlaMint-GB_2015-12-15-commons.u49	In my former career, I exported broadcasting equipment to 48 countries worldwide—no thanks to the EU and its regulations. Is it not the case that people need the chutzpah to export, and although the Department can give as much help as it can, people have actually to get out there and do it, and be confident in doing so?
ParlaMint-GB_2015-12-15-commons.u50	One thing we know is that my hon. Friend is not short of chutzpah, and I am glad he deployed it in his former career. He is absolutely right in what he says and he makes a key point: there is only so much the Government can do. We will do that and look for ways to provide even more support, but we want more and more companies to do everything they can, too.
ParlaMint-GB_2015-12-15-commons.u51	The Government’s so-called support for exports has seen grants converted to loans, and the sudden closure of the business growth service. Businesses supported by that service grew four times faster than other businesses, and the scheme created 83,000 jobs and added more than £3.5 billion to the national economy. As one BGS mentor says, “the service’s closure doesn’t make sense considering its huge success and may prove detrimental to Britain’s economic health.” What message does the closure of the BGS send to businesses that want to grow? Given the outstanding record of success, does the closure of the service not show a complete lack of understanding by this Government of what works on support for exports?
ParlaMint-GB_2015-12-15-commons.u52	I am glad the hon. Gentleman has raised the issue of the BGS, because although it was a good fee-earner for consultants, there is very little evidence to show that it helped businesses to grow. [Interruption.] There is little evidence that it was the best way to help those businesses. The best way to help businesses is to make sure that we continue to have a growing economy—our economy is growing faster than those of all our rivals—so one thing he can do is support our long-term economic plan. We are also providing funding to 39 local enterprise partnerships—all the LEPs—through growth hubs, which they can use for localised support, including export opportunities.
ParlaMint-GB_2015-12-15-commons.u53	6. What assessment he has made of the potential cost to businesses of implementation of the apprenticeships levy.
ParlaMint-GB_2015-12-15-commons.u54	Employers with a payroll bill of more than £3 million a year will be required to pay the new apprenticeship levy. It will raise £3 billion in 2019-20 to support apprenticeship training throughout the UK, including in Scotland.
ParlaMint-GB_2015-12-15-commons.u55	We do, of course, hope that the apprenticeship levy will provide the same opportunities for young people south of the border as the 25,000 who started a modern apprenticeship in Scotland this year have. Is the Minister aware of the Association of Employment and Learning Providers’ concerns that the number of small and medium-sized enterprises affected by the levy is likely to be much greater than originally thought? Will he give an undertaking to provide clear and early guidance to those, well in advance of implementation?
ParlaMint-GB_2015-12-15-commons.u56	I am delighted that the hon. Gentleman is proud of the 25,000 modern apprenticeship starts in Scotland, just as we are proud of the half a million starts we have had in the past year in England. This would suggest to me that we can both take pride in our commitment to apprenticeships. I hope he will welcome the fact that the apprenticeship levy will be generating resources, some of which will pass to Scotland to enable it to fund what I hope will be a dramatic expansion in the number of its apprenticeships.
ParlaMint-GB_2015-12-15-commons.u57	As the Minister will appreciate, the oil and gas industry faces distinct challenges at the moment. I know from my engagement with companies in the sector that there is significant concern that this levy may represent a second charge, with many oil and gas companies already paying levies to industry trading bodies. It also represents an additional cost to these companies at a time when controlling business costs is of paramount importance. Will he commit to meet me, along with my colleagues and a delegation from the industry, to hear their concerns and discuss how the apprenticeship levy scheme can be designed to take account of these circumstances?
ParlaMint-GB_2015-12-15-commons.u58	Of course I would be delighted to meet the hon. Lady and that delegation, but I will be asking them what they thought of her party’s plans for Scotland’s economy, which rested on oil prices at $100 a barrel and would now see an independent Scotland entirely bankrupt and probably scuttling to the International Monetary Fund.
ParlaMint-GB_2015-12-15-commons.u59	7. What steps he plans to take to make the efficiencies and savings in adult skills set out in the “Spending Review and Autumn Statement 2015”.
ParlaMint-GB_2015-12-15-commons.u60	We are protecting funding for adult education at £1.5 billion per year in cash terms. We are extending advanced learner loans to more adult learners and increasing spending on adult apprenticeships to £1.5 billion by 2019-20. As my right hon. Friend the Secretary of State says, this means that total funding for adult skills training will be 36% higher in the last year of this Parliament than in the first.[Official Report, 5 January 2016, Vol. 604, c. 2MC.]
ParlaMint-GB_2015-12-15-commons.u61	Salford city college was one of more than 100 further education colleges that wrote to the Prime Minister to protest at repeated year-on-year real-terms funding cuts to adult skills since 2010 amounting to 40%. Despite the promise not to cut adult skills funding for FE colleges, Treasury documents say that there will be £360 million of savings and efficiencies, as my hon. Friend the Member for Denton and Reddish (Andrew Gwynne) mentioned. After years of savage cuts, how can that be achieved?
ParlaMint-GB_2015-12-15-commons.u62	Like many other colleges, the hon. Lady’s college wrote to the Prime Minister before the spending review in response to the shroud waving by the Opposition, who predicted a 25% to 40% cut in the adult skills budget. If the hon. Lady had taken the trouble to attend my right hon. Friend the Chancellor’s spending review statement, she would have heard that he was protecting it in cash terms while increasing the funding for apprenticeships, which her college and others could bid for. If she spoke to her college, she would discover that, like all other colleges, it is pleasantly surprised by the funding settlement.
ParlaMint-GB_2015-12-15-commons.u63	Any credible long-term economic plan would recognise the critical importance of adult reskilling, but the Government have systematically cut adult skills by 40% since 2010, including a 24% cut in February this year in non-apprenticeship funding. That is probably why the Chancellor ducked out of making any reference to the further cuts in his autumn statement, leaving it to his Blue Book to talk about £360 million of efficiencies. Will the Minister say precisely what the £1.5 billion of core funding that he talks of is made up of? Does it include loans to over 25-year-olds, 50% of which we know will not be taken up?
ParlaMint-GB_2015-12-15-commons.u64	No
ParlaMint-GB_2015-12-15-commons.u65	8. What steps his Department is taking to establish a further education college in Sittingbourne.
ParlaMint-GB_2015-12-15-commons.u66	The House is making me earn my salary today We have launched a process of locally-led area reviews to consider each area’s skills needs and plan how further education colleges and sixth form colleges can best organise themselves to meet them. The Kent review is due to start in November 2016.
ParlaMint-GB_2015-12-15-commons.u67	I welcome the review. Sittingbourne is the largest town in Kent without its own FE college. However, we have a unique opportunity to change that. May I invite the Minister to visit the Swale skills centre in my constituency to learn about how, with the right help, it could easily and cheaply be extended into a small college?
ParlaMint-GB_2015-12-15-commons.u68	I have had a message from the Whips saying that they would be only too delighted for me to do further visits to hon. Members’ constituencies, so I would be delighted to visit my hon. Friend’s constituency. We do not hear the Opposition celebrating when new institutions open, including the Swale skills centre, which was set up by a very successful academies trust that is already doing a great job of running three local schools.
ParlaMint-GB_2015-12-15-commons.u69	9. What discussions he has had on the effect of freezing the threshold at which graduates repay their student loans.
ParlaMint-GB_2015-12-15-commons.u70	I consulted on the proposal to freeze the student loan repayment threshold and received responses from a wide range of interested parties. I considered those responses, as well as a detailed impact analysis, before deciding to proceed with the freezing of the threshold.
ParlaMint-GB_2015-12-15-commons.u71	Does the Secretary of State agree that if a commercial company had made a retrospective change to a contract in this way, costing students £6,000 in the process, there would likely be an investigation? Does he accept that, in doing so, he breached the trust of former, current and future students?
ParlaMint-GB_2015-12-15-commons.u72	What I accept is that these were the right set of changes. I considered the responses to the consultation carefully. It is important that we strike the right balance between the interests of the students, making sure that all who have the ability have the opportunity to go to university, and the interests of the taxpayer, ensuring that we have an affordable, sustainable funding system. That is exactly what the changes bring about.
ParlaMint-GB_2015-12-15-commons.u73	Despite the negative comments from the Opposition, can the Secretary of State confirm that this year record numbers of young people secured places at university, including record numbers of children from disadvantaged backgrounds?
ParlaMint-GB_2015-12-15-commons.u74	My hon. Friend is right. That is true of England. We have seen a record increase to 382,000 people in the past year, and the number of students from disadvantaged backgrounds has gone up from 9.5% to 18.2% in the past five years. In Scotland we have seen a fall in the number of students because Scotland does not have a funding system that allows all who want to go to university to do so.
ParlaMint-GB_2015-12-15-commons.u75	Given the report in The Independent on Sunday that Ministers in the Cabinet Office are desperately trying to find ways to increase the cap on tuition fees without proper debate and a vote in this House, can the Secretary of State confirm that any attempt to increase the cap on tuition fees will come back to this House for a full debate and vote? Can he also confirm that Government proposals in the autumn statement to extend tuition fees to nurses, midwives and students of allied health subjects will be subject to a proper debate and a vote in this House?
ParlaMint-GB_2015-12-15-commons.u76	If the Government do decide to change the caps on tuition fees, there will, of course, be a debate in this House.
ParlaMint-GB_2015-12-15-commons.u77	Does the Secretary of State agree that retrospectively changing the terms of a contract is, in effect, mis-selling? Will he guarantee that in this Parliament there will be no further changes to either thresholds or interest rates?
ParlaMint-GB_2015-12-15-commons.u78	The changes in question are entirely lawful. That is the advice that I received and it is perfectly consistent with the aims. Hon. Members should remember that the loans that are provided are on significantly better terms than those that are available commercially, and they achieve the objective of allowing all those who wish to go to university and who have the ability to do so.
ParlaMint-GB_2015-12-15-commons.u79	10. What steps he is taking to support the aerospace industry.
ParlaMint-GB_2015-12-15-commons.u80	14. What steps he is taking to support the aerospace industry.
ParlaMint-GB_2015-12-15-commons.u81	I was delighted that in the spending review the Government committed a further £900 million of funding for aerospace research and development, supported by the Aerospace Technology Institute. That means that this Government will invest almost £2 billion in aerospace research over 13 years to 2025-26, so our world-leading aerospace industry can stay at the forefront of development and capitalise on the estimated £3.6 trillion market for new aircraft that will be needed over the next 20 years.
ParlaMint-GB_2015-12-15-commons.u82	I recently met Mark Porter and Jon Brough, the trade union representatives at Rolls-Royce’s two sites at Barnoldswick in my constituency. They welcome the continuation of Government support for the aerospace growth partnership in the comprehensive spending review. However, they remain concerned about the outsourcing of high-value engineering jobs to low-cost countries. What more can my right hon. Friend do to address this concern?
ParlaMint-GB_2015-12-15-commons.u83	I am more than happy to meet my hon. Friend to discuss the concerns of all those he has met with. Rolls-Royce, along with the aerospace sector as a whole, is a major contributor to the United Kingdom economy, so we get how important it is. That is why we have protected and, indeed, extended the investment that we are making in research and development.
ParlaMint-GB_2015-12-15-commons.u84	The recent announcement of the expansion of the Aerohub enterprise zone in Cornwall to include the Goonhilly earth station has been keenly welcomed in Cornwall. Does the Minister agree that this creates a great opportunity for Cornwall to be awarded the location of the UK spaceport, which would provide a huge bonus to the Cornish economy?
ParlaMint-GB_2015-12-15-commons.u85	I am sure my hon. Friend will continue to make that case. I have to say that a number of other airports are in the running and we aim to launch the selection process next year. We have heard the great news about the launch today and Major Tim going up into space. Ground control can report that the UK space sector has almost doubled to £11.8 billion—[Interruption.] I know it is the festive season, but I think it is most unfortunate that Opposition Members are singing. It is not good. I hope they might cheer the fact that the sector has almost doubled to £11.8 billion in just seven years and employs 37,000 people.
ParlaMint-GB_2015-12-15-commons.u86	Order. Sing, but no Member of this House can match David Bowie—highly relevant as far as ground control is concerned.
ParlaMint-GB_2015-12-15-commons.u87	Rolls-Royce is of strategic importance to our aerospace industry, not just in Derby but in Sheffield and Bristol. What are the Government prepared to do to safeguard that capacity, which is increasingly in the news at the moment, in order to ensure that we not just invest in but safeguard the future of the industry so that the UK stays at the forefront of aerospace manufacturing globally?
