ParlaMint-GB_2015-12-16-commons.u1	1. How her Department monitors outcomes of its spending in the Palestinian territories.
ParlaMint-GB_2015-12-16-commons.u2	I would first like to thank my right hon. Friend the Member for Welwyn Hatfield (Grant Shapps) for all the work he did during his time in the Department, and to welcome the new Under-Secretary of State for International Development, my hon. Friend the Member for Ruislip, Northwood and Pinner (Mr Hurd) who I know will continue in the footsteps of my right hon. Friend the Member for Welwyn Hatfield The Department for International Development provides assistance and support to poor and vulnerable Palestinians, as well as supporting state building and economic development. Our operational plan for the Occupied Palestinian Territories contains a results framework that is monitored quarterly.
ParlaMint-GB_2015-12-16-commons.u3	I draw the House’s attention to my entry in the Register of Members’ Financial Interests The Prime Minister has been clear that Palestinian incitement will not be tolerated. As many as 25 Palestinian Authority schools are named after Palestinian terrorists, including Dalal Mughrabi, who killed 37 Israeli citizens. Will the Secretary of State assure me that no British aid goes towards such schools or to support the glorification of terrorism?
ParlaMint-GB_2015-12-16-commons.u4	The Prime Minister and I have been very clear that the UK deplores incitement on both sides of the Israeli-Palestinian conflict. We monitor any allegations of incitement closely and raise instances with both the Palestinian and the Israeli authorities. The UK’s direct financial assistance to the Palestinian Authority, which provides civil service salaries, goes only to approved individuals through a World Bank trust fund that has an independent audit.
ParlaMint-GB_2015-12-16-commons.u5	Palestinian refugees from Syria are suffering enormously—both those within Syria and those who have fled the country. What more can we do and what more can DFID do to ensure that the vital work of the United Nations Relief and Works Agency has secure funding for the long term?
ParlaMint-GB_2015-12-16-commons.u6	I had the chance to meet the head of UNRWA only last week with the Minister of State, Department for International Development, my right hon. Friend the Member for New Forest West (Mr Swayne), and we discussed the need to ensure that its funding is sustained. UNRWA does critical work, and in the context of the need to improve the international response to more protracted crises, we can learn a great deal from its work with Palestinian refugees.
ParlaMint-GB_2015-12-16-commons.u7	15 . Does the Secretary of State agree that it would be better if money was put into direct projects rather than through third-party organisations when we cannot really be sure of the outcome?
ParlaMint-GB_2015-12-16-commons.u8	I hope I can reassure my hon. Friend that the agencies and organisations with which we work are ones in respect of which we know we can achieve value for money and results on the ground. He knows that I am passionate about being an aid disciplinarian and making sure that we get value for money. Critically, though, we have to work with the organisations that are there. We have a multilateral aid review under way to make sure that improvements in value for money continue progressively over time.
ParlaMint-GB_2015-12-16-commons.u9	Surely the Secretary of State will be aware of the guidance on the Foreign Office website, which warns UK companies thinking of investing in the Occupied Palestinian Territories of the “legal and economic risks” if they engage in “financial transactions, investments, purchases, procurements and other economic activities in Israeli settlements or benefitting Israeli settlements” because of the illegal nature of those settlements and their being an obstacle to peace. Does the right hon. Lady therefore agree that it is perfectly reasonable for both public and private institutions to pay due regard to that advice when they make their own investment and procurement decisions?
ParlaMint-GB_2015-12-16-commons.u10	They should do that; that is good Foreign Office advice. We have been very clear that we deplore illegal settlements, because they take us further away from a two-state solution and peace in that part of the world, when we need to be taking what could be final steps and final chances to reach a two-state solution.
ParlaMint-GB_2015-12-16-commons.u11	We welcome the hon. Member for Ruislip, Northwood and Pinner (Mr Hurd) to his new Front-Bench position, and on this side we will claim the right hon. Member for Welwyn Hatfield (Grant Shapps) as our first scalp Given the worsening situation in the Occupied Palestinian Territories, how does the Secretary of State justify the decreasing funding to organisations such as UNRWA?
ParlaMint-GB_2015-12-16-commons.u12	I do not recognise that statement. The United Kingdom has played a leading role in making sure that we get support to vulnerable Palestinians, not only in Gaza but on the west bank. For example, the Materials Monitoring Unit has helped to support the Gaza reconstruction mechanism. I am sure that the hon. Lady is aware of all that, and it would be helpful to have her support for it.
ParlaMint-GB_2015-12-16-commons.u13	2. What information her Department holds on the level of youth unemployment in Gaza; and if she will make a statement.
ParlaMint-GB_2015-12-16-commons.u14	Gaza has the highest unemployment in the world. The World Bank estimates that youth unemployment had reached 60% by the end of 2014. Extensive restrictions inhibit employment. The UK continues to promote economic development and private sector-led growth.
ParlaMint-GB_2015-12-16-commons.u15	Gaza still faces restrictions on access to 35% of its agricultural land and 85% of its fishable waters, and Gazans are rarely allowed to travel outside their territory. Until such restrictions are removed, DFID will continue to work with one hand tied behind its back. Does the Minister not agree that the real problem is the blockade of Gaza?
ParlaMint-GB_2015-12-16-commons.u16	As I said, the restrictions inhibit employment, but we will not give up. We have a programme for economic development, and it is making progress—slow and frustrating progress, but progress none the less.
ParlaMint-GB_2015-12-16-commons.u17	May I make it absolutely clear that supporting the Palestinian people has nothing whatever to do with anti-Semitism? I wanted to clarify that at the outset Does the Minister not agree that the appalling situation in Gaza—and he has given us the figures—shows the need for the developed democracies to do far more? What hope can there be for the Palestinian people when they are faced with so little hope of obtaining jobs and having a decent life? Should we not be far more concerned with the Palestinian tragedy than we are?
ParlaMint-GB_2015-12-16-commons.u18	I agree with the hon. Gentleman. We do everything that we can diplomatically to raise the sights of the world community, and we will continue to do so.
