ParlaMint-GB_2016-01-07-commons.u1	2. What steps she is taking to reduce the level of fuel poverty.
ParlaMint-GB_2016-01-07-commons.u2	A reformed domestic supplier obligation—ECO, or energy company obligation—from April 2017, which will run for five years, will upgrade the energy efficiency of more than 200,000 homes per year, tackling the root cause of fuel poverty. Our extension of the warm home discount to 2020-21 at current levels of £320 million per annum will also help vulnerable households with their energy bills. We intend to focus our efforts through ECO and the warm home discount more effectively on the fuel poor, and will be consulting on our future approach this spring.
ParlaMint-GB_2016-01-07-commons.u3	I thank the Minister for her answer. Fuel poverty is a sign of inequality. New research by the national charity Turn2us has found that one in two low-income households are struggling to afford their energy costs, despite being in work. Many of these households rely on in-work social assistance. Has she or her Cabinet colleagues made an assessment of the effect of welfare reform on low-income households judged to be in fuel poverty?
ParlaMint-GB_2016-01-07-commons.u4	I thank the hon. Lady for her question. My Department works closely with the Department for Work and Pensions to ensure that the support we give goes to the most vulnerable. Energy costs are always at the centre of our minds in this Government, in order to make sure we put as little pressure as possible on hard-pushed households, and that will remain so.
ParlaMint-GB_2016-01-07-commons.u5	When Hastings, Motherwell and the rest of the United Kingdom vote to leave the European Union in the referendum, we will be able to abolish the 5% VAT on domestic fuel bills, which will really help those suffering from fuel poverty. Would my right hon. Friend welcome that?
ParlaMint-GB_2016-01-07-commons.u6	My hon. Friend will be aware that this Government are always focused on ensuring that bills are kept down for householders in all constituencies. I would tactfully suggest that my right hon. Friend the Chancellor might have something to say about reducing VAT income on such a service.
ParlaMint-GB_2016-01-07-commons.u7	Evidence has suggested that rural communities are disproportionately adversely affected by fuel poverty. One way of combating that is through the development of domestic energy syndicates and the collective purchasing of oil. What proactively could and should the Department be doing to support such initiatives?
ParlaMint-GB_2016-01-07-commons.u8	The hon. Gentleman is right in what he says, and we do ensure that there is a focus, through ECO, on rural areas, which often face the largest problem with fuel poverty. My Department works closely with various community energy schemes to ensure that we assist them, be that in group buying or in setting up their own renewable energy schemes, and we will continue to do so.
ParlaMint-GB_2016-01-07-commons.u9	rose—
ParlaMint-GB_2016-01-07-commons.u10	David “Top Cat” Davies. [Laughter.]
ParlaMint-GB_2016-01-07-commons.u11	That’s fine by me, Mr Speaker Does my right hon. Friend agree that renewable energy sources are two to three times more expensive than fossil fuels and therefore the more renewables we use, the more fuel poverty we will create?
ParlaMint-GB_2016-01-07-commons.u12	The explanation should be intelligible to the people beyond, and the explanation is that the middle initials are T. C. My apologies to the hon. Gentleman, who seems duly delighted.
ParlaMint-GB_2016-01-07-commons.u13	I do not share my hon. Friend’s view. I think it is essential that energy supplies are a mix, and that means a combination of fossil fuels, for now, and renewable energy. Investing in renewable energy is an essential part of energy security, as well as of decarbonising and meeting those targets.
ParlaMint-GB_2016-01-07-commons.u14	3. What assessment she has made of the implications for her policies of the outcomes of the COP 21 climate conference in Paris.
ParlaMint-GB_2016-01-07-commons.u15	18. What assessment she has made of the implications for her policies of the UK’s contribution to achieving the goals on limiting global warming set out in the Paris agreement on climate change.
ParlaMint-GB_2016-01-07-commons.u16	We are currently considering the implications of the Paris outcome domestically and with our EU partners. Our 2050 target of at least an 80% reduction in emissions from a 1990 baseline is already set in statute. We are committed to meeting it, and I look forward to setting out this Government’s proposals and policies for meeting our carbon targets later this year.
ParlaMint-GB_2016-01-07-commons.u17	The floods over the past few weeks are a reminder of the effects of climate change and, as we have known for a while, these extreme weather events are here to stay. Given the Government’s proclaimed UK ambition at the Paris climate change talks, why at the same time were they undermining policies on, for example, subsidies for renewables and low-carbon technologies?
ParlaMint-GB_2016-01-07-commons.u18	I do not accept that we are undermining those policies. What we are trying to do is get the right balance to support policies—to support renewable energy—while also looking after bill payers and ensuring that not too much is added to their bills. I also remind the hon. Lady that the UK is responsible for 1% of the world’s emissions, and the success at Paris was that we were dealing with nearly 100% of the world’s emissions. That is where we will get the real difference and change on carbon emissions.
ParlaMint-GB_2016-01-07-commons.u19	I hope the Secretary of State will agree that delivering the Paris climate agreement requires a cross-departmental and economy-wide approach. If that is the case, will she explain why there appears to be absolutely no mention of climate change in the remit of the National Infrastructure Commission? Will she urge her colleagues to remedy that, and confirm that the urgent need for rapid decarbonisation will be a non-negotiable criterion for every single one of its projects?
ParlaMint-GB_2016-01-07-commons.u20	I thank the hon. Lady for bringing up the National Infrastructure Commission. I have had a preliminary meeting with the head of it, and know that it will shortly be consulting on which projects to prioritise. The project that it has already said it will be looking at in our sector—interconnectors and systems operations—will be important for delivering on our decarbonising future, and will play an important role in achieving cross-party consensus on making the much-needed investment in infrastructure.
ParlaMint-GB_2016-01-07-commons.u21	The Secretary of State will be aware that the legally binding UK commitment is about 30% to 40% faster than that signed up to by the rest of the EU in Paris. Indeed, some countries in the EU, such as Austria, have increased their emissions by something like 20% since 1990. What discussions does she plan to have with her colleagues in Europe on getting their processes up to the same level as those of the UK?
ParlaMint-GB_2016-01-07-commons.u22	My hon. Friend raises an interesting point. The fact is that the UK is leading in this area in terms of not only our ambition through the Climate Change Act 2008, but the structure of the delivery of our decarbonising—the five-year review and the transparency of the regime. I will be having conversations with my colleagues in Europe to ensure that they too step up and participate in the important effort-sharing decision that will take place this year.
ParlaMint-GB_2016-01-07-commons.u23	17. The Secretary of State’s words are one thing, but credibility with the public is another. Wirral constituents are worried about both jobs in renewables and our real commitment as a country to the agreement we made in Paris. Will she be absolutely clear on whether she will do any more to protect work in the renewables sector that affects my constituents?
ParlaMint-GB_2016-01-07-commons.u24	I know that the hon. Lady will be concerned about offshore wind, as it is so close to her constituency. I hope that she will welcome the fact that DONG Energy has publicly stated that it intends to invest a further £6 billion in the UK by 2020, which is encouraging news for her constituents who are so close to its important offshore wind development. What she can take from this is the fact that, having signed up to the Paris agreement and with the UK’s commitments on this basis, we are seeing more investment, from which her constituents will benefit as well.
ParlaMint-GB_2016-01-07-commons.u25	If Paris had happened a year ago, would the Secretary of State still have made the same announcements that she has made in the past six months, adversely affecting onshore wind and solar energy, which has impacted badly on jobs and investor confidence?
ParlaMint-GB_2016-01-07-commons.u26	I do not accept the hon. Gentleman’s interpretation of the announcements that I have made. We have set out a clear path to getting a balance between ensuring that we continue to support renewable energy and ensuring that we get the investment we need, and also that we look after people’s bills. Paris has been a great triumph; let us not knock it. Let us recognise the fact that it starts to bring other countries up to the high standards that the UK has placed on it, and that it will encourage further investment.
ParlaMint-GB_2016-01-07-commons.u27	On the decision to pull £1 billion from carbon capture and storage, the Prime Minister said to me at Prime Minister’s questions: “You have to make decisions about technology that works and technology that is not working.”—[Official Report, 16 December 2015; Vol. 603, c. 1548.] How was that assessment made, given that the competition had not yet been completed?
ParlaMint-GB_2016-01-07-commons.u28	We do not rule out carbon capture and storage in the future. This Government have made substantial investments through our entrepreneur fund in early-start carbon capture and storage. We have industrialised carbon capture and storage projects operating and testing in Teesside. The fact is that the decision was made not to have a £1 billion investment. It was a difficult decision made in a difficult spending round. None the less, we recognise that carbon capture and storage will still have an important future in a low carbon economy.
ParlaMint-GB_2016-01-07-commons.u29	The Prime Minister said that CCS was not working, but the Secretary of State says that it will work, so one of them is clearly wrong. In his list of technology that was working, the Prime Minister included small-scale nuclear reactors. Where is that technology working, and if it is working as the Prime Minister has claimed, why does it require £250 million of taxpayers’ money?
ParlaMint-GB_2016-01-07-commons.u30	I think I can bring together some of the hon. Gentleman’s questions by highlighting the investment that we are making in innovation, which is an area in which we think there can be great steps forward in renewable energy. We can help to develop important new renewable energy technologies. For instance, in Paris, under “mission innovation”, various countries came together and agreed to double their investment in innovation, and I believe that carbon capture and storage and small modular reactors will benefit from that investment.
ParlaMint-GB_2016-01-07-commons.u31	Now that DECC has accepted that the energy reset has pulled us further away from achieving the fourth carbon budget by some 54 million tonnes of CO2, meaning that we are on track to fall short of it by some 10%, or 187 million tonnes, and now that it is predicted that we will also miss our 2020 EU renewables target, will the Secretary of State explain precisely what steps she will take in the remainder of this Parliament to make good the Prime Minister’s boast that the UK is “leading the way” in work to cut emissions?
ParlaMint-GB_2016-01-07-commons.u32	I do not accept the hon. Gentleman’s depressing interpretation of our progress towards our important targets. Our EU renewables targets are difficult to meet, but we have exceeded the interim target. We know that we need to make more progress, which is why I am working with other Departments across Government to ensure that action is taken on heat and transport It was recognised in 2011 that there was a problem with the fourth carbon budget, and we now need to ensure that we put in place the policies necessary to meet it. Be in no doubt that we remain committed to achieving that.
ParlaMint-GB_2016-01-07-commons.u33	5. What discussions she has had with her ministerial colleagues on the financial implications of the UK’s commitments under the Paris agreement on climate change.
ParlaMint-GB_2016-01-07-commons.u34	The hon. Lady will be aware that the cost of UK action to reduce emissions is already committed to through the setting of our carbon budgets. The Paris agreement will help to ensure that all other countries are also acting. That will help to ensure that climate change is effectively addressed, help level the playing field, reduce the costs of climate action such as on technologies, and provide much greater opportunities for UK business in low carbon transformation.
ParlaMint-GB_2016-01-07-commons.u35	I thank the Secretary of State for her answer, but does she accept that the estimates suggesting that the UK is on track predate the cuts to DECC’s budget and are out of date, meaning that meeting the 2°C target will require further Government support, particularly for low carbon generation and carbon capture and storage?
ParlaMint-GB_2016-01-07-commons.u36	I do accept that the Government need to put in place more policies to ensure that we meet our carbon budget, which we have just referred to. I point out to the hon. Lady that the Paris climate change agreement is not as ambitious as what we already have in place through the Climate Change Act, which is legally binding and is delivered in our carbon budgets.
ParlaMint-GB_2016-01-07-commons.u37	The Secretary of State rightly says that the Paris climate change agreement is not as ambitious as the Climate Change Act. The national action plans agreed to in Paris commit the world to no more than 2.7° C of warming. Will she outline what steps she has taken and what conversations she has had with her EU ministerial counterparts to increase the EU’s ambition for those nationally determined plans before the next stock-take in 2018?
ParlaMint-GB_2016-01-07-commons.u38	The hon. Lady raises an important point. The current proposals from Paris would actually only achieve an increase of no more than 2.7 °C. Not only are we ambitious to ensure that we reach a maximum of 2 °C, but we would like to see the rise restricted further. There will be conversations in the EU this year to ensure that we meet the EU renewables targets, and we have the “effort share” discussions ahead of us. The real triumph of the Paris agreement is that it involves not just the UK and the EU but the whole world. The largest emitters, such as China and India, are also participating.
