ParlaMint-GB_2016-01-20-commons.u1	1. What recent discussions she has had with the Northern Ireland Executive on economic development.
ParlaMint-GB_2016-01-20-commons.u2	Last week, the Secretary of State and I met the Executive parties to review the implementation of the Stormont House and fresh start agreements, and the economic pact. Commitments include devolving corporation tax and rate-setting powers, if sustainable Executive finances are secured. This has the potential to have a truly transformational impact on the local economy.
ParlaMint-GB_2016-01-20-commons.u3	I congratulate the ministerial team and the Department on their success in the creation of the economic pact, which has such a direct impact on Northern Ireland. What further steps can be taken to ensure that the Executive remain focused on how they can deliver those objectives?
ParlaMint-GB_2016-01-20-commons.u4	The best thing we can do is to celebrate the fact that, under the recent spending review, the Chancellor put in place measures to see a 12% rise in real-terms funding for capital projects by 2021. That will mean over £600 million more will be available than if we had frozen funding at 2015-16 levels. That is good news for Northern Ireland infrastructure. Hopefully, it will mean the A5 and the A6 will start to progress and we can open up Northern Ireland for more foreign investment.
ParlaMint-GB_2016-01-20-commons.u5	9. Does the Minister agree with the CBI and the trade union movement that the UK’s exit from the European Union would be damaging to economic development in Northern Ireland? Will he encourage his colleague the Secretary of State to argue for a yes vote?
ParlaMint-GB_2016-01-20-commons.u6	There is a temptation in front of me. What I would say is that to date membership of the European Union has been good for Northern Ireland. I support the Prime Minister’s efforts to achieve reform. A reformed EU is where the United Kingdom wants to be: an EU that works for the benefit of everyone in the United Kingdom. If we can achieve that, we can take advantage of being neighbours of Ireland, one of Northern Ireland’s biggest economic partners, to make sure that the economy goes from strength to strength.
ParlaMint-GB_2016-01-20-commons.u7	Later this week I will have the pleasure of visiting Royal Portrush golf course in Northern Ireland, which has been awarded the 2019 Open golf championship for the first time since 1951. Does the Minister agree that this is a tremendous achievement and opportunity for Northern Ireland? Will he work closely with the Executive and the golf club to ensure that it is a success similar to that in Scotland last year, which brought £140 million into the economy?
ParlaMint-GB_2016-01-20-commons.u8	I am struck by how much effort Northern Ireland has made in trying to secure becoming the new home of golf. The marketing and promotion of golf courses in Northern Ireland is a real strength. [Interruption.] I know Scottish nationalists are so insecure about everything that they may take issue with that, but what is good for Northern Ireland and golf is also good for golf in Scotland. It will go from strength to strength. Major sporting events, whether horse-racing or golf, bring in real money in today’s economy.
ParlaMint-GB_2016-01-20-commons.u9	The Chair of the Select Committee wishes to undertake a practical inspection of the course.
ParlaMint-GB_2016-01-20-commons.u10	I am sure we all look forward to visiting the Open in 2019 Further to the Minister’s answer on infrastructure, will he undertake to speak to the National Infrastructure Commission and Treasury colleagues about transport links between Northern Ireland and the rest of the UK? This is an important issue. Infrastructure spending is vital for the development of Northern Ireland’s economy. This would be a very good way to ensure that more investment came to Northern Ireland.
ParlaMint-GB_2016-01-20-commons.u11	I and my right hon. Friend the Secretary of State are determined to maintain air links. For example, when British Airways purchased Aer Lingus, we both had conversations with it over the past few months to ensure there was no degrading of the service provided to people at both main airports in Northern Ireland. We will work very hard, in partnership with the Executive, to maintain it. We should also point out that today’s economic figures for Northern Ireland are tremendously successful. It is the eighth successive month of growth, according to the Ulster bank purchase managers’ index. Over the year, the claimant count is down by 11,000 in Northern Ireland, a fall of 22.1%, outstripping the rest of the United Kingdom.
