ParlaMint-GB_2016-01-21-commons.u1	1. What steps his Department is taking to support small production companies based in Cornwall.
ParlaMint-GB_2016-01-21-commons.u2	I hope you will indulge me, Mr Speaker, if I briefly pay tribute to the great George Weidenfeld, who died yesterday. He was a great patron and supporter of the arts The Government have taken steps to support small production companies across the UK through tax reliefs and grant schemes. In the last two years, Creative England has supported 51 productions in Cornwall, which has led to 439 shooting days in the county and an estimated on-location spend of nearly £7.5 million.
ParlaMint-GB_2016-01-21-commons.u3	Tourism in North Cornwall has benefited hugely from the “Poldark” effect, but other television dramas are also produced across our beautiful coastline, including “Doc Martin” in Port Isaac and “Jamaica Inn”, filmed on Bodmin moor. Will my hon. Friend assure me that he will continue to support the film industry in my part of the country?
ParlaMint-GB_2016-01-21-commons.u4	Of course. I am well aware of the “Poldark” effect. In fact, I am often mistaken for Aidan Turner’s body double. There are 13 great production companies in Cornwall. Our film tax relief has brought more than £7 billion of film investment to the UK as a whole, and I can assure my hon. Friend that we will continue to support productions in Cornwall.
ParlaMint-GB_2016-01-21-commons.u5	rose—
ParlaMint-GB_2016-01-21-commons.u6	Does the hon. Gentleman undertake to question exclusively with reference to Cornwall?
ParlaMint-GB_2016-01-21-commons.u7	Indeed. Independent production companies in Cornwall and other areas of the country benefit hugely from Channel 4’s unique not-for-profit commissioning strength. Will the Minister please explain why the creation of another business like ITV and Channel 5 is in the interests of production companies in Cornwall, and why it is in the public interest for Channel 4 to be privatised?
ParlaMint-GB_2016-01-21-commons.u8	I feel like I am taking part in an episode of “Just a Minute” where the subject is Cornwall. We have gone from the south-west to the heart of Westminster, where Channel 4 resides, in its headquarters on Horseferry Road. As the hon. Gentleman is well aware—I know there is another question on Channel 4 later—we are considering all options to take this fantastic channel into the future.
ParlaMint-GB_2016-01-21-commons.u9	2. What recent progress his Department has made on the subsidised satellite broadband programme.
ParlaMint-GB_2016-01-21-commons.u10	I am pleased to confirm that all those living in houses unable to get a speed of at least 2 megabits per second can now take advantage of a subsidised satellite broadband installation, which should deliver speeds of about 10 megabits per second or more.
ParlaMint-GB_2016-01-21-commons.u11	Connecting Cumbria promised my constituents superfast broadband, but this has not happened quickly enough or to the original programme, which has denied my constituents access to vital services. What assurance can the Minister give that, under the universal service obligation, they will be provided with a minimum of 10 megabits per second by 2020?
ParlaMint-GB_2016-01-21-commons.u12	I am pleased to say that the Cumbrian programme is going extremely well. About £20 million of Government money has been invested, and in the hon. Lady’s constituency we will reach 92% by the end of the programme, which is a fantastic result, considering that, commercially, less than half of her constituents would have got superfast broadband. We will soon be introducing a consultation on the universal service obligation, and we intend to proceed with haste.
ParlaMint-GB_2016-01-21-commons.u13	This kind of option is very important in rural areas such as mine, where we have technology issues getting broadband to Longney and Elmore. We have done some good work with BT, but can the Minister guarantee that we will push ahead with all options to make sure everybody has access to broadband in my constituency?
ParlaMint-GB_2016-01-21-commons.u14	Yes, I can guarantee that. We are moving as fast as we can to deliver superfast broadband, and we intend to reach 95% of the country by the end of 2017 and to have superfast broadband for everyone by 2020. We also have to think again about what we need to do in the decade after that.
ParlaMint-GB_2016-01-21-commons.u15	In early December, the Minister cast himself as Santa Claus, announcing a “Christmas present” for UK homes and businesses: £60 million to provide satellite provision for those failed by his super-slow broadband crawl-out. As of Monday, a grand total of £8,000 had been spent and only 24 people had benefited from his supposed gift. Was it the fear of seeing him coming down their chimney that put people off or the fact that this is an inadequate stunt designed to fob off his Back Benchers and leaving millions digitally excluded for many Christmases to come?
ParlaMint-GB_2016-01-21-commons.u16	I thank the hon. Lady for that “Bah Humbug” question. I am delighted that, thanks to our superfast broadband programme, we have reached around 90% of the country. We have cast aside the Scrooge-like 2 megabits target that Labour had for the country as a whole, but we promised everyone guaranteed speeds of 2 megabits, and that is what we have done by providing subsidised satellite services.
ParlaMint-GB_2016-01-21-commons.u17	I am sure the Minister was busy at Christmas with rehearsals for the “Poldark” Christmas special. I welcome his announcement about enabling those in rural areas to get satellite broadband. This is a particular issue in Rossendale and Darwen where farmers struggle to get broadband. Will my hon. Friend undertake to work with the National Farmers Union and others who are in touch with those working in our rural industries to ensure that farmers find out about this fantastic offer the Minister made before Christmas?
ParlaMint-GB_2016-01-21-commons.u18	I will certainly give that undertaking. I am happy to work with the NFU, just as I am happy to work with the landowners association and the Countryside Alliance.
ParlaMint-GB_2016-01-21-commons.u19	Since a commitment was given in a Westminster Hall debate to expanding superfast broadband across Northern Ireland, I have been contacted by many constituents who have told me that they cannot increase their business—this is mainly small businesses and people who work from home—or start a business without it. What is the Minister doing exclusively to help people with small businesses in the rural community to advance this issue?
ParlaMint-GB_2016-01-21-commons.u20	We had a very successful broadband voucher scheme, which brought superfast broadband to something like 55,000 businesses. That scheme has come to an end, but we always review what specific help we can give to businesses. The roll-out in Northern Ireland is now picking up pace, which will help both homeowners and businesses alike.
ParlaMint-GB_2016-01-21-commons.u21	3. What recent steps his Department has taken to increase support for grassroots sport in areas of deprivation.
ParlaMint-GB_2016-01-21-commons.u22	I fundamentally believe, and it is reflected in the new sports strategy, that sport has the power to change lives and communities, particularly in deprived areas. As a result, we will invest significantly in organisations that deliver programmes in deprived areas, which will make a difference in health outcomes, community cohesion and individual life chances.
ParlaMint-GB_2016-01-21-commons.u23	As this will probably be the Minister’s last Question Time before the arrival of her new baby, may I wish her and her family well for the next few weeks Does the Minister agree that sporting programmes such as Kicks, run by the Premier League, and Hitz, supported by the rugby premier league, do excellent work tackling gang crime and antisocial behaviour and rehabilitating young offenders, and that they should be at the heart of the delivery of the Government’s new sports strategy?
ParlaMint-GB_2016-01-21-commons.u24	I am a huge fan of both those schemes. The Premier League Kicks project, which is supported by a number of partners, including my own Department and now the Home Office, shows that 75% of its participants live in the top 30% most deprived areas in England. Where the scheme has been run, it has seen a 60% reduction in antisocial behaviour. It is exactly those kind of projects that will play a key role in delivering the new sports strategy.
ParlaMint-GB_2016-01-21-commons.u25	Will the Minister reflect on the role of apps and digitalisation within the programme she has outlined, and the way in which they can turn the telescope around to project information into the most disadvantaged communities?
ParlaMint-GB_2016-01-21-commons.u26	Certain members of society that we are trying to reach to ensure that they participate more in sport rely on apps and a greater use of technology. It is something that we reference with a great deal of interest in the sports strategy. Having recently met the hon. Gentleman’s constituents, I know that a great deal of work is being done to increase the number of apps and make sure that technology plays a key part in ensuring that we get the nation active.
ParlaMint-GB_2016-01-21-commons.u27	Kettering Town Harriers, of which I am proud to be a member, is a fantastic local athletics club, which offers great opportunities for boys, girls and adults from across the borough of Kettering and further afield. Does my hon. Friend agree that local athletics clubs are a great way to help people get involved in sport?
ParlaMint-GB_2016-01-21-commons.u28	I certainly believe local athletics clubs can play an important role within their own communities. I know of athletics clubs across the entire country that want to make sure that they reach out beyond their core to ensure that all people who want to get involved in athletics—track and field—can do so. Major events, such as the Olympics coming up this year, will help to inspire others to get involved in the future.
ParlaMint-GB_2016-01-21-commons.u29	May I join the hon. Member for Folkestone and Hythe (Damian Collins) in wishing the Minister all the best for her forthcoming maternity leave? I am sure that we all look forward to the birth of a budding young athlete While volunteers at the grassroots of sport struggle with scarce resources and ever-increasing charges for facilities, we are seeing a growing number of scandals involving those at the elite end of sport lining their pockets with money that could well be invested in the grassroots. That is demoralising for those who work so hard to deliver sport in our communities. Is it not time to insist that people who are found guilty of doping, match-fixing or accepting bribes are given life bans, no matter who they are? Are the Government demanding that all United Kingdom-based agencies, whether sporting, financial or criminal, actively search for evidence of corruption and cheating in our sport?
ParlaMint-GB_2016-01-21-commons.u30	The hon. Gentleman is right to say that we need to ensure that as much money as possible is invested in grassroots sport. I am pleased that, as part of the sports strategy, we have managed to encourage the Premier League to at least double its investment in grassroots sport, which will be underpinned by the welcome settlement in the spending review. I was disappointed that the hon. Gentleman did not share our joy over that settlement Scandals and allegations of corruption are, unfortunately, ongoing. It is very disappointing when each scandal is reported. We in the Government will see what we can do, and if it is necessary to review existing legislation, we will do so. In the meantime, we are encouraging international federations to root out corruption as quickly as possible.
ParlaMint-GB_2016-01-21-commons.u31	4. What steps his Department has taken to help amateur sports clubs affected by recent floods.
ParlaMint-GB_2016-01-21-commons.u32	After the floods became more widespread, Sport England doubled its emergency flood relief fund, which is designed to help finance necessary recovery work for amateur sports clubs that are affected by flooding. That is entirely a matter for Sport England, but the Department and I receive regular updates on issues that clubs in affected areas are facing. The Football Foundation and the England and Wales Cricket Board are providing additional flood funds to assist clubs that are ineligible for Sport England funds.
ParlaMint-GB_2016-01-21-commons.u33	I thank the Minister for her reply, and wish her well for her forthcoming maternity leave The grounds of both Ramsbottom United football club and Ramsbottom cricket club, which are in my constituency, were completely submerged during the recent floods, which caused tens of thousands of pounds’ worth of damage. Although the supporters have worked valiantly and they have done what they can to help themselves, the clubs are still struggling to recover. What further help might the Government provide, as a matter of urgency, to help them to do so?
ParlaMint-GB_2016-01-21-commons.u34	I have read about the awful damage at Ramsbottom cricket club and “Rammy United”, as I believe it is known. It seems that the wider community, sporting and otherwise, has done an incredible job in helping with the immediate clear-up. The ECB, the Football Foundation and others have pledged financial support, but if the clubs need assistance with anything else, my hon. Friend is welcome to get in touch, and we will try to ensure that they receive all the help and advice that can be provided.
ParlaMint-GB_2016-01-21-commons.u35	5. What recent discussions he has had on the future of Channel 4; and if he will make a statement.
ParlaMint-GB_2016-01-21-commons.u36	My ministerial colleagues regularly meet a range of stakeholders to discuss issues relating to the work of the Department, including the future of Channel 4. The Government are considering a number of options, including those proposed by Channel 4’s leadership, but no decisions have yet been made.
ParlaMint-GB_2016-01-21-commons.u37	Will the Secretary of State join me in congratulating Channel 4 on achieving a record number of both Oscar and BAFTA nominations this year? Does he agree that it would not be able to deliver its unique and invaluable remit if it had to return a profit to shareholders?
ParlaMint-GB_2016-01-21-commons.u38	As I have said, my concern is to ensure the continuing success and viability of Channel 4, which is why we are considering a number of options. I understand that the last Labour Government did so as well, and that they also considered privatisation. We have not yet reached a conclusion, but I will adopt whatever policy I believe is best designed to ensure that Channel 4 continues to enjoy the success that the right hon. Gentleman has described.
ParlaMint-GB_2016-01-21-commons.u39	Does the Secretary of State recognise the inherent tension in the fact that one of the purposes of privatisation would be to raise the maximum amount of money for the Treasury, and the more Channel 4 sticks to its distinctive and successful remit, the less money is likely to be raised? Can he assure the House that, when he makes his final decision, the preservation of the broadcasting and the creative success of Channel 4 will be uppermost in his mind?
ParlaMint-GB_2016-01-21-commons.u40	I am very happy to give my right hon. Friend exactly that assurance. The reason why we are looking at different options for the future of Channel 4 is to ensure that it can continue to deliver the remit in what is going to become a very fast-changing and challenging environment. However, as I have made clear before, it is the remit that matters, and I want Channel 4 to continue to deliver it into the future.
ParlaMint-GB_2016-01-21-commons.u41	Has the Secretary of State had an opportunity to consider the “One year on” report on Channel 4’s 360° diversity charter? Does he recognise that, while diversity is a pronounced feature in Channel 4’s particular vocation, increasing diversity is not only the job of Channel 4, and will he value diversity when he considers the BBC charter renewal?
ParlaMint-GB_2016-01-21-commons.u42	I absolutely agree with the hon. Gentleman. The challenge of increasing diversity applies across all broadcasters. It is something that I know my hon. Friend the Minister for Culture and the Digital Economy has paid close attention to—and indeed he was speaking only this week with Idris Elba, who is another person who competes with him in terms of his own attraction.
ParlaMint-GB_2016-01-21-commons.u43	Can the Secretary of State confirm that the Chancellor of the Exchequer now believes Channel 4 privatisation will bring the Conservatives much public opprobrium for a relatively small financial return and that the Conservatives are now backing away from the idea of privatising this much loved public institution?
ParlaMint-GB_2016-01-21-commons.u44	I hate to disappoint the hon. Gentleman, but, as I said earlier, no decisions have been taken. I have not had an opportunity to discuss the matter with the Chancellor of the Exchequer, because we have not yet reached our own conclusions on it, but I look forward to doing so in due course.
ParlaMint-GB_2016-01-21-commons.u45	6. What plans his Department has to commemorate the first world war.
ParlaMint-GB_2016-01-21-commons.u46	There are two key first world war events to commemorate this year. On 31 May, national events will be held in Orkney to mark the battle of Jutland and the wider war at sea, and on 1 July national events will be held both in Manchester and at the Thiepval memorial in France to commemorate the battle of the Somme. These form part of wider national commemorations over the next two years, and I would encourage all hon. Members to read details of the latest 14-18 NOW culture programme, which was announced yesterday.
ParlaMint-GB_2016-01-21-commons.u47	I thank the Secretary of State for the work he and others, including the hon. Member for South West Wiltshire (Dr Murrison), have been doing in ensuring the smooth running of these commemorations. They will have seen the great success of the Tower poppies installation at the Yorkshire sculpture park, which reminds us all of the importance of ensuring that the commemorations extend to every corner of the country. Does he agree that in this important year of commemoration we should also find a moment in this House for Members to come together and pay their respects in this place? Will he use his good offices to ensure that such an opportunity is forthcoming?
ParlaMint-GB_2016-01-21-commons.u48	I thank the hon. Gentleman for his words, and in turn thank him for his support. We may argue over many matters in this House, but I think all parties can come together in memory of those who sacrificed so much. He mentioned the weeping window and the wave sculptures, and I was delighted that the Chancellor has made more money available to allow us to take that sculpture to more parts of the country, including St Magnus cathedral, as part of the commemoration of Jutland. The hon. Gentleman’s suggestion that we should have an opportunity here to commemorate those who gave their lives is an excellent one. It is not entirely one I can deliver, but I am very happy to pursue it.
ParlaMint-GB_2016-01-21-commons.u49	Can my right hon. Friend say how Devonport is going to be included in the battle of Jutland commemorations, since my grandfather was a gunnery officer and wrote an eyewitness account of it?
ParlaMint-GB_2016-01-21-commons.u50	I entirely understand my hon. Friend’s wish to see the commemoration, given his own personal connection, and I pay tribute to his grandfather, and indeed all who served at that time. He will know that a series of events is being planned, including the ceremony at the Orkney islands. Descendants of those who served at the battle are invited to take part in the events and I hope he will apply—although he will need to be rather quick since the closing date is tomorrow. He may also be interested to know that the Royal Navy will be marking the centenary at memorials in his constituency at Devonport and also at Portsmouth and Chatham.
ParlaMint-GB_2016-01-21-commons.u51	7. What plans he has to ensure that all children and young people have access to sporting activities.
ParlaMint-GB_2016-01-21-commons.u52	A positive experience of sport at a young age can create a lifelong habit of participation. It is therefore important that all children have the opportunity to engage in sport and physical activity in a way that interests them, and that sits at the very heart of the new sports strategy.
ParlaMint-GB_2016-01-21-commons.u53	I thank the sports Minister for her question and I wish her well with her maternity. I am aware that she will have other notable diary commitments, but I would like to invite her and other parliamentary colleagues to join me, the BBC and ITV on 2 February for the parliamentary launch of the Six Nations rugby season. Does she agree that free-to-air sports, underpinned by the listed events regime, are crucial to inspiring young people to take up sport?
ParlaMint-GB_2016-01-21-commons.u54	I am conscious of the fact that my hon. Friend’s injury is sport-related and that at this moment he might therefore not be the best advert for encouraging people to get involved in sport. On his specific question, I understand that the Secretary of State is hoping to attend the event on 2 February. Alas, I shall—I hope—be otherwise engaged. However, I do of course agree that sport on free-to-air TV, underpinned by the listed events regime, is crucial to inspiring youngsters to take up sport. Like so many others, I am looking forward to the Six Nations, even though I shall be watching it from my armchair.
ParlaMint-GB_2016-01-21-commons.u55	May I gently point out to both Front-Bench teams that I do not seem to have heard the words “England”, “cricket”, “South Africa”, “Joe Root” or “Yorkshire” this morning? Can we congratulate the English team on what they achieved in South Africa, as we have not already done so? On young people’s access to sport, is it not a question, in this age of childhood obesity, of young people getting out into the countryside and walking as well as engaging in sport? As the chair of the John Clare Trust, I know how difficult it is to get children from poorer areas into the countryside so that they can learn about it and learn to love it.
ParlaMint-GB_2016-01-21-commons.u56	I am grateful to the hon. Gentleman for giving me the opportunity to congratulate our England cricket stars on their sporting success in South Africa. We should also congratulate our English men and women down in Australia, who appear to be doing incredibly well in the Big Bash tournament. Of course, ensuring that children are involved in sport is incredibly important and we need to ensure that they are inspired by all the different sports that are available to them. The sports strategy is very much designed to encourage people who want to do all sorts of sports and physical activities, whether traditional sports or other outdoor activities such as mountaineering or climbing, and to ensure that they have access to them.
ParlaMint-GB_2016-01-21-commons.u57	8. What plans his Department has to increase the level of tourism in Yorkshire from domestic and foreign visitors.
ParlaMint-GB_2016-01-21-commons.u58	The Government are supporting an increase in visitor numbers to Yorkshire through the work of VisitBritain, VisitEngland and the GREAT campaign. Yorkshire received record inbound tourist numbers in 2014, and we are continuing to work hard to attract domestic and international visitors to the county. That is why the Prime Minister has published his five-point plan on tourism and why at the recent spending review we secured a new £40 million Discover England fund.
ParlaMint-GB_2016-01-21-commons.u59	Does my right hon. Friend agree that when a heritage item is movable, there is a case for occasionally placing it on display outside London and the south of England? Is he aware that Hull is our city of culture next year, and that many people in Yorkshire have been expecting that the aeroplane used by the Hull-born aviator Amy Johnson will be on display in the region? However, the London-based Science Museum has refused to give its permission, saying that the plane must stay in London. Will he join me in asking the London-obsessed Science Museum to think again, and will he agree to meet me to discuss this matter?
ParlaMint-GB_2016-01-21-commons.u60	I am very much aware that Hull is to be the next city of culture; I recently had a meeting with the organisers, as did both my ministerial colleagues, to discuss that. I quite understand why Hull should want to celebrate the life of Amy Johnson, who was born in the city. I know that there has been a lengthy dialogue about the specific issue that my right hon. Friend has raised and that the Science Museum is concerned about the delicate state of the aeroplane and the potential cost of the move, but I am happy to look into the matter further and I am of course willing to meet my right hon. Friend to discuss it.
ParlaMint-GB_2016-01-21-commons.u61	I am sure the Secretary of State will be delighted to know that Hull now ranks in the top 10 cities of the world to visit, according to the “Rough Guide”. On that basis, I am very pleased that one of my constituency neighbours, the right hon. Member for East Yorkshire (Sir Greg Knight), has supported the bid to bring Amy Johnson’s plane to Hull. Also on that basis, will the Secretary of State press the Treasury to fill the £5 million gap that has resulted from the Arts Council turning down an application for funds to refurbish the New theatre in the city? That refurbishment needs to go ahead in time for the 2017 celebrations. I make this request in the light of the fact that the Treasury has found £78 million to pay for a new theatre in Manchester.
ParlaMint-GB_2016-01-21-commons.u62	The hon. Lady is quite right to highlight the autumn statement and the settlement that was achieved, which included money for arts institutions across the country. I am aware of the issue relating to the New theatre in Hull, and of course I am keen to support as much as possible in the city during this very important year approaching. I am happy to continue to press the case, but obviously she will understand that there are a lot of competing bids. We are determined to make Hull a success as the UK city of culture.
ParlaMint-GB_2016-01-21-commons.u63	9. What progress has been made on the BBC charter renewal process.
