ParlaMint-GB_2016-01-22-commons.u1	rose—
ParlaMint-GB_2016-01-22-commons.u2	A point of order?
ParlaMint-GB_2016-01-22-commons.u3	It is not a point of order, but I beg to move, That the House sit in private.
ParlaMint-GB_2016-01-22-commons.u4	Indeed. Other than by reason of formality and constitutional precedent, I cannot ordinarily imagine the hon. Gentleman “begging” anything Question put forthwith (Standing Order No. 163).
ParlaMint-GB_2016-01-22-commons.u5	On a point of order, Mr Speaker. It does seem an awful waste of the House’s time to divide when only three Members support the motion, in order to close down the debate and prevent people from hearing what the House has to say. What chiefly worries me, however, is that when the voices are heard, there always seem to be more Members shouting “Aye”, that we should sit in silence—[Interruption.] I mean in private—[Interruption.] The Whips might think it would be better if we sat in silence, but when we sit in private no one can hear us, so we are effectively sitting in silence Let me return to my main point, about the shouting. I shouted “No” quite loudly. In the same part of the Chamber, there seemed to be a shout of “Aye”, yet none of the Members who are sitting here voted that way. I know that they do not have to, but is not the procedure a complete waste of the House’s time?
ParlaMint-GB_2016-01-22-commons.u6	The principle is that vote should follow voice. It is disorderly for a Member to voice in one direction and vote in another. However, it is not obligatory for someone who has shouted “Aye” to vote “Aye”. He or she is perfectly free to abstain. The same applies to a Member who votes “No”, a point that the hon. Gentleman acknowledged in his point of order That said, in an age in which we prize intelligibility and transparency, it is much to be preferred if Members are, and appear to be, consistent in what they do relative to what they say. I think we will leave it there for now. I hope that that satisfies the constitutional palate of the hon. Gentleman.
ParlaMint-GB_2016-01-22-commons.u7	I beg to move amendment 4, page 1, line 15, after “may” insert “after appropriate public consultation”.
ParlaMint-GB_2016-01-22-commons.u8	With this it will be convenient to discuss the following: Amendment 1, page 1, line 17, at end insert— “(2A) The Secretary of State may by order or regulations made by statutory instrument make such provision as the Secretary of State considers appropriate to re-establish the Secretary of State’s powers to appoint trustees in respect of— (a) one, (b) more than one, (c) a type, class or category of, or (d) every (2B) A statutory instrument containing an order or regulations under subsection (2A) which amends or repeals primary legislation (whether alone or with other provision) may not be made unless— (a) a draft of the instrument has been laid before, and approved by a resolution of, each House of Parliament, and (b) a draft of the order or regulations was published three months before laying before Parliament.” Amendment 3, page 1, line 21, at end insert— “(bA) provision for one trustee to be appointed by the NHS institution, service or function for whose benefit the charitable trust exists,” Amendment 2, page 2, line 1, leave out “and” and insert— “(cA) provision by which the Secretary of State may appoint one or more trustees where— (i) the Secretary of State has satisfied himself that exceptional circumstances exist, or “(ii) all the trustee positions in relation to a particular charitable trust have been vacant for a period exceeding three months, and” Amendment 5, page 2, line 4, leave out “Subject to subsection (5)” Amendment 6, page 2, line 7, leave out subsections (5) and (6) Amendment 7, clause 2, page 3, line 14, at end insert— “(8A) A statutory instrument under subsection (8) may not be laid before either House of Parliament without an accompanying statement by the Comptroller and Auditor General that he is satisfied with the treatment of public assets and funds envisaged in the regulations contained within such an instrument.” Amendment 8, page 3, line 13, leave out subsection (8) and insert— “( ) A statutory instrument containing regulations under subsection (1) may not be made unless a draft of the instrument has been laid before, and approved by a resolution of, each House of Parliament.” Amendment 9, schedule 1, page 9, line 9, at end add— “(14) The Secretary of State may grant permission for— (a) one; (b) any number of, or (c) a category or type of charitable trust, established for the purposes of supporting an institution, service or function of the NHS, permission to use the NHS logo or NHS branding in their fund- raising and other communications (15) The Secretary of State may, having given 6 months’ notice, rescind a permission granted under paragraph 14 (the notice period may be reduced in exceptional circumstances).”
ParlaMint-GB_2016-01-22-commons.u9	I want to focus on amendments 4, 5 and 6, which stand in my name and that of my hon. Friend the Member for Erewash (Maggie Throup). Amendment 4 deals with the need for a public consultation; amendments 5 and 6 remove the requirement for the draft to be laid before, and approved by, each House I shall turn first to amendment 4 and the principle behind it. It inserts “after appropriate public consultation” in clause 1, page 1, after “may” in line 15. It seeks to oblige the Secretary of State to carry out a public consultation that he considers appropriate before making regulations. The principle of a public consultation should be relatively uncontentious. After all, the origins of the Bill being ably presented to the House by my hon. Friend the Member for Aldridge-Brownhills (Wendy Morton), which I fully support, were found in public consultation. The Department of Health conducted a review in 2011, and consulted publicly in 2012. The 2012 consultation set out the rationale for reform. As a result of that consultation and review the Government committed to move to a model of greater independence.
ParlaMint-GB_2016-01-22-commons.u10	Does my hon. Friend have any idea of the costs associated with the consultation? While the principle of public consultation is not contentious, we need to make certain that consultation is necessary, and all these things come with a cost.
ParlaMint-GB_2016-01-22-commons.u11	My hon. Friend makes a sound point: one must always balance the benefit and the cost. I do not have figures on the cost of the consultation, but I think he will agree that the principle of a public consultation is a sound one, and that is what I am speaking to.
