ParlaMint-GB_2016-01-26-commons.u1	1. What his policy is on the autonomy of prison governors; and if he will make a statement.
ParlaMint-GB_2016-01-26-commons.u2	Our prison system needs reform, and, in particular, we need to give governors greater freedoms to innovate to find better ways of rehabilitating offenders.
ParlaMint-GB_2016-01-26-commons.u3	In December, the outgoing chief inspector of prisons said that he was concerned about Islamic extremism in prisons. In some prisons, including in Long Lartin in my constituency, the Muslim population is as high as 40% of inmates. What additional powers or support are the Government giving to tackle religious extremism?
ParlaMint-GB_2016-01-26-commons.u4	My hon. Friend makes an important point. Radicalisation in prison is a genuine danger not just in England, but across the European Union. That is why we have charged a former prison governor, Ian Acheson, with reviewing how we handle not just the security concerns, but the dangerous spread of peer-to-peer radicalisation in our prisons. It is also the case that, in appointing a new chief inspector to follow on from the excellent work of Nick Hardwick, the experience of Peter Clarke in this particular area will count very much in his favour.
ParlaMint-GB_2016-01-26-commons.u5	I welcome the steps that have been taken to tackle radicalisation in prisons, but the problem exists once people come outside prisons. In a previous report of the Home Affairs Committee, we talked about the need to monitor people when they come outside. Will the Secretary of State ensure that there remains that connection with the Home Office, so that those who have had lessons or initiatives to do with counter-radicalisation are able to continue with them when they get outside?
ParlaMint-GB_2016-01-26-commons.u6	Absolutely. I make it my business to talk regularly to the Home Secretary about this issue, as we share the concerns of the right hon. Gentleman. I also know that the Under-Secretary of State for Justice, my hon. Friend the Member for South West Bedfordshire (Andrew Selous) and the Minister for Security, my right hon. Friend the Member for South Holland and The Deepings (Mr Hayes) meet regularly to ensure that we do everything possible to monitor the matter. Across the House, there is a recognition that we must deal not only with violent extremism, but with extremism itself. Those who seek to radicalise and to inject the poison of Islamism into the minds of young men need to be countered every step of the way.
ParlaMint-GB_2016-01-26-commons.u7	2. What steps his Department is taking to increase value for money in its spending.
ParlaMint-GB_2016-01-26-commons.u8	We are determined to help eliminate the budget deficit and deliver better justice, which is why we are cutting 15% from the Ministry of Justice budget over the spending review, but finding £1.3 billion to overhaul the prison estate so that we drive down reoffending and ensure that my hon. Friend’s constituents get better value for money and better bang for their buck out of the justice system.
ParlaMint-GB_2016-01-26-commons.u9	The Ministry of Justice has faced spending cuts as deep, or deeper, than any other Department in Whitehall, and yet, despite the occasional criticism and row, I am not sure whether the public has noted any discernible reduction in the service provided by the Department. Will my hon. Friend summon in the Secretaries of State for Health, Work and Pensions, International Development and Defence and give them a verbal tongue lashing about how we can emulate the private sector and create more wealth, goods, enterprise, deregulation and lower taxation and still provide better services?
ParlaMint-GB_2016-01-26-commons.u10	I thank my hon. Friend for his insightful remarks. As a former Public Accounts Committee Chairman, he will appreciate that we have already slimmed back-office by £600 million so that we can extend rehabilitation to the 45,000 offenders on short sentences, where we have some of the highest reoffending. Now we are cutting the admin budget by 50%, but investing £700 million to modernise our courts. It shows that, whether we are talking about delays at courts or the offenders passing through them, we can drive efficiencies and deliver a more effective system.
ParlaMint-GB_2016-01-26-commons.u11	Given the Secretary of State’s U-turns on things such as the criminal court charge and the ban on books being sent to prisoners, may I gently suggest that a good way of saving money would be to avoid such mistakes in the first place and listen to the Labour party?
ParlaMint-GB_2016-01-26-commons.u12	With great respect to the hon. Gentleman, given the litany of mistakes, errors and systemic failings that we have had to clear up over the past five years and will continue to do over the next five years, we might just reject that particular piece of counsel.
ParlaMint-GB_2016-01-26-commons.u13	One important area in which both service can be enhanced and value for money achieved is through greater efficiency both in the courts estate and the courts system. Is my hon. Friend satisfied that the Ministry has sufficient in-house capacity to deal adequately with major issues such as court restructuring, where negotiations have to take place at high commercial contractual levels, or will he bring in outside expertise where necessary?
ParlaMint-GB_2016-01-26-commons.u14	My hon. Friend is absolutely right. I have already explained some of the back-office savings that we are making not only to deliver better value to the taxpayer but to find the savings to reinvest. He is right to say that, where we need to engage with the private sector—or the voluntary sector for that matter—to take advantage of their ingenuity and innovation, we will do so.
ParlaMint-GB_2016-01-26-commons.u15	Figures released yesterday by the Department show that more Ministry of Justice staff received bonuses last year than the previous year, and that the average size of bonus increased by more than 7%. Considering that the whole public sector has had a 1% pay rise cap, is this not a case of one rule for one and a different rule for another?
ParlaMint-GB_2016-01-26-commons.u16	No. I am afraid that that is not fair or reasonable to any of our hard-working public servants. There are strict rules and parameters on bonuses within the 1% pay cap and the guidance on that, but it is important, notwithstanding the savings that we have to make, especially in bureaucracy, back office and head- quarters, that we recognise outstanding performance.
ParlaMint-GB_2016-01-26-commons.u17	We are the only country in the world that uses taxpayers’ revenue to pay lawyers to sue our own soldiers as they return from active duty. Is that an area of saving that the Minister might consider?
ParlaMint-GB_2016-01-26-commons.u18	My hon. Friend is absolutely right that we need a balanced approach to access to justice. I will answer some specific questions about the military claims later, but he is right to say that we need to look at the rules on legal aid, and that is what we are already doing and will continue to pursue.
ParlaMint-GB_2016-01-26-commons.u19	Talking of value for money, how much has the miscalculation of divorce settlements cost so far? The 2,200 closed cases will require specialist legal advice and negotiation to correct. Who is going to pay for that—the taxpayer or the people his Department has so badly let down? On the back of it, the legal press has dubbed the Under-Secretary of State for Justice, the hon. Member for North West Cambridgeshire (Mr Vara), the Minister for cock-ups. We disapprove of this scapegoating. Does not the whole ministerial team deserve that title?
ParlaMint-GB_2016-01-26-commons.u20	I am glad that the hon. Gentleman disagrees with scapegoating. When we make mistakes, we recognise them. We have written to all the people affected, and we will make sure that it does not happen again.
ParlaMint-GB_2016-01-26-commons.u21	3. What plans he has for the future of the women’s prison estate.
ParlaMint-GB_2016-01-26-commons.u22	Our announcement of the closure of Holloway prison signals a new beginning in the way we treat female offenders. It reflects our commitment to hold women in environments that better meet their specific needs and support their rehabilitation, helping them towards better lives on release.
ParlaMint-GB_2016-01-26-commons.u23	I thank my hon. Friend for that answer. I have Foston Hall ladies prison in my constituency. Can my hon. Friend outline how the changes that are happening at Holloway will assist the prisoners and staff at Foston Hall?
ParlaMint-GB_2016-01-26-commons.u24	Foston Hall is now a resettlement prison, so it is much better placed to support inmates throughout their time in prison and back out into the community. My hon. Friend will know that many female offenders have complex needs, which is why we have introduced a personality disorder pathway and a centralised case management system for female offenders. We have also ensured that family engagement workers are in place at all public sector women’s prisons, including Foston Hall.
ParlaMint-GB_2016-01-26-commons.u25	The Minister might know that New Hall women’s prison is quite close to my Huddersfield constituency. Does she agree that often literacy issues stop women getting back into society and leading a good life? Also, many people—women particularly—are on the autistic spectrum, but are never tested. Could more attention be paid to special educational needs in women’s prisons so that we can help women more?
ParlaMint-GB_2016-01-26-commons.u26	The hon. Gentleman makes an excellent point, and we will certainly take it into consideration. I visited New Hall prison towards the tail end of last year and had a look at some of the excellent work that it is doing to help women offenders both with literacy and numeracy and with their various other complex needs.
ParlaMint-GB_2016-01-26-commons.u27	My hon. Friend will be aware, as will her colleagues, of the work of RAPT—the Rehabilitation for Addicted Prisoners Trust. She may not know that it began its work in Downview prison in my constituency when it was a category C/D male resettlement prison. That work had to come to an end when it was re-roled as a female prison back in 1999-2000. Now that the Minister is moving women prisoners to Downview, will she make sure that RAPT can restart its work as the prison reopens?
ParlaMint-GB_2016-01-26-commons.u28	My hon. Friend makes an important point. So many of our female offenders come into the prison system with addictions to both substances and alcohol, and it is fundamental that that is a key part of their rehabilitative process.
ParlaMint-GB_2016-01-26-commons.u29	On the advice of organisations such as Families Outside, the Scottish Government have been trialling community sentencing for women serving sentences of six months or less, in order to reduce reoffending. Given that early indications suggest that that is working, will the Minister commit to looking at rolling it out across the whole United Kingdom?
ParlaMint-GB_2016-01-26-commons.u30	I am keen to look at the Scottish model and see what progress has been made. I am also keen to intervene earlier in women’s offending journey to make sure that the right wrap-around services are put in place to try and divert as many people as possible away from ending up in prison, because we know that every woman in prison represents a potentially broken family and children potentially taken into care.
ParlaMint-GB_2016-01-26-commons.u31	Given that the Minister is usually such a great champion of gender equality, may I suggest that instead of trying to turn the women’s prison estate into some kind of holiday camp, she makes sure that if a woman commits an offence, she is treated in exactly the same way as a man, and that female prisoners are treated in the same way as male prisoners? It is still the case that for every single category of offence, a man is more likely to be sent to prison than a woman. Why is a female offender who commits burglary any better than a male offender who commits the same offence?
ParlaMint-GB_2016-01-26-commons.u32	I fear we may have been down this road before with my hon. Friend. I take on board his comments. Sentencing is a matter for the judiciary, but I will always defend my strongly-held belief that equality of outcome is what we are looking for in the female prison estate. At present, female prisoners are much more likely to have many complex needs and are far less likely to gain employment once they leave prison. I am seeking to tackle that.
ParlaMint-GB_2016-01-26-commons.u33	4. What steps he is taking to tackle the use of new psychoactive substances in prisons.
ParlaMint-GB_2016-01-26-commons.u34	Quite rightly, we do not tolerate drugs in our prisons and we are bringing forward tough new measures, including the new legislation on psychoactive substances, which will make possession in a prison a criminal offence, unlike the position in the rest of the country.
ParlaMint-GB_2016-01-26-commons.u35	I congratulate the Minister on spearheading that new legislative tool, but if the scale of harm demonstrated by a significant increase in ambulance attendances and suicides were happening in other places where there is a duty of care—hospitals, children’s homes or schools—would we not have what is needed, which is a root and branch review of how best to tackle supply and demand for drugs in prisons?
ParlaMint-GB_2016-01-26-commons.u36	We must make sure that these drugs do not get into our prisons. Psychoactive substances and drugs have been in our prisons for some time. Following a request not only from the prisons Minister, but from prison officers as well as prisoners around the country, we made sure that possession was a criminal offence. We need measures such as new sniffer dogs, which can sniff out such products, and they are in training. We must eradicate these drugs from our prisons.
ParlaMint-GB_2016-01-26-commons.u37	The National Offender Management Service has revealed that the amount of alcohol found in prisons in England and Wales has almost trebled since the Government took office. Will the Minister explain what urgent steps he is taking to address this serious problem?
ParlaMint-GB_2016-01-26-commons.u38	One of the ways we can deal with that is by making sure that individual governors have full control within their prisons so that they can work with their staff to make sure that not only drugs, but alcohol, which is not supposed to be in our prisons, is not there. Much of that alcohol is brewed within the prisons and we need to work hard to make sure that we eradicate that.
ParlaMint-GB_2016-01-26-commons.u39	We do not tolerate drugs in our prisons, but drugs use is widespread throughout every jail in this country. Is there any realistic prospect whatsoever of a drug-free prison establishment?
ParlaMint-GB_2016-01-26-commons.u40	The Prison Service works very hard to try and make sure that we eradicate as many drugs as possible. The new legislation will help. We know that assaults on prison officers and inmates by people taking psychoactive substances have been prevalent and are a blight on our prisons. With the new legislation we will have powers that we did not have before.
ParlaMint-GB_2016-01-26-commons.u41	There have been recent reports of prison officers falling ill after inhaling inmates’ legal highs. The Minister says that new legislation is being introduced, but how will we deal with the problem when present governors are retiring and leaving? We need a culture from the top to implement measures within the Prison Service. How will the Government effect that?
ParlaMint-GB_2016-01-26-commons.u42	One of the ways in which we can improve the situation for prison officers is by listening to them. They categorically asked for the ban. At the moment such substances are legal, but they will be banned once the Psychoactive Substances Bill receives Royal Assent, so from April possession in prisons will be a criminal offence. That is what prisoner officers asked for, and that is what we have given them.
ParlaMint-GB_2016-01-26-commons.u43	5. What steps he is taking to ensure that access to justice does not depend on ability to pay.
ParlaMint-GB_2016-01-26-commons.u44	We are committed to ensuring that our justice system delivers faster and fairer justice for all our citizens. Reform of our courts and tribunals will bring quicker and fairer access to justice and create a justice system that reflects the way people use services today. We have also ensured that legal aid remains available for the highest priority cases, for example where people’s life or liberty is at stake, where they face the loss of their home, in cases of domestic violence, or where children might be taken into care.
ParlaMint-GB_2016-01-26-commons.u45	The result, as the Lord Chief Justice extraordinarily reported two weeks ago, is that: “Our system of justice has become unaffordable to most” Two constituents were sacked unfairly. One went to tribunal but was unable to afford legal representation and therefore lost. The other immediately gave up. With justice now available to only the well-off, does the Minister have any serious proposals to open up access to justice to ordinary people?
ParlaMint-GB_2016-01-26-commons.u46	I am grateful to the right hon. Gentleman for raising the issue of employment tribunals, because it allows me to say that this Government’s aim is to ensure that people do not have to go to court or tribunal in the first place, and therefore do not have to incur the legal expenses or experience the stress. In the case of employment tribunals—he might not be aware of this—the ACAS early conciliation service, which is free, was used by 83,000 people in its first 12 months. I very much hope that when constituents bring problems to his surgery in future, he will point them towards that free service.
ParlaMint-GB_2016-01-26-commons.u47	Since the Government changed the criteria for access to legal aid there has been a huge increase in claims of domestic violence. Has the Minister made any assessment of the link between those two items?
ParlaMint-GB_2016-01-26-commons.u48	We constantly ensure that matters are kept under review. We are committed to having a review of the Legal Aid, Sentencing and Punishment of Offenders Act 2012 three to five years after its implementation.
ParlaMint-GB_2016-01-26-commons.u49	The Law Society describes access to justice as being “on the verge of a crisis” Funding for civil cases has fallen by 62% since civil legal aid was cut. Will the Minister carry out a full review to understand the equality impact of the changes in civil legal aid?
ParlaMint-GB_2016-01-26-commons.u50	As I have just said, we will be carrying out a full review of the implementation of LASPO. We still have one of the most generous legal aid budgets in the world, notwithstanding the reductions we have made.
ParlaMint-GB_2016-01-26-commons.u51	Some of the people who would struggle the most to pay court fees are those affected by family breakdown, often in chaotic families. Will my hon. Friend update the House on what plans he has to simplify and reduce costs to access child arrangements orders, and will that include any further statutory rights for grandparents?
ParlaMint-GB_2016-01-26-commons.u52	On court fees, what I will say is that where people have difficulty attending court, there is a fee remission system available, which can be for remission in full or in part.
ParlaMint-GB_2016-01-26-commons.u53	We learnt this week that a district judge is suing the Ministry of Justice, blowing the whistle on the rising number of death threats and the increasingly violent claimants that our judges are having to deal with day in, day out. Given that that comes so soon after the Lord Chief Justice’s warning that judges face a rising number of challenging and emotionally charged cases, what action is the Minister taking to address these claims, or is this just another admission that his party’s failed austerity policies have made our courts more dangerous, both for judges and for victims?
ParlaMint-GB_2016-01-26-commons.u54	I welcome the hon. Lady to her new post on the Opposition Front Bench. She will appreciate that, given that there is ongoing litigation, I cannot possibly comment on that from the Dispatch Box.
ParlaMint-GB_2016-01-26-commons.u55	6. What steps his Department is taking to improve prisons’ engagement with employers; and if he will make a statement.
ParlaMint-GB_2016-01-26-commons.u56	11. What steps his Department is taking to improve prisons’ engagement with employers; and if he will make a statement.
ParlaMint-GB_2016-01-26-commons.u57	13. What steps his Department is taking to improve prisons’ engagement with employers; and if he will make a statement.
ParlaMint-GB_2016-01-26-commons.u58	Providing prisoners with vocational skills and employment opportunities is an important factor in preventing reoffending. The Employers Forum for Reducing Reoffending brings together employers who are willing to employ offenders, and we are working with the Department for Work and Pensions to increase the involvement of more businesses. Community rehabilitation companies also have an important role to play in helping ex-offenders find employment.
ParlaMint-GB_2016-01-26-commons.u59	I am grateful to my hon. Friend for that encouraging answer. I am sure he would agree with me that it is beholden on as many employers as possible to offer training in prisons, so that when prisoners leave prison they are ready for employment and equipped with the required skills. I invite him to welcome the work that Cleansheet does in our prison estate, particularly in Guys Marsh in my constituency. I have seen it at first hand and it really gets people ready for work.
ParlaMint-GB_2016-01-26-commons.u60	I thank my hon. Friend very much for his interest in this important area and am delighted to praise the work of Cleansheet and so many other organisations that try to get prisoners into work. A number of companies—Timpson, Halfords, the Clink restaurants, the Census Data Group, Aramark and many others I could mention—are rising to the challenge. We want many more to join them.
ParlaMint-GB_2016-01-26-commons.u61	Does the Minister agree that providing work—and the right sort of work—is the real key to an effective rehabilitation process for prisoners?
ParlaMint-GB_2016-01-26-commons.u62	My hon. Friend is absolutely right. We have the hard evidence: if a prisoner leaves prison and goes into work, they are less likely to reoffend. We know that reoffending costs between £9 billion and £13 billion a year and creates many more victims. We can avoid that by getting more prisoners into work.
ParlaMint-GB_2016-01-26-commons.u63	My hon. Friend will know that access to the skills likely to be required in the working environment is key. I welcome what he said about the employers’ forum, but will he say what more the Government will do to get more employers to recognise the potential of providing those skills and of the opportunity to employ ex-offenders on release?
ParlaMint-GB_2016-01-26-commons.u64	As a London Member, my hon. Friend may have noted that a week or so ago the Mayor of London pointed out that when employers hire ex-offenders, they report above-average commitment and loyalty; the issue is not only an important part of social responsibility, but very good business sense. London is leading the way in this area, with more joined up work between local enterprise partnerships getting extra skills funding into prisons. I want to see what is happening in London spread across the whole of England and Wales.
ParlaMint-GB_2016-01-26-commons.u65	In November, I raised the issue of the barrier that insurance premiums pose to employment for ex-offenders. I am pleased to say that the Minister has engaged with the issue. Does he have an update for the House?
ParlaMint-GB_2016-01-26-commons.u66	I do indeed. The hon. Gentleman is right to pursue this matter. Recently, I have come across the issue of insurers imposing a blanket stipulation that employers should have no ex-offenders on their premises. I am not only the prisons Minister but a former chartered insurer; shortly, I will be having a meeting with the Association of British Insurers to challenge it on that issue and see whether that is really necessary. As a former underwriter myself, I suspect that it is probably not.
ParlaMint-GB_2016-01-26-commons.u67	This morning, the Minister has talked about employment on release from prisons. Education and skills are crucial to an offender’s chance of making something of themselves and getting a job on release. However, the Minister has admitted, in an answer to a question from my hon. Friend the Member for Hammersmith (Andy Slaughter), that Prison Service anti-riot squads were drafted in on 339 occasions in the year to 9 December 2015—an increase of 52% on the previous year. Does the Minister accept that prison overcrowding, coupled with his Government’s cuts in resources, has led to a prison estate that is not fit for educational purpose?
ParlaMint-GB_2016-01-26-commons.u68	First, let me warmly congratulate the hon. Lady on her new position; I look forward to debating these important issues with her in the months to come. She is absolutely right to raise the issue of education, which is a crucial part of helping get offenders into work. The Government’s whole prison reform programme is front and centre of part of the answer to try to deal with the issues of violence and disorder that she has identified: more purposeful work, better education, better outcomes, better ordered prisons.
ParlaMint-GB_2016-01-26-commons.u69	19. Hampshire’s community rehabilitation company plays a vital role in connecting prisons and offenders with local employers across the Havant constituency. Will the Minister join me in congratulating it on its work and in encouraging more employers to consider employing ex-offenders, including through job fairs run by Members of this House?
ParlaMint-GB_2016-01-26-commons.u70	I certainly will. I warmly congratulate my hon. Friend not only on organising a jobs fair in his constituency—a very practical way in which to help our constituents find work—but on realising that it needs to be equally open to ex-offenders. He is leading the way, and I hope others will follow. I wish him well with his enterprise.
ParlaMint-GB_2016-01-26-commons.u71	Order. Before I call the hon. Member for Barrow and Furness (John Woodcock), I remind the House that the Crown Prosecution Service is reconsidering this case and a second inquest is awaited. Right hon. and hon. Members should take account of that in carefully framing their remarks on the matter.
ParlaMint-GB_2016-01-26-commons.u72	7. What assessment he has made of the coroner’s role in the case of Poppi Worthington.
ParlaMint-GB_2016-01-26-commons.u73	The death of Poppi Worthington is deeply, deeply distressing and very tragic. I offer my deepest sympathies to those who loved her and those who cared for her. I am unable to comment on the decisions of the previous coroner, but I note that the new Cumbria senior coroner took steps to hold a fresh inquest as soon as he was appointed. As the Under-Secretary of State for the Home Department, my hon. Friend the Member for Staffordshire Moorlands (Karen Bradley), rightly said last week, “there is nothing more important than keeping children safe.”—[Official Report, 20 January 2016; Vol. 604, c. 1419.] That is why the Government have given child sexual abuse the status of a national threat in the strategic policing requirement.
ParlaMint-GB_2016-01-26-commons.u74	I thank the Minister for that answer, and the Lord Chancellor for his swift reply to my letter, which I received this morning. Our community wants accountability and wants to see improvements in services that have so tragically failed in these circumstances. So will the Minister make it clear that there is no reason why the serious case review into Poppi Worthington’s death and the Independent Police Complaints Commission’s report need be delayed pending the second inquest being carried out?
ParlaMint-GB_2016-01-26-commons.u75	The hon. Gentleman is absolutely right to stand up for his constituency and fight for the truth in this way. I completely agree with him that a second inquest should be conducted as soon as possible. Both the IPCC report and the serious case review are of course independent of Government and decide their own timescales. However, I can confirm that neither is required to wait upon the coroner.
ParlaMint-GB_2016-01-26-commons.u76	8. What support his Department is providing to probation service workers at risk of redundancy.
ParlaMint-GB_2016-01-26-commons.u77	Community rehabilitation companies are responsible for supporting any of their staff at risk of redundancy, in line with employment law. We encourage them to follow good industry practice and the ACAS guidelines. We are working closely with community rehabilitation companies to make sure that they fulfil their contractual commitments to maintain service delivery, reduce reoffending, protect the public, and deliver value for money to the taxpayer.
ParlaMint-GB_2016-01-26-commons.u78	There is the potential for 900 probation officers to be made compulsorily redundant within just three CRCs in the very near future. These are the people who stood by the Government at the time of the transitional period into privatisation. They should not be penalised; they should be praised. Will the Minister guarantee that these professionals receive full voluntary redundancy terms and will not be booted out? They provide a very valuable service in the role provided by these private companies on the cheap.
ParlaMint-GB_2016-01-26-commons.u79	I repeat what I said just now—we will make sure that the community rehabilitation companies comply with employment law as they are supposed to do. We closely monitor their performance in line with the contracts that they have signed. Last year, 195 extra probation officers became qualified, and we had 750 new probation officers in training. That is the largest intake of newly qualified probation officers for some considerable period.
ParlaMint-GB_2016-01-26-commons.u80	9. What plans he has to improve youth custody provision.
ParlaMint-GB_2016-01-26-commons.u81	Our system of youth justice does need reform. Although youth offending is down, recidivism rates are high, and the care of young offenders in custody is not good enough. I know that concerns across this House can only have been heightened following the “Panorama” investigation into events at the Medway secure training centre. That is why today, in a written statement, I have appointed an independent improvement board to investigate what has happened at Medway and to ensure that the capability of G4S, the Youth Justice Board and other organisations to meet appropriate standards is sufficient.
ParlaMint-GB_2016-01-26-commons.u82	The roll-out of the new minimising and managing physical restraint system has been delayed for a year. In 2013-14, there were almost 3,000 assault incidents in the children’s secure estate—a 7% increase on 2012-13, even though the number of children in custody had fallen by 20%. What is the Secretary of State doing to address this rising number of incidents and to ensure that a new, safer system is implemented?
ParlaMint-GB_2016-01-26-commons.u83	The hon. Gentleman rightly draws attention to the fact that there has been a reduction in the number of young people in the youth estate. However, as the number has reduced, so those who remain tend to be those who have been arrested for the most violent crimes and who pose the greatest difficulties for those who have to care for them and keep them in custody. It is vital to ensure that when restraint is applied, it is done so in a way that minimises risks to young people, but also ensures that safety can be restored. One of the purposes of Charlie Taylor’s review of youth justice is to make sure that the workforce is appropriately trained to restrain young people in their own interests and those of others.
ParlaMint-GB_2016-01-26-commons.u84	I recently visited Swanwick Lodge, a secure home for 10 to 17-year-olds in my constituency. Its work focuses on tackling the root causes that have led to those young people’s loss of liberty with education, substance misuse therapies and early intervention. Will my right hon. Friend describe what other measures are in place to tackle youth rehabilitation and reduce reoffending?
ParlaMint-GB_2016-01-26-commons.u85	Before my hon. Friend came into the House, she did a great deal of work to help disadvantaged children achieve better educational outcomes. She will know as well as anyone in the House that some of the children who end up in trouble with the criminal justice system have grown up in homes where love has been absent or fleeting, and where no one has cared enough to tell those young people the difference between right and wrong. The work being conducted by the Education Secretary to improve our child protection system and the work being led by the Communities and Local Government Secretary to tackle the problems of troubled families are integral to ensuring that we reduce the number of young people who fall into crime.
ParlaMint-GB_2016-01-26-commons.u86	It was obvious to those who watched the “Panorama” programme that the G4S workforce was under-qualified, under-trained and under pressure not to report incidents that should have been reported, because of the threat to G4S’s profits. Is it not now time that we recognised that the most difficult and vulnerable children in our system should not be looked after by a profit-driven organisation, but by properly trained and publicly accountable staff?
ParlaMint-GB_2016-01-26-commons.u87	I do not doubt for a moment the hon. Lady’s sincerity in caring about these young people. The allegations about what happened in Medway were of course terrible. It is also important, however, to take on board the fact that private sector organisations, including G4S, are responsible for the care of young offenders, not least at Parc in Bridgend, and have been doing an exemplary job in other areas. It is quite wrong to draw conclusions about the private sector or the public sector. What matters is getting outcomes right for children. We should not, on the back of human misery, try to carry forward a narrow ideological argument.
ParlaMint-GB_2016-01-26-commons.u88	Will my right hon. Friend join me in congratulating the distinguished former soldier General Sir Rupert Smith on taking on the airborne initiative at the young offenders institution on Portland? Does he agree that getting appropriate young offenders out on to the moors for five testing days is an excellent scheme that demands our support?
