ParlaMint-GB_2016-02-02-lords.u1	To ask Her Majesty’s Government whether they have any plans to privatise the Land Registry.
ParlaMint-GB_2016-02-02-lords.u2	My Lords, in the Autumn Statement last year, my right honourable friend the Chancellor announced the Government’s intent to consult on options to move operations from the Land Registry into the private sector from 2017. The Government are currently looking at the best options to achieve their objectives. No final decisions will be made on the future of the operating model of the Land Registry until a public consultation has been completed.
ParlaMint-GB_2016-02-02-lords.u3	My Lords, Ministers have referred to the rationale for this decision in terms of asking the public and ourselves what overriding reason there is for the Land Registry to stay in the public sector, which is an ideological position. Two questions arise from that. First, I return the compliment and ask: on what grounds is the noble Earl parting company with William the Conqueror who, in 1086, ordained the compilation of the Domesday Book of all land holdings, successfully completing this as a state function? Indeed, it is a natural monopoly like tax collection, and as such is identified in all economics textbooks as the classic exception to the normal case for competitive and profit-maximising private enterprise. Secondly, there was nothing on this in the Government’s manifesto and according to a recent poll it is opposed by 95% of the British people, so how come the Government announced their intention—as the Minister said—to sell it for a sum of £1 billion, according to the FT, with only the flimsiest lip service paid to protecting the integrity of the register?
ParlaMint-GB_2016-02-02-lords.u4	My Lords, I am not sure I have any relationship with William the Conqueror. Seriously, the noble Lord asked a number of questions but in essence asked why we are doing this. As he is aware, the Government continually review all their assets to ensure that public services operate efficiently and effectively for the taxpayer. A sale of part or all of the Land Registry operations is expected to deliver a capital receipt for the Government. That can be invested elsewhere for the benefit of the taxpayer. Where there is no strong policy reason for continued public ownership of an asset, it is right that the Government look at the merits of sale.
ParlaMint-GB_2016-02-02-lords.u5	My Lords, why cannot the Land Registry do more to stop London becoming the money-laundering capital of Europe by at least ensuring that all property transactions—all of them, but particularly from abroad—have the beneficial owner listed rather than just corporate ownership, as is the case with properties purchased by companies inside the UK, so that it is fair for all? Lastly, why can it not publish all the purchase prices of properties where they are purchased from abroad? It publishes only 70% of the purchase prices of properties purchased from abroad and that leaves us, as a country, wide open to massive money-laundering.
ParlaMint-GB_2016-02-02-lords.u6	The noble Lord makes some very interesting points. He must also be aware that we are going to have this open and public consultation in which he will have the opportunity to make those points.
ParlaMint-GB_2016-02-02-lords.u7	My Lords, are the Government entirely appreciative of the enormous importance of the integrity of the Land Registry? Having worked for many years as a lawyer, I would like to be sure that before the Government take the step of privatising it, they understand the implications and that whoever takes it over must have the same degree of integrity as the people who run it now.
ParlaMint-GB_2016-02-02-lords.u8	My Lords, I thank the noble and learned Baroness for that point. She is quite right—the integrity of the Land Registry has to continue; it has to be trusted by customers, people selling property, conveyancing bodies and the law societies. At an early stage, the project team engaged with officials across Whitehall, and outside government we have been in contact with the Land Registry Advisory Council, which includes the Building Societies Association, the Law Society and the Conveyancing Association, among others.
ParlaMint-GB_2016-02-02-lords.u9	My Lords, the danger is surely that the Government will see the changes as an opportunity for a job-cutting exercise. In evaluating the options, what weight will be given by the Government to the preservation of jobs in areas of high unemployment?
ParlaMint-GB_2016-02-02-lords.u10	My Lords, there will be no immediate change for Land Registry staff; no decisions will be taken until, as I said earlier, public consultation has taken place. In the case of a change, we will look to make all changes compliant with employment law and, after appropriate communications and engagement, with the trade unions. I should add that in the Land Registry 63% of employees are represented by the PCS and the FDA, and I know that they have regular conversations with the management and that even at the most senior level that happens as well.
ParlaMint-GB_2016-02-02-lords.u11	My Lords, in view of the Land Registry’s incredible photographic survey, can my noble friend assure the House that there will be no selling to Google?
ParlaMint-GB_2016-02-02-lords.u12	My Lords, my noble friend, as ever, poses an interesting point. I am not sure whether this is an area that the company mentioned is involved in.
ParlaMint-GB_2016-02-02-lords.u13	My Lords, if the Land Registry is purchased, I assume that the Government will put in place measures to prevent a new commercial owner exploiting access to the register for commercial gain. If so, will that not reduce the price?
ParlaMint-GB_2016-02-02-lords.u14	My Lords, obviously, as the consultation has not taken place and we do not actually know how the sale will be established, we cannot even talk about the price. But the noble Lord makes a point about exploitation, and he is quite right that those aspects must be guarded.
ParlaMint-GB_2016-02-02-lords.u15	My Lords, I declare an interest in that the Land Registry was the first organisation to offer me a job at the age of 16, so I have always had a fondness for it. Is the Minister aware that the reason why the noble and learned Baroness, Lady Butler-Sloss, is so right is that Land Registry is a key part of the most important thing that most people ever do, which is to buy a house? The public trust the Land Registry. If the public consultation that the Minister has proffered as a way forward shows overwhelming hostility to the Government’s plans by the general public, will the Government accept that decision?
ParlaMint-GB_2016-02-02-lords.u16	My Lords, I cannot possibly pre-empt what is said in the consultation and what Her Majesty’s Government will say in response. As I said earlier, the consultation will be taken very seriously by the department.
ParlaMint-GB_2016-02-02-lords.u17	To ask Her Majesty’s Government what assessment they have made of the potential in the United Kingdom for the development of carbon capture and storage.
ParlaMint-GB_2016-02-02-lords.u18	My Lords, the Government believe carbon capture and storage has the potential to play an important role in the long-term decarbonisation of the United Kingdom’s power and industrial sectors.
ParlaMint-GB_2016-02-02-lords.u19	I thank the Minister for that very short reply. In the Committee stage of the Energy Bill this Session, he stated that, “CCS is central to what we are seeking to do on decarbonisation”.—[Official Report, 7/9/15; col. 1230.] Given the cancellation of the projects in Scotland and Yorkshire earlier this year, is that still the Government’s view, or is this a new vision of CCS and decarbonisation?
ParlaMint-GB_2016-02-02-lords.u20	My Lords, a decision was taken to cancel the competition rather than the projects to which the noble Lord referred. CCS remains vital to what we are seeking to do in decarbonisation. There are many ways in which we are pushing it forward, not least with industrial carbon capture and storage, innovation and, with our partners, looking at joint research and joint sharing of information.
ParlaMint-GB_2016-02-02-lords.u21	My Lords, I am sure that the noble Lord, Lord Teverson, is right in theory that, if CCS can be made to work, it will be the means of continuing to burn oil, gas and coal in a low-carbon way and thus preventing the looming power crisis that seems all too likely in the near future, but would not my noble friend agree that, in fact, it is impossibly expensive and that the technique of storing in North Sea oilfields is slightly dubious and not fully proven? Would it not be much better to divert resources, such as they are, to carbon capture and utilisation—a cheaper method of carbon capture and sequestration—and to increased energy efficiency?
ParlaMint-GB_2016-02-02-lords.u22	My Lords, my noble friend is right to address the enormous cost of the competition. It was going to cost £1 billion. We remain very active in sharing information and data with the United States, Canada, Norway, South Korea, Japan and China, all of which are pushing forward on this, and we are sharing research and information.
ParlaMint-GB_2016-02-02-lords.u23	My Lords, although methods of capturing and storing carbon are becoming more and more sophisticated, the simplest, pleasantest and most efficient way of doing it is still by the use of trees. Can I urge the Minister to do all he possibly can to urge the Government to apply maximum energy on the care of trees and planting of trees, particularly in our towns and cities?
ParlaMint-GB_2016-02-02-lords.u24	My Lords, my noble friend is absolutely right on the vital nature of this. It was a leading part of the discussions in Paris and was spearheaded by His Royal Highness the Prince of Wales. The United Kingdom is very much of the same view, as was the rest of the world at Paris.
ParlaMint-GB_2016-02-02-lords.u25	My Lords, getting back to the cost of CCS, I think at the moment the strike price for it is about three times the reference price, which means that if we went that way, the cost would increase three times. We are hoping the price may come down in the 2020s to only twice the cost, but should we not get on with anything we can to understand that situation and the costs more? As the noble Lord, Lord Howell, said, it may not be feasible at all. It is a surprise to most of us that this competition was cancelled.
ParlaMint-GB_2016-02-02-lords.u26	My Lords, I agree with most of what the noble Lord said, except about the cancellation. The cancellation was of an extremely expensive project. He is absolutely right that our role, along with others, is vital. We are a leading part of the Carbon Sequestration Leadership Forum internationally and, as I indicated previously, we are talking with key allies about what to do in this area.
ParlaMint-GB_2016-02-02-lords.u27	My Lords, key organisations have written jointly to the Prime Minister deeply concerned about the Government’s decision to withdraw £1 billion of funding for CCS. This decision is no way to encourage businesses or investor confidence and is undermining the development of a low-carbon economy. Will the Government accept that they have perhaps made a mistake in axing this programme, recommit the funds and come up with a new strategy?
ParlaMint-GB_2016-02-02-lords.u28	My Lords, I agree with the noble Lord about the importance of CCS, but I disagree with him in relation to the cancellation of the project. As I have indicated, we are looking at other ways of advancing CSS, including an innovation budget, possibly a contract for difference and international co-operation. This is the right way forward with value for money.
ParlaMint-GB_2016-02-02-lords.u29	My Lords, as the UN’s Intergovernmental Panel on Climate Change concluded, CCS is a hugely important part of tackling climate change, particularly with regard to cost-effectiveness. Without the crucial £1 billion investment in the cancelled CCS project—as the Government themselves phrased it just a year ago—how else are binding carbon targets to be met? I urge the Government to reconstitute the £1 billion pioneering project.
ParlaMint-GB_2016-02-02-lords.u30	My Lords, the noble Baroness is wrong: it is not £1 million but £1 billion. This is the whole point. It is a massively expensive project. We have to look at value for money and at achieving the best ends for the best value. As I say, we recognise the importance of CCS. That is why we are carrying it forward in so many other ways.
ParlaMint-GB_2016-02-02-lords.u31	My Lords, if the Minister is as positive about carbon capture and storage as he has indicated with his warm words, why is he slashing its budget so savagely?
ParlaMint-GB_2016-02-02-lords.u32	My Lords, I have indicated that it is an issue of value for money. We do not believe that £1 billion spent on a competition is the right way forward. We are spending money elsewhere, such as on industrial carbon capture and storage; we are working with allies; and we have a powerful innovation budget. This is a key area, but we must get value for money.
ParlaMint-GB_2016-02-02-lords.u33	My Lords, surely this cancellation—this U-turn, this emergency brake—has taken away our reputation as decarbonisation leaders in the world, and has taken away investor confidence in the sort of low-carbon energy projects that we want in this country.
ParlaMint-GB_2016-02-02-lords.u34	My Lords, anyone who was present in Paris for the conference at the end of the year, post the decision on the cancellation, would recognise that we are seen as having a leading role on decarbonisation. That is the reality.
ParlaMint-GB_2016-02-02-lords.u35	To ask Her Majesty’s Government what is the expected date for the full implementation of the South East Flexible Ticketing Scheme.
ParlaMint-GB_2016-02-02-lords.u36	My Lords, we are completely committed to the introduction of smart ticketing as set out in our manifesto. The South East Flexible Ticketing programme is proceeding with its existing contractual obligations and I fully expect these to be delivered by the end of 2016. We want to accelerate progress, support programmes where necessary and challenge operators to do more.
ParlaMint-GB_2016-02-02-lords.u37	My Lords, £37 million has been spent on the scheme so far but now it appears that the Government have abandoned completing it. Last November they were blaming train operating companies for delays, but now they say that they will leave the rest of the scheme to those same companies to complete as part of their franchise requirements. This will slow down implementation, affecting all passengers but particularly part-time workers, 75% of whom are women. When do the Government think smart ticketing will now be fully introduced across all lines? Will future franchises require full integration of ticketing with other train operators, not simply a paperless system?
ParlaMint-GB_2016-02-02-lords.u38	I remind the noble Baroness of the Answer I just gave: we are looking to complete that by 2016. The five operators that have already signed cover 73% of the network. With regard to part-time season tickets, through the franchise competitions we are ensuring that operators develop appropriate proposals for pricings within that.
ParlaMint-GB_2016-02-02-lords.u39	My Lords, might the Minister consider the fact that, I believe, smart ticketing now depends on contactless cards? These require an enormous back-office facility to adjust the money between operators. The operators cannot agree to share the information with one another. Would it not be better if ATOC, the independent association of train operators, which deals with revenue matters now, addressed this?
ParlaMint-GB_2016-02-02-lords.u40	We are seeing increased co-operation across train operators and we are working closely with the industry to ensure just that. As I have already indicated, there is 73% coverage with the existing operators. In one case, for season ticket holders we already have 22% of the market covered through smart ticketing.
ParlaMint-GB_2016-02-02-lords.u41	The Rail Delivery Group has recently had discussions with the Rail Minister, Claire Perry. She was going to send a formal letter to the group setting out the Government’s expectations on ticketing. In order to clear up any doubts about the current situation and the position with the South East Flexible Ticketing smartcard scheme, and indeed with other schemes, can I ask whether that letter has been sent? If so, will the Minister place a copy in the Library?
ParlaMint-GB_2016-02-02-lords.u42	I have just enjoyed a sandwich lunch with my honourable friend the Rail Minister, and I asked her that question. That letter will be sent shortly, and as soon as it is issued I will ensure that a copy is put in the Library. The noble Lord pointed to wider arrangements. Through the Smart Cities Partnership, nine additional regions are looking at smart ticketing.
ParlaMint-GB_2016-02-02-lords.u43	Does my noble friend agree with the leader of Her Majesty’s Opposition in another place that the railways should be renationalised?
ParlaMint-GB_2016-02-02-lords.u44	I do not think I agree with anything the leader of the Opposition in the other place says.
ParlaMint-GB_2016-02-02-lords.u45	My Lords, will the noble Lord confirm or deny the very strong rumours reaching me—I declare an interest in that I travel on Southern trains—that there are plans to transfer Southern to Transport for London? Can he also confirm that, if that is true, it would be quite legal for Transport for London to exceed the boundaries of London?
ParlaMint-GB_2016-02-02-lords.u46	I will write specifically on that issue to the noble Lord. I believe that the noble Lord was referring to the awards of franchises; it is true that we are working very closely to ensure that there is an open competition. However, I will write to him on his specific question.
ParlaMint-GB_2016-02-02-lords.u47	The Minister has declared to the House that he does not think that he would agree with anything said by the leader of the Opposition in the other place. Is he really saying that as a Minister in the Government he is declaring himself opposed to the referendum that will take place on our membership of the European Union?
ParlaMint-GB_2016-02-02-lords.u48	My right honourable friends have made clear their position on the EU referendum; we are negotiating. I am a member of my right honourable friend the Prime Minister’s Government and stand with him. He is ably leading negotiations and it is in the interest of everyone, both in the other place and this House, to show full support for our Prime Minister of Great Britain.
ParlaMint-GB_2016-02-02-lords.u49	To ask Her Majesty’s Government what action they plan to take, in the light of the report by the Groceries Code Adjudicator regarding Tesco’s supplier payment policy, to address the late payment of commercial debt.
ParlaMint-GB_2016-02-02-lords.u50	My Lords, the Government are implementing a package of measures to help create a responsible payment culture, where larger companies recognise the benefits of having a sustainable and robust supply chain and smaller businesses feel able to challenge poor behaviour. A new reporting requirement on the UK’s largest companies this year will compel larger companies to report on payment practices and policies. Our proposed Small Business Commissioner will help small businesses resolve payment disputes with larger businesses.
ParlaMint-GB_2016-02-02-lords.u51	Given that the Groceries Code Adjudicator found in one case that a supplier was owed a multimillion pound payment for two years, and given that many smaller suppliers find the risible Prompt Payment Code entirely useless when it comes to getting their rights, will the Minister say what powers and resources both the adjudicator and the newly created commissioner will be given to help the 5.4 million small businesses, which have laboured for too many years under this imposition of slow and late payment of commercial debt?
ParlaMint-GB_2016-02-02-lords.u52	My Lords, the noble Lord is quite right in what he says about late payment to SMEs. From my own experience in that area, having jointly run an SME, I know how difficult it is for a profitable and competitive SME if you get late payment from your customers and have to pay early to your suppliers. I should also make the noble Lord aware that the Government are taking significant steps to tackle late payment. In addition to the measures I have already outlined, we have strengthened the Prompt Payment Code to promote 30-day payment terms as a norm. The code will also enforce maximum 60-day payment terms for all signatories. At the moment, there are over 1,700 signatories to the Prompt Payment Code, many of which are some of our largest companies.
ParlaMint-GB_2016-02-02-lords.u53	Will the Minister tell us whether all government departments are paying their debts on time?
ParlaMint-GB_2016-02-02-lords.u54	My Lords, as far as the public sector prompt payment measures are concerned—to pay 80% of undisputed invoices within five days and all within 30 days—my department, BIS, exceeded this target and paid 99.5% of its invoices on time in 2014-15.
ParlaMint-GB_2016-02-02-lords.u55	My Lords, we all applaud that. The Groceries Code Adjudicator’s report definitively establishes that Tesco has been in breach of all 10 of the undertakings required of members of the Prompt Payment Code. The Enterprise Bill is still in the other place, so would it not be sensible for the Government to bring forward an amendment to that Bill that would make a statutory Prompt Payment Code, backed by significant penalties for those who are unable to meet it?
ParlaMint-GB_2016-02-02-lords.u56	My Lords, as the noble Lord is aware, because he took a leading role on the Enterprise Bill in your Lordships’ House, the Groceries Code Adjudicator does have weapons and is able to fine companies up to 1% of turnover, which is a considerable amount of money. The Government welcome the findings of the first investigation by the GCA. The report highlights that we still have some way to go to create a responsible payment culture in the UK. The Government remain committed to tackling the poor payment practices that hinder our small businesses.
ParlaMint-GB_2016-02-02-lords.u57	My Lords, I understand that the terms of reference are shortly to be finalised, but will my noble friend confirm that, in the forthcoming statutory review, there will be full consultation with the grocery supply chain, including farmers, NGOs and Civil Service organisations?
ParlaMint-GB_2016-02-02-lords.u58	My Lords, my noble friend refers to the performance review in the Groceries Code Adjudicator Act. My noble friend will be glad to hear that consultation will be as wide as possible.
ParlaMint-GB_2016-02-02-lords.u59	My Lords, this report lifts the lid on the abuse suffered by suppliers at the hands of Tesco. On late payments, the Liberal Democrats urged the Government to impose statutory fines for repeat offenders in the Enterprise Bill, which was alluded to by Labour earlier. The Government refused, and the Small Business Commissioner, who the Minister has already mentioned, has barely any powers to tackle this scourge. In the light of this report today, and if the Government do not want to be perceived as having a deferential attitude towards big business, will they think again?
ParlaMint-GB_2016-02-02-lords.u60	My Lords, I cannot answer for part of what the noble Baroness says, but, basically, the whole issue is for companies to treat their suppliers in a way that cuts down late payments. However, the noble Baroness is quite right to say that we are not going to impose sanctions as she described.
ParlaMint-GB_2016-02-02-lords.u61	Will the Minister congratulate the Groceries Code Adjudicator on this her first decision? Will he insist that a proportion of the fine be used to increase her resources to enable her to do more such investigations? Will she be allowed to take own-initiative investigations, off her own bat, rather than wait for a referral from small producers that simply are too timid to do so?
ParlaMint-GB_2016-02-02-lords.u62	My noble friend is quite right that support has to be given to small producers and SMEs in this instance. As far as more powers for the adjudicator are concerned, I feel that those will be part of the performance review. However, if there is anything more that I can add to that, I will write to my noble friend.
ParlaMint-GB_2016-02-02-lords.u63	Does the code cover the cases that I came across in my early days as a Minister, where big companies did not just squeeze their suppliers but found out who the suppliers to their suppliers were and squeezed them, too? The big companies know they have the supplier over a barrel, and the suppliers do not complain about it because they are scared stiff. This is not a straightforward A to B; it is A jumping over B to get to the supplier’s supplier and squeeze them as well.
ParlaMint-GB_2016-02-02-lords.u64	The noble Lord is quite right. I do not know the answer to his question, I am afraid, but I will write to him. It goes back to the issue that I talked about before, where SMEs are being squeezed at both ends of the job. They are being squeezed by the people they have to buy from, sometimes they have to pay money upfront, and if they find that they have to pay 90 days later, they are being squeezed by their customers.
ParlaMint-GB_2016-02-02-lords.u65	When will the Government be as tough on companies behaving badly as they are on benefit claimants?
ParlaMint-GB_2016-02-02-lords.u66	My Lords, we are being tough on companies. The Groceries Code Adjudicator, as I said earlier, has had powers for all investigations since April 2015, when the order went through, and to fine these companies up to 1% of their turnover, which in anybody’s language can be a considerable amount of money.
ParlaMint-GB_2016-02-02-lords.u67	Do the Government believe that supermarkets are treating our milk producers fairly?
ParlaMint-GB_2016-02-02-lords.u68	My Lords, milk production is going through a difficult position at present, but I will have to write to my noble friend about that issue. I can say that any mistreatment of the suppliers by the large supermarkets is basically unfair.
ParlaMint-GB_2016-02-02-lords.u69	The Minister may be aware that, certainly in Northern Ireland this year and I suspect elsewhere, farm incomes dropped by 41%. I am sure that that is the case in many other areas. How is it possible to ignore the fact that large companies are screwing these small farmers because they can? There needs to be a more vigorous approach by his department. Does he agree?
ParlaMint-GB_2016-02-02-lords.u70	My Lords, farmers who are being squeezed in the middle by the low price of milk and high seed costs have great problems. I am afraid that I am slightly out of my knowledge area here, but I will write to the noble Lord to see if I can give him any more information.
ParlaMint-GB_2016-02-02-lords.u71	That the order of commitment be discharged.
ParlaMint-GB_2016-02-02-lords.u72	My Lords, I understand that no amendments have been set down for the Bill and that no noble Lord has indicated a wish to move a manuscript amendment or speak in Committee. Unless, therefore, any noble Lord objects, I beg to move that the order of commitment be discharged.
