ParlaMint-GB_2016-02-23-commons.u1	1. What steps the Government are taking to support the global abolition of the death penalty.
ParlaMint-GB_2016-02-23-commons.u2	We oppose the use of the death penalty in all circumstances and advocate global abolition. The Government support a number of programmes around the world to promote both abolition and a moratorium on executions in those countries where the death penalty is still on the statute book.
ParlaMint-GB_2016-02-23-commons.u3	I thank the Minister for his response. Will he present a new strategy for the abolition of the death penalty, following on from the 2010 to 2015 strategy? Will that new strategy include Saudi Arabia?
ParlaMint-GB_2016-02-23-commons.u4	We oppose the death penalty in every country in the world, including Saudi Arabia, where it is still part of the criminal law. The abolition of the death penalty remains integral to all the human rights work that my Department does.
ParlaMint-GB_2016-02-23-commons.u5	I welcome the fact that the long-term trend is for reducing the number of executions and also the number of states carrying out executions. Will the Minister join me in expressing concern about areas of the world where that is not the case? Does he agree that if it is wrong to take a life, it is wrong for the state to take a life in revenge?
ParlaMint-GB_2016-02-23-commons.u6	That is certainly my view, and the Government’s position is to oppose capital punishment. We need also to bear in mind the fact that while capital punishment exists, it is potentially a risk for a British citizen, anywhere in the world, who might be found guilty of a criminal offence.
ParlaMint-GB_2016-02-23-commons.u7	Does the Minister share my horror that the United States remains in the top five countries for executing people, despite a reduction in the number of executions last year? When did he last speak to his American counterpart about the US record on executing people?
ParlaMint-GB_2016-02-23-commons.u8	As I am sure the right hon. Lady knows, in the United States this is largely a matter for a state legislatures and state governments, rather than for the federal Government. We do take up cases with the relevant authorities, as appropriate, and when the lawyers and British citizens ask us to do so.
ParlaMint-GB_2016-02-23-commons.u9	Belarus is the only country in Europe that still executes its citizens. Does my right hon. Friend share my concern that in the past three months two of its citizens have been sentenced to death? If Belarus wants to become a full member of the Council of Europe, should it not abide by international norms and the European regulations?
ParlaMint-GB_2016-02-23-commons.u10	I very much agree with what my hon. Friend says. In all our dealings with the Belarusian Government, we do make clear the need for them not only to move to international and European standards on capital punishment, but to take action to improve what remains a dismal human rights record in that country.
ParlaMint-GB_2016-02-23-commons.u11	Further to the Minister’s answer to the question from the right hon. Member for Slough (Fiona Mactaggart), is he aware of the concerns of Reprieve that drugs manufactured by UK company Hikma Pharmaceuticals were exported last year to the state of Arkansas for use in lethal injections? Hikma has told me in correspondence that it does not export for this purpose but that “any sales to these entities usually occur through the use of distributors” This seems such an obvious loophole, so why is nobody closing it?
ParlaMint-GB_2016-02-23-commons.u12	I am happy to look into the case that the right hon. Gentleman describes and to write to him in due course.
ParlaMint-GB_2016-02-23-commons.u13	2. What assessment he has made of recent progress on the Syria peace talks.
ParlaMint-GB_2016-02-23-commons.u14	On 11 February, the International Syria Support Group, meeting in Munich, reached agreement to deliver humanitarian assistance to besieged communities and to implement a cessation of hostilities. I am pleased to say that the first deliveries of aid have now been made, and yesterday there was an announcement of agreement between Russia and the United States on the detailed arrangements for the cessation of hostilities, which will come into force at midnight on Saturday. If that cessation is fully implemented—faithfully implemented—by all the parties, this could be an important step towards a lasting political settlement in Syria.
ParlaMint-GB_2016-02-23-commons.u15	The bombing of two hospitals and other health facilities in northern Syria is completely unacceptable and a clear breach of international humanitarian law. Does the Minister agree that those responsible must be brought to justice and that that reinforces the need for the UN Security Council to refer the situation to the International Criminal Court?
ParlaMint-GB_2016-02-23-commons.u16	The hon. Lady identifies an incident that has caused widespread outrage across the world, but in her question she has put her finger on the problem: a referral to the International Criminal Court requires a resolution of the United Nations Security Council, one veto-holding member of which is the Russian Federation, so it is unlikely that we will succeed going down that route.
ParlaMint-GB_2016-02-23-commons.u17	Turkish policy towards Syrian Kurdish forces seems inconsistent with our own; inconsistent with the prospect of supporting Syrian peace talks; and inconsistent with the opportunity to form a united front against Daesh. What is the Foreign Secretary’s assessment?
