ParlaMint-GB_2016-03-03-commons.u1	1. What recent progress has been made on improving access to broadband in urban areas.
ParlaMint-GB_2016-03-03-commons.u2	I am very pleased to tell you, Mr Speaker, that the broadband roll-out is going extremely well, particularly in our cities. I am also particularly pleased at the success of our business voucher scheme, under which 50,000 businesses have benefited.
ParlaMint-GB_2016-03-03-commons.u3	I make no apology for returning to the thorny issue of the frustrations of e-poverty in the city of Gloucester. In 2013, BT promised to upgrade box No. 90. In 2014, it said it was sorry for the delay, but that it would still happen. In 2015, it changed its mind. In 2016, at a meeting with me earlier this week, it asked, “Could you send us the original emails saying we would ever upgrade this box?” At what stage is a commitment from BT a real commitment that will not result in constituents turning around to me and saying, “You lied”?
ParlaMint-GB_2016-03-03-commons.u4	I am obviously not BT’s spokesman, but I hope BT is listening to what my hon. Friend has to say. He is a fantastic constituency MP. While I am very proud of the success of our roll-out programme, it is incumbent on BT to get its act together in terms of customer service and delivering on its promises.
ParlaMint-GB_2016-03-03-commons.u5	When the Minister boasts that we have some of the best broadband in Europe, who is he comparing us with? Is he aware of the House of Lords report showing that, for broadband speed, we are the 19th fastest in the world and the 12th fastest in Europe? Is that not really abysmal, and can we not do better?
ParlaMint-GB_2016-03-03-commons.u6	I do not think we could do better than we are already, actually. When I compare our broadband, I do so first with similar countries, such as Germany, France, Spain and Italy, all of whom we are beating. I would not look simply at speed. The hon. Gentleman takes a very narrow view, and does not look at prices. We have some of the lowest prices anywhere in the world. If we look at results—the fact that we lead the world in e-commerce, for example—they show that we are probably the world’s most advanced digital nation.
ParlaMint-GB_2016-03-03-commons.u7	In urban areas, such as Bath, technology is available to skip the roll-out of superfast broadband and go directly to the installation of ultrafast broadband. Does the Minister agree with the logic of that, which will help to reduce disruption and save money in the long term and give businesses in Bath a huge boost?
ParlaMint-GB_2016-03-03-commons.u8	It is very important to set realistic targets. That is why we dropped Labour’s pathetic 2 megabits policy and went to 24 megabits. Now is the time to start looking at a gigabit Britain. I utterly endorse what my hon. Friend says. Let us not get stuck in the past with Labour; let us go forward to the future.
ParlaMint-GB_2016-03-03-commons.u9	Is the Minister aware that the very latest European Commission digital economy scorecard, published in just the past few weeks, ranks the UK below not just the Nordic countries, which we would expect, but countries such as Belgium? Despite the well-known antipathy of his Secretary of State to all things European, will the Minister press the European Investment Bank to put more money into extending broadband, particularly in rural constituencies such as mine of East Lothian?
ParlaMint-GB_2016-03-03-commons.u10	I am surprised—[Interruption.]
ParlaMint-GB_2016-03-03-commons.u11	Order. The question is ongoing. People must not beetle out of the Chamber while their question is ongoing. That is a very established principle. I am sure the hon. Member for Gloucester (Richard Graham) is interested in views other than his own.
ParlaMint-GB_2016-03-03-commons.u12	It may be that BT, having heard his question, is already on the phone to my hon. Friend I am surprised at the hon. Gentleman’s tone of contempt for small countries such as Belgium. I think small countries—small and perfectly formed countries—are often extremely successful. Just the other day, I was talking to an investor about the extraordinary digital businesses that exist in Edinburgh, such as Skyscanner. Those really groundbreaking businesses are developing thanks to our digital policies. I know that he will support what we are doing. I have forgotten his original point, because I was going on so much about what a fantastic, digitally innovative country Scotland is.
ParlaMint-GB_2016-03-03-commons.u13	I hope the Minister is right and that the hon. Member for Gloucester (Richard Graham) will get that phone call before very long.
ParlaMint-GB_2016-03-03-commons.u14	2. What assessment he has made of the economic and cultural benefits to the UK of public service broadcasting.
ParlaMint-GB_2016-03-03-commons.u15	Public service broadcasting is the powerhouse of the UK’s world-class television industry. In 2014, public service broadcasters invested £2.5 billion in original TV content, and accounted for over half of all TV viewing.
ParlaMint-GB_2016-03-03-commons.u16	I have had representations from hundreds of constituents in Cambridge who are concerned about the future of the BBC. They are overwhelmingly supportive and positive. We now have the results of the consultation and more than three-fifths of respondents were in favour of continuing with the current funding system. Will the Secretary of State give an assurance that there will be no further top-slicing of the licence fee?
ParlaMint-GB_2016-03-03-commons.u17	I hope to be able to update the House on our progress on the renewal of the charter in due course. We are taking all the responses seriously and taking them fully into account. We have already agreed with the BBC that one of the top-slices of the licence fee—the additional amount that is taken for broadband—will come to an end in 2020.
ParlaMint-GB_2016-03-03-commons.u18	I know that my right hon. Friend will have noted the BBC’s forthcoming Shakespeare season, which is being held in collaboration with many other bodies, including the Royal Shakespeare Company. It is designed to bring Shakespeare to life for a new generation, using not just TV, but radio and online services. Does he agree that that is exactly the sort of thing the BBC ought to be doing, and something that only the BBC could do?
ParlaMint-GB_2016-03-03-commons.u19	I agree with my right hon. Friend very strongly. This year is the 400th anniversary of Shakespeare’s death. It is an enormously important event and the BBC has a crucial role to play. I had the pleasure about 10 days ago of watching the filming of Ben Elton’s new comedy, “Upstart Crow”, which is based on Shakespeare. As my right hon. Friend says, I suspect that that is the sort of thing that only the BBC would do.
ParlaMint-GB_2016-03-03-commons.u20	Does the Secretary of State agree that the proposals of BBC Scotland to strengthen its news output by investing in jobs and production for an entirely editorially independent “Scottish Six” programme, anchored from Scotland, are a development that all of us across the House can welcome as an example of a long-term commitment to public service broadcasting? Will he just promise us that there will be no interference from Downing Street?
ParlaMint-GB_2016-03-03-commons.u21	I had a very good meeting with Fiona Hyslop a couple of weeks ago to talk about the way in which the BBC meets the requirement to serve all the nations and regions of the United Kingdom. I obviously welcome any investment at the BBC that will create additional jobs, particularly in Scotland, which I know the hon. Gentleman will value. How the BBC goes about meeting the obligation to serve the nations and regions is a matter for the BBC. Certainly, neither I nor my colleagues in No. 10 would want to instruct it on how to go about it.
ParlaMint-GB_2016-03-03-commons.u22	Eighty per cent. of the 192,000 responses to the Green Paper consultation say that the BBC serves its audiences well or very well, and the majority believe its content to be both high quality and distinctive from that of other broadcasters. The Secretary of State purports to be a supporter of the BBC, so why is he using charter renewal to cut back and restrict what the BBC does, rather than help it to compete in the rapidly changing and increasingly global broadcasting environment?
ParlaMint-GB_2016-03-03-commons.u23	I was not surprised to find that the responses showed that the vast majority of people value the BBC. As I have said, I value the BBC. The hon. Lady will have to await the publication of the White Paper, but it is not a question of trying to cut back the BBC’s output. Nevertheless, there is a case, which is borne out by some of the responses and by other surveys we have conducted, for saying that the BBC needs to be more distinctive. That is something that the director-general himself said when he set out his plans for the charter renewal.
ParlaMint-GB_2016-03-03-commons.u24	The Secretary of State’s speech yesterday was rather more about bashing the BBC than anything else. That is what the chair of the BBC Trust said. Bashing the BBC is the one thing the Secretary of State agrees about with the Prime Minister and the Chancellor these days. They all want to use charter renewal to eviscerate the BBC and do its competitors a favour, rather than to deliver what the licence fee-paying public want. They just do not seem to accept that the British people like the BBC and want it to continue what it is doing. When will the Secretary of State accept that charter renewal should be about making the BBC fit for the future, rather than trying to diminish it for the commercial convenience of its competitors?
ParlaMint-GB_2016-03-03-commons.u25	The hon. Lady must have looked at a different speech from the one I delivered. It certainly was not about bashing the BBC. Indeed, as soon as I finished making the speech, I had an extremely good meeting with the chairman of the BBC Trust, who did not mention anything about my bashing the BBC and welcomed what I had said The charter renewal is precisely about making the BBC fit for the future. I intend to bring forward the publication as soon as is possible, but, as the hon. Lady knows, there are a number of very important contributions, including the 192,000 consultations, that we want to take fully into account.
ParlaMint-GB_2016-03-03-commons.u26	3. What assessment he has made of the level of uptake of the satellite broadband voucher scheme in Lancashire.
ParlaMint-GB_2016-03-03-commons.u27	We are making great progress on superfast roll-out. We have reached almost 4 million premises, and it is going extremely well.
ParlaMint-GB_2016-03-03-commons.u28	I welcome the Government’s commitment to spreading faster broadband to rural areas, but my constituents have found it difficult to find information about the voucher scheme. Will my hon. Friend commit to working with Lancashire County Council and Broadband Delivery UK to ensure that households that could benefit from satellite broadband are made aware of that important scheme?
ParlaMint-GB_2016-03-03-commons.u29	In my original answer, I was obviously pointing out how well the satellite broadband scheme is going as well. We launched it at the end of December to ensure that people with speeds of less than 2 megabits per second can get the speeds they need. It was a soft launch, but we will make the scheme much more high profile in the next few months. I will happily work with my hon. Friend to make sure that his constituents can benefit from the scheme, although I note that superfast broadband roll-out will be almost 100% both in his constituency and in Lancashire.
ParlaMint-GB_2016-03-03-commons.u30	On the subject of uptake, nearby Merseyside authorities are not claiming the millions that BT set aside for non-commercial broadband areas. Will the Minister look into that and put some pressure on the councils?
ParlaMint-GB_2016-03-03-commons.u31	Yes, I will certainly look into it. It is important that councils lead our scheme, because they know what is happening on the ground. We will work with them so that they can access either funding from central Government or European funding.
ParlaMint-GB_2016-03-03-commons.u32	4. What steps his Department is taking to support tourism in York since the recent flooding in that area.
ParlaMint-GB_2016-03-03-commons.u33	York, along with other affected areas, is currently being promoted with a £1 million publicity campaign, which was announced by the Prime Minister on 28 January. It is designed to encourage British families to spend their Easter holidays in the north of England. My right hon. Friend the Secretary of State also launched Virgin Trains 30% discount offer on 1 February, as part of his visit to York to promote the city and its wider region as open for business.
ParlaMint-GB_2016-03-03-commons.u34	I thank the Minister for his detailed response. About 200 businesses in York were flooded after Christmas, and thankfully many are now getting back on their feet. Building on what he said about the recent VisitEngland campaign to encourage families to visit northern tourist destinations such as York, will he consider providing individual grants so that local tourist attractions can market themselves and let everyone know that they are open for business again?
ParlaMint-GB_2016-03-03-commons.u35	I know how assiduous my hon. Friend is in his commitment to the area. I am really pleased that York is open for business following the recent floods and welcoming visitors back. Tourism businesses in flood-affected areas that were directly or indirectly impacted are eligible for the £5 million recovery fund from the Department for Business, Innovation and Skills, and businesses can use those grants to help promote themselves. VisitBritain and VisitEngland are in dialogue with specific flood-affected businesses to spread the message about the areas that are open for business and ready to receive visitors.
ParlaMint-GB_2016-03-03-commons.u36	It is 1,000 years since King Canute’s accession to the throne. “Campaign Canute” is trying to raise £2 million so that Jorvik Viking Centre can reopen before 2017. What additional support can the Minister bring to that major tourist attraction in York?
ParlaMint-GB_2016-03-03-commons.u37	The Government’s first priority, of course, has been to deal with the physical impact of the floods themselves in the short term, and we have worked hard to make that happen. We now need to make sure that businesses that were affected attract the bookings that they need over the next few months. I have been to the Jorvik Viking Centre myself in the past and was very impressed with it, and I look forward to going again in the future. VisitEngland and VisitBritain are in discussions with such businesses and are using all their channels to support affected areas.
ParlaMint-GB_2016-03-03-commons.u38	5. What steps the Government are taking to reduce the number of nuisance calls.
ParlaMint-GB_2016-03-03-commons.u39	The Government are taking a range of measures to tackle nuisance calls, including strengthening the regulators’ ability to take enforcement action against organisations that break the law and increasing consumer choice by consulting on making it a requirement for direct marketing callers to display their calling line identification.
ParlaMint-GB_2016-03-03-commons.u40	Many of my constituents will be very pleased by that answer, but does the Secretary of State accept that they will hope that the action will be taken quickly? Like me, they are fed up to the back teeth with sleazy calls trying to sell them PPI protection or help with personal injuries that never happened. It is time that something was done to stop those disreputable practices.
ParlaMint-GB_2016-03-03-commons.u41	My right hon. Friend and I are constituency neighbours, so I am very much aware of our constituents’ concerns about this subject. I am sure that neither he nor I would ever be guilty of making nuisance calls, either in relation to our own elections or, indeed, on behalf of candidates in other elections across the pond. However, action is being taken. The new measures are taking effect and in just the last week, the Information Commissioner’s Office announced a record fine of £350,000 against one of the leading firms responsible for nuisance calls.
ParlaMint-GB_2016-03-03-commons.u42	We are all better informed.
ParlaMint-GB_2016-03-03-commons.u43	Nuisance calls are increasingly annoying to me and many of my constituents—the problem may affect people in Scotland more adversely, with nine out of 10 residents claiming to have had them in any given month—and 30 March will mark the second anniversary of the DCMS report, “Nuisance Calls Action Plan”. What plans does the Secretary of State have to publish a revised plan, detailing what success the first plan has had and what future action can be taken to tackle the problem?
ParlaMint-GB_2016-03-03-commons.u44	We keep the matter under continual review, but we have taken a number of measures, and we will shortly come forward with the outcome of our consultation on strengthening the requirements for direct marketing callers. I am also in contact with organisations such as Which? that have a good record on the matter. If further measures need to be taken, we will certainly do that.
