ParlaMint-GB_2016-03-10-commons.u1	1. What steps his Department is taking to implement its road investment strategy.
ParlaMint-GB_2016-03-10-commons.u2	Highways England’s delivery plan sets out how it will deliver the Government’s £15 billion road investment strategy. Work on site is already under way on 19 major schemes, seven of which have started this financial year, as planned.
ParlaMint-GB_2016-03-10-commons.u3	Chronic congestion causes delays to thousands of commuters on the M27 at junctions 9 and 10. With Fareham set to see 6,000 new homes at Welborne and thousands more at North Whiteley, what steps is my right hon. Friend taking to ensure that vital upgrades to that piece of infrastructure are carried out as a matter of priority?
ParlaMint-GB_2016-03-10-commons.u4	I know that particular scheme is of great interest to my hon. Friend. The Department is working together with Highways England and Hampshire County Council on a way forward for improvements to junction 9 of the M27. I will ensure that my hon. Friend is kept fully informed of progress. A separate scheme to improve junction 10 of the M27 is being funded by a private developer and the local enterprise partnership. It is for them to progress it with the local authority, but I am more than happy to continue to update her on the matter.
ParlaMint-GB_2016-03-10-commons.u5	As the Secretary of State will know, junctions 12 to 14 of the M56 have seen a significant increase in accidents in recent years, and there is an urgent need for some form of managed motorway there. Does he share my disappointment that the northern transport strategy published this week by his Department makes no mention of that at all? When will his Department take action?
ParlaMint-GB_2016-03-10-commons.u6	I will certainly look at the specific point that the hon. Gentleman has raised, but the fact is that we have a road investment strategy far superior to anything that existed before 2010. I would have thought that he would have welcomed that.
ParlaMint-GB_2016-03-10-commons.u7	Will my right hon. Friend accept that my constituents warmly welcome the investment that is being made in upgrading the A12 to three lanes? Is he in a position to advise me on when he expects phase 1, from the M25 to Margaretting on the southern border of Chelmsford, to commence and progress?
ParlaMint-GB_2016-03-10-commons.u8	I am grateful to my right hon. Friend for making that point. In December 2014, the Government announced a scheme to widen the A12 from junction 28 of the M25 to the Chelmsford bypass. The scheme will be developed in the first roads period from April 2015 to March 2020, to be ready for construction in the next roads period. We expect the next roads period to run from April 2020 to March 2025.
ParlaMint-GB_2016-03-10-commons.u9	What assessment has the Department made of the M66 and the M60 to the south of it? I believe TomTom said that it was one of the busiest, or the busiest road in the UK. It is jam-packed from about 6.15 to about 10 am—every morning, it is gridlocked and cars cannot move. What is being done to resolve that situation?
ParlaMint-GB_2016-03-10-commons.u10	As I pointed out to the hon. Member for Ellesmere Port and Neston (Justin Madders), investment is on a far greater scale than ever imagined by the Labour party that the hon. Gentleman supported in government. It is a simple fact that we are talking about £15 billion for the road investment strategy, which is a greater investment than we have seen in our roads network for a number of years.
ParlaMint-GB_2016-03-10-commons.u11	One critical part of the road investment strategy is to improve safety. On that note, may I ask my right hon. Friend to look at safety, particularly over the last few months, at the junction of the A303 and the A34, where a number of accidents have happened recently? In my view, safety could be improved there.
ParlaMint-GB_2016-03-10-commons.u12	I am more than happy to ask officials to look at that and to report back to me. I will write to my hon. Friend.
ParlaMint-GB_2016-03-10-commons.u13	The road investment strategy is really important, but we know that every journey begins on a local road and that the vast majority of journeys are made on local roads. Some of them are in quite a state. Last November, to great fanfare, the permanent pothole fund was announced—we hope that means permanent action on potholes, not permanent potholes. How much has been drawn down by councils from that pothole fund, and how many potholes have been filled in so far?
ParlaMint-GB_2016-03-10-commons.u14	The hon. Gentleman wants devolution, but he also wants the Government to tell local authorities exactly what to do in every set of circumstances. The simple fact is that, for the period 2015 and 2020, £6 billion has been allocated to local authorities for road maintenance. Between 2010 and 2015, the figure was £4 billion. Between 2005 and 2010, the amount allocated to local authorities was £3 billion. That shows the significant increase in the amount that this Government are giving for local road maintenance, and I would have thought that he would welcome that.
ParlaMint-GB_2016-03-10-commons.u15	Will my right hon. Friend acknowledge the urgent need for clarity about the capacity of junction 8 of the M11 motorway and the possibility of there being a junction 7A, as these matters have a bearing on decisions having to be made against a deadline by local authorities on their local plans?
ParlaMint-GB_2016-03-10-commons.u16	I am grateful to my right hon. Friend for raising that particular case with me. I will certainly write to him to tell him what progress is being made in that exact location.
ParlaMint-GB_2016-03-10-commons.u17	2. What steps he is taking to provide funding for large local transport projects.
ParlaMint-GB_2016-03-10-commons.u18	The Department is providing over £7 billion for the devolved local growth fund, which will fund more than 500 local transport projects by the end of this Parliament. It now includes £475 million for transformational local transport schemes that are too large for the devolved allocations. We will be providing further details very soon.
ParlaMint-GB_2016-03-10-commons.u19	May I make a plea to the Minister? Will he tell me when some of the £75 million funding from the roads investment strategy will be used to reduce the noise pollution that has already been identified by Highways England on the A47 Soke Parkway through Peterborough, adjacent to Apsley Way and Bradwell Road?
ParlaMint-GB_2016-03-10-commons.u20	The A47 is part of the strategic road network and is therefore not covered by the money that I have just announced. However, in November 2014, the Chancellor announced £300 million for the A47, including the Wansford to Sutton section between the A1 and Peterborough. On the question of noise pollution, the Government have challenged Highways England to mitigate noise at more than 1,000 locations. Measures that could be used include noise reduction surfacing, tree planting and barriers.
ParlaMint-GB_2016-03-10-commons.u21	Transport for the North published a report this week that looks into local and regional links as well as access to the national network. It puts forward ambitious schemes for improvements in rail transport between Liverpool, Manchester and Leeds and for better access to the High Speed 2 network. What kind of co-ordination will there be to ensure that this happens?
