ParlaMint-GB_2016-03-22-commons.u1	1. What progress has been made on improving cancer survival rates.
ParlaMint-GB_2016-03-22-commons.u2	11. What progress has been made on improving cancer survival rates.
ParlaMint-GB_2016-03-22-commons.u3	Before I answer the questions, may I start by saying that I am sure the thoughts of the whole House are with the people of Brussels today after the shocking events that they have witnessed? As the Prime Minister made clear this morning, we will do all we can to support them Cancer survival rates are at a record high. We are on track to save an estimated 12,000 more lives a year for people diagnosed between 2011 and 2015, but we know that we need to strive to be better. The independent cancer taskforce report, “Achieving World-Class Cancer Outcomes”, which was published last summer, recommends improvements across the cancer pathway and sets a clear ambition for further improvement of survival rates.
ParlaMint-GB_2016-03-22-commons.u4	I thank my hon. Friend for that answer, and I associate myself with her comments about the terrorist outrage in Brussels As my hon. Friend may be aware, the Rosemere cancer foundation has been fundraising for a new chemotherapy unit at Burnley general hospital, which will be a huge boost for cancer patients in my area. Because of the huge generosity of Pendle residents, Rosemere has already raised £90,000 towards its target of £100,000. Will she join me in congratulating Rosemere on its efforts and encouraging residents to help it to meet its full target?
ParlaMint-GB_2016-03-22-commons.u5	Absolutely. It is a delight to associate myself with my hon. Friend’s support for that excellent local group. The Rosemere cancer foundation supports world-class cancer treatment throughout Lancashire and south Cumbria. Around 4,000 chemotherapy treatments are delivered each year at Burnley general hospital, and the new unit will be of real benefit to local cancer patients from my hon. Friend’s constituency—for which, as he knows, I have great affection—and from the surrounding area.
ParlaMint-GB_2016-03-22-commons.u6	Is there anything further that my hon. Friend can do to incentivise NHS trusts to replace linear accelerators that are more than 10 years old, and thereby allow more patients to access cutting-edge radiotherapy techniques?
ParlaMint-GB_2016-03-22-commons.u7	This, of course, is one of the areas covered by the cancer taskforce, and it is a very important matter. Cally Palmer, the NHS national cancer director and chief executive of the Royal Marsden, is leading on taskforce implementation. The replacement of LINACs is being taken into consideration in planning improvements across the pathway. That can only be done because we are putting into the NHS and into cancer treatment the money that we need to achieve those world-class outcomes.
ParlaMint-GB_2016-03-22-commons.u8	Each year, 38,000 people in the UK are diagnosed with a blood cancer, but very few people are familiar with the term blood cancer. Patients have expressed concern about the fact that a lack of awareness has a significant impact on them throughout their patient journey, from causing confusion and uncertainty at diagnosis to making them unaware of the organisations that provide the support and care that they need. Will the Minister tell us what more the Government can do to tackle that lack of awareness in order to improve outcomes and survival rates for all patients affected by the 137 types of blood cancer?
ParlaMint-GB_2016-03-22-commons.u9	The hon. Lady is absolutely right to draw the attention of the House to the challenge of joining up thinking across the cancer pathway. That is exactly the approach that Cally Palmer and the taskforce implementation team are looking at. I recently had a conversation with her and with NHS England representatives in which we talked about how we get that joined-up approach. That is at the heart of the taskforce’s recommendations, and we will be taking it forward for all the reasons that the hon. Lady has eloquently expressed.
ParlaMint-GB_2016-03-22-commons.u10	Cancer Research UK has said that cancer waiting targets have been missed so many times that failure has become the norm. Does the Minister agree that failure to tackle that is undoing the good work of the last 15 years on survival rates?
ParlaMint-GB_2016-03-22-commons.u11	These days, we are dealing with the fact that a hugely greater number of people are being diagnosed. The increase in the number of people being referred by GPs is extraordinary. For example, last year GPs referred nearly half a million more patients to see a cancer specialist. That is an increase of 51%. When it comes to waiting lists, of course we want to make sure that everyone is seen. The Government have committed more money to diagnostics, for example, but we expect the NHS to look urgently at any local dips in performance and to take action to make sure that all patients get access to treatment as quickly as possible.
ParlaMint-GB_2016-03-22-commons.u12	Will the Minister join me in welcoming the Government announcement of funding for a new radiotherapy machine in Eastbourne district general hospital, which will improve cancer survival rates for patients from Seaford, Alfriston, Polegate and East Dean in my constituency?
ParlaMint-GB_2016-03-22-commons.u13	Absolutely. My hon. Friend again highlights where we are investing, upgrading machines and putting in money, effort, people and resources to make sure that we can achieve world-class cancer outcomes. As I say, we are on course for record outcomes in terms of patients surviving 10 years beyond a diagnosis. However, we always want to do better, so I applaud the local efforts that she has highlighted.
ParlaMint-GB_2016-03-22-commons.u14	I would like to reiterate what the Minister said. As I sure my hon. Friends would agree, our thoughts go out to everybody in Brussels at this time Will the Minister please inform the House of what consideration has been given to bringing the bowel cancer screening age into line with that in Scotland—at 50 rather than 60—following the recent Westminster Hall debate on this subject?
ParlaMint-GB_2016-03-22-commons.u15	We had an excellent debate. An extraordinary number of colleagues turned up in Westminster Hall, a debate of just half an hour, demonstrating how many people are interested in this important subject. I outlined in my response to the debate the fact that we have the bowel scope screening programme and the bowel cancer programme in England, which complement each other. The result, particularly of bowel scope screening, is that we can actually make a huge impact on mortality rates for people who are caught. I went into that in more detail in my response to the debate, but that is the key to making sure we identify more people and stop them dying from this dreadful disease.
ParlaMint-GB_2016-03-22-commons.u16	2. What recent representations he has received on the effect on health budgets of the administration of deprivation of liberty safeguards.
ParlaMint-GB_2016-03-22-commons.u17	I have received a range of representations on the effect of the deprivation of liberty safeguards, including on the impact that the current system has on health and care budgets. The hon. Lady is a respected voice on the challenges that these safeguards pose, and I can reassure her and the House that there is ongoing work to address those challenges.
ParlaMint-GB_2016-03-22-commons.u18	I thank the Minister for his reply. Deprivation of liberty assessments are costing Stockport Council £1.2 million this year, as a result of the Cheshire West judgment. Not one single penny of that is providing social care. This is clearly unsustainable at a time when social care budgets are under intense pressure. Something needs to be done now; we cannot wait for the Law Commission. Will the Minister consider, as a small step forward, scrapping costly automatic annual reassessments and the necessity to reassess every time an elderly person leaves a care home to go into hospital?
ParlaMint-GB_2016-03-22-commons.u19	I will happily look at anything that might assist us. As the hon. Lady knows, we are caught in the process of trying to deal with a court judgment and the issues surrounding mental capacity in relation to deprivation of liberty safeguards, which are genuinely serious and cannot be easily changed at the stroke of a pen, as well as the extra costs that the problem has raised. We are now close to hearing the Law Commission’s post-consultation proposals. I understand that it will publish its latest analysis in mid-May and will have drafted detailed legislation by the end of December. I will look at any suggestion of hers that might ease the situation practically.
ParlaMint-GB_2016-03-22-commons.u20	Will the Minister confirm that when the new legislation is finally introduced, it will be simpler to understand and result in fewer bereaved relatives facing distressing delays when a loved one dies in care?
ParlaMint-GB_2016-03-22-commons.u21	My hon. Friend is absolutely right. What has caused the confusion has been a definition of loss of liberty and dying in state detention that bears no relation to anyone’s common-sense understanding of the situation. Whatever new legislation is proposed by the Law Commission, it must meet the test of being much simpler, but it must also meet the legislative test of meaning what it says so that it does not get disrupted in the courts again.
ParlaMint-GB_2016-03-22-commons.u22	3. If he will make it his policy to eliminate hepatitis C.
ParlaMint-GB_2016-03-22-commons.u23	The UK Government take the issue of prevention, diagnosis and treatment of hepatitis very seriously. I can confirm that Public Health England and NHS England, together with key stakeholders, are continuing to develop a strategic approach to tackling hepatitis C, including plans which have now been published for treatment through operational delivery networks.
ParlaMint-GB_2016-03-22-commons.u24	So far as I am aware, the Scottish Government provide treatment for all those with sensitive hepatitis C, including those infected with contaminated blood, and that transforms the lives of patients and reduces the risk of further infection in the population. Will the Minister commit to providing similar access to treatment in England?
ParlaMint-GB_2016-03-22-commons.u25	The National Institute for Health and Care Excellence has provided guidance on the new drug, so the hon. Gentleman is right to highlight how effective the new treatments are compared with what was previously available. The NHS is in the process of rolling out its response. It has already treated a number of people, and there is a commitment to treat 10,000 people with those treatments in 2016-17. We are of course looking more widely at how we can tackle these issues, not least in the context of the tragedy of those infected with contaminated blood, which he has highlighted.
ParlaMint-GB_2016-03-22-commons.u26	What discussions has the Minister had with her counterpart in Northern Ireland regarding the reduction and eventual eradication of hepatitis C? Does she agree that it is important to have a strategy that encompasses the whole United Kingdom of Great Britain and Northern Ireland?
ParlaMint-GB_2016-03-22-commons.u27	Absolutely. The consideration of all aspects of how we eliminate hepatitis C over time is important, but we should not underestimate what a difficult job that is, largely because an awful lot of people are not aware that they have it—they are asymptomatic and therefore much of the burden of the disease is not visible to us. However, there is always more we can do, and we continue to make this issue a priority.
ParlaMint-GB_2016-03-22-commons.u28	4. Whether the terms and conditions of the junior doctors contract were finalised before he took the decision to introduce that contract.
ParlaMint-GB_2016-03-22-commons.u29	May I start by echoing the thoughts of my the Under-Secretary of State for Health, my hon. Friend the Member for Battersea (Jane Ellison), for the people of Brussels, with whom we stand shoulder to shoulder In my statement to the House on 11 February, I gave a broad outline of the new terms for doctors and dentists in training, which were recommended as fair and reasonable by Sir David Dalton. I am still reviewing the exact terms, alongside the equality impact assessment, and finalised terms will be published shortly.
ParlaMint-GB_2016-03-22-commons.u30	When the Secretary of State declared that he was imposing the contract on junior doctors last month, he claimed the support of senior NHS leaders, many of whom subsequently denied supporting his position. Given that foundation trusts are free to offer their own terms, how does he envisage enforcing that contract?
ParlaMint-GB_2016-03-22-commons.u31	We consulted widely with NHS leaders about the terms of the new contract, and they confirmed that it was fair and reasonable. Any decision to proceed with a new contract when it is not possible to have a negotiated settlement is inevitably controversial, but we wanted to ensure that independent people thought that the terms of the contract were fair. I think we have done that, and when junior doctors see their new contracts—as they will do shortly—they will realise that we were right to say that.
ParlaMint-GB_2016-03-22-commons.u32	Underlying the dispute over the junior doctors contract is a long-standing problem of morale among junior doctors, and a failure to pay enough attention to their experiences in training. I welcome the Government’s decision to launch an independent review led by Professor Dame Sue Bailey, and I ask my right hon. Friend to update the House on the progress and timing of that review.
ParlaMint-GB_2016-03-22-commons.u33	As ever, my hon. Friend speaks with great knowledge about NHS matters, and she is right to say that some of the underlying issues have nothing to do with contractual terms but are about very big changes in the way that training has happened over recent years, in particular the loss of the firm system and the sense of camaraderie that was part of the deal for junior doctors in training. We would like to see whether we can rectify some things that have gone in the wrong direction, but we have not yet had the co-operation of the British Medical Association for that independent review, which is led by the highly respected Professor Dame Sue Bailey. I hope that the BMA will co-operate with that, because it is a big opportunity to sort out some long-standing problems.
ParlaMint-GB_2016-03-22-commons.u34	There are currently 4,500 gaps for trainees in the NHS. Junior doctors often have to cover those gaps, which can mean having to do extensive extra shifts, or even covering two roles at the same time. It looks as if that situation will get worse, because fewer than half of the most junior trainees have applied for ongoing training this year. Does the Secretary of State accept that that represents a serious threat to patient safety?
ParlaMint-GB_2016-03-22-commons.u35	The purpose of the changes is to improve patient safety, and particularly to deal with the issue that we have higher mortality rates for people who are admitted to hospital at weekends than for those admitted during the week. Because of the confrontational approach taken by the BMA, it has been difficult to negotiate an agreement, but we are committed to doing the right thing. What is right for patients is also right for doctors. We have been talking about morale, and the biggest way to dent doctors’ morale is to prevent them from giving the care that they want to give patients, so we must sort that issue out.
ParlaMint-GB_2016-03-22-commons.u36	I suggest that what is good for doctors is also good for patients, and if people are being texted four or five times a day and asked to do a second shift to cover for a junior and a senior post at the same time, that is not good for either. On 11 February the Secretary of State said that he was imposing the contract to bring stability to the NHS, but that has not exactly gone well. What is his plan to re-establish his relationship with junior doctors and get us back out of where we are now?
ParlaMint-GB_2016-03-22-commons.u37	With the greatest respect, we are trying to solve a problem that in Scotland is being ducked. We want a seven-day NHS with mortality rates that are no higher at weekends. There is no plan in Scotland to deliver that across the whole NHS. Rather than sniping, the hon. Lady should recognise that, in the interests of patient safety, we need to take difficult decisions. In the end, doctors will see that it is the right thing for them, too.
ParlaMint-GB_2016-03-22-commons.u38	First, on behalf of the Opposition, I associate ourselves with the comments made by Ministers about the tragic events in Brussels, and offer our condolences and solidarity to the people there. Yesterday in Westminster Hall, there was a debate calling on the Health Secretary to resume meaningful contract negotiations with the BMA. The Health Secretary was not there—I do not know, but perhaps he was out buying a leaving present for the Chancellor—but if he had been, he would have heard his junior Minister confirm that, since the announced imposition, the Government have made no attempt to prevent further industrial action. They know more industrial action is coming. Do they not owe it to patients who would be inconvenienced by further strikes to get off their backsides and do something to prevent it?
ParlaMint-GB_2016-03-22-commons.u39	The reason we made the decision to proceed with the new contracts is that we had independent advice that a negotiated settlement was not possible. On that basis, we decided that it was important to have certainty for the service by making clear what the new contract is. The contract that we decided on is one that strikes a mid-point between what the Government wanted and what the BMA asked for. It is a fair contract and a better contract for patients. The Labour party would support it if it was really on the side of patients.
ParlaMint-GB_2016-03-22-commons.u40	5. What steps the Government is taking to improve support for children and young people with mental health problems.
