ParlaMint-GB_2016-05-19-commons.u1	Will the Leader of the House give us the business for next week?
ParlaMint-GB_2016-05-19-commons.u2	Mr Speaker, you will notice a degree of commonality in the business for next week: Monday 23 May—Continuation of the debate on the Queen’s Speech on defending public services Tuesday 24 May—Continuation of the debate on the Queen’s Speech on Europe, human rights and keeping people safe at home and abroad Wednesday 25 May—Continuation of the debate on the Queen’s Speech on education, skills and training Thursday 26 May—Conclusion of the debate on the Queen’s Speech on economy and work Friday 27 May—The House will not be sitting The provisional business for the week commencing 6 June will include: Monday 6 June—Remaining stages of a Bill. It will be one of the two main carry-over Bills, and we will confirm which one early next week I should also inform the House that the statement on Syria, which we unfortunately had to move at the last moment, just before Prorogation, will take place alongside the foreign affairs debate next Tuesday I should also like to inform the House that the business in Westminster Hall for 6 June will be: Monday 6 June—Debate on an e-petition relating to restricting the use of fireworks.
ParlaMint-GB_2016-05-19-commons.u3	Mr Speaker, if only the rules allowed me to take some interventions I am sure the thoughts of the whole House will be with the families and friends of those on EgyptAir flight 804, which has disappeared over the Mediterranean. People will want to know what has happened, so I hope that the Leader of the House will be able to tell us and to ensure that the House is updated on any developments, not least because, as I understand it, there is at least one Briton on the flight I am delighted that the Leader of the House made a sort of apology for not giving us the statement on Syria which he went out of his way to promise the last time we were here. I note that he says that it will be alongside the foreign affairs debate, but will it be separate?
ParlaMint-GB_2016-05-19-commons.u4	indicated assent.
ParlaMint-GB_2016-05-19-commons.u5	The Leader of the House has nodded, so we can move on Can we also have a statement—another statement—from the Foreign Secretary explaining why he wanted to have General Sir Richard Shirreff court-martialled? Leaving aside the Foreign Secretary’s incompetence for not realising that Shirreff reported to NATO and not to him, surely the general should have been congratulated, not threatened, for stating that slashing troop numbers was a “hell of a gamble” I love a bit of dressing up just as much as any other defrocked vicar—almost as much as you, in fact, Mr Speaker—but I did think that yesterday was a case of all fur coat and knickerbockers. There were so many ironies. Her Majesty announced that the Government will legislate for driverless cars and space ports—and arrived in a horse-drawn carriage. She announced that the Government intend to tackle poverty—to a room full of barons and countesses dressed in ermine and tiaras. Even the door handles on the royal coach were decorated with 24 diamonds and 130 sapphires The Government also announced that they will put the National Citizen Service, which operates just six weeks a year, on a statutory footing, while the nation’s youth service, which works all year round, has been slashed, losing more than 2,000 youth workers, closing 350 youth centres and cutting 41,000 youth service places between 2012 and 2014 alone. Why not put the youth service on a statutory footing too That really is what is so truly awful about yesterday’s Queen’s Speech. It was pretending to be a one nation speech; it was all dressed up as such. It was a candy-floss speech if ever there was one—all air and sugar, whipped up with just a hint of pink in an attempt to make us all believe that compassionate conservatism is still alive. But the truth is that the Chancellor puts a stake through the heart of compassionate conservatism every time he stands at the Dispatch Box Yes, let us reform the Prison Service, but we should not dare to pretend that the horrendous state of our prisons—with the rate of suicide, murder and other non-natural deaths at a record high; with daily acts of violence; and with drugs freely available throughout our prisons—has nothing to do with this Government’s assault on the Prison Service budget and the loss of 7,000 prison officers since 2010, largely on the right hon. Gentleman’s watch. Yes, let us improve adoption, but we should not pretend that social services budgets in the poorest local authorities in the land are not now so stretched that children are being put at further risk every single day of the week The Government can say until they are blue in the face that they want to tackle some of the deepest social problems in society, but when they have pared public services to the bone, inflicted the toughest cuts on the poorest communities and systematically undermined the very concept of public service, all their blandishments are nothing but a sugar coating for a cyanide pill I do not know what time you got up yesterday morning, Mr Speaker, so I am not sure whether you were up early enough to catch the Leader of the House on the “Today” programme, when he tried to defend the former Mayor of London. I particularly loved the assertion, repeated four times, that Boris is a historian and he was making a historian’s comment, as though that somehow meant that he could get away with saying anything he wanted. Where on earth do I start? The former Mayor has a habit of making up so-called historical facts. My favourite was his assertion that King Edward II enjoyed a reign of dissolution with his catamite, Piers Gaveston, at Edward’s recently discovered 14th century palace. I do not doubt that Gaveston liked a bit of royal rumpy-pumpy, but since he was beheaded fully 12 years before the palace was built, it is pretty unlikely that he did so there. My only explanation for that so-called fact from the former Mayor of London is that he was a member of the Piers Gaveston society at Oxford with the Prime Minister, where they got used to porkies.
ParlaMint-GB_2016-05-19-commons.u6	Order. The short answer to the hon. Gentleman is that if the Leader of the House was doing his business on the “Today” programme between 6 and 7 am, I was almost certainly in the swimming pool at the time. Talking of beheading, the hon. Gentleman is in some danger of beheading himself, because he has already had five minutes. I think he is in his last sentence.
ParlaMint-GB_2016-05-19-commons.u7	I am certainly in my last paragraph, Mr Speaker Finally, I gather that the Leader of the House is off to the United States of America next week. He is such a close friend and ally of Mr Trump that I am sure Trump tower is preparing the ticker-tape reception for him now. They have a habit in the United States of America of playing appropriate music when important politicians and international statesmen, such as the Leader of the House, appear on stage. The President always gets “Hail to the Chief”. I have had a word with the American ambassador, and I gather that they have got Yakety Sax from “The Benny Hill Show” ready for the Leader of the House.
ParlaMint-GB_2016-05-19-commons.u8	First of all, on a very serious point, all our good wishes and sympathies go to the families of the passengers on the EgyptAir plane, who must be beside themselves with worry about what has happened. It is a deeply worrying situation. Clearly, if it turns out to be something more than an accident, we will want to discuss the matter in the House, but it is important that we await the outcome of the initial investigations and the search for the plane. All our hearts go out to everyone involved On the Syria statement, I reiterate that it will be a separate statement, but we have put it alongside the foreign affairs debate to ensure that those who are most concerned about the issue are likely to be present The hon. Member for Rhondda (Chris Bryant) is such an old misery. Yesterday was Britain at its finest: strong institutions, great tradition—things that make this great city one of the finest, if not the finest, in the world—a monarch we should be proud of and a programme for government that fulfils the commitments we made to the electorate at last year’s election which, I remind Labour Members, they lost and we won. We set out 21 new Government Bills. The programme for government completes most of the manifesto on which we won the election. It helps us to achieve our financial targets to balance our nation’s books and complete the sorting out of the mess that we inherited from Labour. It includes measures on children in care and on prisons. It helps to boost our digital economy. It helps to strengthen our ability to combat terrorism The hon. Gentleman talks about compassionate conservatism. Let me remind him of three things. First, in the past 12 months we have introduced the national living wage. Secondly, in the past 12 months claimant count unemployment has been at its lowest level since the 1970s. Thirdly, there has been a fall of more than 750,000 in the number of workless households—a change that will make a transformational difference to many of our most deprived communities. Those achievements were made under a Conservative Government, sorting out the mess that we inherited The hon. Gentleman started by talking about taking interventions, and here I have some sympathy with him. He did better this morning than the leader of the Labour party did yesterday. I noticed that the shadow Leader of the House yesterday spent 41 minutes trying to look at the shoes of Conservative Members rather than looking at the leader of his party making such an awful speech I am not sure whether the shadow Leader of the House raised any other questions. I was grappling with trying to understand what on earth he was going on about in the middle of his contribution. Let me be clear that we are at the start of a Session in which we will deliver before the House measures that will make a transformational difference to this country; measures that will make a difference to our most deprived communities; and measures that will make this country more secure economically and more secure against the national threats that we face In the week that the YMCA has named its latest building the Chris Bryant centre—after the famous Chris Bryant, not this one—we should pause for a moment to praise the shadow Leader of the House. He is a great champion of equalities in this place, and he and I share the ambition of wanting more women to be elected to office. I am delighted to see that his constituency has done its bit by electing a woman to represent it in Cardiff, and who knows whether we will see a further step in that direction in this House in 2020. While we are on the subject of the shadow Leader of the House, may I congratulate him on stepping in to save the local calendar competition in Rhondda following the defeat of its founder, Leighton Andrews, in the Welsh elections? Who knows, but perhaps the hon. Gentleman will have his very own calendar girl for the month of May 2020 in the Rhondda—Leanne Wood.
ParlaMint-GB_2016-05-19-commons.u9	The controversial HS2 project has again been in the media, with talk of further cost overruns and potential cuts to the scope of the project. The announcement of the finalised route for phase 2 will not be made until at least this September—a year late—exacerbating the blight on my constituents. May we have a statement to update the House on the progress of HS2 so that we can know exactly how big the white elephant has grown?
ParlaMint-GB_2016-05-19-commons.u10	I do understand my hon. Friend’s concerns. His constituency is one of those that faces challenges from HS2, but also in my view benefits from it in the way it will open up parts of our economy, improve infrastructure and make a difference to jobs and business prospects. I understand the concerns he has raised. We have a debate on transport today, but I will make sure that the Secretary of State for Transport is aware of the concerns that my hon. Friend has raised.
ParlaMint-GB_2016-05-19-commons.u11	I thank the Leader of the House for announcing the business for next week. We, too, pass on our best wishes to all those caught up in the Egyptian airline event. Let us hope that there can be some sort of positive resolution to it all What a few weeks we are going to have. We will have to spend most of our time discussing the anaemic, tortured stuff in the Queen’s Speech, when all Government Members want to do is knock lumps out of each other over the EU referendum. The debate in the Tory party is hardly reaching Churchillian standards of discourse. According to the hon. Member for Wycombe (Mr Baker) on the radio this morning, it is apparently all about insults, personal attacks and tabloid smears My hon. Friends are already considering our amendments to the driverless cars Bill. Most of them involve locking this Tory Government into the said vehicle and heading it towards the nearest cliff edge. The Scotland bit in the Queen’s Speech yesterday got 22 words, which is actually quite good given what we usually get when we are included in all this. It may be a one nation Queen’s Speech, but one of those nations certainly is not Scotland We still have not secured from this Government a statement on all the now quite explosive evidence in the Conservative party submission to the Electoral Commission about the conflict between national and local spending during the last election campaign. Fourteen police forces are now investigating this alleged electoral fraud, yet we have not heard one peep from the Government. They know what they were up to, because a book has been serialised in The Daily Telegraph called, “Why the Tories Won: The Inside Story of the 2015 Election”, which says: “The buses were critical to moving party troops from where they lived to where the swing voters could be found. The central party paid for all the buses and trains, as well as hotels and hostels.” We must now have an urgent statement from the Government on what they will actually do about this Lastly, may we have a debate on world war two? It would allow senior Labour and Conservative Members to indulge their new passion of talking about Hitler. We could hear about all the dodgy histories and spurious examples, and it might take minds off the raging civil wars within the Labour party and within the Conservative party, which we are immensely enjoying.
