ParlaMint-GB_2016-06-27-commons.u1	1. What plans his Department has to ensure future defence co-operation with allies and partners.
ParlaMint-GB_2016-06-27-commons.u2	11. What plans his Department has to ensure future defence co-operation with allies and partners.
ParlaMint-GB_2016-06-27-commons.u3	I hope you will allow me, Mr Speaker, to add my tribute to Jo Cox and her work on behalf of the Syrian people, which she pressed very hard on and which must never be forgotten Our strategic defence review set out ambitious plans to strengthen our work with allies and partners to promote our security and prosperity. We will continue to lead in NATO, the G7 and the United Nations, and maintain strong and enduring relationships with the United States and our other friends and allies around the world.
ParlaMint-GB_2016-06-27-commons.u4	My constituency, my country and people of my generation voted against Brexit, yet we are going to be dragged out of the European Union against our will. This is the same European Union that plays an important security role in Afghanistan, in Ukraine and across swathes of Africa, as well as the vital role played by Frontex in the Mediterranean. What reassurance does the Secretary of State have for Scotland and for young people that this vital work will not be undermined by last Thursday’s vote?
ParlaMint-GB_2016-06-27-commons.u5	The bedrock of our defence in the United Kingdom rests on NATO, and the United Kingdom of England, Scotland, Wales and Northern Ireland is committed to strengthening co-operation within NATO and collective defence across the alliance. We will be adding further reassurance to that at the NATO summit that is coming up in Warsaw the week after next.
ParlaMint-GB_2016-06-27-commons.u6	What an utter shambles this is. I am afraid that that is not good enough from the Defence Secretary. We do not have a plan A for Brexit, let alone a plan B. The position of the Government and the Brexiters is confused. There is no plan on the table. Are we going to do a Norway? May I suggest to the Defence Secretary that we look at doing a Norway when it comes to defence, and we perhaps go for the opt-in that Norway has to EU defence schemes?
ParlaMint-GB_2016-06-27-commons.u7	Norway remains and is a very valued member of the NATO alliance. We will be intensifying our co-operation with such countries. It is true that membership of the European Union complements our membership of NATO, and we are engaged in an EU operation in the central Mediterranean, continuing to save lives there and to disrupt the business model of the migrant smugglers from Libya to Europe. The Royal Navy will continue that task.
ParlaMint-GB_2016-06-27-commons.u8	Does the Secretary of State agree that our relationship with members of the EU will remain as strong as it is today even when we are not a member? Given that nearly all members of the European Union are members of NATO, and that most members of NATO, leaving aside Turkey and the United States, are members of the EU, surely the fact that we are that cornerstone of NATO stands for our strong defence, and being a member of both involves some degree of duplication.
ParlaMint-GB_2016-06-27-commons.u9	We have continued to argue against duplication between the European Union and NATO, but my hon. Friend is right. We have the very important bilateral relationships with other European countries—the Lancaster House treaty with France, and our growing co-operation with Germany—and I reassured both the French and German Defence Ministers last Friday that we will continue to work at those relationships and to strengthen them.
ParlaMint-GB_2016-06-27-commons.u10	In the light of the result last week, will the Secretary of State reassure me that the United Kingdom as a united kingdom remains as committed in both the conventional and nuclear sense to article 5 of the North Atlantic treaty, for our allies in the eastern parts of Europe?
ParlaMint-GB_2016-06-27-commons.u11	Absolutely. That article is one of the central commitments of NATO. We have, as my hon. Friend knows, committed to the 2% NATO defence spending target and we will be offering further reassurance, particularly to members on the eastern flank of NATO, at the Warsaw summit on Friday week.
ParlaMint-GB_2016-06-27-commons.u12	Given the intensified bombing of Aleppo by President Putin over the weekend, and the important role that Britain played in stiffening European resolve on sanctions against the Putin regime, how concerned is the Secretary of State about the impact of the referendum result on European solidarity in standing up to Putin?
ParlaMint-GB_2016-06-27-commons.u13	It is very important, not least because of the way in which Russia has intervened in the Syrian civil war, that Russia is held to account for its actions. We took the lead in not only proposing the sanctions imposed on Russia for its actions in the Crimea—in the Ukraine—but ensuring that they were continued. They are being continued for the moment, but, obviously, once we are outside the European Union, our influence over that will be slightly diminished.
ParlaMint-GB_2016-06-27-commons.u14	Does my right hon. Friend agree that the upcoming negotiation on leaving the EU presents a huge opportunity to redouble our efforts at co-operation with our EU friends and allies? What plans does he have to support UK defence industries and cross-border investments, such as those in helicopter manufacturing in Yeovil?
ParlaMint-GB_2016-06-27-commons.u15	We will continue the co-operation that I have already set out—our co-operation with France under the Lancaster House treaty, and the growing co-operation we have with Germany and, indeed, with other European countries. Our recent strategic defence review is international by design and prioritises working more closely with our allies. European companies that are invested here see a rising defence budget, and we hope they will continue to invest here and to compete for the various tenders we are making available.
ParlaMint-GB_2016-06-27-commons.u16	Our military alliances rely on strong diplomatic ties, especially with our European neighbours. What steps is the Secretary of State taking to ensure our Brexit negotiations do not sour these relationships and weaken our alliances?
ParlaMint-GB_2016-06-27-commons.u17	As I say, I have spoken to all my fellow Defence Ministers in these key relationships, and we will have to work hard to ensure that these bilateral relationships are kept in good repair. We have strong defence relationships and defence sections in these embassies across Europe, and we will have to look at them independently and make sure in the Brexit negotiations that none of that co-operation—the joint training, the exercising and the co-operation on capabilities—is put at risk.
ParlaMint-GB_2016-06-27-commons.u18	What representations has my right hon. Friend received from our allies and defence partners about renewing Trident, which the new shadow Defence Secretary described as “a monumental mistake our country and planet can ill afford”?
ParlaMint-GB_2016-06-27-commons.u19	As my hon. Friend knows, we are committed in our manifesto to replacing the four Trident submarines, and I hope Parliament will be able to endorse the principle of that replacement shortly. Our allies can rest assured that our commitment to NATO and our commitment as a nuclear power to NATO are not altered by the result of the referendum.
ParlaMint-GB_2016-06-27-commons.u20	The Secretary of State will be aware that, as the pound plummets against the dollar, the cost of procuring the maritime patrol aircraft and the F-35s we were promised will undoubtedly soar. There will be inevitable consequences for forward procurement, including on the already delayed Type 26 programme. The Government warned that, in the case of a Brexit, there would be swift and savage cuts to the defence budget. Where will that axe fall, and when is it likely to fall? What will the Secretary of State tell our allies at the Warsaw summit, every one of whom was convinced unambiguously that we should remain in the European Union?
ParlaMint-GB_2016-06-27-commons.u21	It is a fact that all the other Defence Ministers around the world were anxious to see us remain in the European Union, but the British people have made their decision. So far as the equipment programme is concerned, we are now negotiating for the maritime patrol aircraft and for the first F-35s to fly off the carriers, and I hope the negotiations will be concluded reasonably soon.
ParlaMint-GB_2016-06-27-commons.u22	Scotland faces the very real prospect of being taken out of the European Union against its will. May I remind the Secretary of State of the first page of the 2015 SDSR, which says: “Economic security goes hand-in-hand with national security” The UK’s membership of the European Union was an integral part of our defence policy. It was strategically valuable in promoting the UK’s policies and implementing our defence and security obligations. Given that the Brexiteers have won their referendum and the economy is now in freefall, what plans does the Secretary of State have to review the 2015 SDSR?
ParlaMint-GB_2016-06-27-commons.u23	I am disappointed that the hon. Gentleman should be talking down the British economy, on which so many jobs in Scotland depend. I would caution his party against talking down an economy on which all our constituents depend. Our national security is of course the security of the United Kingdom, including that of Scotland.
ParlaMint-GB_2016-06-27-commons.u24	At what will be my last Defence questions before I take up my new post, may I start by thanking the Secretary of State, and his office, for all the co-operation that he has given in the six months that I have been in this role? Whether it has been, for example, in arranging trips to Army bases or providing briefings on the fight against Daesh, he has been a generous opponent and I regret that I will no longer be his shadow At this time, the only thoughts of anyone in this House should be on how we can reassure the British people that we can keep our country safe and secure in the wake of the Brexit vote. We all need to pull together and work together on that, not just within our own parties but across the House as a whole. Will the Secretary of State please reassure us that leaving the EU will not put an end to participation in joint security missions with our European partners? He has mentioned the mission in the Mediterranean, but may I also ask him particularly about the highly successful counter-piracy mission off the Horn of Africa?
ParlaMint-GB_2016-06-27-commons.u25	I am grateful to the hon. Lady for her generous remarks, and I congratulate her on her move. I think the new shadow Defence Secretary is AWOL on his first parade, but we will welcome him and pay tribute to his service in uniform. He will, I note, be the fourth shadow Defence Secretary I have seen in under two years, but I hope he lasts Yes, it is very important that we reassure our allies in Europe and around the world that Britain is not turning its back on them. On the contrary, we are still playing a leading role in the world, and that includes work in some of the vital operations in the Mediterranean and off the Horn of Africa, some of which are led by NATO and others of which are led by the European Union.
ParlaMint-GB_2016-06-27-commons.u26	I thank the Secretary of State for his answer and his generous words. I shall pass on his comments to the new shadow Secretary of State for Defence when he takes up his post this afternoon; they are typical of the way in which he and his office have worked One particular concern that many people have is the implications of Brexit for our border controls. What will happen to our border control at Calais, what will happen to the common travel area with Ireland, and will the co-operation we currently receive from our European counterparts in respect of tackling illegal immigration be maintained? How will we go about resolving these issues? Will the armed forces play a role in that, and in what way can we keep our borders safe and secure?
ParlaMint-GB_2016-06-27-commons.u27	My arithmetic may be faulty, but I counted six questions, to which I know the right hon. Gentleman will give a single pithy response, because we must make progress to other hon. Members who also have questions on the Order Paper—something it would have been good to remember earlier.
ParlaMint-GB_2016-06-27-commons.u28	I will do my best, Mr Speaker, noting that the hon. Lady has postponed her defence review because she said it was “important that the Labour party sticks together and is united” I leave it at that The Royal Navy will continue to play its part in assisting Border Force and other organisations—the European Union and NATO—in dealing with people smuggling and illegal migration, as the hon. Lady asks.
ParlaMint-GB_2016-06-27-commons.u29	2. What steps he is taking to mitigate the effect of the extended timetable for construction of Type 26 frigates on maintaining skills in the defence industry.
ParlaMint-GB_2016-06-27-commons.u30	This Government are committed to sustaining shipbuilding skills on the Clyde. As we confirmed in the strategic defence and security review last November, we will build two additional offshore patrol vessels before build work starts on the Type 26. This will help sustain shipbuilding skills between the completion of major blocks of the Queen Elizabeth class carriers and commencement of the Type 26 build. That remains the case; the plan has not changed. Over the next decade we will spend about £8 billion on Royal Navy warships.
ParlaMint-GB_2016-06-27-commons.u31	As my hon. Friend the Member for Argyll and Bute (Brendan O'Hara) pointed out, the pound is in freefall and every cent it falls against the dollar makes purchasing either the maritime patrol aircraft or the F-35 more expensive. The workers at the Clyde yards have already seen apprenticeship numbers cut by 80%, and the current crisis makes the situation worse. Can the Minister assure me and those on the shop floor in Govan and Scotstoun that the Type 26 programme will begin as soon as possible and not in 2019, as some have suggested?
ParlaMint-GB_2016-06-27-commons.u32	Briefly, Minister.
ParlaMint-GB_2016-06-27-commons.u33	We have already invested £1.6 billion in Type 26, including £472 million this March. I say to the hon. Lady as gently as I can that that commitment could not have been made if her friends had had their way and become independent, because shipbuilding would have ceased two months ago.
ParlaMint-GB_2016-06-27-commons.u34	The Minister will remember that previous shipbuilding projects, in particular the carriers and the Type 45 destroyers, ended up being much more expensive because of delays. Does he accept that BAE Systems is ready to start cutting steel on the Type 26 programme relatively soon and that delays will cause our total number of warships to dip and the ones we eventually get to be more expensive?
ParlaMint-GB_2016-06-27-commons.u35	I say to my right hon. Friend, who is knowledgeable about these matters, that this will be one of the largest defence programmes that this Government will enter. I am sure that he will agree that it is absolutely right to enter into a contract once we are confident of the delivery schedule and the ability of the contractors to meet that schedule on a cost-effective basis. Once we are in that position, we will be ready to contract.
ParlaMint-GB_2016-06-27-commons.u36	The Clyde was promised a world-class frigate factory to build 13 new frigates for the UK. However, today we hear that work has been delayed by a year. Thousands of members of staff are on secondment around the country because there is not enough work in the shipyards, and the word “betrayal” rings around those shipyards because no factory has appeared and no work has started We have asked in the past for plans for the frigate-building programme, and for promises that all work will be carried out on the Clyde, but those questions have gone unanswered—[Interruption.]
ParlaMint-GB_2016-06-27-commons.u37	Press on.
ParlaMint-GB_2016-06-27-commons.u38	When precisely will the Secretary of State present a committed plan to build the new frigates we need, with cast-iron timescales to bring some security to the workforce in Glasgow and around the country, and will leaving the EU affect the building—
ParlaMint-GB_2016-06-27-commons.u39	Thank you very much. A brief response from the Minister and we will move on.
ParlaMint-GB_2016-06-27-commons.u40	As I have already indicated, this Government have already contracted significant sums into the programme. Once we are in a position to sign a contract, we will say what the duration of the build programme will be. We are not there yet.
ParlaMint-GB_2016-06-27-commons.u41	3. What recent discussions he has had with his international counterparts on progress in the campaign against Daesh.
ParlaMint-GB_2016-06-27-commons.u42	14. What recent assessment he has made of the progress of the international campaign to defeat ISIS/Daesh.
ParlaMint-GB_2016-06-27-commons.u43	The next meeting of coalition Defence Ministers will take place on 20 July. The campaign against Daesh is making progress. With coalition support, Iraqi forces now hold Ramadi and Hit, are engaged in clearing Daesh from Fallujah and have begun preparatory operations for retaking Mosul. The Syrian democratic forces are currently conducting operations around Manbij.
ParlaMint-GB_2016-06-27-commons.u44	Will my right hon. Friend confirm that Britain is playing the second biggest part in the coalition after the United States of America, and that our involvement is making a real difference to the fight against Daesh?
ParlaMint-GB_2016-06-27-commons.u45	I am pleased to confirm that the United Kingdom is playing a significant role in the coalition. The RAF has undertaken more strikes in Iraq and, since December, in Syria than any coalition nation apart from the United States. We now have more than 1,100 service personnel supporting operations in the region, and that is making a real difference to the momentum of the campaign.
ParlaMint-GB_2016-06-27-commons.u46	What assistance are the Government providing to the Jordanian authorities in the light of the recent deterioration in security there, and especially in the light of the recent suicide attack that killed six soldiers outside a refugee camp?
ParlaMint-GB_2016-06-27-commons.u47	We have a very strong defence relationship with Jordan that includes work on training forces together. We will obviously continue to keep that under review, not least because of the pressure on the Jordanian-Syrian border.
ParlaMint-GB_2016-06-27-commons.u48	Last week it was reported that US fighter jets were scrambled to intercept Russian bombers attacking American-backed rebels in Syria. What steps is the Secretary of State taking to de-conflict competing allied air forces in the campaign against Daesh?
ParlaMint-GB_2016-06-27-commons.u49	There is a memorandum of understanding between the United States and Russia about the conduct of air operations. We do not co-operate with Russia, but there is a mechanism by which we can avoid that kind of conflict. The easiest way to avoid it would be for Russia to stop assisting the regime and to stop bombing innocent civilians.
ParlaMint-GB_2016-06-27-commons.u50	Opposition activists and Kurdish officials have said that hundreds of Kurds are fleeing Manbij, and that the Syrian defence forces are engaged in clashes there with Daesh. If Manbij is captured, it will be the biggest strategic defeat for Daesh in Syria. Can the Secretary of State comment on the situation, and particularly that of the Kurdish civilians, who are being abducted in their hundreds?
ParlaMint-GB_2016-06-27-commons.u51	They are, and that is why we need to bring this terrible conflict in Syria to an end. Progress is being made by the Syrian Democratic Forces in closing off what is called the Manbij pocket and breaking the supply line between Raqqa and the Turkish border, which restricts the ability of Daesh to trade oil illegally across the border or to recruit foreign fighters the other way. Progress is being made around Manbij, and I hope that one day, when Manbij is recaptured, those same forces can move on towards Raqqa itself.
ParlaMint-GB_2016-06-27-commons.u52	To carry out its activities, Daesh requires funding. What discussions is my right hon. Friend having with our allies to cut off the funding for Daesh?
ParlaMint-GB_2016-06-27-commons.u53	International efforts are under way to restrict the ability of Daesh to raise money from selling oil, artefacts or anything else, or to access other funding on the international markets. That is work that requires co-operation right across the coalition, and it is work in which the United Kingdom is playing a leading part.
ParlaMint-GB_2016-06-27-commons.u54	While we have been otherwise preoccupied, the atrocities that have been carried out by Daesh over the last few weeks remain deeply worrying. Will the Secretary of State give an undertaking that he will co-operate through NATO bilaterally with other European allies and take strategic action unilaterally to make sure that everything possible is done to try to stop these appalling atrocities?
ParlaMint-GB_2016-06-27-commons.u55	Yes, we are facing a most barbarous enemy, which is not simply torturing and killing innocent civilians in Syria and Iraq, but still poses a very direct threat to us here in western Europe—on the first anniversary of the slaughter of 30 of our subjects in Sousse by an equivalent extremist. Whether it is through the international coalition, through the use of NATO assets or through other bilateral frameworks, let me reassure the right hon. Gentleman that we are absolutely committed to this fight and to the eventual defeat and degradation of Daesh.
ParlaMint-GB_2016-06-27-commons.u56	4. What assessment he has made of the viability of alternatives to a continuous at-sea nuclear deterrent for protecting national security.
ParlaMint-GB_2016-06-27-commons.u57	The 2013 Trident alternatives review considered alternative systems and postures for the United Kingdom’s nuclear deterrent and concluded that no alternative is as capable, or offers the same degree of resilience, as continuous at-sea deterrence.
ParlaMint-GB_2016-06-27-commons.u58	Some have expressed concern that with advancing technology, our submarines can now be detected and discovered by underwater drones. Can my right hon. Friend assure me that that is not the case?
ParlaMint-GB_2016-06-27-commons.u59	Yes, we are confident that our submarine fleet remains safe and secure. We devote considerable resources to assessing capabilities and new technologies that could threaten the operation of our deterrent, including potential threats from the development of cyber and unmanned underwater vehicles. I am happy to reassure my hon. Friend on precisely that point.
ParlaMint-GB_2016-06-27-commons.u60	Whoever stands at the Opposition Dispatch Box or at the Government’s, there is a cast iron majority in the House to do the right thing by Trident’s successor and to reach outwards to defend our nation, rather than to turn inwards. Will the vote still happen before the summer recess?
ParlaMint-GB_2016-06-27-commons.u61	I am grateful to the hon. Gentleman for what he has said. There is clearly a majority—[Interruption.] There are those who are opposed in principle, but there is clearly such a majority in this House. I believe that it is right that this House should vote on the principle of the renewal of the deterrent, and I very much hope that he will not have too much longer to wait.
ParlaMint-GB_2016-06-27-commons.u62	With the Type 26 frigates well behind schedule, it has been said that the Navy has “run out of money” to progress these contracts. Given the perilous state of the economy since Friday morning, will the Secretary of State give us an assurance that we will—please, please—run out of money for Trident as well?
ParlaMint-GB_2016-06-27-commons.u63	The schedule for the Type 26s has not yet been set. These ships are likely to cost between £500 million and £1 billion each, and I will not sign a contract for these ships until I am satisfied that they represent good value for the Royal Navy and good value for the taxpayer.
ParlaMint-GB_2016-06-27-commons.u64	5. What steps he is taking to promote the welfare of armed forces personnel.
ParlaMint-GB_2016-06-27-commons.u65	In January, the Department published the first ever armed forces families strategy, embracing seven key themes—partner employment, accommodation, children’s education and childcare, community support, specialist support, health and wellbeing, and transition. We have reviewed our casualty and compassionate processes, and this autumn we are introducing a pilot for a new welfare scheme for reservists. We continue to work to ensure that our armed forces and their families are treated fairly through the covenant.
ParlaMint-GB_2016-06-27-commons.u66	Economic and military security assurances, as laid out in the strategic defence and security review, have been significantly weakened by the events of the last week, and this could not have come at a worse time for armed forces personnel. To give just two examples—
ParlaMint-GB_2016-06-27-commons.u67	Order. I am awfully sorry, but we have not got time for two examples. I need a single, short supplementary question, with a question mark at the end.
ParlaMint-GB_2016-06-27-commons.u68	The armed forces satisfaction survey has caused considerable concern in this regard. Does the Minister agree that the continuing welfare of our personnel should be the priority at this tumultuous time?
ParlaMint-GB_2016-06-27-commons.u69	The short answer is yes. The huge number of local authorities, companies and other parts of the nation that have signed up to the armed forces covenant shows that the country as a whole is responding with a resounding yes.
ParlaMint-GB_2016-06-27-commons.u70	17. I have been working with Neath veterans support group to ensure that those leaving the armed forces receive the support they need. Will the Minister explain what his Government are doing to extend the support offered, through projects such as Change Step, so that the welfare of serving personnel is viewed through a model of prevention, rather than of cure?
ParlaMint-GB_2016-06-27-commons.u71	I am grateful to a whole range of charities in Neath and other areas for the work they are doing with the armed forces. We are giving considerable priority to this and to ensuring that people’s transition, which is one of the seven aspects of the strategy I have mentioned, is successful. From the stories one hears of companies that have signed covenants successfully taking on people for new careers after they leave the armed forces and of the work we are doing with local authorities on housing, I can say that all this work is bearing fruit.
ParlaMint-GB_2016-06-27-commons.u72	6. What estimate he has made of the projected increase in defence spending during this Parliament.
ParlaMint-GB_2016-06-27-commons.u73	7. What estimate he has made of the projected increase in defence spending during this Parliament.
ParlaMint-GB_2016-06-27-commons.u74	I will answer pithily. This Government are delivering stronger defence. The defence budget will rise by 0.5% above inflation every year to 2020-21, and we will access up to £1.5 billion a year from the joint security fund by the end of this Parliament. This is the first time in six years that the defence budget will increase in real terms.
ParlaMint-GB_2016-06-27-commons.u75	Given the vote last week, does the Minister agree that Britain should remain a key player on the international stage? Will Britain continue to use its influence to encourage our NATO allies to spend 2% of their GDP on defence?
