ParlaMint-GB_2016-06-28-commons.u1	1. What steps he is taking to support innovation in industry.
ParlaMint-GB_2016-06-28-commons.u2	We want to make the UK the best place in Europe to innovate, to patent new ideas and to grow new businesses. That is why we are creating a supportive business environment—for example, with research and development tax credits and through Innovate UK.
ParlaMint-GB_2016-06-28-commons.u3	The UK’s position as the world leader in offshore renewables is underpinned by industry and academics from across the European Union working together on innovation projects, and by funding from the European Investment Bank and other European or collaborative research and development funds. Can the Secretary of State give me an assurance that our No.1 position will not be put at risk by Brexit?
ParlaMint-GB_2016-06-28-commons.u4	The UK is the world’s largest offshore wind market today, and it will still be the largest by the end of the decade, with 10 GW expected to be installed. Despite the decision to leave the European Union, I am confident that we can still co-operate on science and research, as many countries outside the European Union do with their EU counterparts. I believe that that will ensure that this sector remains very strong.
ParlaMint-GB_2016-06-28-commons.u5	Innovation and research are inextricably linked. Yesterday, when I asked the Prime Minister about the impact on our research institutions of the decision to leave the European Union, he assured me that existing contracts would be honoured. However, researchers are applying for funding on a daily basis. What support can be put in place to deal with the uncertainty that exists today, tomorrow and next week?
ParlaMint-GB_2016-06-28-commons.u6	As the hon. Gentleman knows, there will be no change immediately; the current structures will stay in place for at least two years. Of course companies are concerned about what will replace them, and that is exactly what we are working on now with many researchers, businesses and others. The Minister for Universities and Science is taking this very seriously and he has already been speaking to a number of stakeholders.
ParlaMint-GB_2016-06-28-commons.u7	A vital component of innovation in business is a superfast broadband connection. Would the Secretary of State consider extending the excellent satellite voucher scheme to allow the pooling of vouchers to enable the establishment of community schemes such as fixed-point wireless?
ParlaMint-GB_2016-06-28-commons.u8	I will certainly discuss that with the Secretary of State for Culture, Media and Sport. I was pleased to have introduced that scheme in my previous role as Culture Secretary, and it has been making progress. My hon. Friend would perhaps also like to know that infrastructure will be absolutely key to the new national innovation plan, which will be published shortly.
ParlaMint-GB_2016-06-28-commons.u9	Mr Speaker, you will know well, because you were with me, that I met representatives of the textiles industry and the university in my constituency last Friday. They are absolutely appalled by the decision to leave the European Union. Surely we need more than the rather calm words we have heard this morning. There should be an emergency package to deal with the real concerns of the great exporters and innovators of this country.
ParlaMint-GB_2016-06-28-commons.u10	Of course there will be a number of companies, whether in textiles or other sectors, that will have concerns, particularly about the short term. That is why my colleagues and I are already in touch with a number of companies and businesses around the country. This afternoon, for example, I will be holding a round table with businesses representing every sector of the economy, and we will be following up on precisely those issues.
ParlaMint-GB_2016-06-28-commons.u11	The innovation that British industry now needs is a range of innovative trade deals with the world’s super-economies outside the European Union, and we need to act on this now rather than waiting to start until after our exit. What steps is my right hon. Friend taking to supercharge the trade unit within his Department to get crack trade officials working on these agreements straightaway?
ParlaMint-GB_2016-06-28-commons.u12	My hon. Friend is absolutely right. With this decision, there are of course short-term challenges, but he highlights the fact that there are also medium and long-term opportunities, one of which is trade. The Department had already thought about that in case the decision went in favour of Brexit. I am pleased that we did that preparatory work and we will now be putting it to use.
ParlaMint-GB_2016-06-28-commons.u13	Scotland, which voted to remain in the European Union, has secured around £120 million from Horizon 2020, the biggest EU research and innovation programme. Participation in EU research and innovation programmes has enhanced our scientific and business reputation, so what are the Minister and his Department going to do to ensure that similar funding and support options are available post-Brexit?
ParlaMint-GB_2016-06-28-commons.u14	The hon. Lady may be interested to know that several countries that are not in the European Union are part of research and science collaboration programmes—Israel, for example—so if we choose to do so, it is perfectly possible to continue working with our EU partners on science and research.
ParlaMint-GB_2016-06-28-commons.u15	2. What steps he is taking to tackle late payment of suppliers by businesses.
ParlaMint-GB_2016-06-28-commons.u16	I am implementing a package of measures to support a cultural change to tackle late payment, including the small business commissioner, the duty for large businesses to report on payment practices, and support for the voluntary prompt payment code.
ParlaMint-GB_2016-06-28-commons.u17	I thank the Secretary of State for his answer and welcome his work in this area. In addition to late payment, there is the issue of lengthy-term payment. For example, an SME in my constituency is negotiating with a multinational company, which presents an excellent opportunity. However, the terms and conditions of the proposed payment schedule would mean a 98-day wait for payment on a £3 million project, which is something of a disincentive and, indeed, a risk. I recognise and welcome the fact that the market is opening up to SMEs, but does my right hon. Friend agree that we need to keep working to inspire a more level playing field across all aspects of business practice if SMEs are truly to compete?
ParlaMint-GB_2016-06-28-commons.u18	I absolutely agree with my hon. Friend. The reporting requirements that I mentioned will give small businesses the information that they need to make more informed decisions, to negotiate fairer terms and to encourage other companies to improve payment practices. We take this very seriously in the Department and we are determined to change this kind of bad practice.
ParlaMint-GB_2016-06-28-commons.u19	But one of the worst performers regarding late payments to small and medium-sized enterprises is the public sector. What is the Secretary of State doing to ensure that Government Departments, agencies and local government promptly pay the small businesses that they use?
ParlaMint-GB_2016-06-28-commons.u20	The hon. Gentleman will be pleased to hear that while that was the case back in 2010, when payment practices throughout the public sector were appalling, there has been a significant improvement throughout central Government and beyond since then. At my Department, for example, we take great pride in paying almost all invoices within seven days.
ParlaMint-GB_2016-06-28-commons.u21	As the Secretary of State knows, we welcome the move to set up a small business commissioner to help with late payment, but the proposals are modest. Will he assure the many small businesses that will be dramatically affected by any downturn resulting from Brexit that he will put additional support for them in the supply chain to deal with the consequences of any of their customers delaying payment to deal with the problems of Brexit?
ParlaMint-GB_2016-06-28-commons.u22	I assure the hon. Gentleman that the proposals are not modest. The small business commissioner will have significant powers and the ability to help, including by providing general advice and direct services for the smallest of businesses. The commissioner will also be able to consider complaints and to take super-complaints from trade bodies.
ParlaMint-GB_2016-06-28-commons.u23	3. What recent steps he has taken to create the midlands engine.
ParlaMint-GB_2016-06-28-commons.u24	I continue to promote the midlands engine, which could add an extra £34 billion to the local economy by 2030 and create 300,000 new jobs. I am pleased that Sir John Peace has been appointed chair of Midlands Connect to drive productivity and growth across the whole of the midlands region.
ParlaMint-GB_2016-06-28-commons.u25	Whether through energy providers, video games companies or manufacturers, Warwick and Leamington’s local economy is a great contributor to the region’s prosperity. What measures are being implemented to build on such successes and to transform the wider midlands engine from concept to reality?
ParlaMint-GB_2016-06-28-commons.u26	I recall fondly visiting video games companies with my hon. Friend, who does a great deal to help local businesses, including by hosting a business forum last Friday. The midlands engine is already delivering. For example, we have a £5 million trade and investment package, £60 million for research, and a £5 million award for Midlands Connect. I am determined to do more.
ParlaMint-GB_2016-06-28-commons.u27	The result of last week’s referendum shows that there is deep discontent in many of our market towns and coastal areas, where people feel left out and left behind because they have not seen the benefits of economic growth. What steps will the Secretary of State take to ensure that the devolution agenda increases jobs, skills and infrastructure investment in some of these peripheral economies, not just in our great metropolitan cities?
ParlaMint-GB_2016-06-28-commons.u28	The hon. Lady will know that, since 2010, we have seen considerable growth in every single region of the UK, including in the midlands. With our focus on the midlands engine, we want to see even more. She is right to highlight the importance of devolution. In my Department, for example, the devolution of skills will make a big difference.
ParlaMint-GB_2016-06-28-commons.u29	One of the best ways of bringing in new industries and new jobs to replace the ones that we have lost in the west midlands over the past few decades would be to back Dudley’s exciting plans for an institute of technology, building on the brilliant work that is going on at Dudley Advance. Earlier this year, we were delighted to welcome a visit by the Minister for Skills, and I think that he was very impressed with what was going on. Will the Secretary of State meet a delegation from Dudley to hear about these plans and to discuss them with us in detail?
ParlaMint-GB_2016-06-28-commons.u30	I am a big fan of Dudley, and I would love to visit it again.
ParlaMint-GB_2016-06-28-commons.u31	7. Before the events of last week, I was delighted to hear that my constituent, Sir John Peace, was appointed head of the midlands engine project. Sir John is the founder of Experian, one of the midlands’ key financial service companies, and the chairman of Burberry. Will my right hon. Friend reassure me that it is exactly people like Sir John who will be in his thoughts and working with the Department over the summer to ensure that the midlands economy is prepared for Brexit over the next few weeks and months?
ParlaMint-GB_2016-06-28-commons.u32	My hon. Friend is absolutely right and makes a very powerful point. The midlands is doing well, but it can do better. Trade and investment will be key. I plan to lead the first midlands-only trade mission abroad—to north America in this case—in September, and I would be honoured if companies from his constituency joined me.
ParlaMint-GB_2016-06-28-commons.u33	4. What assessment he has made of the effect of the case of BHS on his policy on regulating insolvency.
ParlaMint-GB_2016-06-28-commons.u34	As the hon. Gentleman knows, the Insolvency Service’s investigation into BHS continues. We are always looking to ensure that Britain is an open place in which to do business, but with the proper regulation in place to protect workers and prevent abuses. We recently launched our consultation “A Review of the Corporate Insolvency Framework”—not something that trips off the tongue. Importantly, if there are any early emerging findings arising out of the BHS case, I can assure him that they will be fully taken into account.
ParlaMint-GB_2016-06-28-commons.u35	I am grateful to the Minister for her response. Nevertheless, I am sure that Members of the House and people across the country were dismayed yesterday when they read that the pensions black hole in this country has reached a high of £900 billion. Can she assure this House, me and my constituents who work at BHS in Clydebank that, after reflecting on last week’s vote and the BHS scandal, the Government are doing everything in their power to assure their pension funds?
ParlaMint-GB_2016-06-28-commons.u36	The hon. Gentleman makes a good point. Yesterday was a dreadful day on the markets— two of our banks actually had to stop trading. Today, according to the results, is a better day. As the Prime Minister said yesterday, nothing has changed at the moment, so it is really important that we talk up our great country and our great economy, and that we instil confidence and stability on all sides.
ParlaMint-GB_2016-06-28-commons.u37	The issue of pensions is very important in the context of not just BHS, but Tata Steel. The consultation finished on 23 June. Will the Minister please update the House on where we are with the pensions scheme, and also reflect on the fact that the trade unions and many others have said that putting that scheme into the Pension Protection Fund would be a complete disaster?
ParlaMint-GB_2016-06-28-commons.u38	The consultation has, of course, now finished. There were concerns, certainly among Government Members, that Opposition Members perhaps had not been as supportive about the future plans for Tata as we would have liked, but, as the hon. Gentleman knows, our doors always remain open to him. He has done great work to ensure that we have a sustainable steel industry in south Wales.
ParlaMint-GB_2016-06-28-commons.u39	Many workers at BHS, such as those in my constituency, will no doubt have been watching in horror as events unfolded. What further support and assurance can the Minister give to the staff at BHS to support them through this difficult time? Furthermore, I have found—I am sure that other Members have, too—that BHS is not willing to engage with me as a local Member of Parliament. What can she do to ensure that it will engage with Members?
ParlaMint-GB_2016-06-28-commons.u40	I am quite surprised that BHS will not engage, as the hon. Lady puts it; that is not at all satisfactory. We are working hand in glove with the Department for Work and Pensions to ensure that people are getting the support and opportunities that they need to get jobs. I am pleased that that work continues. In fact, government does continue, notwithstanding last week’s vote.
ParlaMint-GB_2016-06-28-commons.u41	5. What discussions he has had with online retailers on the sale of counterfeit electrical goods.
ParlaMint-GB_2016-06-28-commons.u42	My officials and the Intellectual Property Office have met online retailers to reduce the availability of counterfeits on their platforms and to help to co-ordinate law enforcement action against sellers. The dedicated IP crime unit that was launched by the coalition Government investigates sales of counterfeit goods. In October 2014, the Government rightly introduced a criminal sanction to address intentional copying of products protected by registered design.
ParlaMint-GB_2016-06-28-commons.u43	Research undertaken by Electrical Safety First has found that 64% of counterfeit products are now purchased online, with sales via social media increasing by 15% every year. Have the Government considered the impact of this trend on consumers and the industry itself?
ParlaMint-GB_2016-06-28-commons.u44	I thank the hon. Lady for giving me notice of her supplementary question, because I can now give her a proper and good answer; otherwise, she would have just heard me say, “I will happily meet her.” I will happily meet her, but I can also say that the Government, industry and law enforcement are working together to tackle the threat posed by online sales of counterfeit electrical goods. We have something called Operation Jasper, a partnership between trading standards and industry that has been targeting the sellers of counterfeit goods, particularly on Facebook, and has succeeded in removing thousands of listings and users’ profiles.
ParlaMint-GB_2016-06-28-commons.u45	In my constituency in South Lanarkshire, which is home to the headquarters of the Scottish fire and rescue service, 214 house fires were caused by faulty electrical items in the past five years alone. As trading standards are largely enforced locally, online sales might be harder to tackle, so what is the Government’s strategy for curbing the rising online trade in counterfeit electricals?
ParlaMint-GB_2016-06-28-commons.u46	I think that I have answered that question, but the hon. Lady makes an important point about some of the dangers from faulty goods, especially those sold online. I was delighted that Lynn Faulds Woods, whom hon. Members will know from her various campaigns over the years to ensure that people are kept safe, has been working with the Government. She produced an excellent report and her work continues in how we are looking at policy to make things better and safer.
ParlaMint-GB_2016-06-28-commons.u47	6. What assessment he has made of progress on the Government’s traineeships programme.
ParlaMint-GB_2016-06-28-commons.u48	I call Minister Nicholas Boles.
