ParlaMint-GB_2016-09-06-commons.u1	1. What steps she is taking to reform the Human Rights Act 1998.
ParlaMint-GB_2016-09-06-commons.u2	First, I would like to pay tribute to my hon. Friend’s work on human rights reform as a Minister in this Department. He is a great champion of liberty The Government are committed to scrapping the Human Rights Act and introducing a British Bill of Rights.
ParlaMint-GB_2016-09-06-commons.u3	May I say at the outset that it is an honour to be the first Member to welcome the new Justice Secretary and the new Front-Bench team to their posts? I wish them every success. I also reassure my right hon. Friend, from experience, that being a lawyer is of very limited value in her Department—no offence to the Minister of State Britain’s decision to leave the EU will remove the jurisdiction of the Luxembourg Court, which is probably the biggest obstacle to delivering a Bill of Rights. May I welcome my right hon. Friend’s statement on the intention to continue this reform and encourage the Government to proceed to consultation as soon as possible?
ParlaMint-GB_2016-09-06-commons.u4	This is an important reform; we need to get it right. We will be introducing proposals in due course. We will deliver on this manifesto commitment.
ParlaMint-GB_2016-09-06-commons.u5	Which convention rights does the Justice Secretary propose to leave out of the Bill of Rights?
ParlaMint-GB_2016-09-06-commons.u6	I thank the hon. Gentleman for his question, and I remember with fondness our time together on the Justice Committee, where he had many good thoughts to put forward. We will be putting out our proposals in due course, which will discuss these issues in detail, but one of the important points is that we want the ultimate arbiter of those rights to be the Supreme Court of the United Kingdom.
ParlaMint-GB_2016-09-06-commons.u7	Does the Secretary of State agree that one of the problems with the current set-up is that the code of rights includes many reservations and qualifications that the European Court does not embrace? A British Bill of Rights can ensure that there is proper balance and that the interests of justice are served.
ParlaMint-GB_2016-09-06-commons.u8	My hon. Friend makes a very good point. It is absolutely the reason we want to pursue a British Bill of Rights to put that in place.
ParlaMint-GB_2016-09-06-commons.u9	If we are to have the Supreme Court as the ultimate arbiter, does that mean that the Lord Chancellor wants to withdraw from the European convention?
ParlaMint-GB_2016-09-06-commons.u10	The Prime Minister has been very clear that leaving the European convention on human rights is not something that we are going to pursue.
ParlaMint-GB_2016-09-06-commons.u11	May I, too, welcome my right hon. Friend to her post and her determination to proceed with a British Bill of Rights? Could I urge her to remember that the cornerstone of the rule of law in this country has always been the sovereignty of Parliament? May I urge her not to listen to those who argue that getting rid of an Act that came 40 years after we signed up to the European convention on human rights somehow or other undermines our position within the treaty.
ParlaMint-GB_2016-09-06-commons.u12	My hon. Friend is absolutely right: human rights were not invented in 1998 with the Human Rights Act. We have a strong record, as a country, of human rights, dating back to Magna Carta, and the British Bill of Rights is going to be the next step in enshrining those rights in our laws.
ParlaMint-GB_2016-09-06-commons.u13	May I welcome the Secretary of State to her new role and say that while, of course, it is not a prerequisite for the person in her role to be a lawyer, she will no doubt wish to listen carefully to any legal advice she receives about any proposals to reform the law There is almost universal opposition to the repeal of the Human Rights Act in Scotland; this is reflected in the Scottish Parliament and across Scottish civic society. On 11 August, I wrote to the UK Government seeking clarification of their plans for so-called reform of the Human Rights Act, following press reports. I have yet to receive a substantive response. At what stage in her plans will the Secretary of State seek to consult the Scottish Government, and can she confirm that she will listen to and respect their answer?
ParlaMint-GB_2016-09-06-commons.u14	I have already had a number of legal meetings about this issue, and I am sure I will enjoy working with the legal profession in my role. The Prime Minister has already had a very good meeting with the First Minister of Scotland. I will be meeting the Scottish Justice Minister shortly to discuss a number of issues.
ParlaMint-GB_2016-09-06-commons.u15	I call Richard Burgon.
ParlaMint-GB_2016-09-06-commons.u16	rose—
ParlaMint-GB_2016-09-06-commons.u17	Order. I do apologise; I had not realised that the hon. and learned Lady wanted a second bite of herself.
ParlaMint-GB_2016-09-06-commons.u18	I was rather hoping to have a second bite of Her Majesty’s Government, Mr Speaker If the Secretary of State has been having legal meetings about the Human Rights Act, she will have been advised that human rights are not a reserved matter and that therefore the Scottish Parliament must be consulted regarding any legislation with regard to human rights. During the independence referendum, Scotland was told that it was an equal partner in this Union. Does she appreciate that to proceed with repeal of the Human Rights Act across the UK would fly in the face of that promise and exacerbate the democratic deficit that already exists in Scotland, where a Tory Government we did not vote for are planning to take us out of the European Union against our will?
ParlaMint-GB_2016-09-06-commons.u19	I would point out that this was in the Conservative party manifesto and we secured a majority at the general election. As I said, I will be in touch with the Scottish Justice Minister; I look forward to talking to him about this subject.
ParlaMint-GB_2016-09-06-commons.u20	I welcome the Secretary of State to her new role. It is good to see a Leeds person at each Dispatch Box. I understand that, like me, she comes from good, left-wing Leeds stock, and I look forward to our exchanges At the Secretary of State’s swearing-in ceremony, she quoted with approval the late Lord Bingham. On the Human Rights Act, Lord Bingham said in 2009: “Which of these rights, I ask, would we wish to discard?” He went on to say: “There may be those who would like to live in a country where these rights are not protected, but I am not of their number.” To give the Secretary of State another chance, because she failed to answer the question asked by my hon. Friend the Member for Kingston upon Hull East (Karl Turner), which of these rights does she wish to discard?
ParlaMint-GB_2016-09-06-commons.u21	I, too, welcome the hon. Gentleman to the Dispatch Box. It is great to have somebody who is also from Leeds facing me, although I learned the error of my ways after growing up in a left-wing household in that great city.
ParlaMint-GB_2016-09-06-commons.u22	Shocking!
ParlaMint-GB_2016-09-06-commons.u23	All I can say is that I believe that everyone is capable of reform, even those on the Opposition Benches. I have not yet given up hope on the shadow Secretary of State for Justice The whole purpose of the Bill of Rights is to enhance human rights in this country. We have led the world in human rights since Magna Carta and the Bill of Rights that was published in Wales in 1689, and we will continue to do so.
ParlaMint-GB_2016-09-06-commons.u24	I thank the Secretary of State for that response, but let me say this: “We were very clear that we will replace the Human Rights Act, which isn’t working for British people, with a British Bill of Rights that gives the ultimate power to citizens in this country.” Those were the words of the Secretary of State on the “Today” programme in May 2015. Given that, and in the light of the answer that she has just given, can she explain to the House why she wants to rob the people of Britain of their rights? Will she admit that talk of a so-called Bill of Rights is simply posturing and making concessions to the hard right of the Conservative party?
ParlaMint-GB_2016-09-06-commons.u25	Human rights were not invented in 1998 with the Human Rights Act. There are major issues with the Human Rights Act and we need to move forward. We need a British Bill of Rights that enshrines our ancient liberties.
ParlaMint-GB_2016-09-06-commons.u26	Order. We now need to make progress as there are a lot of questions. Progress thus far has been slow, so we can be speeded up by Mr John Mann.
ParlaMint-GB_2016-09-06-commons.u27	2. What assessment she has made of her Department’s contribution to tackling online hate crime.
ParlaMint-GB_2016-09-06-commons.u28	Hate crime is abhorrent and has no place in society. The Government published their plan to tackle hate crime, “Action Against Hate”, in July 2016. This Government believe that the enforcement of criminal legislation has an important role in tackling online hate. We also need deterrence and prevention, which require a broader response, from counter-narrative activity through to effective management from the internet industry.
ParlaMint-GB_2016-09-06-commons.u29	The last time I asked the Secretary of State a question in here, she invited me to join her on a delegation to China. May I reciprocate and invite her and her Front-Bench colleagues to come to Bassetlaw day in the Jubilee Room, hosted by me and the hon. Member for Newark (Robert Jenrick) True Vision, the internet reporting organisation based in the Secretary of State’s offices, is the pride and joy of her Department and the envy of every other Government in the world. Is she going to allow it to disappear into some other Department, or is she going to keep it in her Department?
ParlaMint-GB_2016-09-06-commons.u30	I thank the hon. Gentleman for his characteristically delivered question. The Secretary of State has, I gather, recently written to him on this matter. The cross-Government hate crime programme is highly regarded by this Government and internationally. I am committed to ensuring that that important work continues.
ParlaMint-GB_2016-09-06-commons.u31	I welcome my hon. Friend to his post. The Government were right to make posting revenge porn online a crime. Figures released today show that there have been 200 prosecutions for revenge pornography, yet more than 1,000 cases have been reported to the police. Does the Minister agree that, as with other sex-related crimes, anonymity for victims perhaps needs to be carefully considered in cases of revenge pornography?
ParlaMint-GB_2016-09-06-commons.u32	I thank my right hon. Friend for her question and, indeed, for the work that she and her Select Committee do in this area. Revenge porn is a terrible abuse of trust that can leave victims feeling humiliated and degraded. By making it a specific offence carrying a maximum sentence of two years behind bars, we have sent a clear message that this crime will not be tolerated. On anonymity, I am interested in what she says; if she would like to write to me about that issue, I will consider it.
ParlaMint-GB_2016-09-06-commons.u33	I welcome the Minister to his post. Has he seen this morning’s comments by the Director of Public Prosecutions that social media is one of the driving forces behind the record high in recorded violent crimes against women and girls? I welcome what the Minister has said about the need for a broader response, so what does he plan to do to safeguard the many specialist services that exist to support women who are suffering online harassment and abuse, many of which are suffering funding cuts?
ParlaMint-GB_2016-09-06-commons.u34	As I have already said, this crime is deplorable. I suspect that it has always happened and that social media has facilitated it, and that we are now detecting more crime of this kind. I am determined to maintain services that support women and, indeed, men who are subjected to the crime, and I will continue to keep a close eye on that.
ParlaMint-GB_2016-09-06-commons.u35	What action are the Government taking to combat online anti-Semitic hate crime emanating from extremist groups on campus?
ParlaMint-GB_2016-09-06-commons.u36	Online anti-Semitic crime, like revenge porn, is an appalling crime that is more easily committed through use of the internet and anonymity. With specific regard to anti-Semitism, the Government, thanks mainly to the fantastic work done by the hon. Member for Bassetlaw (John Mann) and his all-party group, have made significant advances. I will consider my right hon. Friend’s comments on anti-Semitic crime, particularly on campus.
ParlaMint-GB_2016-09-06-commons.u37	3. What recent assessment she has made of safety in prisons.
ParlaMint-GB_2016-09-06-commons.u38	In the last year, assaults have risen by 31% and those on prison staff have risen by 40%. That is totally unacceptable and I am determined to tackle it. Reforming prisons will be possible only if they are made safer places for staff and offenders alike.
ParlaMint-GB_2016-09-06-commons.u39	As the Secretary of State’s response makes clear, prison safety continues to deteriorate. That significant problem puts both prisoners and staff at risk, but a major issue that must be tackled is the retention of staff. Will she set out exactly what she will do to make that a priority and how she will succeed where her predecessors have failed?
ParlaMint-GB_2016-09-06-commons.u40	I absolutely agree that the retention of staff is a very important issue. I have been to a number of prisons and seen how brave, fearless and hard-working our prison officers are. They are vital in turning around offenders and getting them the education and skills they need to succeed outside. I am determined to support and work with them, and over the coming months I will lay out more detailed plans.
ParlaMint-GB_2016-09-06-commons.u41	May I warmly welcome the Secretary of State and her team to their posts? Lawyers do sometimes have their uses, and so do non-lawyers. Her predecessor made prison reform a centrepiece of the agenda and rightly described the deterioration of safety in prisons as terrible. The figures have now got worse. He committed to an action plan to tackle violence in our prisons. Will the Secretary of State reaffirm that, and what specific steps will be taken to deal with what is a ticking time bomb in our criminal justice system, because nothing else has worked?
ParlaMint-GB_2016-09-06-commons.u42	May I say how pleased I am to have been able to meet the Chairman of the Justice Committee? I take the advice of all my lawyers, but particularly that of the Chairman of the Select Committee, extremely seriously This is a critical issue that faces our prisons. We cannot have reform in our prisons if we do not have safe prisons for people to work in. Those two things go hand in hand. I am committed to an agenda of making our prisons safe and places of reform. I will be laying out my plans very shortly on this issue, and I look forward to discussing it more with the Select Committee tomorrow.
ParlaMint-GB_2016-09-06-commons.u43	Will the Secretary of State look again at statements that were made by her Department recently about the number of prison officers? The Department claims that the number has increased, but it has not. Will she look at the matter again? I believe that she did not take into account staff being regraded or the number of hours that they actually work when she examined the number of officers in the system.
ParlaMint-GB_2016-09-06-commons.u44	I will, of course, look at those numbers in detail. In fact, I am looking at them at the moment. As well as the number of staff, it is important to consider how staff are deployed and trained, and the powers that governors have to get the best out of staff working in prisons. I am looking at all those aspects, but I agree that staff are absolutely crucial to make our prisons work well.
ParlaMint-GB_2016-09-06-commons.u45	One of the causes of a lack of safety in prisons has been novel psychoactive substances. Does the Secretary of State agree that the ban on the possession of those substances in prisons should really improve the safety of other prisoners and prison officers, if it is properly enforced?
ParlaMint-GB_2016-09-06-commons.u46	My hon. Friend is absolutely right that NPS have been a major issue in our prisons. When I visited HMP Norwich last week, I was pleased to see that it was using the new legislation to tackle that issue in the prison, to search people and to catch them out. HMP Norwich has succeeded in reducing the usage of such drugs already. I would like to see that type of programme happening more across our prison estate.
ParlaMint-GB_2016-09-06-commons.u47	4. What steps her Department is taking to improve safety for prisoners and prison staff.
ParlaMint-GB_2016-09-06-commons.u48	Minister at the Dispatch Box.
ParlaMint-GB_2016-09-06-commons.u49	Forgive me, Mr Speaker; I think that the summer recess has taken its toll on my memory of parliamentary procedure I am determined to ensure that our prisons are places of safety and reform. We need to help offenders to get off drugs, improve their education and get the work skills they need so they are less likely to reoffend when they come out.
ParlaMint-GB_2016-09-06-commons.u50	I thank the Secretary of State for concentrating. Does she see a connection between the long-term decline in prison officer numbers—they went down 30% between 2010 and 2013, and they are going down again—and this massive increase in assaults on staff, which went up 90% over the last Parliament?
ParlaMint-GB_2016-09-06-commons.u51	There are many factors driving prison violence and self-harm. I am looking at the evidence about what will work and what steps we can take, but I am determined to tackle this. I am very clear that the current levels of violence are unacceptable.
ParlaMint-GB_2016-09-06-commons.u52	May I also warmly congratulate the Secretary of State and the new ministerial team on their appointments? Of course we need more prison officers in prisons, but may I urge the Secretary of State and her Ministers to consider the greater use of prisoners as mentors? Wandsworth is leading the way, with 50 mentors providing teaching and education, but that could also be used in employment, for therapeutic purposes and to cut down the use of drugs.
ParlaMint-GB_2016-09-06-commons.u53	As a Prisons Minister, my hon. Friend did tremendous work in this area; we are very much learning from the work that he carried out in the Department. He makes an important point, and I think we need to look at the overall culture in some of our best prisons. We have exemplary work going on, such as mentoring, and we need to make sure that that is happening right across our prison estate.
ParlaMint-GB_2016-09-06-commons.u54	The Secretary of State may be aware that the head of the prison service in Northern Ireland recently stood down. Attacks on prison staff are on the rise. Will the Secretary of State ensure that her Department engages actively with the Department of Justice in Northern Ireland to see what lessons can be learned and to try to improve safety in prisons in Northern Ireland?
ParlaMint-GB_2016-09-06-commons.u55	I have been in touch with the Justice Minister in Northern Ireland, and I look forward to talking to her in due course.
ParlaMint-GB_2016-09-06-commons.u56	May I, too, congratulate the Secretary of State on her appointment? Is not a large part of the problem the fact that we have so many Victorian prisons? Does she have any plans for a prison rebuilding scheme?
ParlaMint-GB_2016-09-06-commons.u57	My hon. Friend is absolutely right. We have a big issue with prisons that are out of date and not fit for purpose, which makes it more difficult for our excellent governors and officers to manage them well. I am pleased to say that this summer we were able to close Holloway prison. We have a £1.3 billion building programme. I want new modern prisons to be built in which prisoners will get the education and work they need to succeed in outside life, and to close down some of our most dilapidated and out-of-date prisons.
ParlaMint-GB_2016-09-06-commons.u58	5. What her Department’s strategy is for supporting victims of crime.
ParlaMint-GB_2016-09-06-commons.u59	It is crucial that victims of crime are supported as effectively as possible. The victims code was revised in 2015. Victims of all criminal offences are now entitled to support from a wide range of organisations, as well as from criminal justice agencies. The reforms we are making to our courts will significantly improve services for victims and their families—for example, to enable them to give evidence remotely and digitally.
ParlaMint-GB_2016-09-06-commons.u60	More than 23,000 individual crimes have been reported in Enfield during the past 12 months. For far too long, the victims of these crimes have been forgotten and ignored by the criminal justice system. Given that the Victims’ Commissioner supports the introduction of a law for victims of crime, when will the Government fulfil their election manifesto commitment to bring forward legislation on this issue?
ParlaMint-GB_2016-09-06-commons.u61	We want to make sure that all vulnerable and intimidated witnesses can give their best evidence in court and feel less anxious. We are committed to making sure that victims of crime get the support they need. We have protected the overall level of funding for victims across the spending review period, and we announced funding of more than £95 million in 2016-17 to fund critical support services. We will bring forward our legislation, as promised, in due course.
