ParlaMint-GB_2016-10-17-commons.u1	1. What steps his Department is taking to help disabled people to access Government support.
ParlaMint-GB_2016-10-17-commons.u2	On the day that the country is celebrating our Paralympic athletes, I am sure the whole House will want to join me in thanking them for a summer of thrilling and inspirational sport It is right that we continually review the way support is offered to and accessed by disabled people. That is why I was pleased to announce an end to stressful and bureaucratic employment and support allowance reassessments for people with the most severe lifetime conditions. We are also transforming the way disabled people access support through our new digital Access to Work platform and providing help to budding disabled entrepreneurs to set up their own business.
ParlaMint-GB_2016-10-17-commons.u3	I am holding a round-table event on 31 October for those with disabilities, parents and employers, to try to remove the barriers to employment. Does the Secretary of State agree that for some the barriers are simply too high? Will he welcome the positive response from Disability Rights UK to his recent announcement that those with long-term and severe disabilities will not have to undergo regular repeat assessments of their condition?
ParlaMint-GB_2016-10-17-commons.u4	I congratulate my hon. Friend on the round table. He is right that there are too many barriers to work for disabled people, and this Government are determined to do everything possible to break down those barriers. Like him, I was pleased that a number of disability groups welcomed the announcement that I made on 1 October. I was particularly pleased to see the chief executive of the MS Society, Michelle Mitchell, say that it was a victory for common sense. She went on to say: “We are therefore delighted that the Government has listened to our concerns and have agreed to stop reassessments” I am pleased that the sector was so pleased with the announcement.
ParlaMint-GB_2016-10-17-commons.u5	I, too, welcome the Secretary of State’s announcement. Which conditions will the exemption cover, and when does he expect the change to be introduced?
ParlaMint-GB_2016-10-17-commons.u6	It is not so much the conditions as the individuals. We apply the exemption on an individual basis, as there are clearly conditions where at some stages people will be able to work and at other stages they will not be able to work, so the exemption covers conditions that can only deteriorate as well as conditions that may stay the same. On timing, we will be consulting on a wide range of measures in the work and health Green Paper, which my predecessor promised would be with us by the end of the year, and I am happy to repeat that promise today.
ParlaMint-GB_2016-10-17-commons.u7	I, too, welcome the announcement that people with severe lifelong conditions will no longer face repeated work capability assessments. My right hon. Friend has clearly recognised how stressful people find these assessments. Although mental health conditions can follow an unpredictable path, will he consider taking steps to reduce the stress and trauma experienced by people with long-term mental health conditions undergoing work capability assessments?
ParlaMint-GB_2016-10-17-commons.u8	I am happy to try to reassure my hon. Friend about that because she is right. One of the things that has improved in the diagnosis field has been the number of people who have been correctly diagnosed with mental health conditions in recent years, and clearly this is a group who in some cases have particular difficulties in getting back to work. The stress and strain of constant reassessment may well contribute to that, so we are always looking at ways of improving the assessment that we do to make sure that they achieve what they are meant to achieve and do not just act as an increaser of strain on people.
ParlaMint-GB_2016-10-17-commons.u9	Constituents who have been refused employment and support allowance tell me that they are experiencing barriers being put in their way when they apply for mandatory reconsideration of the decision. They tell me that they are being told to put the application in writing and to give reasons in advance, and then if the request is rejected they are not given reasons for the refusal. Will the Secretary of State take a look at this situation because it does seem that there is a deliberate attempt on the part of at least some officials to thwart people in having their cases reconsidered?
ParlaMint-GB_2016-10-17-commons.u10	I am not at all aware of officials actively acting to thwart mandatory reconsideration. As the hon. Lady will know, the Social Security Advisory Committee supported the mandatory reconsideration, but there are a number of recommendations on the table that we are looking at and that will improve the process. With all these processes, there is a need for continuous improvement, and that is what we will seek to do.
ParlaMint-GB_2016-10-17-commons.u11	My right hon. Friend’s announcement will be particularly welcome to a constituent of mine who is a long-term mental illness sufferer. He has been sectioned four times and is still required to have the work capability assessment. I very much hope that the process to which my right hon. Friend referred will be a quick one and that people such as my constituent will soon be able to benefit from this announcement.
ParlaMint-GB_2016-10-17-commons.u12	Yes, I quite take the point my hon. Friend has made—certainly as he describes the constituency case he has taken up. Someone like that should not be reassessed while we are establishing the details of the appropriate guidance so that the new system can be put into effect.
ParlaMint-GB_2016-10-17-commons.u13	I am glad the Government have said they are going to end the needless and distressing practice of reassessing work capability people with lifelong, progressive and incurable conditions. I hope the Secretary of State now accepts that his predecessors got this very badly wrong over recent years. Will he now take steps to overhaul the work capability assessment to ensure that all ESA claimants, including those with invisible and fluctuating conditions, are treated with dignity and respect?
ParlaMint-GB_2016-10-17-commons.u14	I am grateful for the support for my announcement from those Benches, even though I sense it came through slightly gritted teeth. As I have said to previous questioners, we are constantly looking at ways of improving the work capability assessment, and of course that work will carry on.
