ParlaMint-GB_2016-10-18-commons.u1	1. What recent assessment he has made of the political and security situation in Kashmir.
ParlaMint-GB_2016-10-18-commons.u2	12. What recent diplomatic steps the Government have taken to support resolution of the conflict in Kashmir.
ParlaMint-GB_2016-10-18-commons.u3	I know that my hon. Friend the Member for Colne Valley (Jason McCartney) cares deeply about Kashmir and has visited the region. I am concerned by recent events in Kashmir. I have in recent weeks met representatives from the Governments of both India and Pakistan and urged calm and restraint on both sides. I will continue to do so.
ParlaMint-GB_2016-10-18-commons.u4	Has the Minister seen the reports of hundreds of Kashmiri protesters suffering eye injuries because of the indiscriminate use of pellet guns, and will he please speak out against it?
ParlaMint-GB_2016-10-18-commons.u5	My hon. Friend makes an important point. I am of course concerned by those reports. He may also know that the use of pellet guns in Kashmir has come under review by the Government of India. The results of that review have not yet been shared publicly, but it has been indicated that alternative methods of crowd control will be introduced.
ParlaMint-GB_2016-10-18-commons.u6	The tragic recent history of Kashmir arose from the partition of India, which was managed by Britain after world war two. Does not Britain therefore have a special responsibility to help to find a solution to Kashmir’s troubles and the suffering of the Kashmiri people?
ParlaMint-GB_2016-10-18-commons.u7	The UK of course has very good relations with both India and Pakistan, but our long-standing position, held by successive Governments of all hues, is that it is for India and Pakistan to find a lasting resolution to the situation, taking into account the wishes of the Kashmiri people. It is not for the UK to prescribe a solution or act as mediator.
ParlaMint-GB_2016-10-18-commons.u8	There are no winners in Kashmir. The recent clashes have impacted on thousands of people and the economy is struggling, with over £1 million or 10,000 crore being lost in 100 days. A military solution is not working. I urge the Minister to encourage a political solution that involves not only India and Pakistan, but the Kashmiris themselves.
ParlaMint-GB_2016-10-18-commons.u9	We should of course do all we can to promote trade and prosperity in the region, and that of course follows stability.
ParlaMint-GB_2016-10-18-commons.u10	As has been stated, in Kashmir we have seen more than 100 civilians killed, hundreds blinded and over 13,000 injured through the indiscriminate use of pellet guns against protesters. Will the Minister today condemn this shocking abuse of human rights? Does he not believe that we, as a permanent member of the UN Security Council, have a responsibility to support and uphold UN resolution 47 and allow the sons and daughters of Kashmir their birth right to self-determination?
ParlaMint-GB_2016-10-18-commons.u11	As I have noted, I am of course concerned by reports of the use of pellet guns, and of course any allegations of human rights abuses should be investigated thoroughly, promptly and transparently.
ParlaMint-GB_2016-10-18-commons.u12	Will the Minister speak to officials at No. 10 and urge the Prime Minister to raise this issue during her forthcoming visit to India?
ParlaMint-GB_2016-10-18-commons.u13	The UK of course shares a long-standing and deep friendship with India, and I am delighted that the Prime Minister has announced that she will visit India in November. The visit will be an important opportunity to discuss the full range of bilateral issues with Prime Minister Modi.
ParlaMint-GB_2016-10-18-commons.u14	The previous Foreign Secretary said in March that the question of Kashmir should be a precondition for the resumption of talks between India and Pakistan. Since then, Kashmir has seen more than 100 days of unrest and the exchange of artillery fire between Pakistan and India. What specifically is the Foreign Secretary doing to bring about an end to the violence and to assist in the resumption of talks?
ParlaMint-GB_2016-10-18-commons.u15	As I have said, of course we have very good relations with both India and Pakistan, including strong diaspora links. They are two proud nations. We encourage both countries to maintain good relations but, as I have noted, we recognise that the pace of progress is for both sides to determine.
ParlaMint-GB_2016-10-18-commons.u16	With both India and Pakistan facing immense issues in their own countries to sort out, one would have thought that there would be an appetite to resolve this issue. Why does the Minister think that actually that appetite does not seem to exist in either country?
ParlaMint-GB_2016-10-18-commons.u17	This is of course a very important matter, and we raise these issues with both Governments. Ultimately, however, it is for both sides to progress the issue and determine the outcome.
ParlaMint-GB_2016-10-18-commons.u18	On behalf of the Opposition, I associate myself with the Minister’s remarks. The recent upsurge in violent clashes and terrorist attacks in Kashmir is deeply disturbing. We urge all sides to engage in dialogue, halt the cycle of violence and keep innocent civilians from harm. We have heard today about the use of pellet guns against protesters in Kashmir, which is totally unacceptable. Will the Minister and the Secretary of State urge the Indian authorities to make good on their commitment to stop the use of those weapons?
ParlaMint-GB_2016-10-18-commons.u19	As I have noted on a number of occasions, the use of pellet guns in Kashmir has come under review by the Government of India, and our understanding is that alternative methods of crowd control will be introduced.
ParlaMint-GB_2016-10-18-commons.u20	2. What recent assessment he has made of the UK’s relations with the Russian Federation.
ParlaMint-GB_2016-10-18-commons.u21	Of course it is right that the UK and the Russian Federation should continue to co-operate and to engage in all the areas where we have common interests, but in view of the ruthless and brutal behaviour of the Russians in Ukraine and in Syria, I hope the House will agree that it is right that the UK should be in the lead in keeping the pressure on sanctions, and it cannot be business as usual with Russia.
ParlaMint-GB_2016-10-18-commons.u22	I agree. Putin’s behaviour has been despicable: murdering his own opponents—assassinating political opponents such as Boris Nemtsov—as well as the invasion of Georgia and Crimea, and now the despicable behaviour in Syria, where he tries to draw a moral equivalence between British and American bombing of military installations run by Daesh and Russia’s and Assad’s bombing of innocent civilians in hospitals in Aleppo. This is immoral. I am not sure that demonstrations outside the Russian embassy will make any odds, but what might make a difference is if we stopped Putin’s cronies coming to London. Why on earth do we still allow those who were involved in the murder of Sergei Magnitsky to come to this country? Will the Foreign Secretary go and demonstrate against the Home Secretary to make sure she changes the rules?
