ParlaMint-GB_2016-11-15-commons.u1	1. What plans he has to prevent excess deaths in the winter of 2016-17.
ParlaMint-GB_2016-11-15-commons.u2	Last week, NHS England and Public Health England launched the Stay Well This Winter campaign, which last year reached 98% of the over 65s. This year, for the first time, children in year 3 will be offered free flu vaccine, which means that an additional 600,000 children will be protected this winter, making this the largest children’s flu vaccination programme to date. The Government also provide practical support for those most at risk, including winter fuel payments and the warm home discount scheme. We are also working with the NHS and local authorities to implement our cold weather plan, which is poised to respond to pressures on vital health and social care services this winter.
ParlaMint-GB_2016-11-15-commons.u3	It is a national disgrace that so many people die needlessly in this country as a result of the cold each year—43,900 people died over the winter of 2014-15. When will somebody in Government accept some responsibility, show some leadership and act decisively to reduce the appalling number of people who die each winter as a result of the cold?
ParlaMint-GB_2016-11-15-commons.u4	I congratulate the hon. Gentleman on the interest that he takes in this subject. I know that he has a petition currently running in his local area. We do take very seriously the additional pressures placed on the NHS primarily by the winter weather but also by disease prevalence, particularly flu. We started winter planning for this coming winter early in the summer. We have regular updates, which I run, and I report to the Secretary of State on how those plans are going. I can assure him that we are taking as many steps as we can to ensure that we are on top of this issue this winter.
ParlaMint-GB_2016-11-15-commons.u5	As part of the plans to reduce and prevent deaths during the winter, what changes have been made with regard to the winter fuel payments for those eligible residents living in the Mediterranean?
ParlaMint-GB_2016-11-15-commons.u6	My right hon. Friend refers to the changes that we introduced under this Government with effect from last year, 2015-16, to reduce the eligibility for those British citizens living in warmer climates around the Mediterranean, which I know caused him considerable concern. I am pleased to be able to tell him that the change in policy last year reduced the amount paid under the winter fuel payments by 70% compared with the previous year to those people living in the European economic area.
ParlaMint-GB_2016-11-15-commons.u7	One way of preventing excess winter deaths would be to ensure that people can go to their local pharmacy for advice, essential medicines and flu vaccines. Plans to cut pharmacy budgets will hit Dudley hard, with just 1%—one out of Dudley’s 100 pharmacies—getting extra support, compared with 40% in places such as Chesham and Hampshire. Of the thousands of local residents who completed my survey, 97% said that they opposed these cuts. Why will the Minister not listen to the people of Dudley and sort this out?
ParlaMint-GB_2016-11-15-commons.u8	I wonder whether the hon. Gentleman included in his survey the fact that the reduction in the establishment payment to each pharmacy will be of the order of £200 a week from 1 December, and £400 a week from 1 April. How many of those pharmacies in Dudley will not be able to sustain that reduction in Government subsidy? We use community pharmacies to undertake flu vaccinations for which they will be paid.
ParlaMint-GB_2016-11-15-commons.u9	What can be done to reduce the effect of winter pressures on the bed state of our acute hospitals and thus reduce the awful phenomenon of bed blocking this winter?
ParlaMint-GB_2016-11-15-commons.u10	As my hon. Friend knows, we are taking steps, in particular through the sustainable transformation plans, to increase the integration of social care and the health sector. For this winter, we are working hard on delayed transfers of care, to try to ensure that there is more rapid patient flow through our hospitals. That involves closer integration with social care professionals to encourage quicker discharges from the hospitals.
ParlaMint-GB_2016-11-15-commons.u11	One way of making sure that people do not die in the winter or at any other time is for this Government to concentrate on keeping hospitals open, thereby saving the beds. In that context, why does the Secretary of State refuse to answer the question why hospitals such as Bolsover and another half a dozen in Derbyshire are secretly being closed and Ministers are doing nothing about it?
ParlaMint-GB_2016-11-15-commons.u12	The question is about flu vaccinations and I strongly encourage the hon. Gentleman to join me in having a flu vaccination, as I believe he is one of the eligible individuals. In relation to Derbyshire, the local health services there are working together to identify the best pattern of provision for a sustainable health service for the future.
ParlaMint-GB_2016-11-15-commons.u13	The question was about the prevention of excess deaths, so the hon. Member for Bolsover (Mr Skinner) was entirely in order in his interpretation of the question. It was not about flu vaccinations, and nobody should mislead the House, however inadvertently.
ParlaMint-GB_2016-11-15-commons.u14	Kettering general hospital would be better able to deal with winter pressures were it given permission to develop its urgent care hub. The hospital tells me that its application has been with NHS Improvement for nine months now. Will the Minister prod NHS Improvement to get a move on in approving this application?
ParlaMint-GB_2016-11-15-commons.u15	My hon. Friend held an Adjournment debate recently which I was pleased to respond to. We discussed the status of Kettering general hospital and the foundation trust that runs it. He is correct that it is discussing with NHS Improvement the development of a business case for an urgent care hub, and this is being considered in the context of the wider sustainability and transformation plan. Mr Speaker, I accept your admonishment in respect of my answer to the previous question. Of course, one of the primary solutions to winter excess deaths is the flu vaccination programme.
ParlaMint-GB_2016-11-15-commons.u16	Or even admonition.
ParlaMint-GB_2016-11-15-commons.u17	2. What progress has been made on turning around hospitals in special measures.
ParlaMint-GB_2016-11-15-commons.u18	In the past four years, 31 trusts have been put into special measures, more than one in 10 of all NHS trusts. Of those, 15 have now come out and I particularly congratulate the staff of Sherwood Forest, Wye Valley, and Norfolk and Suffolk trusts which have come out of special measures in the past month.
ParlaMint-GB_2016-11-15-commons.u19	Does the Secretary of State agree that the sustainability and transformation plan for Norfolk and Waveney is a vital part of the Queen Elizabeth hospital’s future as it successfully moves out of special measures? Although there is overwhelming support for integrating health and social care, will he confirm that there will be full consultation with different patient groups on the STP?
ParlaMint-GB_2016-11-15-commons.u20	I can absolutely give that assurance. Through my hon. Friend I congratulate the staff of King’s Lynn hospital who have turned things around there. It was a great privilege for me to visit it and see the work that they have done. My hon. Friend is right—the next step is to integrate the work done in acute hospitals with what happens in the community and the social care system. That is why the open and transparent STP process is so important.
ParlaMint-GB_2016-11-15-commons.u21	I do listen carefully to the Health Secretary and sometimes I end up wondering what planet he is living on. There are as many trusts in special measures now as there are trusts that have come out of special measures. Just because different people in different places are experiencing poor care does not make the overall picture any better. When will the right hon. Gentleman accept that the overall amount of resource going into the system is simply inadequate if he wishes to provide high quality, timely care for all?
ParlaMint-GB_2016-11-15-commons.u22	Let me tell the hon. Lady that what is different now is that we have a special measures regime. When Labour was in power, the problems were swept under the carpet and not dealt with. Now they are being dealt with because we want every NHS patient to have confidence that we will not have another Mid Staffs. That is why we are making very good progress. With respect to funding, may I respectfully tell her that had we followed her party’s spending plans, the NHS would have £1.3 billion less this year?
ParlaMint-GB_2016-11-15-commons.u23	The Secretary of State will know that with depressing regularity the same hospitals come up on that list that he has just referred to. Sustainability and transformation plans provide the opportunity to address some of the unsustainable elements of local health economies, but only, as my hon. Friend the Member for Lewisham East (Heidi Alexander) says, if the money is there. With the health service facing its tightest financial settlement in its history, these plans are just not deliverable.
ParlaMint-GB_2016-11-15-commons.u24	The right hon. Gentleman understands health extremely well, both from his ministerial position and from being on the Select Committee. If he looks at the hospitals going into special measures, he will see that we are beginning to succeed in moving hospitals out of special measures, but because we have an independent inspection regime, sometimes other ones go in. That is how it should be. That is what works very well in the education sector and is beginning to work well in driving up standards in health care as well To go back to my answer to the hon. Member for Lewisham East (Heidi Alexander), £1.3 billion more in the NHS this year compared with what would have been put into the NHS if Labour had won the last election means 30,000 nurses, 13,000 doctors or 200,000 hip replacements that we are able to do because of this Government’s funding of the NHS.
ParlaMint-GB_2016-11-15-commons.u25	3. How much his Department spent on healthcare as a proportion of GDP in (a) 2009-10 and (b) 2015-16; and what estimate he has made of the amount that will be spent on healthcare as a proportion of GDP in 2020-21.
ParlaMint-GB_2016-11-15-commons.u26	Because of the 2008 financial crisis, all political parties committed to reducing the proportion of GDP spent on health in 2010, but because this Government chose to protect the NHS, the proportion fell from 6.4% to 6.2%, a drop of just 0.2% of GDP.
