ParlaMint-GB_2016-12-08-lords.u1	To ask Her Majesty’s Government what are their plans for investment in the East Coast Main Line.
ParlaMint-GB_2016-12-08-lords.u2	My Lords, the Government are investing in the east coast main line. The east coast connectivity fund, totalling £247 million over control periods 5 and 6, is delivering projects that specifically increase capacity and reduce journey times through better segregation of freight and passenger services.
ParlaMint-GB_2016-12-08-lords.u3	My Lords, despite that level of investment, in the ORR’s league table Virgin Trains East Coast lies at 19th out of 20 among the train operating companies. Problems are undoubtedly exacerbated by the fragile state of the overhead lines, but the Government have delayed and reduced the amount of money to be invested in improving the situation on the line. Can the Minister assure us that, following this week’s announcement by the Secretary of State, there might be some improvement and more realistic funding for the line?
ParlaMint-GB_2016-12-08-lords.u4	As I have already outlined, there is funding, and ensuring the prioritisation of the funding was part of the Hendy review. As I am sure the noble Baroness is also aware, customer experience—she has rightly alluded to the importance of what customers feel about the line—will be enhanced through the introduction of new rolling stock across the routes. There is a big investment in IEPs, as I am sure she is aware, while the east coast route study, which will detail the longer-term investment options from 2019, is currently in development by Network Rail.
ParlaMint-GB_2016-12-08-lords.u5	My Lords, I ask for an assurance from the Minister that, in the light of what the Secretary of State had to say yesterday, investment will still take place on the east coast main line, even if there are some Labour mayors on the line of route. What steps are the Government taking to ensure that the necessary industry capability is there to deliver investment in the east coast main line, given the dismal performance on the Great Western electrification?
ParlaMint-GB_2016-12-08-lords.u6	As the noble Lord knows, this is a line that runs from London, through Leeds and York, all the way to Edinburgh. It is important that, irrespective of what political affiliation may be held by people along the line, we work in a collaborative way to ensure improved services. I can reassure him about the continued investment in this line. I shall run through some of the programmes: the Northallerton to Newcastle loops in 2019; the York north throat in 2020; and the Peterborough to Fletton Junction down slow extension in 2019. I also believe a new station is opening, or at least a new station platform, which will allow fast-running trains to run through more quickly on what is a heavily used line with many shared services.
ParlaMint-GB_2016-12-08-lords.u7	My Lords, my noble friend’s recital of what is due is comforting to a degree, but can he assure me that there will be no back-tracking on the Lincoln improvements? We have only one direct train a day to London and only one back, so it is impossible for people in London to have a day in Lincoln, whereas in almost every one of the other great cities within reach of the capital they can do precisely that.
ParlaMint-GB_2016-12-08-lords.u8	My noble friend is always a strong advocate for Lincoln, and I assure him that we will excuse him the unintended pun of “back-tracking”. Let me also assure him that services will continue to expand. Indeed, as he may be aware, VTEC—Virgin Trains—will also be running additional services from 2019 on the link to Lincoln.
ParlaMint-GB_2016-12-08-lords.u9	Will the Minister confirm that the eastern arm of HS2 phase 2, when it is complete, is designed to take most of the capacity from the east coast main line? Can he tell us whether the rest of the line will be downgraded to a kind of regional line, maybe with lots more freight on it?
ParlaMint-GB_2016-12-08-lords.u10	We have a range of specialist interests and, somewhat expectedly, the noble Lord rightly raises the important issue of freight. The strategic freight network has spent about £4 million particularly on the southern section of the east coast main line, but he is quite right that the HS2 line, once it is up and running, will free up extra capacity for both passenger services and, importantly, for freight services as well.
ParlaMint-GB_2016-12-08-lords.u11	My Lords, the east coast main line has fewer diversionary routes than other main lines, and is mostly worked by electric trains, which cannot be diverted. Failure of the overhead line equipment is a regular cause of delays, so will the Minister tell the House what plans there are to modernise this?
