ParlaMint-GB_2016-12-09-lords.u1	That the House do now resolve itself into Committee.
ParlaMint-GB_2016-12-09-lords.u2	My Lords—
ParlaMint-GB_2016-12-09-lords.u3	Order!
ParlaMint-GB_2016-12-09-lords.u4	I had intended to speak to the Motion that the House do now resolve itself into Committee, but if your Lordships wish otherwise I will not do so.
ParlaMint-GB_2016-12-09-lords.u5	It is in order.
ParlaMint-GB_2016-12-09-lords.u6	As your Lordships will be aware, my noble friend Lord Caithness and I have a number of amendments to the Bill, which we have in mind to move in a little while. I certainly have no intention of opposing the Motion that Committee stage do now commence, but I should explain—I have been asked to do so—that I and, I believe, my noble friend Lord Caithness, but he will speak for himself, do not oppose the principles of House of Lords reform—
ParlaMint-GB_2016-12-09-lords.u7	Order!
ParlaMint-GB_2016-12-09-lords.u8	You can say that later.
ParlaMint-GB_2016-12-09-lords.u9	It would appear I do not have the overwhelming approval of your Lordships. I will keep my remarks for later.
ParlaMint-GB_2016-12-09-lords.u10	My Lords, Amendment 1 appears on the Marshalled List in my name and that of my noble friend Lord Caithness. The reason why my noble friend and I, particularly myself—again, I must not speak for him—have such strong views on the Bill relates to what happened in 1999. At that time the House of Lords Bill, as it then was, came to your Lordships. It had no provision for hereditary Peers’ by-elections or temporary membership at all. It just removed the hereditary Peers in one fell swoop. After a lot of discussion, it was agreed there would be a remaining number of hereditary Peers and they would remain by virtue of the by-elections, which are now the subject of the Bill. To secure that, we had to make it clear that we would have had grave difficulty with the Bill had it not had those changes made to it The terms on which those changes were made were confirmed by the then noble and learned Lord the Lord Chancellor to be “binding in honour” on those who gave their assent to them until such time as House of Lords reform is complete. That was the undertaking given at that time. I agree with those undertakings. When the House of Lords Reform Bill came before Parliament three or four years ago for a largely elected House, I was not opposed to it and would not have sought to object to it, at least not in principle. That is not what happened. That Bill foundered in the other place, as your Lordships will recall. That is why we are very much not in favour of this Bill—in fact, we are wholly opposed to it—because it is piecemeal reform, to which we profoundly disagree The number of hereditary Peers was set at 92 back in 1999. It has remained 92 ever since. Since then, the number of life Peers has increased beyond all recognition, but that is another matter. In the meantime, I beg to move the amendment standing in my name on the Order Paper.
ParlaMint-GB_2016-12-09-lords.u11	My Lords, last Friday we had a debate introduced by the most reverend Primate the Archbishop of Canterbury that saw this House at its best. On Monday we had a debate on aspects of the future of your Lordships’ House that again saw this House at its best. There is a real danger that this House is going to look absurd today We have some 60 amendments. Those who decided to put them down have clearly not agreed to their being grouped. That means we will have debate after debate. And to what purpose? At the end of the Second Reading on 9 September, my noble friend Lady Chisholm of Owlpen made it abundantly plain that this was not a Bill that the Government could support. I personally regretted that. I know the noble Lord, Lord Grocott, regretted it deeply. After all, he was not seeking to remove anyone from your Lordships’ House. He sought to bring to an end a system of by-elections, where we had, just prior to that, had the ludicrous spectacle of three electors choosing from seven candidates—something that could hardly reflect great credit on your Lordships’ House This is not an attack on hereditary Peers, many of whom have given staunch and sterling service to your Lordships’ House. Among the Ministers on the Front Bench at the moment—not at this precise moment, although we have one of them—are a number of hereditary Peers who give public service of the highest quality and excellence. Indeed, my noble friend Lord Trefgarne himself has been a distinguished Minister and is at the moment chairman of an important committee. He surely cannot wish this House to look ridiculous There is a case for saying that what was agreed in 1999 should remain. I accept that it is a strong case. I believe that there are things that could be done to make it less absurd. For instance, if a retiring or deceased Peer had been an officer of the House, everyone could have a vote. We could turn the House into an electoral college or, more sensibly perhaps, all the Members of the various groups, be they Cross Bench, Labour, Liberal Democrat or Conservative, could vote for vacancies. At least then you would have a three-figure electorate. To approach it in the way being suggested this morning can do nothing other than risk making this House look ridiculous. There is a real debate to be had and there are real points that can be made, but some of the amendments down today would certainly qualify for a parliamentary entry in Trivial Pursuit I do not intend to detain your Lordships long, but I urge the House to have a mind to its reputation. We are concerned about that. Those of us who believe passionately in the role of this House, as many of us tried to spell out on Monday of this week, do not wish to see our reputation trashed, least of all trashed from within. I hope that we can come to a reasonably speedy conclusion today.
