ParlaMint-GB_2016-12-15-commons.u1	1. What progress has been made on rolling out broadband to rural communities.
ParlaMint-GB_2016-12-15-commons.u2	10. What progress her Department has made on improving broadband speed in rural areas.
ParlaMint-GB_2016-12-15-commons.u3	Superfast broadband is now available to over 90% of homes and businesses in the UK—up from 45% in 2010—and is on track to reach 95% by the end of 2017. After that, we are bringing in a universal service obligation in the Digital Economy Bill.
ParlaMint-GB_2016-12-15-commons.u4	The Minister will be aware that rural communities such as those in North East Fife, and small businesses in particular, rely on broadband, and there are concerns that the current plans do not go far enough. Are there any plans to extend them further so that we can get faster speeds in rural communities?
ParlaMint-GB_2016-12-15-commons.u5	Yes. The plan to bring in a universal service obligation means just that: it is about making sure that superfast broadband is available to all. If the SNP joined us in the Lobby to support the Digital Economy Bill, which is currently passing through its remaining stages in the other place, we would be very grateful.
ParlaMint-GB_2016-12-15-commons.u6	Superfast broadband is available across much of Waveney, but not spots remain, particularly in rural areas. The roll-out of 5G could play an important role in plugging those gaps. I would be grateful if the Minister outlined his plans to fast-track this provision. Will he consider some pilots in the Waveney area?
ParlaMint-GB_2016-12-15-commons.u7	My hon. Friend is a ceaseless champion of better connectivity in Lowestoft and throughout Suffolk. Connectivity is improving: there is a licence obligation to cover 90% of the UK landmass by the end of next year. I am sure he will keep fighting for his constituents to make sure that they get a better signal. The £1 billion announced in the autumn statement will help to get us there.
ParlaMint-GB_2016-12-15-commons.u8	Access to broadband is an issue not just for rural areas, but for areas such as Dinnington village, which lies on the edge of my constituency, and for new-build housing areas such as Newcastle Great Park, where capacity simply cannot keep up with demand for this vital service. How will the Government speed up delivery to such areas?
ParlaMint-GB_2016-12-15-commons.u9	The hon. Lady asks a very good question. By 1 January—less than one month away—it will be a legal requirement to put superfast broadband into new housing developments. By the end of the programme that is under way, 98% of Newcastle, which includes her constituency, will be covered for access to superfast broadband. I am sure she would want to welcome that.
ParlaMint-GB_2016-12-15-commons.u10	Percentages do not mean much to people who do not have broadband, and we just do not have it in many parts of my constituency. This affects not only residents, but businesses, such as the caravan parks that people will not now come to unless there is broadband access. That is the problem.
ParlaMint-GB_2016-12-15-commons.u11	My hon. Friend is dead right that that is a problem. The universal service obligation is very important in making sure that everybody gets decent access to broadband. In the past few years, that has changed from a “nice to have” to an absolute “must have”, and we are delivering to make sure people have the connectivity they need.
ParlaMint-GB_2016-12-15-commons.u12	2. What steps she is taking to promote the British film industry.
ParlaMint-GB_2016-12-15-commons.u13	The UK film industry is a great success story, contributing more than £4 billion a year to the economy and supporting nearly 70,000 full-time jobs. Last year, the Government invested £340 million through film tax relief, and nearly £70 million in grant in aid and national lottery funding through the British Film Institute.
ParlaMint-GB_2016-12-15-commons.u14	Like many of our creative industries, the British film industry is a fabulous success story. What plans does the Secretary of State have to make sure that it will still be an industry to celebrate post-Brexit, and will she be contributing to February’s White Paper on the future negotiations?
ParlaMint-GB_2016-12-15-commons.u15	My hon. Friend is absolutely right about the success of the UK film industry. I am sure that many right hon. and hon. Members are planning over Christmas to enjoy the new “Star Wars” film, which was made in Britain. Last week, I was in China to sign a co-production treaty, making us only the second country in the world to have both film and TV treaties with the Chinese. That is important because this is a global industry—it relies not merely on the other 27 member states of the European Union, but on the whole world—and I want to make sure that it continues to be a success.
ParlaMint-GB_2016-12-15-commons.u16	I was born in the shadow of Shepperton film studios and have long had links with the film industry, so may I urge the Secretary of State to do something about getting more apprentices into the film sector? Our great directors and many of our great actors left school at 14 or 15 and did apprenticeships. Today, too many people at the top are not very creative, because they all went to Eton. Will she do something about getting ordinary kids into the film industry again?
ParlaMint-GB_2016-12-15-commons.u17	I am incredibly proud of the creativity of all our young people, no matter which school they went to. Perhaps that was an audition by the hon. Gentleman, given his close links to film. He rightly identifies that there are issues with apprenticeships in the film industry because of the business model in that industry, and particularly because there are so many freelancers and shorter-term contracts. We are working with the Department for Education to make sure we have the right apprenticeships so that young people can get the skills they need to succeed in the global success that is the British film industry.
ParlaMint-GB_2016-12-15-commons.u18	With part of “Les Misérables” filmed at Boughton House near Kettering and Keira Knightley’s “Pride & Prejudice” filmed at Weekley village just outside the town, what more are the Government doing to encourage filmmakers to use historic sites in the great British countryside for their films?
