ParlaMint-GB_2017-01-10-commons.u1	1. What recent assessment he has made of the security and humanitarian situation in Yemen.
ParlaMint-GB_2017-01-10-commons.u2	Happy new year to you, Mr Speaker The humanitarian situation in Yemen is one of the most serious crises in the world. The UN estimates that 19 million people are in need of help. The UK is providing support, and we are spending more than £100 million to provide assistance. We all agree that a political solution is the best way to end this conflict. I met foreign Ministers from Saudi Arabia, Oman, the United Arab Emirates and the United States on 18 December in Riyadh, along with Ismail Ahmed, the UN envoy, to advance the UN road map, which I hope will bring all parties back to the table.
ParlaMint-GB_2017-01-10-commons.u3	The humanitarian situation in Yemen is deteriorating, and the UN estimates that 80% of the population are in need of humanitarian aid—about 21.2 million Yemenis. According to the Government’s own figures, British aid, although welcome, has reached less than 5% of the people in Yemen who need it—obviously nowhere near enough for a major emergency that is affecting people not only in Yemen, but in my constituency. What plans does the Minister have to increase the number of people in Yemen who can directly benefit from British support?
ParlaMint-GB_2017-01-10-commons.u4	The hon. Lady raises an important aspect of this very sad conflict: we are denied a political solution, but it is the people of Yemen who are suffering. The cause of the problem is the inability to get aid into the country. The port of Aden is used as a conduit, but the main access to the majority of the country is through the port of Hodeidah, which unfortunately is currently in Houthi hands. The cranes are out of action, but we must ensure that we can gain greater access through. I spoke with Ismail Ahmed about what we can do to repair the cranes so that bigger ships can get in with equipment and support, which can then be distributed across the country.
ParlaMint-GB_2017-01-10-commons.u5	I wholly endorse the remarks of the hon. Member for Liverpool, Wavertree (Luciana Berger). The UN reports that there might be up to 370,000 starving children in Yemen, so in addition to our own aid what discussions has my hon. Friend had with Saudi Arabia and other Gulf states about providing significant humanitarian aid themselves?
ParlaMint-GB_2017-01-10-commons.u6	It is fair to say—this is an important question—that while the headlines are about the military campaign Saudi Arabia and other members of the coalition are doing huge amounts to provide support and humanitarian aid for refugees in their countries. This is often done outside the auspices of the United Nations. During the United Nations General Assembly, my right hon. Friend the Secretary of State for International Development held a conference to bring further countries together to support Britain’s work to get aid into and across the country.
ParlaMint-GB_2017-01-10-commons.u7	I thank the Minister and the Foreign Secretary for their personal efforts in trying to broker a ceasefire. That is the key: we need a ceasefire in the same way as Turkey and Russia managed to achieve one for Syria. Have there been any further discussions with the United States about getting this back on to the agenda of the Security Council? I know that the Foreign Secretary was in America at the end of last week, so was this issue raised? When can we get this back for discussion at the UN?
ParlaMint-GB_2017-01-10-commons.u8	A later question on the Order Paper focuses on a UN Security Council resolution, but to touch on it now, yes, it is our ambition to gain a resolution along the lines of what the road map sets out. We met on 19 December and confirmed the direction of travel in which we want to go. The right hon. Gentleman will know from his understanding of the country that it is not so simple as suggesting this is all about the Houthis versus President Hadi and forces on his side. The complex tribal structures that are involved require the buy-in of many parts of the country to ensure that the ceasefire and cessation of hostilities can last.
ParlaMint-GB_2017-01-10-commons.u9	15. Can the Minister confirm media reports that Oman is now publicly backing the Saudi-led coalition’s attempts to bring security back to Yemen?
ParlaMint-GB_2017-01-10-commons.u10	I can confirm that Yusuf bin Alawi, foreign Minister for Oman, was at the discussions on 19 December, along with Adel al-Jubeir, the Foreign Minister for Saudi Arabia, and Abdullah bin Zayed from the United Arab Emirates. These are the key nations providing support, and I pay tribute to the work that Oman has done through its discussions, bringing the Houthis to the table so that we can get something secure for the ceasefire that we are all searching for.
ParlaMint-GB_2017-01-10-commons.u11	Inaccurate information has been provided to Parliament a number of times on Yemen and Saudi Arabia. The Minister has said previously that he acted immediately. However, a new freedom of information request reveals that not only the Minister but the former Foreign Secretary knew as early as 28 June last year that Parliament had been misled, but this was not corrected until 21 July. Does the Minister believe that the ministerial code was complied with?
