ParlaMint-GB_2017-01-11-commons.u1	1. What recent assessment she has made of the effectiveness of her Department’s work in Tajikistan.
ParlaMint-GB_2017-01-11-commons.u2	UK development assistance has helped to reduce poverty and promote stability in Tajikistan since 2002. Between 2011 and 2016, DFID’s work has improved rural lives, promoted women’s economic empowerment, and delivered an important investment climate and managed public financial reforms.
ParlaMint-GB_2017-01-11-commons.u3	I am grateful for that information. During a recent visit to Tajikistan, I saw the good work that DFID had been doing, but many people have expressed concern about the fact that certain projects have been quite slow to be approved. Will my right hon. Friend update the House on the Department’s commitment to Tajikistan and on when those projects might be signed off?
ParlaMint-GB_2017-01-11-commons.u4	I thank my hon. Friend, both for his question and for going to see DFID’s work in-country. The Minister of State, my hon. Friend the Member for Penrith and The Border (Rory Stewart), is overseeing new international development programmes, details of which will be published in due course Central Asia, including Tajikistan, represents an important strategic imperative in terms of our wider development objectives. We are, of course, committed to ensuring that commitments are implemented and that we start to deliver on those programmes later in the year.
ParlaMint-GB_2017-01-11-commons.u5	Tajikistan is very much at risk from climate change, which could threaten all the good work that is being done to improve livelihoods and economic development. Is dealing with that an element of DFID’s programme?
ParlaMint-GB_2017-01-11-commons.u6	As the hon. Lady will know, a variety of challenges exist in this part of central Asia. Dealing with climate change is one, but others are economic security, financial management and performance issues. DFID’s combined approach will help to deliver greater economic security in the long run.
ParlaMint-GB_2017-01-11-commons.u7	2. What assessment she has made of the implications of demolitions in the occupied Palestinian territories in 2015-16 for her Department’s policies in that region.
ParlaMint-GB_2017-01-11-commons.u8	4. What assessment she has made of the implications of demolitions in the Occupied Palestinian Territories in 2015-16 for her Department’s policies in that region.
ParlaMint-GB_2017-01-11-commons.u9	The Department’s assessment, in line with long-standing British Government policy, is that demolitions are illegal under international humanitarian law, and that they undermine the credibility and viability of a two-state solution.
ParlaMint-GB_2017-01-11-commons.u10	The Bedouin village of Umm-al-Hiran remains under threat from a demolition that would cast out 800 villagers, and the number of demolitions in the occupied territories in the first two weeks of January is almost four times greater than the number at this point last year. What support is being given to the people who are being driven out of their homes, and what message is being sent to the Israeli Government that such demolitions are completely unjustifiable?
ParlaMint-GB_2017-01-11-commons.u11	The hon. Lady raises two important issues, the first of which is long standing. Along with our international partners, we continue to lobby the Israeli Government, who are undertaking the demolitions, to stop doing so, both because they are illegal and because they undermine the two-state solution The Under-Secretary of State for Foreign and Commonwealth Affairs, my hon. Friend the Member for Bournemouth East (Mr Ellwood), had a meeting with the Israeli Defence Minister, Mr Lieberman, just before Christmas and raised the issue of demolitions with him directly.
