ParlaMint-GB_2017-02-01-commons.u1	Object Bill to be read a Second time on Wednesday 8 February.
ParlaMint-GB_2017-02-01-commons.u2	1. What assessment he has made of the effect of the UK’s decision to leave the EU on the future of the Common Travel Area between Northern Ireland and the Republic of Ireland.
ParlaMint-GB_2017-02-01-commons.u3	3. What assessment he has made of the effect of the UK’s decision to leave the EU on the future of the Common Travel Area between Northern Ireland and the Republic of Ireland.
ParlaMint-GB_2017-02-01-commons.u4	Before I answer, I would remind the House that this is the final Northern Ireland questions before the Assembly election on 2 March. These are critical elections for the future of Northern Ireland, and I would urge the parties to conduct the campaign in a manner that allows for the speediest return to partnership government. Only power-sharing government will deliver the political stability that the vast majority of people in Northern Ireland want to see, and which remains the priority for this Government to secure As my right hon. Friend the Prime Minister made clear, maintaining the common travel area is one of the Government’s 12 priorities in negotiating exit from the EU. It is the Government’s intention to deliver a practical solution that allows the maintenance of the common travel area while protecting the integrity of the UK’s immigration system.
ParlaMint-GB_2017-02-01-commons.u5	Mòran taing, Mr Speaker—thank you, good morning.
ParlaMint-GB_2017-02-01-commons.u6	Thank you very much indeed. All compliments gratefully accepted.
ParlaMint-GB_2017-02-01-commons.u7	A hard border would be disastrous for communities that live along that border, especially in economic terms. What assurances can the Secretary of State offer that the common travel area will be top of the agenda in any Brexit negotiations? Will it be more important than restricting the freedom of movement elsewhere in the UK, for instance? Will Ministers assure us that the common travel area is part of any trade deal done with the European Union?
ParlaMint-GB_2017-02-01-commons.u8	I have already indicated the priority that is given to securing the common travel area. This is a very strong commitment that this Government have given, and a point that I have underlined on many occasions. It is also a shared intent with ourselves, the Irish Government and the Northern Ireland Executive. It is therefore with that approach, and with that shared will, that we look to the negotiations ahead, getting the common travel area secured and seeing that frictionless border that is equally important to the politics and life of Northern Ireland.
ParlaMint-GB_2017-02-01-commons.u9	Will the common travel area be the UK’s only area of free travel with the EU or will it be free trade and free travel?
ParlaMint-GB_2017-02-01-commons.u10	As I have said, the priority, as set out in the 12 points that the Prime Minister made in her speech, was securing the common travel area. That has served us over so many years, dating back to the 1920s. We believe that it is really important that we seek to attain that, as well as getting frictionless trade in goods, which is also a key priority.
ParlaMint-GB_2017-02-01-commons.u11	I welcome the Government’s determination to maintain the common travel area across our islands. Does the Secretary of State agree that the friendly relations it symbolises could only be strengthened by the Republic joining the Commonwealth as an associate member, as suggested by Senator Frank Feighan during his visit to the House yesterday?
ParlaMint-GB_2017-02-01-commons.u12	Obviously that is a matter for the Irish Government, but the point that my hon. Friend makes about strong, friendly relationships between ourselves and the Irish Government is well made. It was with that intent, and with that theme, that the Prime Minister met the Taoiseach earlier this week and underlined the importance of continuing to work together to get the best outcome for Northern Ireland and for the island of Ireland.
ParlaMint-GB_2017-02-01-commons.u13	Does my right hon. Friend agree that while this Government are committed to the free movement of people and goods across the whole of Ireland, it is also important that the European Union should do its bit to see Ireland right as well?
ParlaMint-GB_2017-02-01-commons.u14	The European Union and member states recognise the significance of Northern Ireland, and the significance of the politics on the island of Ireland. Indeed, we have seen investment and political engagement from within the European Union. We will continue to underline that in the negotiations ahead, and that is why I remain positive that we can secure a good deal for Northern Ireland within the UK but outside the EU.
ParlaMint-GB_2017-02-01-commons.u15	11. Given Ireland’s immigration criteria, and how different they are from the UK’s, I do not quite understand how anyone can stop European Union citizens from travelling through Ireland and on to the UK. Can the right hon. Gentleman spell it out for us?
ParlaMint-GB_2017-02-01-commons.u16	There is broad alignment of policy in relation to the Republic of Ireland and the UK. That has been part of the bedrock of the common travel area and its existence over many years. Indeed, it is an aspect of how we have sought to create new visa issues in relation to China that have allowed travel to Ireland and also to the United Kingdom, and how co-operation between ourselves and the Irish Government is very good.
ParlaMint-GB_2017-02-01-commons.u17	15. Post-Brexit, common travel area, no hard border: a Polish family moves to Ireland. Will they have free movement into Northern Ireland? If not, how does that square with Ireland being a member of the European Union?
ParlaMint-GB_2017-02-01-commons.u18	As I have indicated to the House this morning, we are committed to securing the common travel area and, yes, we are also committed to dealing with issues of immigration, which were at the forefront of the campaign. The Home Office is working on the detail of a new immigration policy that I am sure will be a matter of debate in the House in future.
ParlaMint-GB_2017-02-01-commons.u19	The Government have rightly sought to identify the issues that affect different regions and sectors of the economy and to build those into their negotiating position. Regardless of the common travel area, can the Secretary of State assure us that all parts of the United Kingdom will leave the EU on an equal basis and that no special arrangements, different conditions or special circumstances will be afforded to Northern Ireland that would weaken our position within the United Kingdom and treat us differently from other parts of it?
ParlaMint-GB_2017-02-01-commons.u20	As a Government, we are very clear about the strengths of the Union and how that matters to us all. The approach that we take is based on getting the best possible deal for all parts of the United Kingdom. Yes, there will be some specific factors in Northern Ireland of which the hon. Gentleman is well aware––we have talked about the border and there are other issues as well––but our approach is with that intent and focus. Therefore concepts of special status are the wrong approach. It is rather about looking at special factors and special circumstances and dealing with them effectively.
