ParlaMint-GB_2017-02-21-commons.u1	1. When he next plans to meet the US Secretary of State.
ParlaMint-GB_2017-02-21-commons.u2	10. What assessment he has made of the implications of the policies of the new US Administration for UK foreign policy.
ParlaMint-GB_2017-02-21-commons.u3	12. What assessment he has made of the implications of the policies of the new US Administration for UK foreign policy.
ParlaMint-GB_2017-02-21-commons.u4	I met Rex Tillerson in Bonn last Thursday and Friday. We had some very good conversations, and I am sure we will have many more meetings in the weeks and months ahead to entrench and deepen a relationship that has been part of the foundation of global peace and prosperity for the past 70 years.
ParlaMint-GB_2017-02-21-commons.u5	Could the Foreign Secretary confirm that when he met the Secretary of State last week he said unequivocally that Her Majesty’s Government think the ban on travel proposed by President Trump for Muslim countries is simply wrong?
ParlaMint-GB_2017-02-21-commons.u6	The right hon. Gentleman will know very well that the Government did not support the travel measures that were introduced by the Executive order. They were not something we would commend to this House and it was not the kind of policy we would like to see enacted in this country, and we made that very clear to our friends in America. It was by engaging constructively with the White House and others that we were able to secure the important clarification that the Executive order would make absolutely no difference to any British passport holder, irrespective of their country of birth.
ParlaMint-GB_2017-02-21-commons.u7	I am pleased to hear the Foreign Secretary’s reports of the discussions he had with the Secretary of State, but will he tell us a bit more about how he plans to manage the important tripartite relationship between the UK, the EU and the US, post-Brexit?
ParlaMint-GB_2017-02-21-commons.u8	The hon. Lady asks a good question. Obviously, on some things we will differ from our American friends—we have just had an example of that—but on some areas we will perhaps wish to stiffen the spines of our European friends. I can think of issues such as sanctions over Ukraine, on which some EU members are not in quite the same space as we are. As would be expected, the policy of the United Kingdom would be to stick up for UK interests and values and—if I can use a bit of jargon—to triangulate dynamically between the two.
ParlaMint-GB_2017-02-21-commons.u9	On standing up for British interests, Mr Trump’s track record suggests that any deals he agrees to are likely to be to our disadvantage. What will the Foreign Secretary do to ensure that British businesses benefit from any deals with the United States, not just American ones?
ParlaMint-GB_2017-02-21-commons.u10	If I may say so, it is important to be clear-eyed about American power and success in negotiating trade agreements and to recognise that we will have to be on our mettle to get a good deal for this country. Nevertheless, I have absolutely no doubt that we will be able to do such a deal. It is a great shame that in 44 years of EU membership we have not been able to secure a free trade deal with the United States. That is now on the table.
ParlaMint-GB_2017-02-21-commons.u11	In his discussions with the American Secretary of State, did the Foreign Secretary discuss the best opportunity for a state visit by President Trump? Did he put forward my suggestion that the 400th anniversary of the Pilgrim Fathers in 2020 would be a much better occasion for a state visit than one in the course of the next few months, which is likely to be a rallying point for every discontent in the United Kingdom?
ParlaMint-GB_2017-02-21-commons.u12	I thank my hon. Friend for his interesting suggestion; I am afraid to say that it is not one I had time to make to our American counterparts. Let us see how the matter of the state visit evolves. The invitation has been issued and accepted, and I am sure it will be a great success.
ParlaMint-GB_2017-02-21-commons.u13	Next time he meets the Secretary of State, will my right hon. Friend tell him that if the current discussions between the US Department of Defence and the State Department lead to their recommending to President Trump that they put American ground troops in northern Syria to combat ISIS, the British Government will not be following them?
ParlaMint-GB_2017-02-21-commons.u14	I have to tell my right hon. Friend that I am not aware of any such proposal. Nor do I think, having listened quite attentively to the language being used by the White House and the State Department, that we are going to see the imminent contribution of ground troops in that theatre. Nevertheless, the advent of the Trump Administration does offer the possibility of new thinking on Syria and the hope of a new way forward.
ParlaMint-GB_2017-02-21-commons.u15	Last week, the hon. Member for Tooting (Dr Allin-Khan) and I went to Jordan as guests of Oxfam, and we met a number of Syrian refugees, notably Khalid who lives in the Zaatari refugee camp. He was due to start a new life in America literally within the next few weeks. It is difficult to put into words his sense of despair that all his hopes and dreams for a new life have been shattered by President Trump’s decision to ban all refugees from going to America. When my right hon. Friend next gets the opportunity, will he please not hesitate to tell President Trump that this ban on refugees brings great shame on his country and that he should lift it immediately?
ParlaMint-GB_2017-02-21-commons.u16	My right hon. Friend will know full well that we have already expressed our disagreement with the travel ban and the policy on refugees. I think she was in the House when I explained the Government’s view on that policy. By contrast, this country can be extremely proud of the fact that it not only supports that particular camp in Jordan—indeed, we have recently agreed another £30 million to support that individual operation—but is the second biggest contributor to the humanitarian effort in the region, with £3.2 billion already pledged.
