ParlaMint-GB_2017-03-07-lords.u1	Hear, hear!
ParlaMint-GB_2017-03-07-lords.u2	My Lords, it may be downhill all the way from this point This is a very straightforward amendment, which would require any Brexit deal to be put to the people to approve or to reject. It is based on the principle that, having asked the people whether they wish to initiate the Brexit process, only the people should take the final decision In asking the people to do this, we are not sidelining Parliament. Clearly, Parliament should debate and vote on all the options at the end of the negotiating process, as we will discuss later, but Parliament was completely at odds with the views of the people in advance of the referendum. If Parliament took a decision that went against the majority popular view, having given the people the initial decision-making role in the process, we would be faced with widespread and justifiable anger that would be corrosive to our national life for many years to come I begin by thanking the noble Lord, Lord Grocott, for his drafting advice, which he so generously gave me in Committee. I hope that he feels that, even if he cannot agree with the amendment before us, it at least avoids some of the shortcomings he saw in its predecessor.
ParlaMint-GB_2017-03-07-lords.u3	I am grateful for that generous tribute. Will the noble Lord advise us as to whether the referendum he proposes would be an advisory or a mandatory one?
ParlaMint-GB_2017-03-07-lords.u4	My Lords, we have already seen the referendum being taken as decisive. Parliament did not decide that it should look at it as merely advisory. I think that any referendum has to be seen as decisive, to the extent that it requires Parliament to act on the basis of it.
ParlaMint-GB_2017-03-07-lords.u5	I wonder whether the noble Lord can answer my question in relation to the conduct of the referendum. I was unhappy about the previous referendum because 16 and 17 year-olds were not allowed to vote, EU citizens were not allowed to vote and there was no threshold. In his referendum, which of those three would be included, if any? I would have serious doubts about having a referendum without those three points being taken account of.
ParlaMint-GB_2017-03-07-lords.u6	My Lords, the noble Lord will recall the attitude that we took when we discussed the previous referendum. We strongly believe that 16 and 17 year-olds should get the vote, not just in referendums but more generally.
ParlaMint-GB_2017-03-07-lords.u7	My Lords, would the noble Lord kindly address the House rather than the noble Lord, Lord Foulkes, because we on this side cannot hear what he is saying?
ParlaMint-GB_2017-03-07-lords.u8	I apologise. I was saying that, when we discussed this matter previously in respect of the referendum that we have just had, we argued strongly that 16 and 17 year-olds should get the vote, but the details of any future referendum would have to be discussed in the context of a new referendum Bill, which Parliament would have to pass. Perhaps I may make a little progress Since Committee, I have had the chance to read the speeches of the noble Baroness, Lady Smith, and the noble Lord, Lord Bridges. The noble Baroness’s view was that referenda are best avoided and that the deal at the end of the Brexit process would be far too detailed and complicated to leave to the people to decide. However, she went on that, “if, as time and negotiations progress, there is genuine evidence of a widespread public demand for a second referendum, that should be listened to” I suppose that I should be grateful for that willingness to keep an open mind, but I simply do not think that it goes far enough The Minister said that a confirmatory referendum should not be contemplated because trust in politicians was so low, and that, “There is a sense that Parliament is divorced from day-to-day life” Well, we know what the Government’s response to that has been: to try to cut Parliament out of the decision-making process altogether and just to take the decisions themselves. Furthermore, the Government have assiduously argued that asking the people to take the final decision on the most important issue facing the country in generations and on which they have already had a say is anti-democratic. That argument simply defies logic The Minister then said, quoting the White Paper, that, “people are coming together to make a success”,—[Official Report, 27/2/17; cols. 638-39.] of Brexit. It is certainly the case that business is taking decisions based on the assumption of Brexit. That helps to explain why banks are moving thousands of staff outside the UK, why Ford is downsizing its plant at Newport and why Herriot-Watt is cutting staff. But this is not exactly “coming together”. Nor are divisions within the country reducing. As I said at Second Reading, the anger of those who wish to leave the EU, which was evident before the referendum, is now being increasingly matched by the anger of those who wish to remain—particularly young people, who see their life chances being jeopardised. I am afraid that there is simply no happy consensus emerging about the alleged sunny uplands of being outside the EU—quite the opposite.
ParlaMint-GB_2017-03-07-lords.u9	The noble Lord was talking about logic. Could he tell us exactly—perhaps he will come on to this—what would happen were the vote to go his way on a second referendum? If it went one way each, would there then be a third referendum, with the best of three?
ParlaMint-GB_2017-03-07-lords.u10	My Lords, I am afraid that argument does not do the noble Lord justice. I shall be coming on to the question of the nature of the vote in a moment In Committee, the Minister said that a further referendum would jeopardise the “need for certainty” and prayed in aid his concerns for EU citizens living in the UK and UK citizens living in the EU. This really is a desperate argument. The Government have it in their hands to deal with the fears of EU nationals living in the UK now. As we heard in last week’s debate, by doing so it would make it more likely that UK nationals living in the EU receive reciprocal treatment The Minister finally talked of a referendum being years ahead on a question we do not know. We are not talking about some point in the far future. A short referendum campaign, no longer than a general election campaign, would hardly impinge on the timetable at all. The Government claim to be confident of getting the negotiations completed within the two-year period, so we know what kind of timeframe we are talking about. As to the issue of what the question will be about—
ParlaMint-GB_2017-03-07-lords.u11	I agree with those final comments, but does the noble Lord not agree that, bearing in mind that we had the Second World War without a referendum, we joined NATO without a referendum, we had the atom bomb without a referendum and we joined the United Nations without a referendum—we had all those things with no referenda—it is the primordial duty of parliamentarians to restore the true deep sovereignty of the British Parliament, mainly in the House of Commons?
