ParlaMint-GB_2017-03-14-commons.u1	1. What steps he is taking to support the transition to a low-carbon economy.
ParlaMint-GB_2017-03-14-commons.u2	4. What steps he is taking to support the transition to a low-carbon economy.
ParlaMint-GB_2017-03-14-commons.u3	14. What steps he is taking to support the transition to a low-carbon economy.
ParlaMint-GB_2017-03-14-commons.u4	Between 1990 and 2015 the UK’s emissions have fallen by over a third while our economy has grown by over 60%. Since 2010, Government policy has contributed to a trebling of renewable electricity capacity and encouraging the take-up of low-carbon heating and ultra-low emission vehicles.
ParlaMint-GB_2017-03-14-commons.u5	I thank the Minister for his answer. Businesses in the Scottish renewables sector predict that one in six jobs is at risk over the next six months due to changes in UK Government support. Will the Minister take action now to reverse those changes, to make sure we grasp the opportunities that our fantastic national energy resources provide?
ParlaMint-GB_2017-03-14-commons.u6	Few countries, certainly in Europe, have done more than we have to expand renewable energy electricity capacity since 2010, and the low-carbon economy sector now employs over 220,000 people. The hon. Lady questions our continued commitment to renewable energy; I refer her to the public commitment to forthcoming auctions to support the less mature renewable technologies.
ParlaMint-GB_2017-03-14-commons.u7	A recent Chatham House report as well as the Department for Business, Energy and Industrial Strategy’s own following study on North American woody biomass both concluded that the use of these pellets for energy production in the UK is high-carbon. Given that and that a review was promised of bio-energy policies in 2012, will the Government conduct an urgent review and impose a moratorium on new subsidies for biomass?
ParlaMint-GB_2017-03-14-commons.u8	As the hon. Gentleman knows, we have reviewed and adjusted subsidies in relation to biomass, and we keep that under regular review.
ParlaMint-GB_2017-03-14-commons.u9	Given that Scotland’s renewable energy will be cheaper than that produced at Hinkley by the time it is complete and that Brexit is already pushing up the build costs of these reactors in an environment where the UK Government have unilaterally decided to abandon the protection of Euratom, will you scrap the costly and inefficient nuclear obsession in favour of a low-carbon future?
ParlaMint-GB_2017-03-14-commons.u10	The hon. Gentleman invests me with powers that I do not possess; that is very good of him.
ParlaMint-GB_2017-03-14-commons.u11	Frankly, previous Governments neglected their responsibility to this country to invest in upgrading its power infrastructure, but this Government are grasping that challenge. As I have said, few countries have done more to make the transition to cleaner energy, with a trebling of capacity in renewable electricity, and the commitment to Hinkley offers us the potential for 7% of the country’s electricity—low-carbon based power.
ParlaMint-GB_2017-03-14-commons.u12	Colleagues in both Houses have signed an offshore blade made by MHI Vestas on the Isle of Wight, which is also arranging a schools outreach programme. Does my hon. Friend agree that this sort of initiative raises awareness of how low-carbon renewable energy technology can ensure that the UK reaches its potential of exporting its first-class engineering and advanced manufacturing worldwide?
