ParlaMint-GB_2017-04-19-commons.u1	1. What assessment he has made of the contribution of Scotland to the future of the UK.
ParlaMint-GB_2017-04-19-commons.u2	As the Prime Minister has said, “at the heart of the United Kingdom is the unity of our people: a unity of interests, outlook and principles. This transcends politics and institutions, the constitution and the economy. It is about the values we share” and our “solidarity”. I will never stop making the passionate and positive case for our United Kingdom, and I look forward to having the opportunity to do so during the forthcoming general election.
ParlaMint-GB_2017-04-19-commons.u3	With the Defence Secretary confirming a £1.7 billion investment in Scottish military bases, does my right hon. Friend agree that Scotland plays a crucial role in defending my constituents in Eddisbury and those throughout the whole United Kingdom from growing threats at sea, in the air and on land, and that the divisive policies of the nationalists threaten that crucial role?
ParlaMint-GB_2017-04-19-commons.u4	I absolutely agree with my hon. Friend—Scotland is on the frontline of defending the United Kingdom from growing threats at sea, in the air and on land. It is the home to essential defence capabilities, and our commitment to the future of defence in Scotland is underlined by increasing investment in better infrastructure for our armed forces, which is helping them to keep the whole of the United Kingdom safe.
ParlaMint-GB_2017-04-19-commons.u5	Given that in the last quarter the Scottish economy contracted by 0.2%, is it not about time we got off the independence referendum—and, indeed, the general election—merry-go-round, and got the Prime Minister and the First Minister to concentrate on what is important, which is the economy of Scotland?
ParlaMint-GB_2017-04-19-commons.u6	The hon. Gentleman would have a lot more credibility in making that statement if he was not standing on the ticket of a leader who has said that he has no problem with another independence referendum and who clearly would do a deal with the Scottish National party to get the keys of No. 10.
ParlaMint-GB_2017-04-19-commons.u7	Will the Secretary of State confirm that Scotland’s membership of the single market of the United Kingdom is more important to Scotland than its membership of the single market of the European Union?
ParlaMint-GB_2017-04-19-commons.u8	My hon. Friend is correct. It is absolutely right to highlight the fact that the market for Scottish goods and services in the rest of the United Kingdom is four times greater than that market in the EU. The UK is the vital Union for Scotland.
ParlaMint-GB_2017-04-19-commons.u9	In the last few years, Iceland and Ireland have leapfrogged the UK in terms of growth and deficit reduction, and they have always had a higher GDP per capita over the last 10 years. Norway’s oil fund is now $920 billion, having grown by $105 billion from $815 billion. The equivalent figures for the UK are zero, zero and zero. Does the Secretary of State not agree that Scotland could be as good as tiny Iceland, as good as Ireland and even as good as Norway with our independence? What is he scared of for Scotland?
ParlaMint-GB_2017-04-19-commons.u10	I well remember when the SNP advocated the “arc of prosperity” for Ireland, Scotland and Iceland. I very much doubt that the people of Scotland would want to endure the pain that the people of both Iceland and Ireland have endured to ensure that their economies are back on a stable footing.
ParlaMint-GB_2017-04-19-commons.u11	Perhaps all of us on this side of the House can agree that Scotland’s greatest contribution has been to show that there is actually an alternative to the destructive policies of this UK Tory Government. It is worth remembering that in Scotland we have free prescriptions, free eye tests, free childcare and free university tuition. We have scrapped bridge tolls, reopened railways and invested in infrastructure, and we are building more council houses than any UK nation. That is what the SNP has delivered in government in Scotland. Does the Secretary of State not agree that that stands in marked contrast to the Tories’ mismanagement and destruction of public services south of the border?
