ParlaMint-GB_2017-10-30-commons.u1	1. What steps he is taking to support economic growth and job creation in coastal communities.
ParlaMint-GB_2017-10-30-commons.u2	Since 2012, we have invested £174 million in 295 projects for the coastal communities fund. These are forecast to help to deliver more than 18,000 jobs. In my hon. Friend’s constituency, £2.5 million has been provided through the fund to support economic growth and job creation.
ParlaMint-GB_2017-10-30-commons.u3	Does my right hon. Friend agree that the coastal communities fund helps to attract more visitors to our coastal communities so that they may thrive? Will he promise to consider very carefully any future bid to the fund to restore the front of Ramsgate Royal harbour in my constituency—the only royal harbour in the country—to its former glory?
ParlaMint-GB_2017-10-30-commons.u4	I do agree with my hon. Friend. The £2.5 million already allocated to his constituency will help South Thanet to thrive, and will certainly help to attract more visitors. I commend him for the role he has played to secure that funding. He is a passionate advocate of Royal Ramsgate harbour, and I know he has a meeting with the Local Growth Minister, the Under-Secretary of State for Communities and Local Government, my hon. Friend the Member for Rossendale and Darwen (Jake Berry), coming up in which he can discuss his plans.
ParlaMint-GB_2017-10-30-commons.u5	The Interreg North Sea Region Programme is funded by EU grants totalling €167 million. What plans has the Secretary of State made to replace that funding when the UK leaves the EU?
ParlaMint-GB_2017-10-30-commons.u6	The hon. Lady will know that we have set out plans for a UK shared prosperity fund, which will eventually replace EU funding such as that of the European regional development fund and the European social fund.
ParlaMint-GB_2017-10-30-commons.u7	2. What plans he has to ensure that landlords and letting agents meet contractual obligations to tenants.
ParlaMint-GB_2017-10-30-commons.u8	We will make it mandatory for landlords to be part of an ombudsman scheme and we are increasing local authorities’ powers to tackle rogue practices. We also published on 18 October a call for evidence seeking views on regulating all letting and managing agents.
ParlaMint-GB_2017-10-30-commons.u9	I refer to my entry in the Register of Members’ Financial Interests. May I urge the Secretary of State, in clamping down on rogue practices in the private sector, to keep a weather eye on some of our housing associations, which often seem to think that they are above and beyond the rules and regulations that govern the private sector?
ParlaMint-GB_2017-10-30-commons.u10	My hon. Friend is absolutely right to raise the profile of social housing tenants. Last month, we announced that there will be a Green Paper on social housing, which will be a broad review of issues facing the social housing sector to ensure that tenants’ voices are heard. The Housing Minister is travelling across the country to listen to tenants and ensure that we truly understand all the issues.
ParlaMint-GB_2017-10-30-commons.u11	Under Newham Council’s excellent landlord licensing, working with the police and Her Majesty’s Revenue and Customs the council has issued 2,834 notices since January 2013 to address and abate serious hazards. The decision on reauthorising the scheme was due seven weeks ago. Will the Secretary of State assure me that from 1 January he will not deny private tenants in my constituency the vital protection provided by this scheme?
ParlaMint-GB_2017-10-30-commons.u12	The right hon. Gentleman will know that selective licensing is an important part of ensuring that we can look after tenants, particularly those who might be more vulnerable. We consider every application we get carefully, as we want to make sure that that consideration is proportionate. We will take a careful look at the case he mentions.
ParlaMint-GB_2017-10-30-commons.u13	I welcome the Government’s plans to reform the lettings market and the estate agency market. Given, however, that most firms undertake both lettings and sales, will the Government avoid the unnecessary duplication of rules and regulators? After all, separate regulatory regimes could be expensive for business and confusing for consumers.
ParlaMint-GB_2017-10-30-commons.u14	My hon. Friend speaks with experience and makes a good point. Of course we want to avoid unnecessary and duplicative regulation, but I think he agrees with the Government that it is necessary to regulate letting agents and it is good that we are progressing with that.
ParlaMint-GB_2017-10-30-commons.u15	Is not one of the first lines of defence against rogue landlords local government, particularly environmental health inspectors? How does taking an axe to local government finance help tenants?
ParlaMint-GB_2017-10-30-commons.u16	The hon. Gentleman should know that when we changed the law in April 2017 so that local authorities had more power to intervene against rogue landlords, we also provided additional funding of some £12 million.
ParlaMint-GB_2017-10-30-commons.u17	What steps are the Government taking to encourage private landlords to offer longer tenancies?
ParlaMint-GB_2017-10-30-commons.u18	My right hon. Friend makes an important point. So many more people are renting today than ever before, and, as we fix our broken housing market, it is important that we listen to them and find ways to ensure that more of them are offered longer tenancies. That is why I recently announced that the Government are actively looking at the issue, and we will bring forward plans to ensure this in the Budget.
ParlaMint-GB_2017-10-30-commons.u19	3. What progress has been made on improving safety in residential tower blocks since the Grenfell Tower fire.
ParlaMint-GB_2017-10-30-commons.u20	We have established a building safety programme and identified all unsafe aluminium composite material cladding on English social housing buildings over 18 metres. I have also asked all local authorities in England to identify such cladding on privately owned residential tower blocks and to report their findings to the Government. This is to ensure that appropriate action is being taken to keep all residents safe.
ParlaMint-GB_2017-10-30-commons.u21	I thank the Secretary of State for that reply, but I want to ask him about other things that can be done to prevent fires from claiming lives. We know that sprinklers save lives, yet only 2% of council tower blocks have sprinkler systems. Is the Secretary of State content with that state of affairs, and if not, four months on from the Grenfell tragedy, when will he stop passing the buck and help local authorities fit sprinklers in high-rise buildings?
ParlaMint-GB_2017-10-30-commons.u22	The hon. Lady will know that it has been the law in building regulations since 2007 that any new high-rise dwellings above 30 metres are required to have sprinklers fitted. In terms of whether that is appropriate and whether more can be done, the appropriate way to look at that is through the independent review of building regulations and fire safety that Dame Judith Hackitt is undertaking, and we will listen very carefully. She is gathering evidence, and there is a call for evidence right now—perhaps the hon. Lady would like to have an input into that.
ParlaMint-GB_2017-10-30-commons.u23	A case in Cannock has highlighted the building of homes in very close proximity to a licensed recycling site that handles highly toxic chemicals, prompting real concerns about fire safety. Will my right hon. Friend meet me to discuss the need to ensure that fire safety is a top priority in house building too?
ParlaMint-GB_2017-10-30-commons.u24	My hon. Friend is right to raise this issue. I am not aware of the details, but I would happily meet her to discuss it further.
ParlaMint-GB_2017-10-30-commons.u25	23. What progress has the Secretary of State made in introducing compulsory electrical safety checks?
ParlaMint-GB_2017-10-30-commons.u26	The hon. Lady will know, first, that the Department’s responsibilities in this area are shared with other Departments, such as the Department for Business, Energy and Industrial Strategy, and I am working with my colleague the Secretary of State there to look into this further. Also, the building regulations and fire safety review is a broader fire safety review, and I certainly expect it to look at those issues too.
ParlaMint-GB_2017-10-30-commons.u27	Is it not an irony that it was not that enough money was not spent on Grenfell Tower, but that £10 million was spent on it to provide cladding to stop water ingress, and that that caused the whole problem? Is my right hon. Friend aware that, as experts have told me, sprinklers are not the sole solution to this issue? Sprinklers alone, without sound fire doors, will not work, and there are other provisions that can be made.
ParlaMint-GB_2017-10-30-commons.u28	If my hon. Friend will allow me, I will not speculate on Grenfell Tower and the causes of that terrible tragedy—I am sure he understands that. However, in terms of his broader point about measures that are also important, such as fire doors, we found in Camden, for example, when fire safety checks were done, that hundreds of fire doors were not in place. There are other measures alongside sprinklers that certainly can be taken and should be taken where necessary.
ParlaMint-GB_2017-10-30-commons.u29	What redress will be available to private leaseholders in a private residential block that has failed fire safety tests where the company does not have the money to carry out that work or goes into dissolution?
ParlaMint-GB_2017-10-30-commons.u30	First, the hon. Lady will know that there are redress mechanisms available at the moment. Many of them depend on whether the freeholders or the managing agents are members of a redress scheme. This is one of the reasons why I recently announced the need to regulate all managing agents, who often look after these types of buildings, and to see what more we can do.
ParlaMint-GB_2017-10-30-commons.u31	Housing Associations such as the Guinness Partnership, which operates residential blocks in my constituency, also have an important role to play in fire safety. Will my right hon. Friend join me in calling on them to review, and where necessary improve, their fire safety to make sure residents are safe?
ParlaMint-GB_2017-10-30-commons.u32	Yes, I will join my hon. Friend in calling for that. He is right to point out the critical role that housing associations play. Ever since the terrible tragedy that took place at Grenfell Tower, I have seen an excellent response from housing associations, and certainly from the National Housing Federation, and I will continue to work with them.
ParlaMint-GB_2017-10-30-commons.u33	The Scottish Parliament’s Local Government and Communities Committee this morning issued a report on building regulations and fire safety in Scotland. In terms of the recommendations and the support the Committee is giving to the ministerial working group in Scotland, it supports unannounced inspections by the Scottish Fire and Rescue Service and a national inventory of all high-rise domestic buildings in Scotland. Would the Minister support such recommendations for England?
ParlaMint-GB_2017-10-30-commons.u34	I listened carefully to what the hon. Lady said, and I have followed developments closely in Scotland. We are working closely with our Scottish colleagues to make sure that we can share information and knowledge on this very important issue. As to whether we would take similar steps in England, it is important that I leave the first-point decision making for the independent building regulations review.
ParlaMint-GB_2017-10-30-commons.u35	4. What recent estimate he has made of the number of children in temporary accommodation.
ParlaMint-GB_2017-10-30-commons.u36	13. What recent estimate he has made of the number of children in temporary accommodation.
ParlaMint-GB_2017-10-30-commons.u37	17. What recent estimate he has made of the number of children in temporary accommodation.
