ParlaMint-GB_2017-11-07-lords.u1	To ask Her Majesty’s Government what progress has been made in eliminating Japanese knotweed.
ParlaMint-GB_2017-11-07-lords.u2	My Lords, on behalf of my noble friend Lady Sharples, and at her request, I beg leave to ask the Question standing in her name on the Order Paper.
ParlaMint-GB_2017-11-07-lords.u3	My Lords, this aggressive plant was first found in the wild in the United Kingdom in 1886 and has unfortunately become widespread here and across Europe. We are working to ensure a more successful establishment of a psyllid insect to control it. Meanwhile, local action groups, with support from government, continue to reduce and eradicate the plant; for instance, in the Medway Valley and the New Forest, where 49 separate sites have been tackled this year.
ParlaMint-GB_2017-11-07-lords.u4	Is my noble friend aware that when knotweed stems are trimmed they are eaten by Japanese children? Will he tell us whether landowners with knotweed on their property can still obtain a mortgage?
ParlaMint-GB_2017-11-07-lords.u5	We are discussing an invasive species. Although I am well aware that in Japan young shoots are consumed, I would not advise it here. I do not think that is a very sensible proposal for this county. On mortgages, some new policies are now available and the RICS put out a very helpful paper in 2012, which has assisted in this matter as well.
ParlaMint-GB_2017-11-07-lords.u6	Is my noble friend aware that by far the most effective technique for controlling Japanese knotweed is the use of the broad-spectrum herbicide glyphosate, otherwise known as Roundup, which is under threat of being banned, even though it is entirely safe according to most international agencies, with the exception of one debunked study by a scientist who, it now appears, was in the pay of bounty-hunting US lawyers? Will the Government stand firm on the relicensing of glyphosate?
ParlaMint-GB_2017-11-07-lords.u7	My Lords, the Government are absolutely clear that we should consider these matters on the best scientific assessment available. Both the European experts and our own experts think that glyphosate should be approved. The important point about its use on Japanese knotweed is to spray the underside of the leaves as well.
ParlaMint-GB_2017-11-07-lords.u8	My Lords, I pay tribute yet again to the noble Baroness, Lady Sharples, for her persistence in this matter. I am very sorry she cannot be here today and, if she is poorly, I hope she gets better as quickly as possible. The Minister referred to a two-pronged approach but over the years the Government have put too much hope on the prospect of armies of jumping psyllids crossing the land, chewing the knotweed in their path and getting rid of it. That will not be the answer, not for a long time at least. Is not the answer in the short run the work of local action groups, local authorities and others, to which the Minister referred? Is it not the case that the Government ought to be giving a lot more strong advice to local authorities to get on with it, because this stuff can and ought to be removed?
ParlaMint-GB_2017-11-07-lords.u9	There are good examples of where local action groups have worked effectively and eradicated Japanese knotweed. In Defra we have an official who is co-ordinating the work of the local action groups. I very much endorse their work and think it is the way forward. However, research shows that we should be looking for a more robust psyllid. We have released in 16 sites this year 120,000 psyllids and I hope we will see some progress in that regard.
ParlaMint-GB_2017-11-07-lords.u10	My Lords, there is another very invasive species called the US crayfish, which destroys riverbanks and fish and other life in the river. Like knotweed—I got there—it can be consumed. Unfortunately, however, the licence to do so is only partial across the south and part of the Midlands; in the north of England, Scotland and Wales they simply have to be destroyed. Will the Minister consider, alongside the measures on knotweed, ensuring that we can get a grip on the US crayfish problem?
ParlaMint-GB_2017-11-07-lords.u11	My Lords, I am well aware of what the noble Lord said about crayfish—this is why they are non-native invasive species—and of the importance of seeking to manage and, wherever we can control and eradicate them. They are very bad news for our watercourses. I will look into the problem, but it is very much a matter for Natural England.
