ParlaMint-GB_2017-12-05-lords.u1	To ask Her Majesty’s Government what actions they plan to take to tackle rural poverty.
ParlaMint-GB_2017-12-05-lords.u2	My Lords, government policy is based on economic prosperity and helping people out of poverty. The Government are again increasing the national living wage and tax thresholds, investing more than £9 billion in affordable housing, introducing the warm home discount, reforming the energy company obligation and providing 30 hours of free childcare. All these are intended to help people and families with low incomes across the country.
ParlaMint-GB_2017-12-05-lords.u3	I thank the Minister for that reply, but he will have seen the latest figures showing that UK poverty levels are increasing, with a 30% increase for children just in the past year. This is particularly damaging in rural areas, which are already being left behind economically in comparison to growth in the cities. This is a direct result of the Government’s policies. We know that rural employment is too low, low skilled and insecure. The abolition of the Agricultural Wages Board is making matters worse for those who work on the land. Further, young people in rural areas do not have easy access to decent schools, training opportunities or post-16 education. When are the Government going to accept their responsibility to tackle rural poverty and the lack of social mobility in these areas, which is holding their prosperity back?
ParlaMint-GB_2017-12-05-lords.u4	My Lords, I entirely agree that we need to advance on these subjects. That is why I am pleased to say that since 2010 we have 600,000 fewer people in absolute poverty—a record level—200,000 fewer children in absolute poverty, 300,000 fewer working-age adults in absolute poverty, 3 million more people in work and 954,000 fewer workless homes. That is the way in which we will ensure prosperity across the country and, in fact, it is why rural areas have lower unemployment. We are working extremely hard on a range of issues to ensure rural prosperity; the Government are doing all they can on that.
ParlaMint-GB_2017-12-05-lords.u5	My Lords, can my noble friend update your Lordships’ House on childcare policies and their impact on rural communities?
ParlaMint-GB_2017-12-05-lords.u6	I bet he has got an answer to that.
ParlaMint-GB_2017-12-05-lords.u7	Well, of course I have got an answer to that, my Lords. I have good hearing. Childcare is a hugely important part of the beginning of anyone’s journey, and that applies both to working families and to children. Two of the areas trialled on the childcare provision were in rural counties, to ensure rural proofing. In fact, there are 15,500 more teachers working in state-funded schools in England than there were in 2010. I am sure that all noble Lords agree that that is a very good thing.
ParlaMint-GB_2017-12-05-lords.u8	Does the Minister agree that the speedy rollout of truly fast broadband in the countryside, not the phantom speeds bandied about by Openreach, would lead to a much greater supply of jobs and thus an increase in prosperity?
ParlaMint-GB_2017-12-05-lords.u9	My Lords, this morning I had a meeting about rural enterprise with many of the interested parties. A leader of one local enterprise partnership said, “If we can crack connectivity, we will have cracked almost everything”. I entirely agree. This is a challenge in rural communities and for business. We are on track, with 95% of UK homes and businesses scheduled to have access to superfast broadband by the end of this year, and are seeking to increase that to 97% over the next few years. However, the universal service obligation is important as a safety net and we are looking at all sorts of innovative ways of getting to hard-to-reach areas.
ParlaMint-GB_2017-12-05-lords.u10	My Lords, housing is a key factor in evaluating poverty. In the county of Hampshire alone, over 20,000 people are on council-house waiting lists, with over 4,000 of them in the New Forest. Given that the Government have recently announced significant new funding for new housebuilding and new affordable homes, can the Minister give us a clear indication of the expected spending on homes for social rent in rural areas?
ParlaMint-GB_2017-12-05-lords.u11	The right reverend Prelate raises another important issue, that of affordable housing in the countryside. Between 2010 and 2017, 119,000 affordable homes were delivered in rural local authorities in England. We want to do better, which is why the Government have increased funding for the 2016 to 2021 affordable homes programme in England to more than £9 billion. Clearly, I—and other Ministers—want to ensure that rural housing associations bid for this programme, because it is important to ensure it for multigenerational situations in villages.
ParlaMint-GB_2017-12-05-lords.u12	My Lords, the Government set out a whole batch of measures that they are proposing to deal with poverty, yet poverty is increasing. What is going wrong with the Government’s policy?
