ParlaMint-GB_2017-12-19-lords.u1	That this House takes note of the Report of the Lord Speaker’s committee on the size of the House.
ParlaMint-GB_2017-12-19-lords.u2	My Lords, I thank the noble Baroness the Leader of the House and all those who have made today’s debate possible so soon after the publication of our report. I also recognise the contribution of my fellow committee members. It has been a great pleasure to work with them. We produced a unanimous report and the contributions of all members were very important. We were fortunate in having the support of the talented Tom Wilson as clerk, together with his team, and some experienced external advisers, who are listed in the report The committee has been greatly encouraged by the response of noble Lords to our proposals, and indeed from those outside the House. For their part, the Government have made it clear that they are interested in finding out whether the committee’s conclusions command widespread support in the House. I hope that today’s debate, involving almost 100 noble Lords, will serve that purpose and demonstrate that the proposals have strong backing Today, I will not repeat the details of the report. Many noble Lords have already heard me go through them—some more than once, I am afraid to say. Rather, first I will make a few general comments about key aspects of the committee’s approach and proposals. Then I will tackle some of the questions and issues raised with us since publication. Later today—if it is today—I will try to answer queries and concerns raised in the debate From the outset, the committee recognised that most people were understandably focusing on how to reduce the current number of Members of this House. By contrast, little thought had been given to how to stop the historic tendency of the House to increase in size. Whatever your views on the current or future size of the House, such a trend is simply not sustainable. Accordingly, while looking at how to get numbers down, we also focused on designing a system which would cap the membership of the House for as long as it remains an appointed Chamber—we called this the “steady state” Throughout our discussions, the committee’s overriding priority was pragmatism. We all know how difficult it is to achieve any legislative reform of this House. We set out to design a system which could be implemented without legislation, but which could be formalised in statute in due course if the political will was there. I stress that the purpose is not to exempt our proposals from the spotlight of legislative scrutiny in both Houses. Rather, it is to make progress in the areas where widespread agreement can be reached, as quickly as possible The first step was to analyse the options for ensuring a turnover of Members sufficient to allow the membership to be rebalanced and refreshed within a cap. It is clear to us—the reasons are set out in the report—that fixed terms are the only solution which will provide a steady stream of vacancies in a way which is fair to all groups. Therefore a key pillar of our recommendations is that all new Members should serve a single, non-renewable fixed term of 15 years. They would be offered the peerage on that basis and would make an undertaking to retire after 15 years when joining the House. We do not envisage any Members going back on their word, but we have robust legal advice that the House has the powers to enforce the undertaking to retire A second pillar is that appointments which became available would be allocated between the parties on the basis of the most recent general election results. This would be calculated as a combination of each party’s share of Commons seats and of the national vote. Along with 15-year terms, this would mean that the composition of the House at any point once we reach a steady state would give a 15-year picture of the political views of the country, as expressed in elections. Our calculations in the report show how the relative strength of the parties would have developed historically under our proposals. For recent years, they generally mirror what happened in real life in broad terms—with the single crucial difference that it would have been within a cap of 600 Members. Election results would of course not affect the Cross-Benchers. They would, as proposed by the great majority of your Lordships and others, make up a constant proportion of at least 20% of the House I now turn to the more immediate question of reducing the current membership to a reasonable level in a way that is fair to all, which is what the committee called the transition. The weight of opinion supported a membership of about 600, although our proposals would work just as well with a higher or lower number, within reason. In reducing the current membership of 824 to 600, there are two important but conflicting priorities. The first is to make the reduction within a reasonable period. The second is to enable a continuing flow of new appointments, so that the membership can be refreshed and rebalanced rather than stagnating The committee came to the view that, until we were down to a membership of 600, the best compromise would be a system with half of the departures contributing towards a reduction in the overall membership and the other half being allocated to new appointees. Once the target had been reached, each departure would lead to one appointment. I emphasise that these figures apply in aggregate across the House, not within each party group. I will touch on this later because there has been some confusion Appointments would be made in line with election results as I described earlier, so replacement rates would vary between parties. The speed by which the target of 600 is reached depends on how rapidly existing Members leave the House. We understand that no current Members can be forced to leave without legislation, so it will be for the House as a whole to decide how quickly to proceed and for individual Members to retire when the time comes The committee’s report sets out a proposed profile of departures, which would enable the House to come down to 600 over about 11 years. The departure rate starts off gently but increases over time; the committee came to this view because it reflected the increasing age and length of service of current Members, and the fact that they will have longer to make retirement plans. Each party group would contribute the same number of retirements as a proportion of its pre-2018 membership each year, but of course the number of new appointments would vary according to how well that party had performed in the most recent election. As for which individuals should leave and when, the committee felt it was right to leave this decision in the hands of the party groups, but we have made some suggestions. For example, age or a combination of age and service might be useful yardsticks These are the key elements of the scheme. If we are to make progress, we will need agreement from the Prime Minister that she will make new appointments in line with the suggested formula for total numbers and for the allocation of appointments by party. She has the power to give this scheme the momentum it needs. If subsequently we can show progress it is difficult to imagine that her successors would revert to the current unsustainable position. But to get to this position we require the support of the party groups, which will be responsible for meeting the retirement targets agreed by the House—and a willingness from all of us to take a constructive approach to our own retirement plans I now turn to some of the main comments and queries we have received since the report was published. First, many people have asked why the reduction to 600 cannot take place more quickly. It certainly could, but increasing the ratio of departures to new appointments would slow down the flow of appointments, with a knock-on effect on refreshment and rebalancing. The only desirable way of speeding up the reduction is for people to retire at a faster rate. This is in the hands of your Lordships. The committee put forward what it thought was a reasonable pace Secondly, others have suggested that the “equal contribution” process is unfair—why should each party be required to achieve the same rate of departures regardless of whether they are currently overrepresented or underrepresented in the House? But departures are only half the story. It is necessary to take into account both departures and appointments. Because new appointments will be allocated on the basis of the most recent election the party breakdown will adjust accordingly from day one. If a party’s electoral performance is better than its initial share of seats, its overall share of the House will gradually increase—and if its electoral performance is worse than its initial share of seats its overall share of the House will fall The third common query has been about what happens to groups that miss or exceed their departure targets. The answer is straightforward: for each departure below or above target the party gets one less or one more appointment. We are satisfied that there is no realistic way of gaming this arrangement. A party that overdelivers on retirements will have more appointments but this will not affect its total strength in the House. Similarly, a party that underdelivers on retirements will have fewer appointments but will not gain in its overall party strength Fourthly, some Members have expressed their dissatisfaction that the hereditary by-election system is left intact under our proposals and that the number of Bishops will remain at 26. We have stressed that this does not reflect our personal preferences, but the reality is that legislation would be needed to make any changes in these areas. We suggest that this is not an issue for today Fifthly, a number of people have stressed that a Prime Minister needs to be able to appoint Ministers directly to the House. The committee agrees. Our proposals make specific provision for Prime Ministers to bring forward one of their appointments when they are due, enabling them to appoint Ministers at short notice Sixthly, there was some concern about effective Ministers being forced to leave office when their Lords terms expire. We propose that serving Ministers within the statutory cap, as well as certain Lords officeholders, should be allowed to remain in the House until the end of their period of office, even if this takes them beyond the 15 years Seventhly, some Members have asked what would happen in certain unusual circumstances, such as the swift emergence of a new party or a party refusing to use its allocation of appointments. I refer noble Lords to appendix 5, which deals with these issues Finally, we are aware that our proposals in respect of non-affiliated Members need further work. We hope that they will sign up to the principles of the scheme and take a responsible decision about when to retire, but we accept that the House may need to exert pressure in some instances. It is particularly important to get this right so that there are no incentives for Members of the main groups to join the list of non-affiliated Members to avoid the tap on the shoulder from their group We have also received representations on a number of issues which, while we have sympathy with the points raised, were not within our remit. These include the regional, gender, age and ethnic balance of the House, which lies in the hands of the party leaders and HOLAC, who are responsible for selecting new Members. We have also had questions about the system of financial support for Members, which is a matter for the House of Lords Commission and the party leaders These are important issues for the future. The only question now is whether implementing our proposals would make it more or less likely that we would be in a position to make progress with these issues. For myself, I cannot see why the position would be worse and in the longer term I hope we would see an improvement In concluding, I say to your Lordships that this may well be the last opportunity for the House to tackle its size on its own terms. Our proposals would end the anomaly of it being the only Chamber in a western democracy which has no cap on its size and no limits on length of service. Resolution of this issue would comprise the third and final key step in the development of a sustainable appointed House, without prejudice to any future introduction of elections The first step was the introduction of life peerages in 1958, which enabled Prime Ministers to rebalance the composition of the House without creating permanent titles to be handed down the generations. The second step was the House of Lords Act 1999, which largely dealt with the outmoded phenomenon of membership by birthright. The problem is that neither reform dealt with the inflationary pressures which stem from combining political rebalancing with lifelong membership. I regard the committee’s proposals as this third step If we can create a system which enables rebalancing and refreshing of the membership within a fixed cap we will have cracked a problem inherent in granting peerages that entitle the recipient to a lifelong seat in this House. I greatly look forward to hearing the views of noble Lords throughout the day. I beg to move.
ParlaMint-GB_2017-12-19-lords.u3	My Lords, I thought that it would be helpful to the House to say at the outset that I will keep my remarks brief, as my main purpose today is to listen to what the House has to say about the report of the Lord Speaker’s committee I thank the noble Lord, Lord Burns, and the other members of the committee. This report is a serious piece of work that provides much food for thought about how we might address the size of this House. I am grateful to all noble Lords contributing today. This is a debate in which views from across the House are important, as this is a report by the House for the House During today’s debate, I hope that noble Lords will give their views on the report and ask any questions they have about the analysis and recommendations. It will be for the noble Lord, Lord Burns, and not for me, to respond to those questions. It may be that, arising from this debate, the committee wishes to reconvene to consider additional points, which I understand it has offered to do if necessary What has been clear to me through discussions with noble Lords over the past few months is that there is a desire, across all Benches, to ensure that, whatever reforms might be implemented in the future, this House continues to draw on the invaluable breadth of expertise and experience of Peers as we do today so that we can continue to perform our important role of scrutinising and revising The Government have been clear that comprehensive reform of this House which requires legislation is not a priority for the current Parliament. The House we have today is not the product of any deliberate design but draws legitimacy from the value it adds to the legislative process, complementing the work of the elected House Noble Lords who have been in this House much longer than I have will have lived through both significant reforms and stalled attempts. Those attempts which failed did so because they were unable to achieve the necessary consensus, and in many cases this also meant consensus in the other place. House of Lords reform is a complex, difficult and constitutionally significant area into which anyone must be advised to tread with caution and having learned the lessons of history and unintended consequences. I recognise that the noble Lord, Lord Burns, and his committee have understood this and reflected it in the way they have approached their deliberations. As such, they have focused on developing proposals that they believe will not require legislation For the Prime Minister and the other party leaders, the committee has recommended a cap on the number of appointments made each year and a set formula when allocating those numbers to political groupings. This recommendation requires detailed consideration of the constitutional and political issues it raises. I know that the Prime Minister will consider carefully her response, as I am sure will the other party leaders The context of the Burns report is a widespread concern among noble Lords at the size of the House and what has been perceived as a never-ending increase in numbers, with attendant fears over the reputation and effectiveness of this House as a second Chamber. I am sure that today’s debate will reiterate this concern. In light of this, it is worth highlighting the fact that the Prime Minister has taken a restrained approach to appointments. Total membership has decreased since July 2016 when she took office A key first challenge that the noble Lord, Lord Burns, and his committee have set the House is to take advantage of the means which already exist to help achieve this end: that is, to encourage sufficient retirements. Seventy-eight Peers have chosen to retire since 2014, when this option became available. The Conservative group in this House takes our responsibility in this regard seriously, which is reflected in the number of those retirements which have come from the Conservative Benches As in all things, this House works at its best when it exercises self-regulation. If we are to meet the targets that the committee has set out, I am sure that noble Lords will agree that it is incumbent on all groupings in this House to consider what they can do to further promote the culture of retirement among their members at the appropriate point Noble Lords will note that achieving sufficient retirements forms the basis and to a significant degree dictates the success of the report’s proposed approach to reaching the goal of a smaller House. We must show our commitment as a House to reducing our size if we are to expect party leaders now or in future to agree to the restrictions that the report seeks to place on them. There are indeed two sides to achieving the outcome that the report seeks to achieve As I made clear, I believe that if we are to make progress, we have to do this together as a House. Indeed, the recommendations set out by the noble Lord, Lord Burns, and his committee depend on this. The way forward will not be for the Government to lead on and deliver alone I end simply by reiterating my thanks to the noble Lord, Lord Burns, and the other members of the Lord Speaker’s committee for their hard work. They have produced a valuable report which I am sure will lead to a thought-provoking debate.
ParlaMint-GB_2017-12-19-lords.u4	My Lords, as Ella Fitzgerald once sang: “We can’t go on this way” A year ago this month, this House arrived at the same conclusion and agreed that reduction in our numbers into a sustained future was the way forward for our credibility and that methods be explored by which this could be achieved. The significant move did not come out of the blue. It came from the Campaign for an Effective Second Chamber, and thanks must go to its officers and members for their perseverance over many years. Thanks must also go to our Lord Speaker, who was determined there and then that a committee be set up urgently to explore the means by which we move forward. I was privileged to be a member of that committee, and I thank our chairman, the noble Lord, Lord Burns, for his leadership and his astonishing ability to resolve multiple complex issues before our very eyes. His membership of the Magic Circle must surely be imminent. Of course I thank my fellow committee members for their wisdom, patience and good humour. After lengthy and robust debate, the final report was approved unanimously Not everyone in this Chamber will agree with every paragraph—some may not agree with any—but I sincerely hope that a majority of your Lordships will agree that we have a fair and sensible plan of action in front of us, within our limited terms of reference. Our challenge was to ensure respect for existing Members while laying sound foundations for a sustainable future for new Members. I believe that this is our best shot at reform for a generation, and we need to grasp this opportunity, despite it not being everyone’s perfect vision. Until we do that, as the noble Lord, Lord Burns, said, the Prime Minister, No. 10, the Government and the leadership of the political parties in the country will not hear their prompt to step on to the stage with us and be part of our reformed future. We should be proud of the detailed scrutiny we do in this House, yet that is often not as the public and the media see us. To put it mildly, we are not loved, and our willingness to embrace this report today may go some way to healing that disconnect In a nutshell, after listening to evidence from noble Lords and others, we recommend a future House of 600 Peers, its numbers capped, with 15-year terms for new Members, with the possibility of a five-year pause. New Members would be subject to a code of conduct undertaking to leave the House after that period. No party would have an absolute majority and a minimum of 20% of seats would be reserved for the Cross-Benchers. Parties would share political appointments in line with the results of the previous general election, based on an average of the parties’ share of the national vote and of the seats won in the House of Commons. The combination of this formula and the 15-year term limit would ensure that the future make-up of this House reflected the political views of the country over the medium term. This would be an historic first for us. To reach this point it is suggested that there be an accelerated “two out, one in” programme of departures. On page 3 of our report there is a chart showing how this would look until 2042, with a very gentle start in the first five years for existing Members. That is what our report proposes. It does not propose new legislation. Our terms of reference were to identify practical and politically viable options that might lead to progress on this issue. Waiting for successful legislation to come along, as we know, is neither practical nor politically viable. The report does not propose a specific retirement age as society is moving away from that and, anyway, so many of our older active Members make a significant contribution to the work of Parliament. It does not propose an allocation of Peers via the nations and regions, as some noble Lords wish. We believe that it is the responsibility of the political parties to ensure that membership is not London-centric. The report does not alter the situation regarding hereditary Peers’ by-elections, despite the negative effect that has in terms of gender and background in a capped House, because that would require legislation; similarly, with the Bishops’ Bench. However, many of us believe that government support for a Private Member’s Bill, such as that of my noble friend Lord Grocott, may follow hard on the heels of this reform package being accepted. We can live in hope Christmas is coming and our best Christmas present to ourselves this year would be—no, not BB-8 from “The Last Jedi”—overwhelming support for the document in front of us.
ParlaMint-GB_2017-12-19-lords.u5	My Lords, when it was announced that the Lord Speaker was to establish a committee to look at ways of reducing the size of your Lordships’ House, I do not think many of your Lordships thought that it would achieve anything. Indeed, there were some cynics who suggested that that was its very purpose. However the noble Lord, Lord Burns, and his committee have proved the doubters wrong. They have produced an elegant set of proposals that fulfil their remit and have done so by proposing a very British way forward—constitutional reform by informal agreement. They deserve our thanks From these Benches we have no objection to the principal features of the proposals. They would, if enacted, lead to a considerable diminution of Liberal Democrat ranks—for the foreseeable future at least—but we cannot complain about that. If we had had our way during the coalition and if the 2012 House of Lords Reform Bill had been enacted our numbers would already be smaller, as we would have had our first set of elections under the new system. Noble Lords know that we were prevented from getting the Bill through by a coalition of Labour and Conservative MPs, who by rejecting reform gave a vote of confidence to the current arrangements. It is rather amusing therefore to see members of those parties now grumbling that there are too many Liberal Democrats in your Lordships’ House. They had the chance to do something about it and they flunked it The proposals from the noble Lord, Lord Burns, offer an alternative way forward. From these Benches, as I say, we support their principal features: a significantly reduced size of your Lordships’ House, party membership based on electoral performance, and a gradual phasing in of the new arrangements. We do not of course resile from our policy of having elections for the political Members of your Lordships’ House, but we are realistic enough to know that this is not going to happen any time soon. In the meantime, it is highly desirable that something is done to reduce our size A problem about any proposal for reforming your Lordships’ House is that there are many possible models and, if past experience is anything to go by, absolutely no agreement on what a perfect arrangement would be. If we are serious about reform, I suspect that every single Member of this House will have to accept at least some features of the new system with which they disagree. If we are to have reform, therefore, we must not, individually and collectively, let the best become the enemy of the good There are certainly some features of the proposals before us today which we believe are not ideal. The argument for having membership based on the mean of votes cast and seats won has in our view no rationale. It is a fix. It benefits the two largest parties at the expense of everyone else and yet again reflects the steadfast determination of Labour and Conservatives alike to prevent Parliament, even your Lordships’ House, reflecting the will of the people, to their own permanent advantage The inability to do anything about the remaining hereditary places is also a problem. This is one element of the proposals about which we on these Benches can afford to take a relatively relaxed position, as we are barely affected, but, at this point, to have a reform which increases the proportion of hereditary Peers, however personally distinguished, is perverse. If the main thrust of the reforms are accepted by the Government, we hope that they might also relent in standing out against the Private Member’s Bill of the noble Lord, Lord Grocott, or a Bill of their own which would deal with this problem. The same consideration applies to the number of Bishops but, again, a short, free-standing Bill could deal with the issue Our main concern with the proposals, however, is not their content but the attitude of the Government towards them. If we and the other parties and groups are to agree voluntarily to reduce our numbers, we need a cast-iron assurance from the Government that they will also accept them. There is no point increasing the flow of Members out of your Lordships’ House if the Government at the same time are not reducing the flow of people in. In this respect, it is concerning to read reports that, any day now, the Government plan to create another tranche of Peers. If, as seems likely, they follow the plea of St Augustine—namely, “Lord, make me pure, but not yet”—and follow this up over Christmas with another list of Peers, the proposals before us today are on the life-support system. The Government are already by far the largest bloc in the House. If this advantage is significantly increased, and if the other parties were to accept and stick to these proposals, the Conservatives would entrench their advantage for many years, even if they were to do less well in future general elections. I am sure that even noble Lords opposite who support these proposals would see this as unacceptable So we are prepared to give these proposals a cautious welcome today. We would greatly prefer the politicians in the House to be elected. We do not think constitutional reform by informal agreement is the ideal way of entrenching things, but the key thing now is the attitude of the Government. If in today’s debate there is a large majority of support for the proposals before us, as I expect there to be, will the Prime Minister constrain her current unfettered powers to create Peers in order to make the proposals viable, and will she act in good faith by not putting more Conservatives in your Lordships’ House before the new system kicks in? To coin two phrases, the ball is in the Government’s court and the clock is ticking.
ParlaMint-GB_2017-12-19-lords.u6	My Lords, I thank the noble Lord, Lord Burns, for the very helpful way in which he introduced this debate, and all members of his committee for the work they have done in the preparation of the report. How very fortunate we are that the Lord Speaker was able to capture the noble Lord, if capture is the right word, during his brief period of rest between two very demanding appointments, to perform this task for us As so often happens in life, the problem is easy to identify. Finding a solution to it is much more time consuming and difficult. The problem, of course, is that the House is too large and, if nothing is done about it, the House will without doubt grow still larger. The comparisons so often made with the Chinese People’s National Congress in Beijing are rather unfair. We have all seen the pictures—the serried ranks, everyone there, every seat filled, everyone anchored to their seats, no sign of any dissent from the party line. Of course we are not like that. For one thing, so much of what we do is done outside the Chamber, as the noble Lord, Lord Howell of Guildford, pointed out yesterday. For another, in our case, attendance is not compulsory. The daily average at present is only about 490. In the case of the Cross-Bench group, for example, on any given day, no more than about half of our number are present. To a not insignificant extent, therefore, we are a part-time House. We draw strength from that. Many of our Members have outside interests, their engagement with which adds to the quality of our debates and the work of our committees. Nevertheless, our increasing size is an embarrassment to say the least, and if nothing is done, it risks being even more than that. We are running out of space. We cannot give everyone the desks and office space that they need. That, in short, is the problem What, then, of the solution that the noble Lord, Lord Burns, and his colleagues have come up with? In answering that question I must make it clear that, although I am their Convenor, it is not open to me to express a view on the issue on behalf of the Cross-Bench group. It was suggested that I should seek to gather signatures from our membership in support of the report. But that is not the way that the group works. It is not for me to tell them what to do or to canvass support for either side. What I can say, however, is that it is my impression—1 can put it no higher than that— that the group is in favour of the report’s conclusions. I base that impression on the complete absence of complaints or representations given to me against it, and on the many indications that I have received of support for it I am sure that if any of the 31 Cross-Benchers who will speak after me disagree, they will make their position clear. My own position, for what it may be worth, is that the noble Lord, Lord Burns, has taken our search for a solution a very long way. This is an excellent report, which deserves to be supported. But I must leave it to those who will speak after me from the Cross Benches to express their own views Time is short, and this is not an occasion to go into detail, but, speaking for myself, I am content with the recommendation that we should seek to limit our numbers to 600. A system of fixed-term appointments is far preferable to a system based on age or length of service, and I am of course happy with the recommendation that the Cross-Bench group should be fixed at 20% of the House’s membership. But I must face the fact that reducing the number of Peers on the Cross Benches in the way recommended by the report will not be an easy task. The Convenor can advise or try to persuade, but cannot direct or give orders to anybody. Of course, everything will depend on whether the Government, and the Prime Minister in particular, will support the scheme. I very much echo the words of the noble Lord, Lord Newby, in searching for a cast-iron guarantee in that respect. I hope that they will be able to give that. The scheme cannot operate without their agreement I should like, however, to mention one matter that, although not within the remit of the noble Lord, Lord Burns, will require careful attention if the scheme goes ahead—here I echo some words of the noble Baroness, Lady Crawley. We must try to ensure that all regions are properly represented so that the House does not become even more centred on London and the south-east than it already is. Members who attend less frequently, and would thus be among those more likely to be asked to leave as we reduce our numbers, tend to be those who live further afield. We must not be too ready to ask them to go. We must also bear in mind that the daily allowances have not been increased to keep pace with inflation since they were introduced seven years ago. Left as they are, they risk leaving Members who have to find accommodation in London out of pocket day after day after their hotel bills or other costs have been paid. Those who live in London do not face those costs and they do not have to travel long distances to get here This is a serious issue for people like myself who do. If, as seems likely, a smaller House will require more frequent attendance, steps will have to be taken to ensure that those who live further away are not so penalised by lack of support that they will stop coming, as some perhaps already do. I am sure that other factors will require attention as we reduce our numbers, but the need for proper representation by Members from all parts of the country and ensuring that they are not out of pocket when they come here—that at least they are entitled to expect—should be high in the order of priority.
ParlaMint-GB_2017-12-19-lords.u7	My Lords, as convener of the Lords spiritual, I welcome warmly the report of the Speaker’s Committee and pay tribute to the work of the noble Lord, Lord Burns, and his fellow committee members for their thoughtful and thorough attention to the question of the size of the House, which we all agree is in need of urgent resolution. I notice that the word “magic” has already been used in the debate, but the desire for love has also been added at Christmas time. To hear the leader of the Lib Dems imploring the work of the Lord in becoming pure is a most encouraging start to this debate The main recommendations of the committee are ones that I hope most of us in this House can rally behind. They offer a set of suggestions which, with good will and a spirit of co-operation, not least from the party leaderships, will provide us with a route map for reducing the membership of this House to a more acceptable level. That is something that my predecessors as convener and many others on these Benches have supported consistently. Rather than comment on the detail of the proposals, I thought that it would be helpful to focus my remarks on what the report did or did not say about the Lords spiritual A central feature of the recommendations of the report, as we have heard, is their non-statutory approach. In my own submission to the committee I suggested that a statutory solution was one that was most likely to stick. But these are finely balanced judgments and I can certainly see the case for moving quickly if there is a broad consensus behind achieving these changes without legislation. As the committee noted, a side-effect of the non-statutory approach is that there can be no change under this method to the number of Lords spiritual. As many noble Lords will know, as well as a retirement age of 70, these Benches operate under a cap fixed by legislation dating back 170 years, which would require further legislation to amend At the time that cap was placed on these Benches, Bishops made up around 5.7% of a much smaller House. To put that into some context, had the Victorians decided to fix Bishop numbers by proportion instead of a number, there would currently be 45 of us squeezing on to these Benches. As it is, while the number on these Benches has remained fixed and static at 26 for the best part of two centuries, our proportion in relation to the rest of the House has fluctuated as the number of Peers has risen, fallen, and risen again. It currently stands, as noble Lords have already calculated, being mathematically accurate like the chairman of the committee, at 3.3% In my submission to the committee, I made it clear that there is a variety of views on these Benches about reform of this House, numbers and proportions. I entirely agree with the noble Lord, Lord Burns, who said in a recent newspaper article that the most important thing was to get the major structure in place and not to be distracted from that by more complicated details such as legislation for Bishop numbers. We have no wish to be a distraction to the House on this urgent work. Having canvassed opinion on these Benches, I will briefly say something about the general consensus that I believe there is The proposals of the committee would see this House reduced to three-quarters of its current size. One has to go back over 30 years to when this House debated a government proposal on Sunday trading to find an occasion when more than three-quarters of the Lords spiritual took part in a single Division. That is partly a natural result of the Bishops’ Benches not operating in a bloc or as a party. The Bishops are 26 independent Members and, though I am a convenor, I am neither their leader nor their Whip, as we have heard with a similar group in the House this morning. Perhaps, like the Convenor of the Cross Benches, I may have some influence; that is no reference to our origin in Scotland, but to a possibility for making things work under the arrangements that we have Unlike other Benches in this House, 100% of the membership of these Benches have significant—some would say full-time—external responsibilities covering the regions of the country. It is fair to say that any problems of overcrowding experienced in the House are not generally caused by too many Bishops filling the Lobbies, blocking the gangways or occupying any other part of the House where people may gather. I cannot envisage another situation, certainly while the process of achieving a reduction is ongoing, where a similarly high proportion on these Benches would attend for a debate or vote. When legislation for reform looks set to come before the House that has the backing of the Government and commands the support of a wide constituency we will of course engage closely on the issue of Bishops’ numbers and proportions. Until then, we will continue to be as committed and active servants of the House and the country as we can, all the while operating fully within the spirit of the committee’s proposals.
ParlaMint-GB_2017-12-19-lords.u8	My Lords, I cannot pretend that I come to this subject entirely with a fresh mind. I have been at it for years. When I chaired the royal commission some 17 years ago—a number of very good friends were on the commission with me at that time—the House then had around 600 Members. It now has around 800 and some people have forecast that if we go on as we are, it will not be long before we are at 1,000. I remember talking to the Bishops at that time and, if I may say so, the right reverend Prelate’s contribution to our debate today reminded me of those discussions. The Bishops have a view and put it very eloquently, but they are also extremely co-operative on finding a practical and sensible way forward. His speech fitted exactly into that role The House decided that we ought to do something about our size. However, the essential point, which has been made several times already, is that getting the numbers down is pretty useless unless we have a plan to keep them down. The Lord Speaker took the initiative and set up a committee under the chairmanship of the noble Lord, Lord Burns. I have served on a good many Select Committees over the years and chaired a fair number of them; I do not think I have ever had a chairman as good as the noble Lord, Lord Burns, was of our committee. He was absolutely first-class and we are extremely grateful to him for what he did We decided early on that there was absolutely no chance of legislation and that we had to explore the self-regulatory methods. I say at the outset that self-regulation puts a great responsibility on each of us and unless we are prepared to go along with it, nothing will be achieved. We looked first at the question of the numbers and our first task was to see how we could get them down, but we had to have a system for keeping them down in a way that was fair for all and broadly reflected public opinion over the medium term. There was no attempt at all in our committee to alter the conventions of the House or the way we operate. Establishing that in our minds enabled us to consider ways of reducing the total membership, bearing in mind that we are appointed for life and cannot be forced to retire, but that a voluntary system of retirement is essential if we do not have legislation That is the nutshell of our proposals. We looked in our proposals at the different components that make up the House and we hope we will all consider these proposals very seriously. Those who serve currently in the House of Lords—existing Members—cannot be forced out without legislation. There is some flexibility in our conclusions—how quick and so on—but I explained it to people like this: “If you have been in the House for 20 years and are over 80, maybe in the next five years you ought to think about retiring”. That did not seem a terribly harsh view; a great many of your Lordships will think that a reasonable and responsible way to go The opposition parties get a guarantee of replacements, but cannot be expected to agree to our proposals unless they can be sure that the House does and—as has already been said—that the Government do. For the Government the decision is more finely balanced, but I come down on the side of giving the proposals a fair go. The number of peerages that the Prime Minister can recommend will not be very different under our proposals from the average number that Prime Ministers have recommended since the passing of the Life Peerages Act. Indeed, I see some advantages for the Government. They will be able to get a firmer commitment from potential Peers that they will attend and work, particularly as it is possible to grant a peerage without a seat in the House of Lords, as we pointed out in our report The Government are entitled to be assured that the House will accept self-regulation in the way we propose, however. There will need to be another debate to confirm that and the way the House wishes to go. The Government must have confidence that the House will not seek to use its majority in a way more assertive than it has historically done. If the Government could be satisfied on those matters I would say to the House, “Let’s give it a go”. That would not in all circumstances be a long-term commitment, but if the House agreed to the scheme of self-regulation so should the Government. However, if there is no such commitment, the Government clearly cannot go along with it. If self-regulation were agreed and then broke down, the Government would be able to revert to the existing system without any legislation, but I hope very much that that is never the way things go I would not think it wise for a Government who were assured that their business would be sustained to seek to prevent a House reforming itself by a self-regulatory agreement, to reduce excess numbers and make itself more efficient and more acceptable in the eyes of public opinion.
ParlaMint-GB_2017-12-19-lords.u9	My Lords, I wish to make just two broad arguments: about the imperative for reform now, and the legitimacy of the committee whose recommendations we are invited to endorse by taking note of its report today I will deal first with the legitimacy of the committee and its report. With the commendably active support of the Lord Speaker, your Lordships’ House established a fully representative Committee to look at reforms to deal with our increasingly embarrassing, ballooning size. Collectively, each major party and Cross-Benchers determined who should sit on it and who chaired it; it is our committee. Some colleagues have questioned details or specifics in the report and, yes, there are arguments for special pleading on this or that detail. Of course Members will find reason—I trust not excuse—in each bit to criticise the whole, but surely we all have to accept that the whole package hangs together or falls together. It is most ingeniously interconnected. Surely the point is that reducing the size has always been fiendishly complex, and that the committee has done an amazing job in solving the hitherto seemingly insoluble Secondly, I will talk about the imperative to act now. Weight watchers have shown that the best way to tackle a problem of excess is to combine personal responsibility with collective resolve and mutual support. The alternative—drastic surgery—involves unnecessary risk, no guarantee of success and an unpredictable outcome. A Commons Select Committee, having already begun considering the matter, stands ready to report but awaits the conclusion of your Lordships’ House. The media are also waiting to pounce. Newspapers, MPs and Ministers have already made threats over Brexit, which will doubtless increase to a crescendo when the withdrawal Bill reaches us early next year Yet we all know that things cannot continue as they are. We number over 800 and rising. Commercial properties are commandeered in the vicinity at great expense to provide us with additional offices. Through no fault of our own, we have become not so much an embarrassment but, many say, a scandal. At a time of austerity, when everything else is cut, our numbers rise inexorably through no fault of our own—until now Until we set up this committee to recommend reform some among your Lordships could argue we were more sinned against than sinners. We did not fill this House to bursting; Prime Ministers did. We did not put ourselves here, others did—although we all agreed with their immense wisdom in choosing each one of us. But all that changed when we, absolutely correctly, decided to establish the committee to solve the problem. That decision—our decision—means the buck stops right here with us in this Chamber today. Find excuses and we will be rightly pilloried. I therefore urge that the recommendations of this report are endorsed and implemented as soon as practicable early in the new year. I hope the noble Lord, Lord Burns, in replying will confirm this and I hope the Lord Speaker, with the party leaders, will also make sure that this happens When the committee was first established, I asked one venerable sage on our Benches for a view on the likely outcome. “It will be shelved as reform always has been shelved,” he said with a weary, knowing smile. I trust your Lordships’ House will prove him wrong. Things have reached a point where change is unavoidable. The question is therefore not whether there is change, but who makes it. Either this House takes responsibility or it will pass to the Commons and the Government. Either we reform ourselves or others will reform us.
