ParlaMint-GB_2017-12-21-commons.u1	1. When she plans to announce her decision on a new location for Channel 4.
ParlaMint-GB_2017-12-21-commons.u2	We have been clear all along that this is a publicly owned broadcaster. Channel 4 must provide for and reflect the country as a whole. We are still in discussions with Channel 4 about how it should do this, including through relocating staff out of London, and we will set out next steps in due course.
ParlaMint-GB_2017-12-21-commons.u3	Merry Christmas, Mr Speaker. Will the Secretary of State confirm that moving Channel 4 out of London would bring an approximate £600 million benefit to broadcasting, and that it is unacceptable that only four of the 120 commissioners of programmes for Channel 4 currently live outside London? There is an economic benefit, whether it is Salford, which I prefer, Birmingham, Sheffield or Leeds, and it should be done now.
ParlaMint-GB_2017-12-21-commons.u4	I thought it was going to be a bid for Wrexham, so I am interested to hear the right hon. Gentleman’s views on other locations. There are many estimates of the benefit, but Channel 4 relocating out of London would have a clear benefit to the country. It is a publicly owned broadcaster and as such we expect it to deliver public benefits above and beyond commercial benefits, and that includes relocating out of London.
ParlaMint-GB_2017-12-21-commons.u5	While I welcome the reports that Channel 4 will be employing more people and investing more money outside London, does my right hon. Friend agree that to send the message that Channel 4 is an alternative broadcaster serving different audiences, its headquarters should not be in SW1?
ParlaMint-GB_2017-12-21-commons.u6	My right hon. Friend speaks with great experience and knowledge on this matter, and the House does well to listen to his wise words.
ParlaMint-GB_2017-12-21-commons.u7	Does the Secretary of State agree that, as Channel 4 is not a programme maker but only a programme commissioner, there is limited benefit in moving staff, and surely it should be the programme making that reflects the diversity of the country?
ParlaMint-GB_2017-12-21-commons.u8	This is one of the arguments that has been made about how Channel 4’s business model operates. We have seen what happened with the BBC’s move to Salford—although I accept that the BBC has a different business model. That creativity and clustering of talent has had benefit. One has only to look at the analysis of the amount of programming that is currently commissioned outside London to see that basing Channel 4 outside London could have significant benefits for those independent production companies that are not in SW1.
ParlaMint-GB_2017-12-21-commons.u9	2. What steps her Department is taking to ensure that the level of National Lottery funding for charities is maintained.
ParlaMint-GB_2017-12-21-commons.u10	May I start by wishing you and Members of the whole House a happy Christmas, Mr Speaker? We are working with Camelot and the Gambling Commission to ensure that returns to good causes are as high as possible for the future, and with the lottery distributors to highlight the link between playing the lottery and supporting good causes.
ParlaMint-GB_2017-12-21-commons.u11	Merry Christmas to you, Mr Speaker, and to everyone else. I thank the Minister for her answer. Charities doing important work across the country depend on the money they are awarded by lottery distributors, but due to the fall last year and the expected fall next year of lottery income for good causes, distributors may not be able to meet their financial commitments. The Government have already agreed to underwrite any shortfall for UK Sport. Will the Minister now commit to doing so for other funding bodies?
ParlaMint-GB_2017-12-21-commons.u12	We are working with the Gambling Commission and Camelot to review their strategy, to ensure that there is no continuous fall in lottery funding. The national lottery has raised more than £37 billion for good causes since it started in 1994. Indeed, the hon. Gentleman’s own constituency has received £35 million across 400 lottery grants. Clearly, every Member of this House has an interest in making sure that the national lottery is a success. May I encourage everybody to go out and buy a ticket?
ParlaMint-GB_2017-12-21-commons.u13	May I wish you, Mr Speaker, and everybody else a happy Christmas too? It is not only the national lottery that provides invaluable funding for charities and good causes; so, too, do society lotteries. Last week we had an excellent Westminster Hall debate about society lotteries, and it was clear that there was cross-party support for reform. Will my hon. Friend commit to looking at society lottery reforms at the earliest possible opportunity in the new year?
ParlaMint-GB_2017-12-21-commons.u14	As my hon. Friend has said, we had an excellent debate last week in Westminster Hall. The answer to her question then and now is yes.
ParlaMint-GB_2017-12-21-commons.u15	Since my election in 2016 I have held funding advice surgeries twice a year to encourage charities in my constituency to gain lottery funding. One of the reasons for that is that the Big Lottery told me that it receives a very small number of applications from my constituency. What more can the Minister do to get the lottery out into constituencies such as mine to enable charities to access the funds and to help them with applications?
ParlaMint-GB_2017-12-21-commons.u16	That is an excellent idea. I encourage the hon. Gentleman to write to colleagues across the House to explain how he set that up in his constituency and how they can benefit from doing the same.
ParlaMint-GB_2017-12-21-commons.u17	Happy Christmas to you, Mr Speaker, and to my right hon. Friend the Member for New Forest West (Sir Desmond Swayne), who does not seem to have any Christmas spirit.
ParlaMint-GB_2017-12-21-commons.u18	Humbug!
ParlaMint-GB_2017-12-21-commons.u19	Does the Minister agree that national lottery funding should also be made available to smaller charities? Although they may help fewer people, in my constituency of Wealden there are very few options for vulnerable young and old people. In particular, clued-up.info in Crowborough helps teenagers; Sussex Oakleaf in Hailsham helps people with mental health issues; and the Now! Charity Group provides furniture for unemployed people and those on low income across East Sussex.
ParlaMint-GB_2017-12-21-commons.u20	I join my hon. Friend in congratulating the small charities in her constituency. Small charities provide a huge benefit in their locations. We celebrated the work of small charities on Local Charities Day last Friday, and we will continue to do all we can to support them in the future.
ParlaMint-GB_2017-12-21-commons.u21	I thank the Minister for her responses so far. Will she further outline whether she intends to oversee a more streamlined approach to administration, which would allow more funding to go to charities, and how would she envisage such a scheme?
ParlaMint-GB_2017-12-21-commons.u22	We look at administration issues all the time. This was reviewed recently and I am sure it will be a key part of the conversation as we take forward the next licence discussion.
ParlaMint-GB_2017-12-21-commons.u23	I would like to announce to the House that the Commonwealth games have just been awarded to Birmingham. As you know, Mr Speaker, the lottery provides vital support for sport, which is why it is so disturbing that this week the National Audit Office published a report saying that since 2009, lottery income for good causes has risen by just 2%, while the shareholder profits of the lottery licence holder, Camelot, have risen by 122%. Does the Minister think that those ratios seem fair? Will grassroots sport and the Commonwealth games be secure for lottery funding in the future?
ParlaMint-GB_2017-12-21-commons.u24	The cheek of the hon. Gentleman! We did all hard work on the Commonwealth games, along with Mayor Andy Street. It was announced formally at 9.30 this morning in Birmingham. I was pleased to sign the host city contract and I am pleased that we will hold the Commonwealth games in 2022. Obviously, the hon. Gentleman’s constituency will benefit from that, as will we all. Turning to the substance of his question, the Secretary of State and I are not unsympathetic to the points he made.
ParlaMint-GB_2017-12-21-commons.u25	3. What recent assessment she has made of the role of public libraries in increasing social mobility.
ParlaMint-GB_2017-12-21-commons.u26	Libraries play an important role in giving everyone opportunities to improve their life chances and achieve their full potential. That is why the Government have established the libraries taskforce and funds under Libraries Deliver to assist in that goal.
