ParlaMint-GB_2018-01-31-commons.u1	2. What steps he is taking to support cross-border economic opportunities.
ParlaMint-GB_2018-01-31-commons.u2	9. What steps he is taking to support cross-border economic opportunities.
ParlaMint-GB_2018-01-31-commons.u3	Last week, I hosted the first cross-border Severn growth summit in Newport. More than 350 people attended the event, all looking to strengthen the economic links between south Wales and the south-west. Through our industrial strategy, we want to build on this cross-border collaboration and help create prosperous communities throughout the whole of Wales.
ParlaMint-GB_2018-01-31-commons.u4	Shrewsbury, the county town of Shropshire, relies very heavily on trade with our friends and neighbours across the border in Wales. What discussions has my right hon. Friend had with his counterparts in the Welsh Assembly about dualling the A5, which crosses the border between England and Wales? Will he join me in paying tribute to my neighbour, my right hon. Friend the Member for North Shropshire (Mr Paterson), who has campaigned assiduously, but who has been very badly injured in a riding accident and is recuperating at home?
ParlaMint-GB_2018-01-31-commons.u5	We wish the right hon. Member for North Shropshire (Mr Paterson) a full and speedy recovery, but the fullness of the recovery is more important than its speed.
ParlaMint-GB_2018-01-31-commons.u6	Thank you, Mr Speaker. I pay tribute to my hon. Friend and to my right hon. Friend the Member for North Shropshire (Mr Paterson). Both are assiduous and relentless in their pursuit of the dualling of the A5. I would point them to the second road investment strategy for England. I liaise with the Welsh Government Minister Ken Skates regularly to pursue the issue, because it works for much better co-operation if we bring together investment priorities. My hon. Friend’s efforts are paying significant dividends in the negotiations.
ParlaMint-GB_2018-01-31-commons.u7	Every “Gavin and Stacey” fan knows that the journey from Essex to Wales involves the most expensive toll bridge charges in the country, so I am delighted that this Conservative Government have removed the burden of crossing the border for tourists, businesses and commuters generally. Will my right hon. Friend tell the House how he intends to capitalise on that wonderful news?
ParlaMint-GB_2018-01-31-commons.u8	I am grateful to my hon. Friend for reminding us of that iconic “Gavin and Stacey” scene where Smithy is struggling to get into Wales because he has to pay the £6.70 toll charge to cross the bridge. I would point out to my hon. Friend that tolls have been reduced by 20% in the interim, and by the end of the year they will be abolished. That will be one of the biggest stimuluses for the Welsh economy in decades. It will provide the opportunity for more and better-paid jobs, and a £100 million boost to the Welsh economy. This is an opportunity for the south-west of England and south Wales to come together as an economic powerhouse to provide better opportunities in the western side of the UK.
ParlaMint-GB_2018-01-31-commons.u9	My constituents who work in Bristol and beyond have to put up with chronically overcrowded rail services as fares increase. Will the Secretary of State talk to UK Government Transport Ministers—rail services are not devolved—to sort this out?
ParlaMint-GB_2018-01-31-commons.u10	The hon. Lady makes an important point about public transport in general. The Great Western franchise is out for consultation as we speak, and I encourage her, her constituents and south Wales Members to make representations about the improvements they would like. She talked about overcrowding, but one of the most overcrowded roads in the UK is around the Brynglas tunnels in Newport. I hope the Welsh Government get on with building that road sooner rather than later. After all, the UK Government made money available more than three years ago, and we are frustrated by the lack of response and reaction in building it.
ParlaMint-GB_2018-01-31-commons.u11	Since assuming office, the Secretary of State has broken a promise to electrify the main line to Swansea; vetoed devolving airport taxes to Wales because he does not want to upset Bristol airport; and not delivered on the Swansea bay tidal lagoon. Is not the reality that his record on the economy is failure, failure, failure?
ParlaMint-GB_2018-01-31-commons.u12	I am disappointed with the hon. Gentleman’s tone. I would point to significant wins for Wales over recent years, the most important of which is the fair funding settlement, which provided a 5% uplift—it will be a £67 million uplift in the next financial year and similar sums in subsequent years. Thirteen years of underfunding by the Labour party have been corrected in the first year of a Conservative Administration.
