ParlaMint-GB_2018-02-06-commons.u1	Object Bill to be considered on Tuesday 20 February.
ParlaMint-GB_2018-02-06-commons.u2	1. What steps he is taking to support the mental health needs of survivors and the wider community affected by the Grenfell Tower fire.
ParlaMint-GB_2018-02-06-commons.u3	I am very grateful to have the opportunity to pay tribute to the NHS staff who continue to work tirelessly to support the victims of the fire and their families. So far, more than 4,000 contacts have been made. Over 400 adults are currently in treatment and 96 have completed their treatment.
ParlaMint-GB_2018-02-06-commons.u4	We have heard the Minister’s words and a litany of numbers. I have two further questions. First, is she considering long-term funding for mental health services around Grenfell, which will be needed, and need to be planned for, for possibly up to five years? Secondly, is she addressing the severe shortage of acute beds for those suffering mental health crises, which was mentioned earlier, particularly as there is an entire ward under lock and key at the Gordon Hospital due to lack of staff funding and a huge need for acute beds there?
ParlaMint-GB_2018-02-06-commons.u5	The hon. Lady is quite right to press me on these issues. Clearly, there is going to be ongoing trauma, and we need to pay attention to that and make sure that there are adequate resources. I can assure her that this is very high on the list of priorities for the ministerial group. We have committed £23.9 million of national Government funds to address survivors’ needs, with additional expenditure on wider support. The autumn Budget committed a further £28 million to help support victims. I can also assure her that I am in regular contact with Central and North West London NHS Foundation Trust to make sure that we are doing our bit to address this need.
ParlaMint-GB_2018-02-06-commons.u6	2. If he will make an assessment of trends in the time taken between referral and treatment for patients at hospitals in Northern Lincolnshire and Goole NHS Foundation Trust in the past 12 months.
ParlaMint-GB_2018-02-06-commons.u7	In the past 12 months, the average waiting time for patients to start consultant-led treatment at hospitals in northern Lincolnshire and Goole was about nine weeks. We recognise that some trusts face particular challenges with their waiting lists due to rising demand. That is why a package of support, including a system-wide improvement board, has been established within the trust.
ParlaMint-GB_2018-02-06-commons.u8	The statistics that the Minister has given are very interesting. The Library has said that there is an average wait of 32 weeks—far longer than the nine weeks that he mentioned—and that it is six weeks longer in 2017 than it was in 2016. This is happening on his watch. What is he going to do? My constituents do not accept that it is good enough.
ParlaMint-GB_2018-02-06-commons.u9	I think the hon. Lady prepared her follow-up before hearing the answer. There is an improvement board established within the trust, chaired by NHS Improvement, that is tasked with reducing waiting times and ensuring that the standard is improved. Currently, the average time waited is 11 weeks for out-patients and seven weeks for in-patients.
ParlaMint-GB_2018-02-06-commons.u10	Will the Minister give an assurance that the support that NHS Improvement is giving to the trust will continue? He will know that this is the second time that the trust has been in special measures, and clearly we need continuing support. Will he also assure us that he will visit the trust—a promise that was made by his predecessor?
ParlaMint-GB_2018-02-06-commons.u11	My hon. Friend is right to point out the need to give support to this trust. That is why a wider package of £1.6 billion of funding has been given to the NHS to improve accident and emergency and elective care performance. Alongside that, we have specific work through NHS Improvement to address some of the particular issues that he alluded to in his trust.
ParlaMint-GB_2018-02-06-commons.u12	rose—
ParlaMint-GB_2018-02-06-commons.u13	rose—
ParlaMint-GB_2018-02-06-commons.u14	Order. We might hear from the hon. Member for Kingswood (Chris Skidmore) later, but I say to him in all friendly courtesy that while Kingswood no doubt has a great deal to be said for it, as does Congleton, both have one thing in common, and that is that they are a very long way from northern Lincolnshire.
ParlaMint-GB_2018-02-06-commons.u15	3. What steps he is taking to integrate local health and social care services.
ParlaMint-GB_2018-02-06-commons.u16	The fact that the Department has been renamed the Department of Health and Social Care reflects both their interdependence and our commitment to achieve co-ordinated care tailored to individual needs. The better care fund is a national integration programme that helps the NHS and local government to deliver better, more joined-up services.
ParlaMint-GB_2018-02-06-commons.u17	I thank the Minister for that answer and welcome her to her place. The proposal to build a community health centre in Thornbury and Frenchay is an essential part of joining up health and social care in South Gloucestershire. Will the Minister join me in highlighting the importance of Thornbury health centre and in pressing South Gloucestershire clinical commissioning group to make progress with the project as quickly as possible, after years of unnecessary delays?
ParlaMint-GB_2018-02-06-commons.u18	I thank my hon. Friend for raising that important issue. He is right to do so, and proposals such as those for Thornbury health centre are crucial for ensuring that health and social care are truly integrated and centred around each individual in the community. I am advised that South Gloucestershire CCG remains committed to progressing those plans as soon as possible and that the local NHS expects to be able to provide an update on plans next month.
