ParlaMint-GB_2018-02-21-lords.u1	To ask Her Majesty’s Government what assessment they have made of living conditions in Gaza.
ParlaMint-GB_2018-02-21-lords.u2	My Lords, the UK is very concerned about Gaza. We assess that around 1.6 million people are in need of humanitarian assistance. Households are receiving only five to six hours of electricity per day, there is limited access to safe water and power shortages are impeding health provision.
ParlaMint-GB_2018-02-21-lords.u3	My Lords, I am glad that the Minister has such an understanding of what is going on in Gaza. Let me add that it is so good to see him in his place.
ParlaMint-GB_2018-02-21-lords.u4	Hear, hear!
ParlaMint-GB_2018-02-21-lords.u5	However, with all these things that we hear are going on in Gaza, does the Minister agree that its people have now for 10 years been suffering cruel and degrading treatment, which amounts to the collective punishment of nearly 2 million people, more than half of whom are children? How long must this go on? How long will it be before our Government take some action?
ParlaMint-GB_2018-02-21-lords.u6	We are taking immediate action in the sense that we are providing humanitarian aid. The assistance that we are providing to UNRWA is helping some 1.1 million of the 1.9 million people who are there, but I have to say that the parties to the conflict must be the parties to the solution. There is an opportunity here in Gaza for its people to recognise the state of Israel, to renounce violence and to accept the agreements that are there to allow the situation to normalise and progress, as has happened in the Palestinian Authority areas. It is a desperate situation and we call on all those people to put the children, the women and the people of Gaza at the heart of their concerns.
ParlaMint-GB_2018-02-21-lords.u7	My Lords, the Minister mentioned UNRWA. We know that at the end of last year the US threatened its funding of UNRWA, which does such vital work. The EU and United Kingdom are the second and third biggest funders. What discussions have the UK Government had with the US Government to ensure that they do not follow through on the threat of withdrawing such significant funds from UNRWA?
ParlaMint-GB_2018-02-21-lords.u8	Our understanding is that of $125 million due to be paid to UNRWA in January, $65 million was withheld. We have made the consequences of doing that very clear to our US friends. We have also made clear our strong support for UNRWA. At the same time, the US rightly points out that it is responsible for a significant proportion of UNRWA’s budget. Whereas the UK, France, Germany and Saudi Arabia contribute around $60 million to $70 million, the US contributes some $360 million. The US has said that it wants more countries that are expressing concern about Gaza to reach into their pockets and put money into the situation as well. We continue to hope that the situation will be resolved very quickly, as we believe that the longer it goes on, the more damage it does to the people of Gaza and the Palestinian refugees for whom UNRWA is responsible.
ParlaMint-GB_2018-02-21-lords.u9	My Lords, is my noble friend familiar with the case of Ahed Tamimi, the teenage Palestinian girl currently in custody and subject to a trial behind closed doors? Have any representations been made by Her Majesty’s Government in relation to this detained teenager? Do they have any concerns about reports that she may be subjected to sexual violence while in detention?
ParlaMint-GB_2018-02-21-lords.u10	Those are very serious concerns. We are aware of the case. My noble friend will be aware, from her former distinguished role in the Foreign Office, that representations have been made. They have certainly been made at a diplomatic level. I believe they have also been made at a ministerial level but I will correct that if it is not the case. We remain very concerned about the situation and will be seeking its urgent resolution.
ParlaMint-GB_2018-02-21-lords.u11	What representations have been made to the Israeli Government about the 54 Palestinian patients who, according to the World Health Organization, died while awaiting permits to exit Gaza for medical treatment in 2017?
ParlaMint-GB_2018-02-21-lords.u12	We continue to work through that, most importantly by trying to ease the effect of those restrictions. We are major funders of a body called the UN Access Coordination Unit. We are trying to work through that body to ensure that the majority of people who need medical treatment get access to it in a timely manner. But we remain very concerned about those reports.
ParlaMint-GB_2018-02-21-lords.u13	My Lords—
ParlaMint-GB_2018-02-21-lords.u14	My Lords—
ParlaMint-GB_2018-02-21-lords.u15	My Lords, it is the turn of the Cross Benches.
ParlaMint-GB_2018-02-21-lords.u16	My Lords, as a former chairman of Medical Aid for Palestinians, I entirely endorse the remarks of the noble Baroness, Lady Tonge. Do the Government realise the appalling effect of conditions in Gaza on Arab and Muslim opinion throughout the world? Do they give sufficient priority, effort and importance to tackling this abysmal situation? It has gone on for 10 or 20 years and it is appalling.
ParlaMint-GB_2018-02-21-lords.u17	I certainly echo the view that it is absolutely appalling. The suffering in Gaza is a shame on humanity. Of course, the question then is: what do you do about it and who can unlock this process? We believe that the parties to the conflict have to come together and, in the interests of humanitarian need, resolve their differences. We believe that there is a possibility. We recognise that Israel has taken some steps down this road recently by easing some of the restrictions on access to construction materials. There has been some movement in Cairo in Egypt—of course, Egypt blocks the border to the south as well—where there have been some efforts at reconciliation between Fatah and Hamas. All the elements are there. It is frustratingly close. To see so much suffering continuing is a tragedy.
ParlaMint-GB_2018-02-21-lords.u18	My Lords, given that the Government’s policy, and that of their predecessor, has for years rightly been to support a two-state solution, is it not something of an anomaly that we recognise only one state in the area? When will the Government give further consideration to the recommendation of this House’s International Relations Committee, which was that we should consider recognition of the state of Palestine? That would be a very significant step forward and give long-overdue dignity to the Palestinian people. When will the Government move in that direction?
ParlaMint-GB_2018-02-21-lords.u19	It is a very sensitive situation and the noble Lord is right to raise the point. The answer to the very influential report that was prepared is to say that that recognition will come when we believe that it will contribute to helping the peace process. Our belief is that recognition at this stage would not be helpful in the Middle East peace process, continued work on which is our primary concern at this time.
ParlaMint-GB_2018-02-21-lords.u20	To ask Her Majesty’s Government, in the light of the loss of retention monies by small firms following the insolvency of Carillion, what steps they are taking to provide protection against such losses in the future.
ParlaMint-GB_2018-02-21-lords.u21	My Lords, the Government are committed to improving payment practices. Our consultation on the contractual practice of cash retention, alongside a parallel consultation on the effectiveness of the 2011 changes to the Construction Act 1996, closed on 19 January. We are now considering the responses.
ParlaMint-GB_2018-02-21-lords.u22	My Lords, retentions as currently practised mean that not only do small construction firms have to wait to be paid for work that they have done, often for several years, but that when a client company becomes insolvent they never get paid at all. Carillion alone held some £700 million of retentions, which its suppliers have now lost. Can the Minister assure us that immediate steps will now be taken to protect small firms from the loss of funds they are owed—for example, by ring-fencing retention funds in secure trust accounts? Will he look at the 10-minute rule Bill recently introduced in the other place by Peter Aldous MP, with widespread cross-party and industry support, as a possible approach to achieving this? When will something happen after all the promises we have had over the years?
ParlaMint-GB_2018-02-21-lords.u23	My Lords, I agree with some of the noble Lord’s analysis about problems related to retention, a practice that is common within the construction industry but which has negative impacts. That is why we had the consultation, as I think he knows. We obviously want to consider the results of that consultation and in doing so we will look, as he has suggested, at Peter Aldous’s Bill and see whether it is appropriate that we can take further steps. But the consultation having been completed, we need to consider it first.
ParlaMint-GB_2018-02-21-lords.u24	My Lords, you have to wonder why this Government have it in for SMEs. We have a Small Business Commissioner who seems to have none of the powers necessary to do anything about the late payments scandal that they have to face; and on retention, as we have just heard, very good and well-argued proposals have been played into the long grass and will not see the light of day for some time, as the Minister seemed to suggest. Should this not be put immediately to the task force that the Secretary of State has put together to advise on how to mitigate the Carillion disaster?
ParlaMint-GB_2018-02-21-lords.u25	My Lords, as I said, we are considering these matters. The noble Lord quite rightly points out the task force that my right honourable friend has set up; I add that the Small Business Commissioner, Paul Uppal, will sit on that task force. We will consider all the options as a result of that but we will not rush into legislation; we are going to consider what is appropriate. Perhaps we can give some support to Peter Aldous’s Bill but these matters need to be considered and we will then deal with the problem.
ParlaMint-GB_2018-02-21-lords.u26	My Lords, if the retention moneys at Carillion have gone walkabout, surely that is the legal responsibility of the board of directors of that company and prosecutions should follow accordingly. But in relation to retention moneys in general, in addition to what my colleague the noble Lord, Lord Aberdare, suggested, could we not consider the simple principle that if you buy a house and pay a deposit, that money rests with the lawyers for the transaction until such time as completion is made?
ParlaMint-GB_2018-02-21-lords.u27	My Lords, I am not going to comment on the first part of my noble friend’s question as that is obviously a matter for the official receiver and the legal authorities more generally. On his more general points about retention moneys, we believe they have negative impacts. We want to consider the right way forward, and will then take action.
ParlaMint-GB_2018-02-21-lords.u28	Retention has been described by the Federation of Small Businesses as a total scam. Now industry is coming together to abolish retention, to have project bank accounts to manage large procurement projects, and to remove the incentives for late payments and bad cash-flow practices by the Carillions of this world. I understand what the Minister said about considering the consultation, but will the Government join in and implement project bank accounts for large government projects?
ParlaMint-GB_2018-02-21-lords.u29	Again, my Lords, I am not going to make promises at this stage about what we will do because, as I made clear, we want to consider the consultation. We have also made clear that we recognise that retention, which is common in the construction industry, can have negative impacts. That is why we set up the Small Business Commissioner to assist on late payments. As the noble Baroness will be aware, we had a debate on that matter only the other day. Things are happening. Things will continue to happen. We will continue to look at that consultation and we will then take action.
ParlaMint-GB_2018-02-21-lords.u30	My Lords, will the Minister comment on the ongoing role and remit of the Financial Conduct Authority, not only on the narrow point but on such questions as its relation with the big four auditing companies? Is this within the scope of this separate inquiry?
ParlaMint-GB_2018-02-21-lords.u31	I think the noble Lord is going somewhat beyond the Question on the Order Paper and I do not think I ought to comment on that at this stage. We are looking at the practice of retention. I have made clear where we are, and we will act when appropriate.
ParlaMint-GB_2018-02-21-lords.u32	Is the Minister aware that his consultation process started as a result of an undertaking by one of his colleagues to have a review, which started some two years ago? I declare an interest in this as set out in the register. This is far too long a period to say that we are just awaiting a further consultation. How long does this process have to take and how many businesses are going to go bankrupt? It is not just the Carillions of this world. It is small builders, 95% of which employ fewer than 10 people, who are intimidated by companies from seeking the legal redress which would be the obvious route to get the money to which they are entitled.
ParlaMint-GB_2018-02-21-lords.u33	The noble Lord is quite right to point out that this started during the passage of the 2016 Act as a result of promises made by my noble friend Lady Neville-Rolfe. We instituted a report into this matter to gather evidence and following that report late last year we instituted the consultation. The consultation ended in January. That is why we are now considering that consultation, and we will act when appropriate.
ParlaMint-GB_2018-02-21-lords.u34	To ask Her Majesty’s Government what priority they give to the provision of and funding for local neighbourhood services.
ParlaMint-GB_2018-02-21-lords.u35	My Lords, I beg leave to ask the Question standing in my name on the Order Paper and remind the House of my registered interest as a district councillor.
ParlaMint-GB_2018-02-21-lords.u36	My Lords, the local government financial settlement sees a real-terms increase in resources to local government over the next two years and gives councils the ability to protect important services. However, local authority spending priorities are ultimately a matter for local decision.
ParlaMint-GB_2018-02-21-lords.u37	My Lords, the Government are of course right that local priorities will be decided locally, but when the question is which services to cut the priorities are rather different. Across the country, fewer streets are being swept, libraries and leisure facilities are being closed, 500 children’s centres have closed, neighbourhood policing is collapsing in many areas, there are fewer food inspections and in many places local bus services are being removed, while throughout the country it appears that local authorities are totally unable to fill in potholes. Do the Government not realise that what is going on cannot continue much longer without the whole fabric of local community services being destroyed?
ParlaMint-GB_2018-02-21-lords.u38	My Lords, I shall take just a couple of examples from the rather dismal litany of the noble Lord. On libraries, I shall take the example of Worcestershire, where a very innovative way of running libraries as community hubs is being perfected. That is true also of Greenwich; it is not just Conservative local authorities that are doing that. The noble Lord mentioned potholes. We announced a pothole fund of £296 million in 2016.
ParlaMint-GB_2018-02-21-lords.u39	My Lords, I refer the House to my relevant interests in the register. What work has the department done to look at the effect of cuts to funding for environmental health on the ability of local authorities to ensure that homes are safe, warm and dry and therefore fit for human habitation?
ParlaMint-GB_2018-02-21-lords.u40	My Lords, environmental health is clearly an area of concern. It is a matter for local priorities. We keep this very much under review and we are very well satisfied. If the noble Lord wants to write about particular examples, I am happy to look at them. As far as I can see, having looked at this, it is an area that is being very well delivered by most local authorities.
ParlaMint-GB_2018-02-21-lords.u41	My Lords, does my noble friend not agree that the delivery of neighbourhood services in rural areas is key? Would it not be easier for local authorities to fund neighbourhood services if they had more certainty about future support from the Government? What steps do the Government propose to take in this regard?
ParlaMint-GB_2018-02-21-lords.u42	My Lords, my noble friend makes two very good points. On the first, relating to rural services, she will be aware that we have increased the rural services delivery grant by £31 million in the current year, following two earlier years of extending that grant. I agree with my noble friend on the point about certainty. Through the business rate retention scheme, which is going to go up to 75% and is being piloted in 89 different local authority areas, we are seeking to provide just that, and that is continuing.
ParlaMint-GB_2018-02-21-lords.u43	My Lords, in relation to the wider concern about neighbourhood services, we are yet to see the Green Paper on social care outlining plans for improved care for older people in an ageing population. From my own diocese, I am aware of the financial pressures on councils and the pressures that they are facing from the cost of social services for the elderly as they increase. Hampshire County Council expects an additional 1,000 over-85 year-olds every year. What assessment have the Government made of the demands on local social care services in the light of our current ageing population?
ParlaMint-GB_2018-02-21-lords.u44	My Lords, the right reverend Prelate is right to highlight the importance of this area. As he has indicated, there is going to be a review of it, and that will be announced in due course. Hampshire County Council, along with many other county councils, recognises the pressure that exists here. We have provided 3% for the adult care precept. Additionally, I thank the right reverend Prelate and many other right reverend Prelates for the work that their dioceses do in support of what the Government and local authorities are also doing.
ParlaMint-GB_2018-02-21-lords.u45	My Lords, how many local authorities have told the Government that they have sufficient funds to meet their many responsibilities?
ParlaMint-GB_2018-02-21-lords.u46	My Lords, the noble Lord has been around long enough to know that that is not something that local authorities ever do. I would be amazed if he were able to cite examples of any Government having a queue of local authorities, or even one local authority, saying that they had enough money. However, the fact remains that local authorities are doing an excellent job of delivering services on the ground, admittedly in challenging circumstances, and that remains the norm.
ParlaMint-GB_2018-02-21-lords.u47	My Lords, the Government are undertaking a fair funding review of local government expenditure. What value do they intend to place on neighbourhood services such as parks and public open spaces?
ParlaMint-GB_2018-02-21-lords.u48	The noble Baroness is absolutely right: a fair funding review is due to report—in 2020-21, I think—on relative needs. Obviously, I do not want to pre-empt that, but suffice it to say that parks are a very important service delivered by local authorities. I had the great privilege of visiting Brockwell Park in Brixton recently and seeing an excellent park provided by the local authority there—Lambeth, I think—and work being done on the green flag scheme. That is vital. It is a matter for local priorities. There, it was obviously something that the local authority was concentrating on but, as I said, I cannot pre-empt the review that we are holding.
ParlaMint-GB_2018-02-21-lords.u49	To ask Her Majesty's Government whether they will issue a special licence under Section 30 of the Misuse of Drugs Act 1971 to enable the family of Alfie Dingley to import cannabis-based medication to treat his epilepsy.
ParlaMint-GB_2018-02-21-lords.u50	My Lords, the Government have a huge amount of sympathy for the rare and difficult situation that Alfie and his family are faced with. My right honourable friend the Policing Minister has undertaken to meet Alfie Dingley’s family as quickly as possible. Both he and my right honourable friend the Home Secretary want to explore every option within the current regulatory framework, including issuing a licence.
ParlaMint-GB_2018-02-21-lords.u51	I express my sincere thanks to the Minister for that very positive reply. I understand from it that Ministers are now united in wanting to find a legal way to support Alfie Dingley so he can receive medical cannabis in order to lead some sort of life I want to set out the main reasons why Ministers have to succeed in this case. The Minister knows that Alfie Dingley was suffering from a very unusual epilepsy mutation. This was causing 3,000 epileptic fits a year, 250 a month, under UK-prescribed medication which will probably lead to psychosis, damage to his internal organs and early death. Alfie Dingley and his family spent five months in the Netherlands, where Alfie was treated by a neuro-paediatrician with cannabis drugs. During that period, Alfie Dingley suffered one or possibly two seizures per month, down from 250 per month in this country On the legal question, the Minister knows that under Section 30 of the 1971 Act, licences can be provided.
ParlaMint-GB_2018-02-21-lords.u52	Too long.
ParlaMint-GB_2018-02-21-lords.u53	I express my profound thanks to the Minister and her colleagues in the other place for their absolute commitment to find a way under the law to enable this poor six year-old child to continue his life.
ParlaMint-GB_2018-02-21-lords.u54	I thank the noble Baroness for her positive words acknowledging the way forward that I and other Ministers want to find for this little boy. As she said, this little boy has a very rare form of epilepsy. I am very pleased to hear that his seizures have reduced and very much look forward to a positive way forward being found.
ParlaMint-GB_2018-02-21-lords.u55	My Lords, we know that the Government successfully licensed heroin-assisted treatment, or diamorphine-assisted treatment, which is prescribed in a synthetic form to people who do not benefit from or cannot tolerate substances such as methadone. We know that the success rates for that group of patients in terms of health, social care, incarceration and money saved show that there is real benefit from heroin-assisted treatment. Why cannot that simply be put in place for cannabis-based treatment as well?
ParlaMint-GB_2018-02-21-lords.u56	With respect, I point out to the noble Lord that the Question is specifically about the medicinal use of cannabis for a very specific case. The noble Lord is probably straying on to the legalisation of drugs in a controlled way. I am not going there today because I have not been asked a question about it, but I have had many debates about it and the Government remain of the view that such drugs remain illegal.
ParlaMint-GB_2018-02-21-lords.u57	I am grateful to the Minister for her commitment to explore every option. Is she aware of the legal opinion from Landmark Chambers making it clear that there is an exception under Section 30 of the Misuse of Drugs Act 1971, which allows that a licence for possession of a controlled drug can be permitted for medical purposes? Will she make use of that exception to save this little boy’s life?
ParlaMint-GB_2018-02-21-lords.u58	Well, I hope that I made it absolutely clear that we would explore every legal avenue that we could, and that both the Policing Minister and the Home Secretary would look at all legal avenues within the regulatory framework, so I hope that she takes comfort from that.
ParlaMint-GB_2018-02-21-lords.u59	Could my noble friend take a look at the history of how controlled drugs have been used for medical purposes? I am not somebody who would support deregulation of drugs but, as a small girl, I was offered the option when a school dentist extracted a tooth of having either gas or cocaine.
ParlaMint-GB_2018-02-21-lords.u60	Oh!
ParlaMint-GB_2018-02-21-lords.u61	That was many years ago, but that was the choice. Of course, up and down the country today, hospitals will be dispensing opioid drugs to patients, many of which are derivatives of opium, and I really do not see why, if the legal framework is there to do it, we cannot get on and do it rather quickly.
ParlaMint-GB_2018-02-21-lords.u62	My noble friend makes precisely the point that I perhaps did not make as well, which is that within the legal framework we have to explore the art of the possible to bring such drugs forward that will help people in situations similar to Alfie’s. Before I became a politician, I worked extensively with people who had multiple sclerosis, and I know that Sativex has been produced in aid of alleviating spasticity in suffers of that illness.
ParlaMint-GB_2018-02-21-lords.u63	My Lords, can I move away from the sad case that we have heard about and those particular circumstances and move to a more general point on that issue? Does the Minister agree that the time has now come for a complete and urgent look at the situation? As many of us know, cannabis is currently included in Schedule 1 to the Misuse of Drugs Act as a drug with no medicinal value, yet that view has been roundly rebuffed by a number of countries in the world. I cite, for example, 12 EU countries—shortly that number will grow to 15—29 states in the USA, Canada, Israel and so on, all of which use cannabis under medical supervision. Will the Minister assure the House that the Government will look at this issue and at the licensed medicinal use of cannabis in these circumstances?
ParlaMint-GB_2018-02-21-lords.u64	The noble Lord has nicely segued through the general use of it back to the medicinal use, but I concur with him in saying that we must keep laws like this under review. Certainly, the WHO is currently reviewing cannabis as a whole, and the constituent parts of cannabis. The noble Lord is right that a number of states in the USA have actually legalised its use. We are keeping a very close eye on the outcome of that review and will take a view on it in due course.
