ParlaMint-GB_2018-03-23-lords.u1	That the House do now resolve itself into Committee Amendment to the Motion
ParlaMint-GB_2018-03-23-lords.u2	At end to insert “but regrets that the bill is proceeding notwithstanding that the recommendations set out in the report of the Lord Speaker’s committee on the size of the House have not yet been implemented.”
ParlaMint-GB_2018-03-23-lords.u3	My Lords, this is the second Bill that the noble Lord, Lord Grocott, has introduced on this matter. Neither has ever found favour with the Government, who have consistently said that they will not give time for the Bill in the other place—that is, if it manages to pass through your Lordships’ House. No new arguments have been made in favour of the Bill, although the debate on who should sit in the House has moved forward with the thoughtful contribution of the noble Lord, Lord Burns, yet the noble Lord, Lord Grocott, has not found it possible to adjust his Bill at all I should add that I have come here not to stop further debate on the Bill; I am here to play a part in the Committee stage, but I have put forward this amendment to ask the noble Lord, Lord Grocott, whether he might reconsider his Bill rather than continue with it today. It would be unfortunate to do so, as it would be better to continue by agreement and give the noble Lord the opportunity to think again. If he does not wish to reconsider, we will no doubt press on with the amendments tabled for the Committee stage To add to my point that we have discussed this Bill many times since the debate at Second Reading, we have had the report of the noble Lord, Lord Burns. His is an important contribution to the overall debate about who should sit in this House. As your Lordships may know, in the long term I am actually in favour of the rather unfashionable idea of electing our representatives to Parliament, but I know that many Members of your Lordships’ House profoundly disagree with that—some, no doubt, think that they are better themselves. Be that as it may, there are many ways into this House. First, there is the traditional route. Since the start of the century there has been a massive increase in political patronage by party leaders. That is the most straightforward way to become a Member of your Lordships’ House. Next, we have what used to be called “the people’s Peers”, selected by a small but outstanding group of individuals chaired by the noble Lord, Lord Kakkar. Those selected make a useful contribution and sit on the Cross Benches. We also have the spiritual Peers—the Bishops and Archbishops—who grace our Benches and make such a difference to our debates We used to have the Law Lords, and I am sorry that they have gone, but there was an excellent suggestion in the Burns report that the Justices of the Supreme Court should be given seats in the Lords. If we ever had an 80% elected House, I would support the judges being part of the other 20%. Not only do they help to improve the quality of legislation but, as judges, they see very clearly some of the compromises that parliamentarians wrestle with every day and, ultimately, have to make. This better understanding of the legislative process is good for them as the most senior members of the judiciary and good for us as legislators as we hear their views Then there are the remaining hereditary Peers—92 Members of your Lordships’ House, or about 12% of the total—who are entitled to sit here by statute passed as recently as 1999. That legislation was, incidentally, agreed across the parties in both Houses as a useful compromise in passing what was then termed “modernisation” of our constitutional arrangements When we debated this Bill last year, my noble friend Lord Strathclyde explained the genesis of the current number of hereditary Peers and the by-elections tied to them—the so-called Weatherill amendment, which was passed in the House of Lords Act. The by-elections that we are discussing today were an integral part of that overall deal, which in part was designed to win over those Peers and MPs who did not favour a wholly appointed House and believed that in the longer term the only practical way forward was to have an elected second Chamber but accepted that that might take some time.
ParlaMint-GB_2018-03-23-lords.u4	Perhaps I may ask the noble Lord a question. He is presumably very proud to be a Member of this House, as we all are, but does he not accept that the amendment he has just referred to was supposed to last for a few months? As the Government are not going to legislate on House of Lords reform, the present arrangements will go on until at least 2021. Is he really proud of the fact that, by blocking this Bill and by blocking, as he did, the same provisions in my Bill in 2014, he is bringing the House into disrepute by sustaining for over 20 years a system which cannot be justified?
ParlaMint-GB_2018-03-23-lords.u5	My Lords, I do not agree with that. I am in favour of House of Lords reform. Indeed, I would have supported the Bill introduced back in 2012, for a largely elected House, which of course did not even manage to get through the House of Commons. However, the by-elections do serve a purpose, beyond helping the Government to get their Bill though Parliament in 1999. First, they are a strong link with the past—a golden thread that links us with the ancient Parliaments stretching back for generations. Secondly, they are a reminder that we have come from a House that was, only recently, entirely hereditary. Thirdly, and this is a point that I would like to expand upon, by-elections provide a different way into this House—a way which is not dependent upon prime ministerial patronage The noble Lord, Lord Grocott, has often said that his Bill is not personal, yet his mocking tone, and the use of the word “laughable” in his recent article in the House magazine, creates a very different impression. In his article, the noble Lord mocked the Liberal Democrats who recently voted in a by-election for the noble Viscount, Lord Thurso, to rejoin this House after a spell as an elected Member in the House of Commons. I was pleased to see the noble Viscount back in his place—he makes a valuable contribution to our debates. However, that is apparently not sufficient for the noble Lord, Lord Grocott. He described that by-election as “indefensible” and “laughable”.
ParlaMint-GB_2018-03-23-lords.u6	My Lords, far be it from me to come to the defence of the noble Lord, Lord Grocott, but I read the article. What he said was that having almost two and half times as many candidates as electors, and an electorate of only three, was laughable. He in no way impugned the authority or the contribution that the noble Viscount makes to this House.
ParlaMint-GB_2018-03-23-lords.u7	I have already endorsed my admiration of the noble Viscount and continue to do so. I agree that there are some idiosyncrasies. That is why I have suggested that all hereditary Peer by-elections might be conducted as the one which we conduct for so-called officeholders, in which all noble Lords have a vote to select a new Member when a vacancy in that group occurs I do not have much more to say in favour of the propositions that I have made, but I hope that the noble Lord, Lord Grocott, will reflect again on the relevance of the by-elections in the context which I have described.
ParlaMint-GB_2018-03-23-lords.u8	My Lords, I oppose the amendment. The word “idiosyncrasies”, which was just used, springs to mind rather powerfully. Earlier this week, we paid tribute rightly to the late Lord Ivor Richard, who I knew as a member of the Cabinet in 1997. The compromise that was reached in 1999 has been referred to, the Wetherill amendment included. It was intended to ensure that progress could be made on a modest way of modernising this second Chamber. Today, we are trying to take a very modest step in that direction as well I pay tribute to my noble friend Lord Grocott. When I heard him speak at Second Reading, I thought it was a masterpiece in forensic analysis and humour—humour, because the situation he was addressing sadly leads to us believing that we have to put aside something that, outside this House, is seen as a complete anachronism. I have heard many forensic speeches in my time from my own side—from John Smith and Robin Cook included, who I counted as friends—and I think they would have been proud to have heard my noble friend’s speech and the case that he has made I want to be timorous today, in an unusual fashion. I would like to persuade the Conservative Benches and the Government that it is in their best interest to take this very modest step. We have the Burns recommendations and the restoration and renewal of the House, leading to the decanting of both Houses of Parliament, both Houses having voted for it. A combination of these measures requires us to take steps now which will then lead to a logical and rational balancing of the political and non-political interests in this House It is not just about those who are nominated by the Prime Minister, the Leader of the Opposition or the Liberal Democrat party; it is also about the balance with the Cross Benches and the Bishops’ Benches. Unless we get it right on the anomaly of having by-elections for hereditary Peers, and unless we move now—I am opposing the amendment so that we can make progress—it will make it extraordinarily difficult to maintain that balance as we move towards implementing the Burns committee recommendations, which I hope we will rapidly do, combined with the prospect of decanting. When this House decants, there will be Members who logically choose that moment to retire, and there will be people who choose to leave in advance of it. In the lead up to the decant, if not handled very carefully, that will completely distort the balance of the different parties and Cross-Bench Peers in the House To continue the by-elections in that run-up period, and during the implementation of Burns, we would distort the balance between the nominated, those who go through the commission and those who are elected by this bizarre medieval process, which retains only one section—those who are here because their grandfathers or great-grandfathers or great-great-grandfathers were in favour with the monarch or managed to get their hands on sufficient property and land.
ParlaMint-GB_2018-03-23-lords.u9	My noble friend omitted one category: those who paid Lloyd George and Maundy Gregory for a certain favour.
ParlaMint-GB_2018-03-23-lords.u10	I had better not go into the payment of favours in your Lordships’ House—it might be a difficult road to travel It is odd for a Labour Member to say this, but if noble Lords think it through, they will appreciate it. The historic mission of the Conservative Benches and the Government has been to be sufficiently willing to bend and move with the times, which has been of historic benefit to them. Therefore, I am surprised to hear that the mover of the amendment is in favour of very radical change: namely, a wholly elected House or a substantially elected House. It is odd to advocate a substantially elected House but to want to retain by-elections or inherited peerages. If you had this debate anywhere in the United Kingdom in any forum—from traditional media to social media, in colleges or schools, where many Members of this House attend and make a positive contribution in explaining how our democracy works—people would think that you had lost your marbles if you argued not for the immediate abolition of the hereditary Peers but to continue to have by-elections to fulfil those vacancies In doing so, whatever else happens around us, whatever we do with Burns and the lead up to decanting, whatever happens in terms of the natural processes of noble Lords leaving this House either under the 2014 Act or by death, the hereditary Peers would retain their numbers. That is illogical, irrational and would cause extreme difficulties as we move over the next seven years to decanting to other premises with noble Lords rationally looking to reduce the numbers in this House. That is why we should wholeheartedly back my noble friend Lord Grocott’s Bill.
ParlaMint-GB_2018-03-23-lords.u11	My Lords, I too oppose the amendment in the name of the noble Lord, Lord Trefgarne, and add to the points already made by the noble Lord, Lord Blunkett. This is in danger of creating yet another myth about the way in which your Lordships’ House could and should be improved. His amendment is upside down and inside out and contrary to common sense I can best illustrate that with a practical example. I apologise in advance if this seems somewhat personal or even morbid, but it is the best way in which I can demonstrate the reality of the situation facing your Lordships’ House. Suppose that suddenly and truly sadly both the noble Lord, Lord Trefgarne, and the noble Earl, Lord Caithness, were—heaven forbid—to be called to higher and greater things. There would then of course be two hereditary by-elections. Incidentally, I think that heaven would do well to forbid. The addition to the heavenly host of those particular noble Lords would be a problem for St Peter Whatever the nature and size of the electorate in the consequent hereditary by-elections, one factor is certain. Under the present arrangements two new hereditary Peers would be elected from the list of eligible hereditaries. However, they would of course be chosen within the vagaries and vicissitudes of the current system already referred to by noble Lords. The leadership of the Conservative Party—I hope that the noble Lord, Lord Young, will be able to elucidate this—and No. 10 could have no guarantee that the additions to the Government Benches were as useful or supportive as the Members that they were replacing. Indeed, they could not even be sure that they would be loyal Brexiteers That brings us to the amendment and to the report of the Burns committee. Throughout our debate on 19 December—throughout the House on all sides—there was a general recognition that the unique key to progress would be the active and complete co-operation of the Prime Minister and her successors. Without that, we would not make progress. The Prime Minister is clearly numerate. We already know from her letter to the Lord Speaker on 20 February that she had perfectly understandable concerns about the proposals of the Burns committee. In that letter she makes no direct reference to the central and crucial Burns recommendation of two out for one in. But given what I have already explained in terms of the inevitable consequences of continuing hereditary by-elections under the system that we have—which is so devotedly supported by the noble Lord, Lord Trefgarne, and the noble Earl, Lord Caithness—she would be entitled to be extremely cautious in supporting those colleagues on this issue. Just follow the arithmetic implications of the solemn departure of those two noble Lords. No fewer than four life Peers would have to disappear from the Conservative Benches, by whatever means, before the Prime Minister could have just one new recruit of her own choice. Two would already be wiped out by the second departing hereditary before a further two could justify just one new recruit I hope that the Minister, in responding to the discussion today, will be able to indicate to us that the Burns report, far from giving an alibi to the noble Lord, Lord Trefgarne, for yet more delay, actually gives us a very strong reason to move forward. If not, frankly, the arithmetic will be nonsense—nonsense in the terms described by the noble Lord, Lord Blunkett, but specifically in terms of the nonsense to the Conservative Benches.
