ParlaMint-GB_2018-03-27-commons.u1	1. What steps his Department is taking to tackle the illegal wildlife trade.
ParlaMint-GB_2018-03-27-commons.u2	3. What steps his Department is taking to tackle the illegal wildlife trade.
ParlaMint-GB_2018-03-27-commons.u3	The UK is taking a leading role in ending the illegal wildlife trade globally. The Government are funding practical action to reduce demand, strengthen enforcement and develop sustainable livelihoods in the communities affected by the illegal wildlife trade. We will host an ambitious high-level international conference in October to push for further progress.
ParlaMint-GB_2018-03-27-commons.u4	Does the Minister agree that it is often the same criminal groups involved in the illegal wildlife trade who smuggle drugs, people-traffic and commit other nefarious acts? Does that not demonstrate why it is right that we do all we can to tackle them head on?
ParlaMint-GB_2018-03-27-commons.u5	My hon. Friend is absolutely right to say that organised crime is attracted to the illegal wildlife trade, as it is attracted to others such as the drug trade and human trafficking. That is why this is a transnational problem, and why the world must work together to end this terrible crime.
ParlaMint-GB_2018-03-27-commons.u6	British scientists have developed new forensic techniques to help to identify ivory poachers, including new fingerprint kits. Will my hon. Friend continue to support scientific techniques to try to clamp down on illegal wildlife traders?
ParlaMint-GB_2018-03-27-commons.u7	My hon. Friend is absolutely right to say that having the right forensic evidence in place is crucial. Indeed, many of the projects that the UK is supporting worldwide are using that expertise to get the right forensics, so that the criminals can be prosecuted and these crimes can be tackled worldwide.
ParlaMint-GB_2018-03-27-commons.u8	The Minister will know that this is an important international issue, but the products also land in the United Kingdom. What discussions is she having with the Home Office to ensure that we raise the level of fines for those in receipt of illegal wildlife material in this country?
ParlaMint-GB_2018-03-27-commons.u9	The right hon. Gentleman is right to suggest that it is crucial that we work to tackle this illegal trade right across the Government, not only with the Home Office but with our colleagues in the Department for Environment, Food and Rural Affairs, to ensure that we consult on further restrictions on this trade.
ParlaMint-GB_2018-03-27-commons.u10	The Minister will be aware of the pitiful sight of the last remaining species of some wildlife disappearing from our planet for ever. What steps are being taken to ensure that that is not replicated, particularly across the continent of Africa?
ParlaMint-GB_2018-03-27-commons.u11	The whole world was shocked by the case of Sudan, the last male northern white rhino. He was the last of the species. This shows the absolute urgency for the world to act together to tackle this illegal crime, which is why it is so important that we host the international conference in October.
ParlaMint-GB_2018-03-27-commons.u12	The passing of Sudan marks not only the ending of that species; we could see the end of many other species in Africa and other countries if we do not take the lead and show the world what we are doing. I have been campaigning to stop elephants disappearing, as my hon. Friend is aware. Can we make sure that we take the lead in the world?
ParlaMint-GB_2018-03-27-commons.u13	I pay tribute to my hon. Friend and her remarkable track record of campaigning on this issue. She is absolutely right to highlight the fact that, according to the Living Planet Index, global populations of fish, birds, mammals, amphibians and reptiles declined by 58% between 1970 and 2012. It is therefore crucial that, as a world, we work together to tackle this terrible crime.
ParlaMint-GB_2018-03-27-commons.u14	On average, the UK Border Force seized 130 kg of illegally trafficked ivory in the years from 2013 to 2016, but in 2017 the figure fell to 40 kg. Is that because the trade is shrinking or because the Government are not catching as much?
ParlaMint-GB_2018-03-27-commons.u15	It is testament to the incredibly important work that is done by the UK Border Force and the work that we do through the National Crime Agency overseas. In Côte d’Ivoire recently, I saw the work that we are doing with the police force on this worldwide phenomenon. We need to work together internationally to tackle this heinous crime.
ParlaMint-GB_2018-03-27-commons.u16	2. What discussions he has had with his international counterparts on the Salisbury incident; and if he will make a statement.
ParlaMint-GB_2018-03-27-commons.u17	7. What recent discussions he has had with his counterparts in EU member states on diplomatic relations with Russia.
ParlaMint-GB_2018-03-27-commons.u18	10. What discussions he has had with his US counterpart on the Salisbury incident; and if he will make a statement.
ParlaMint-GB_2018-03-27-commons.u19	Following the abhorrent chemical attack in Salisbury, I have had a number of discussions with counterparts across the EU, the US and elsewhere, which has helped to foster an unprecedented, robust, international response to this reckless Russian act.
ParlaMint-GB_2018-03-27-commons.u20	I commend my right hon. Friend for that approach. President Putin and the Russian Government should be in no doubt about the resolute response of the UK and our international allies to what remains a brazen and utterly repugnant act on UK soil. Given that we will need to continue to work with our allies, will he ensure that Russian intelligence officers, expelled from one country, will be denied entry into other countries? Will he also ensure that international co-operation is strengthened to trace tainted funds, enhance cyber-resilience and support criminal investigations into the deaths of Russian citizens in the UK and elsewhere?
ParlaMint-GB_2018-03-27-commons.u21	My right hon. Friend makes an extremely good point. One of the conclusions that we can draw from the 23 countries who chose to expel diplomats or people whose presence was not conducive to the public good, as they say, is the importance that they attach to co-operation with our security services. He should be in no doubt that that co-operation will intensify in the months and years ahead.
ParlaMint-GB_2018-03-27-commons.u22	Although Scotland suffered a self-inflicted withdrawal from the World cup, many fans will still travel from Scotland to the tournament, as will thousands of England fans. Following the expulsion of UK diplomats from Russia, has the Foreign Secretary approached any EU colleagues to ask for additional consular assistance to be made available to the UK citizens who travel?
