ParlaMint-GB_2018-05-01-commons.u1	1. What steps he is taking to ensure that markets work in the interests of consumers.
ParlaMint-GB_2018-05-01-commons.u2	6. What steps he is taking to ensure that the industrial strategy benefits consumers through increased competition.
ParlaMint-GB_2018-05-01-commons.u3	The industrial strategy makes it clear that a competitive UK economy in which firms compete on price, service and innovation is one that serves consumers best. Our recently published Green Paper, “Modernising Consumer Markets”, sets out proposals to ensure that consumers benefit from new technologies and, in particular, that consumers’ data must be used to benefit them and not to act unfairly against them.
ParlaMint-GB_2018-05-01-commons.u4	I welcome that response. In ensuring that markets work for consumers, it is important that they work for vulnerable consumers, including those with mental health issues or dementia. Will my right hon. Friend enlarge on what he is doing to ensure that the markets work for those sorts of consumers?
ParlaMint-GB_2018-05-01-commons.u5	It is important that providers of services take into account the struggles of people suffering from mental ill health or dementia. The Green Paper sets out proposals requiring that minimum standards be applied, especially for utilities. In that regard, I applaud the work of the Alzheimer’s Society, which has launched the dementia-friendly utility guide, in which several companies are participating. That will help to make sure that people who deal with vulnerable consumers can assist them with bills, booking appointments and suchlike.
ParlaMint-GB_2018-05-01-commons.u6	Does my right hon. Friend think that the competition regime that we have in the UK is fit for purpose, and are there sufficient resources to enable it to review all the major deals that seem to keep happening?
ParlaMint-GB_2018-05-01-commons.u7	I do think it is necessary to keep it under review, hence the Green Paper, because with the rise of new technologies, there are new challenges for regulators and new perspectives are required on mergers. We have increased the funding for the Competition and Markets Authority. My hon. Friend will have noticed that I appointed as chairman of the CMA Andrew Tyrie, who I think everyone on both sides of the House would recognise is a good, robust champion of the consumer.
ParlaMint-GB_2018-05-01-commons.u8	22. One of the ways in which consumers are very often ripped off is through the practice of drip pricing in online purchases—particularly through the practice of outlaw companies such as Viagogo, for example, which uses it. What work is the right hon. Gentleman doing in relation to that and with his colleagues from the Department for Digital, Culture, Media and Sport?
ParlaMint-GB_2018-05-01-commons.u9	The hon. Gentleman raises a very important point. Again, this is at the heart of the Green Paper, which looks at how new technologies can disadvantage consumers. In fact, in the case that he mentions, prosecutions are in train. Very robust action is being taken against that kind of abuse.
ParlaMint-GB_2018-05-01-commons.u10	Will the Secretary of State come down from the clouds? He knows that the biggest damage to all consumers in this country is coming from leaving the European Union. Did he see the LinkedIn report this morning that says that talented people in our country are fleeing overseas? Is that good for consumers?
ParlaMint-GB_2018-05-01-commons.u11	That was an ingenious piece of shoehorning, I must say. Part of our commitment is to make sure that we have a free trade agreement with the rest of the European Union that allows us to continue to serve markets right across Europe and the world. If the hon. Gentleman looks at the success of employment, including in his constituency in recent months, he will see that companies are employing people at rates not seen for many years.
ParlaMint-GB_2018-05-01-commons.u12	2. What steps he is taking to support growth in the small business sector.
ParlaMint-GB_2018-05-01-commons.u13	The British Business Bank supports over £4 billion of finance to over 65,000 small businesses. The start-up loans programme has further delivered more than 54,000 loans, totalling over £400 million. We are tackling late payments through the Small Business Commissioner, and 38 growth hubs across England provide access to information and advice. Through the industrial strategy we plan to unlock over £20 billion of investment in high-potential businesses, including through establishing a £2.5 billion investment fund.
ParlaMint-GB_2018-05-01-commons.u14	I thank the Minister for his response. As in many parts of the country, Mansfield has struggled to support shops and other town centre businesses. Will he explain what action the Government are taking to support such businesses and to regenerate what were formerly bustling town centres?
ParlaMint-GB_2018-05-01-commons.u15	I recognise the work that my hon. Friend has done to support businesses in his constituency. The Government have made 100% small business rate relief permanent while increasing the threshold of the relief, taking 600,000 of the smallest businesses out of business rates. We have introduced the employment allowance, giving employers up to £3,000 off their national insurance contribution, and we have established the Future High Streets Forum to provide businesses with Government leadership to better enable our town centres to grow.
ParlaMint-GB_2018-05-01-commons.u16	I recently visited the food manufacturer Scratch in my constituency, which is just launching a new dough-free pizza. It has taken on an additional 25 members of staff and has asked if more could be done to support it, particularly around reducing its business rates, which would go a long way to supporting it and the local high street.
ParlaMint-GB_2018-05-01-commons.u17	I recognise the hon. Lady’s point. It is good to see that kind of investment and growth in small businesses. We are investing in apprenticeships and skills—44% of apprenticeship participation is in small companies—and, as part of our industrial strategy, we are establishing a technical education system that rivals the best in the world. We are also investing £406 million in subjects such as maths and digital and technical education to support the kind of small businesses she talks about.
ParlaMint-GB_2018-05-01-commons.u18	Microbusinesses have told me that they are struggling to get their voice heard—for instance, on their concerns about implementing data protection legislation and the implications of Brexit. What is my hon. Friend doing to make sure he hears and understands the concerns of microbusinesses?
ParlaMint-GB_2018-05-01-commons.u19	Every week, the Secretary of State meets representatives of the business community from across the country, and I hold a forum with small businesses once a month to ensure that the Government are finely attuned to their needs. The Department is determined not only to understand the issues facing small businesses in our country, such as those my hon. Friend raises, but to ensure that legislation is fit for purpose.
ParlaMint-GB_2018-05-01-commons.u20	The all-party group on disability, which I chair, has published an inquiry report highlighting the fantastic contribution of entrepreneurs with disabilities, but they still face many challenges, such as in accessing finance. Will the Secretary of State meet the all-party group to discuss this issue and ensure a truly inclusive economy?
ParlaMint-GB_2018-05-01-commons.u21	I thank the hon. Lady for the question and the great work the all-party group does. I absolutely recognise that encouraging people with disabilities to start their own businesses and contribute in this way is good not only for the British economy but for them. I would be delighted to meet her to discuss the matter further and to see what we can do to support those businesses, particularly through things such as the British Business Bank.
ParlaMint-GB_2018-05-01-commons.u22	Project bank accounts ring-fence the money for suppliers in construction contracts yet were not used by the Government with Carillion. As a result, 30,000 mostly smaller businesses are likely to lose money, and some will struggle to survive, so will the Minister confirm that the Government will now use project bank accounts to protect businesses and jobs in their own supply chain and guarantee there is no repeat of the Carillion fiasco?
ParlaMint-GB_2018-05-01-commons.u23	The hon. Gentleman will know that the Government took swift action, led by the Secretary of State, when Carillion collapsed, to ensure we understood the issues relating to the construction industry, including by setting up a forum with trade representatives. He will also be aware that we consulted on project bank accounts in the construction industry. That consultation finished just a few weeks ago. We are considering the responses and will respond shortly.
ParlaMint-GB_2018-05-01-commons.u24	3. What estimate he has made of the number of non-UK EU nationals who work for small businesses.
ParlaMint-GB_2018-05-01-commons.u25	7. What estimate he has made of the number of non-UK EU nationals who work for small businesses.
ParlaMint-GB_2018-05-01-commons.u26	Non-UK EU nationals account for 7% of total UK employment. Scottish businesses have had the opportunity to feed into the Migration Advisory Committee’s analysis of the role of EU nationals in the UK. We appreciate the strong contribution that EU nationals make to small and large businesses, and we have already agreed to protect the rights of EU citizens in the UK under our withdrawal agreement with the EU.
ParlaMint-GB_2018-05-01-commons.u27	In my constituency, fruit and veg producers and the tourism industry rely heavily on EU seasonal workers. Does the Minister recognise the damage that continued uncertainty is doing to those businesses? Two years on from the referendum, when will they get a bit more certainty so that we can maintain those EU seasonal workers who contribute so much to our economy?
ParlaMint-GB_2018-05-01-commons.u28	I can reassure the hon. Gentleman that there should not be uncertainty. We have made it clear that we do not regard the referendum result as a vote to pull up the drawbridge. The United Kingdom will remain an open and tolerant country which recognises the valuable contribution that migrants make, and welcomes those with the skills and expertise that will make our society even better. The Government commissioned the Migration Advisory Committee to report on EU patterns of migration in different sectors and different parts of the UK, and it will do so by September 2018.
ParlaMint-GB_2018-05-01-commons.u29	Analysis shows that EU citizens contribute £4 billion a year to the economy in Scotland. We see that happening in small businesses along Shettleston Road, for example. Does the Minister agree that the devastating effect of free-movement restrictions will have a colossal impact on small businesses in Shettleston and in Scotland as a whole, and will he support the calls from the Scottish Trades Union Congress for immigration to be devolved to Scotland?
ParlaMint-GB_2018-05-01-commons.u30	Our position on immigration policy and who should be responsible for it is clear, and has not changed. Since the referendum we have been engaging widely with, among others, the devolved Administrations and businesses in Scotland to ensure that we fully understand the requirements, but let me make it absolutely clear that the Government understand the issues of businesses and will ensure that the system works for them.
ParlaMint-GB_2018-05-01-commons.u31	My hon. Friend is no stranger to the Ribble Valley. He knows that it is a jewel in the crown for the hospitality trade, which employs a great many EU citizens. Does he agree that post-Brexit there will still be many opportunities for people in the EU to come to the United Kingdom and work in the hospitality trade?
ParlaMint-GB_2018-05-01-commons.u32	I can report that I have experienced the hospitality in the Swan with Two Necks, and I recommend it to the House As my hon. Friend will know, the Migration Advisory Committee is looking at exactly the issue that he has raised, but he is absolutely right: EU migrants play a massive role in our hospitality industry, and the hospitality industry is one of the reasons people visit this country.
ParlaMint-GB_2018-05-01-commons.u33	Does my hon. Friend agree that Brexit provides a welcome opportunity for us to attract talent to our shores from all countries, not just those in the EU, and can he assure me that the Government remain committed to ensuring that all businesses have the access to the workforce from overseas that they need?
ParlaMint-GB_2018-05-01-commons.u34	Absolutely. We have a competitive workforce here. The economy is thriving, partly because of the contribution made by the people to whom my hon. Friend has referred. I particularly commend her for the work that she has done in relation to the soft fruit seasonal workers scheme.
ParlaMint-GB_2018-05-01-commons.u35	The Federation of Small Businesses says that the right of EU staff to remain in the UK is vital. In Scotland, 45% of tourism and leisure businesses rely on EU staff for their workforce. They fear that they will not be able to recruit for their future needs, and their fear is heightened by the possibility that the immigration skills charge—which is currently up to £1,000 a year—will be applied. Can the Minister categorically assure employers that they will not be subjected to any charge for EU workers post-Brexit?
ParlaMint-GB_2018-05-01-commons.u36	We will set out in due course the system and the scheme that will operate post-Brexit. I can, however, assure the hon. Gentleman that I regularly meet representatives of the Federation of Small Businesses, and we will ensure that the workforce is there for those businesses.
ParlaMint-GB_2018-05-01-commons.u37	The Scottish Affairs Committee, the Home Affairs Committee in its report, and the Economics Committee in the House of Lords all see the sense of a differentiated immigration system for Scotland. Can the Minister confirm that he, too, accepts that there is a clear case for a policy that recognises the different needs of businesses in Scotland?
ParlaMint-GB_2018-05-01-commons.u38	This Government well understands the needs of businesses both throughout the UK and specifically in Scotland. As the hon. Gentleman will know, the Home Office will shortly present further details of the scheme that is to be introduced.
ParlaMint-GB_2018-05-01-commons.u39	4. What progress he has made on implementing the good work plan.
ParlaMint-GB_2018-05-01-commons.u40	5. What progress he has made on implementing the good work plan.
ParlaMint-GB_2018-05-01-commons.u41	24. What progress his Department has made on implementing the recommendations of the Taylor review of modern working practices.
ParlaMint-GB_2018-05-01-commons.u42	We are proceeding with work on 52 of the 53 review recommendations made by Matthew Taylor, and we are currently engaged in consultations on how best to implement those measures. We are committed to ensuring that we protect and enhance workers’ rights in the modern economy, and to legislating for that purpose. We will ensure that employment law and practices keep pace with modern ways of working, while striking the right balance between flexibility and worker protection.
ParlaMint-GB_2018-05-01-commons.u43	The Minister may be aware that workers at McDonalds are taking strike action in Cambridge today. One of them, Sheila, told the Cambridge News at the weekend that although she has worked for 18 years, her work is insecure, she never knows what hours she will work, and fresh fruit and vegetables are luxuries. What has the good work plan to offer Sheila?
ParlaMint-GB_2018-05-01-commons.u44	Matthew Taylor set out in the good work plan how we can further enhance the protections for workers such as Sheila. There is a huge amount of day-one protections, and we are looking at what we can do with flexible working and zero-hours contracts to give greater certainty and security to workers exactly like Sheila.
ParlaMint-GB_2018-05-01-commons.u45	The Government response to the Select Committee report on a modern employment framework stated: “The Government wholeheartedly agrees that strong action should be taken against employers who repeatedly ignore both their responsibilities and the decisions of employment tribunals.” Those are fine words, but if they are to be meaningful the Government must back them up with action and put in place rules to prevent or deter repeat offenders from bidding for public sector contracts; will they do that?
ParlaMint-GB_2018-05-01-commons.u46	The Government recognise that unfortunately some employers continue to offend repeatedly in this way. We are looking at what further measures we can take in the work plan, and more widely in the work of the Department for Business, Energy and Industrial Strategy, to ensure that such repeat offenders are clamped down on.
ParlaMint-GB_2018-05-01-commons.u47	Given the work that the Business, Energy and Industrial Strategy Committee and the Work and Pensions Committee have done on the gig economy, will the Government undertake to ensure that, when they introduce a Bill based on the Taylor report, we will have a chance to stage pre-legislative hearings?
ParlaMint-GB_2018-05-01-commons.u48	We have worked closely with the right hon. Gentleman’s Select Committee, and, as he knows, we greatly value his contribution. We are consulting on the work of Matthew Taylor, and I pledge to the right hon. Gentleman today that we will work hand in hand with his Committee to ensure that it properly scrutinises that proposed legislation as it comes forward.
ParlaMint-GB_2018-05-01-commons.u49	The world of work is changing as businesses respond to changes in customer demands. Does the Minister agree that many workers enjoy and appreciate the flexibility of the freedom to choose when they wish to work?
ParlaMint-GB_2018-05-01-commons.u50	My hon. Friend is absolutely right. New technologies have provided a huge number of new and exciting work opportunities for people, but we also want to ensure that we not only enhance and capture that potential, but offer protections for those working in the gig economy, to make sure they are not disadvantaged.
ParlaMint-GB_2018-05-01-commons.u51	8. What steps his Department is taking to support employees of Jaguar Land Rover facing job losses.
ParlaMint-GB_2018-05-01-commons.u52	This is a concerning time for workers at the JLR factory and in the wider supply chain, particularly the 1,000 or so temporary workers involved, but I can assure the House that I speak to the company regularly; in fact, I met JLR’s managing director Jeremy Hicks on 17 April, the day after the announcement. The Government, including my Department and the Department for Work and Pensions, are ready to support those affected, and it is important to recognise that, despite this announcement, the UK automotive industry remains a great success story, in particular JLR.
ParlaMint-GB_2018-05-01-commons.u53	Following the announcement of these 1,000 job losses at JLR, the Government were urged to work with the unions and assist the workforces in whatever way necessary. What meetings has the Minister had with the unions about these job losses?
ParlaMint-GB_2018-05-01-commons.u54	I have not met with the unions specifically on these job losses, because they have not asked for a meeting. [Interruption.] The hon. Lady asks why, but I would be delighted to meet them. I hope Members on both sides of the House realise that my door is always open to trade unions—the steel industry in particular would accept that—and I am pleased to meet anyone the hon. Lady suggests, with her, to discuss the automotive industry.
ParlaMint-GB_2018-05-01-commons.u55	20. Jeremy Hicks will have told my hon. Friend that the problem is in part uncertainty over diesel engines, but my hon. Friend knows that JLR is particularly keen on developing electric cars. Will he comment on the £80 million Government investment in new battery technology?
ParlaMint-GB_2018-05-01-commons.u56	Get plugged in.
ParlaMint-GB_2018-05-01-commons.u57	As usual, my hon. Friend the Member for Lichfield (Michael Fabricant) makes a good point—although, unusually, on this occasion he did not mention the John Lewis Partnership. Our Faraday battery challenge, which he indirectly refers to, will ensure that this country is at the forefront of battery technology, and JLR and other companies are firmly behind it.
ParlaMint-GB_2018-05-01-commons.u58	The hon. Member for Lichfield (Michael Fabricant) applied a self-denying ordinance, which is not a common feature of our proceedings, but colleagues will have noticed that there is a lot of chuntering from a sedentary position from the hon. Member for Huddersfield (Mr Sheerman) about castles and the importance of being plugged in. He should fear not; we have not forgotten him, and nor will we.
ParlaMint-GB_2018-05-01-commons.u59	23. Does the Minister accept that under both Governments, his and ours, the renaissance of the British motor industry has been outstanding and that JLR has been a big part of that, to the benefit of the country and particularly of the west midlands? However, the car market is being heavily hit by the Government’s ill-thought-out and ill-prepared war on diesel. Will his Department have urgent talks with the Department for Transport so that we can get our policy for the motor industry and the car market back on track?
ParlaMint-GB_2018-05-01-commons.u60	I have a lot of respect for the hon. Gentleman, but in this case he is ignoring the fact that my Department and the Department for Transport speak regularly with all the car manufacturers about the evolution from diesel and the internal combustion engine to what will be a brilliant industry for Jaguar Land Rover and all the other companies, involving the eventual production, by 2040, of pollution-free cars.
ParlaMint-GB_2018-05-01-commons.u61	The Minister is right to say that, taken as a whole, the auto sector is a great employment success story. Does he agree that that continues to be evidenced by ongoing investment?
ParlaMint-GB_2018-05-01-commons.u62	My hon. Friend makes a good point. All the recent decisions on new contracts by manufacturers in Europe have gone to British firms. This is most recently typified by the announcement by Toyota, near Derby, of its investment in a new model, and I am confident that this will continue. The automobile industry is doing very well. It is investing hundreds of millions of pounds in new products to be produced in UK factories.
ParlaMint-GB_2018-05-01-commons.u63	Last year, the Treasury announced a £400 million public-private sector fund to develop charging infrastructure for plug-in cars. This is vital for the development and growth of that market. To date, however, no one has even been appointed to manage that fund. Will the Minister tell me when the fund will be operational?
ParlaMint-GB_2018-05-01-commons.u64	I can assure the hon. Gentleman that the money is already spent. It is our intention to launch a request for proposals to secure a fund manager this summer. Further details will be included in the Department for Transport’s forthcoming zero-emissions road transport strategy.
ParlaMint-GB_2018-05-01-commons.u65	Following figures showing that car registrations plunged in March by 15.7% compared with 2017, Jaguar Land Rover announced that 1,000 jobs would be cut at Solihull and that it was temporarily reducing production at Halewood. Sadly, reports suggest that the Solihull workers were told this news at a mass meeting that lasted only 10 minutes, with no opportunity to ask questions. We have heard some hints from Members today, but will the Minister tell us whether he has made any assessment of the causes and the potential knock-on effect on jobs in the supply chain? What steps is he taking to support workers and to reverse this worrying trend in the whole automotive sector?
ParlaMint-GB_2018-05-01-commons.u66	The hon. Lady will know that JLR has been clear that this restructuring is part of the cyclical nature of automobile production. It is very confident about this country; it is employing a lot of apprentices and skilled people and training up its workforce to take part in the next phase of automobile expansion.
ParlaMint-GB_2018-05-01-commons.u67	I am not sure that that has actually answered my question. Automotive is not the only sector in crisis. This year alone in retail, Toys R Us has collapsed, Maplin has gone into administration, New Look has announced job losses, Carpetright is planning a company voluntary arrangement and retail profit warnings across the UK have hit a seven-year high. The chief executive officer of The Entertainer has stated: “The Government just haven’t got it. They need to take some responsibility for the high street’s decline.” Can the Minister explain why Government action in this sector—from woeful action on business rates and income stagnation and under-investment in retail innovation—has been so lacklustre, and what urgent action he is taking to help a sector that is currently in crisis?
ParlaMint-GB_2018-05-01-commons.u68	The hon. Lady will be aware that the same thing is happening in the retail sector all over the world. I would be very pleased—on another occasion—to find out whether there are any exceptions. The Government have taken action. My hon. Friend the Under-Secretary of State for Business, Energy and Industrial Strategy—who is the Minister for retail, among many other things—launched the Retail Sector Council recently. A lot of thought is going into this, to change retail into a modern, leisure-driven shopping choice.
ParlaMint-GB_2018-05-01-commons.u69	9. What estimate he has made of the number of skilled jobs that will be needed to maintain the offshore wind sector by 2030.
ParlaMint-GB_2018-05-01-commons.u70	There are already 14,000 people working in well-paid jobs across our coastal communities in support of this vital sector. My hon. Friend will be pleased to know that we are leaders in both the quantity of offshore wind installed and innovation, and it was great that GE announced last week that the world’s biggest offshore wind turbine will be tested in the UK.
ParlaMint-GB_2018-05-01-commons.u71	The Minister will be aware that an offshore wind revolution is taking place along the Norfolk coast and, as she mentioned, there is scope for the creation of many jobs. Will she join my campaign to set up an offshore wind energy academy at the Construction Industry Training Board’s Bircham Newton site in west Norfolk to further enhance such skills and to create a centre of excellence?
ParlaMint-GB_2018-05-01-commons.u72	Joining the skills that we already have in one sector with those in another is an excellent suggestion, and I will be delighted to meet my hon. Friend to discuss it.
ParlaMint-GB_2018-05-01-commons.u73	Offshore wind is an integral part of the clean growth strategy, which the Government have submitted to the United Nations as their official mid-century decarbonisation plan. However, the independent Committee on Climate Change says that the strategy will fail to meet even our existing targets for 2030. Will the Minister tell us when “mid-century” shifted forward 20 years? Why do the Government think a plan that fails even to deliver a 57% reduction in emissions by 2030 is appropriate to meet the much tougher reduction of a more than 80% reduction by 2050?
ParlaMint-GB_2018-05-01-commons.u74	Once again, I am amazed at the hon. Gentleman’s ability to turn one of the great success stories of this country—in fact, he wrote an article about this last week that was so poor that he did not even retweet it. The point is that we have—[Interruption.] If he stopped chuntering, perhaps he might learn something. He is most impolite. We have led the world in decarbonising our economy. As the hon. Gentleman knows, we were the first country to set up statutory carbon budgets, and we are on track to meet the first three, as well as to get close to the budgets, based on current policies and proposals, in 10 and 15 years’ time. He will also know that we are the first developed nation to have said that we want to understand how we will get to a zero-carbon economy in 2050, and my request to the committee—[Interruption.] He is doing it again, Mr Speaker; his mother would be horrified by this level of discourtesy. We were the first country in the world to ask how we will get to a decarbonised economy in 2050, and I would hope that we could enjoy cross-party support for something so vital.
ParlaMint-GB_2018-05-01-commons.u75	I do not want to quibble with the Minister, but I do not think that the hon. Member for Brent North (Barry Gardiner) ever indulges in anything quite so vulgar as sedentary chuntering. He is occasionally given to facial expressions, which are not prohibited by the Standing Orders of the House, and he has a penchant for what might be described as the feline purr.
ParlaMint-GB_2018-05-01-commons.u76	Will the Minister join me in congratulating the Bibby Line Group on the £80 million that it has invested in two ships to service our offshore wind turbines.
ParlaMint-GB_2018-05-01-commons.u77	Indeed I will. Not only are we leaders in offshore wind servicing, but there are huge opportunities to work with our world-leading oil and gas industries. We are good at installing, maintaining and servicing complex offshore installations.
ParlaMint-GB_2018-05-01-commons.u78	And now no chuntering or purring, but simply Gardiner oratory. I call Mr Barry Gardiner. [Interruption.] I thought the hon. Gentleman was coming in a second time. The House is deprived, but I am afraid that it will have to rest content with that situation.
ParlaMint-GB_2018-05-01-commons.u79	10. What assessment he has made of the effectiveness of the creative industries sector deal.
ParlaMint-GB_2018-05-01-commons.u80	I congratulate you, Mr Speaker, on your ruling that facial chuntering is not in fact a form of chuntering. I am sure that hon. Members on both sides of the House will be delighted to take that into account in future As for the creative industries sector deal, Sir Peter Bazalgette’s review forecast that the creative industry deal will increase exports, sustain growth, boost jobs and narrow the productivity gap between the south-east and the rest of the UK. The deal launched only on 28 March, so it is in its early stages, but I will be carefully monitoring it and working with the industry to ensure that the deal delivers the expected benefits.
ParlaMint-GB_2018-05-01-commons.u81	How can the creative industry sector deal benefit local economies and communities across the country, particularly in Mid Derbyshire?
ParlaMint-GB_2018-05-01-commons.u82	My hon. Friend is always talking about Mid Derbyshire and how the University of Derby supports the creative industries sector. She has told me about Mr Paul Cummins, a very creative chap who was responsible for the Tower of London poppies, which went all over the world. The creative industries sector has a £2.5 million regional development fund, managed through a strategic action plan, which is exactly what my hon. Friend is talking about. Her local enterprise partnership is involved, and the university is working with businesses in the area, including small and medium-sized enterprises in the creative and digital industries, to aid local job creation in areas such as Cromford Mills in her constituency.
ParlaMint-GB_2018-05-01-commons.u83	I commend to the Minister the excellent article by one of our finest musicians, Howard Goodall, who is not from Wrexham but is very welcome to visit, recounting the difficulty he had in performing his work in the United States. Does the Minister agree that the creative industries plan will be fatally undermined if we do not have an agreement with the EU to allow the free movement of musicians and other creative artists?
ParlaMint-GB_2018-05-01-commons.u84	I am sure that Howard Goodall will be delighted to visit Wrexham after he has been to Watford. I am sure the point about being able to work and live in the European Union will be taken into consideration in the negotiations ahead, and I would not like the European Union, after we leave, to be deprived of a man with such talent.
ParlaMint-GB_2018-05-01-commons.u85	11. What steps the Government are taking to support the growth of the agri-tech sector.
ParlaMint-GB_2018-05-01-commons.u86	17. What steps the Government are taking to support the growth of the agri-tech sector.
ParlaMint-GB_2018-05-01-commons.u87	The £160 million agri-tech strategy, which was launched five years ago, has proved a success. We are building on that strong track record through our industrial strategy, including a further £90 million of funding announced in February to bring the UK’s world-class agri-food sector together with expertise in robotics, artificial intelligence and data science. This will make it easier for farmers and agricultural supply chains to embrace new technology, enhancing their competitiveness and improving productivity.
ParlaMint-GB_2018-05-01-commons.u88	My hon. Friend will know the importance of the agri-tech sector to the county of Shropshire. Can he give more details of how the transforming food production challenge will support our agri-tech sector in Shropshire?
ParlaMint-GB_2018-05-01-commons.u89	The transforming food production investment combines UK academic and industrial strengths, taking a whole system approach, to integrate world-leading research, advanced technologies and farming practices. It will support the development and deployment of precision agricultural technologies and solutions.
ParlaMint-GB_2018-05-01-commons.u90	The campus of Scotland’s Rural College in Gordon and local agri-food business Harbro are playing a key role in agri-tech. Does the Minister agree that continued funding for agri-tech, and the resulting big data, is essential to developing opportunities for global Britain?
ParlaMint-GB_2018-05-01-commons.u91	I completely agree with my hon. Friend. We recognise the excellent contribution that Scotland’s Rural College and Harbro have made to developing agri-tech through partnering with the centres for agricultural innovation, where they are aiding the adoption of data-driven products. As I have said, we are investing £90 million in the transforming food production challenge, which will really help the UK to capture significant global challenge.
ParlaMint-GB_2018-05-01-commons.u92	The agri-tech sector has tremendous potential in this country, but if we are to get all the manufacturing jobs out of it, as well as the innovation, we need to do something about the most expensive corporate property tax in the entire EU. Will the Minister tell us whether the Government are still sticking to their manifesto commitment to have a wholesale review of the business rates system, so we can have a competitive system for the agri-tech sector?
ParlaMint-GB_2018-05-01-commons.u93	The hon. Gentleman will be aware that, in the Budget, the Chancellor announced that he will be bringing forward proposals on that manifesto commitment in due course.
ParlaMint-GB_2018-05-01-commons.u94	What proportion of all biomass used to produce energy in the last year came from wood, and what proportion of that came from domestic wood? Will he follow Scotland’s example of good practice?
ParlaMint-GB_2018-05-01-commons.u95	The hon. Gentleman makes a very important point, and one that we will follow up with detailed statistics.
ParlaMint-GB_2018-05-01-commons.u96	12. What assessment his Department has made of the value of the industrial opportunity presented by the Swansea bay tidal lagoon.
ParlaMint-GB_2018-05-01-commons.u97	Helping businesses create high-quality, well-paid jobs across the country is integral to this Government’s industrial strategy. On the Swansea tidal lagoon, taking into account that job creation capability, as well as the decarbonisation potential and the cost to UK taxpayers, is an integral part of that analysis.
ParlaMint-GB_2018-05-01-commons.u98	It is understood that major infrastructure projects give rise to opportunities for companies throughout the UK supply chain. The proposed Swansea lagoon project certainly falls into that category, and it could provide companies throughout my constituency and South Yorkshire with opportunities to supply products and processes to the project. Will the Minister therefore assure me that a holistic approach that places a value on jobs and investment throughout the country is being used to assess the viability of this project?
ParlaMint-GB_2018-05-01-commons.u99	The hon. Lady, as always, speaks up powerfully for her constituency. I assure her that exactly those assessments are being made, both by ourselves and by the Welsh Government, to whom there have been very specific requests from the developer. It is right that we are having a cordial, open-book conversation about what commitments are actually being asked for, because this all comes back to UK consumers and/or UK taxpayers.
ParlaMint-GB_2018-05-01-commons.u100	The Minister mentions that the Welsh Government have committed, in January, to provide substantial equity and loan investment to get the Swansea tidal lagoon project off the ground. Indeed, they are anxious to explore with the UK Government how this might be incorporated into an overall support package for the lagoon. Over and above contacts between officials of the two Governments, what meetings has she or other Ministers in the Department held with Ministers in the Welsh Government to examine and progress this offer?
ParlaMint-GB_2018-05-01-commons.u101	The hon. Gentleman is right to say that these conversations have to happen jointly. There have been numerous meetings between my officials and officials in the Welsh Government, and I have met the Welsh Environment Secretary and her special advisers to discuss this and many other issues.
ParlaMint-GB_2018-05-01-commons.u102	14. What steps he is taking to support businesses affected by the liquidation of Carillion.
